# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:27:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_3_1758774478928/tmp5sb_3vq2/_89qcc7p.json
# init = 2 (Default)
# random
#   seed = 2030
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_3_20250925_002759/rlddm_single_subject-20250925002759.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0563085
# Elements of inverse mass matrix:
# 0.421843, 0.0171266, -0.0734922, -0.0675605
# 0.0171266, 0.00515069, -0.0246207, 0.00310983
# -0.0734922, -0.0246207, 0.777851, -0.012475
# -0.0675605, 0.00310983, -0.012475, 0.0445828
-263.97273,0.99890638,0.056308545,5,47,0,268.92469,0.27560238,1.4175434,0.35052658,-3.1824748,0.041482867,-1.2546626,-0.87408367,-0.29374468,-0.16717496,-0.7943869,-1.4493859,-0.079132041,-1.179518,-0.4410362,-1.7937595,-0.090861044,-0.082073665,-0.23894519,-1.9550072,-0.27268574,-0.99673714,-0.91739586,-0.37275139,-0.65788382,-0.35984386,-1.1197146,-0.088397419,-0.2564285,-3.2613633,-0.10237545,-0.13593481,-0.97830112,-0.087476473,-3.2457312,-0.51250911,-0.40086879,-0.67098768,-0.72475364,-1.8431745,-0.126676,-0.16155468,-0.32951404,-0.30664167,-3.6134634,-0.29377918,-3.9969986,-0.34912607,-1.1573548,-1.3642691,-0.57262537,-0.20077714,-1.3489988,-0.23422053,-0.30847614,-0.30252678,-0.54647111,-1.3417693,-1.9107692,-0.54042883,-1.332496,-2.2874228,-0.62473495,-0.23370623,-0.76906615,-2.1087342,-0.085449058,-1.969968,-0.47211615,-0.10923411,-0.48893724,-0.84161834,-0.45074688,-0.28742791,-0.34671959,-0.30257418,-0.86740642,-0.89835569,-1.3542391,-0.24389256,-0.1826989,-0.076081141,-1.0004338,-0.075631486,-0.077090344,-0.27657176,-1.6921282,-0.23801743,-0.3717347,-0.47901682,-2.5225297,-0.95222881,-1.180957,-0.12312715,-0.085794961,-0.1564949,-0.092838297,-0.70297281,-0.95448901,-0.24893814,-0.52230517,-2.7595076,-0.12052669,-0.42148807,-0.78445475,-0.2151245,-3.0659014,-0.14473581,-0.10250207,-1.118083,-0.15903241,-0.44242868,-1.3908105,-1.2333785,-0.18978714,-1.8160216,-0.21030619,-0.17679381,-0.85733,-0.47587287,-0.24211094,-0.49922264,-0.11712203,-0.15941455,-0.13160911,-0.60827325,-0.075721913,-1.1033132,-1.792232,-0.56723178,-0.20508008,-0.34570354,-0.92714471,-0.87524925,-0.43572875,-0.60667323,-0.10367078,-1.7823735,-0.17632797,-1.919608,-1.5054475,-0.28772005,-0.14537621,-0.70490137,-0.23875601,-0.1013406,-0.36990994,-0.54480958,-0.732049,-1.1340624,-0.078016843,-1.4021782,-2.4877511,-1.2840291,-0.70081158,-0.15267736,-0.44049077,-1.2536479,-0.30306123,-0.73221737,-1.8084654,-5.1373117,-0.10887548,-0.089463821,-0.91396432,-0.22921598,-0.18584644,-0.091664729,-0.45094533,-2.7628067,-0.12191252,-0.54721056,-0.42826187,-0.16678736,-0.20464812,-0.12023709,-0.59545857,-3.0488555,-3.1888385,-0.28929499,-2.2745256,-0.10568124,-1.1182409,-0.14555044,-2.4319246,-0.12177979,-6.0778808,-0.68813901,-0.93332262,-1.7559902,-0.40301965,-0.31706394,-1.4060621,-0.79301082,-0.57400604,-0.37142898,-0.75751434,-2.3507861,-0.18697516,-0.096365579,-0.18908982,-0.10822722,-0.84192394,-0.096871565,-0.23668171,-1.2740838,-0.43050769,-1.6936238,-0.23238674,-0.45367829,-0.13353414,-0.99927619,-0.43539565,-1.0255411,-0.22216783,-2.0492454,-0.25015295,-0.62114666,-3.0337575,-1.9501467,-0.33722342,-0.073307467,-0.34000149,-0.25829722,-0.41068147,-0.20659215,-0.096913338,-0.92743223,-1.8762737,-0.14602242,-0.94729884,-0.53276779,-0.095310466,-0.79103536,-0.15350408,-0.21179849,-0.23696687,-0.071899646,-2.1275391,-0.43411404,-0.74210949,-0.3446682,-0.73530985,-0.51369841,-0.27310737,-0.12628095,-0.086416641,-0.19358829,-0.85306865,-3.4073919,-1.3937597,-0.27933426,-0.62071587,-0.39287336,-0.85845421,-1.7552685,-0.21070294,-0.12113711,-0.077669077,-0.94351373,-0.88847868,-0.42960969,-0.75008203,-1.1702563,-0.25334301,-0.40689832,-2.5708155,-0.087810558,-0.59609094,-0.47565484,-0.11099785,-0.10000334,-0.92928702,-0.66569388,-0.10634578,-4.0230278,-1.2452522,-1.4312048,-0.36884281,-0.66488936,-0.1919944,-1.766729,-1.4434894,-0.62110028,-0.37093092,-0.15810571,-1.9634295,-1.0733249,-1.2489321,-1.2239248,-0.2965055,-1.1221066,-3.5957639,-0.41960602,-0.54415579,-2.3632909,-2.345061,-0.95184199,-1.4328311,-0.088805743,-0.7329184,-0.07484213,-0.64615189,-0.55442993,-0.15585824,-0.42036502
-264.32544,0.99956209,0.056308545,5,47,0,265.74463,0.27663868,1.4104841,0.35119265,-3.2942376,0.037096315,-1.2600998,-0.87569464,-0.28955688,-0.1614964,-0.79559711,-1.4569508,-0.06962994,-1.184098,-0.43794838,-1.8044805,-0.079894143,-0.071967801,-0.22567841,-1.9659712,-0.2669215,-0.99958159,-0.91873798,-0.36848995,-0.65624255,-0.35471761,-1.1216382,-0.081486184,-0.25294848,-3.2766239,-0.091815685,-0.12447684,-0.98244127,-0.077068903,-3.2702623,-0.51003451,-0.39780036,-0.67077965,-0.72507768,-1.8540831,-0.1144419,-0.15405862,-0.32398396,-0.30356879,-3.6304342,-0.29015709,-4.0585483,-0.34399708,-1.1635498,-1.372943,-0.5691702,-0.18955085,-1.3414555,-0.22001038,-0.29456518,-0.29791703,-0.54525559,-1.3463608,-1.9216821,-0.53955783,-1.3408378,-2.3093651,-0.61368396,-0.22176389,-0.77067964,-2.1219539,-0.075360054,-1.9817324,-0.4688303,-0.097034881,-0.48784424,-0.84101113,-0.44716745,-0.28285154,-0.34329136,-0.28832715,-0.86944413,-0.90077853,-1.3617977,-0.23008214,-0.1689774,-0.066867946,-1.004541,-0.06681396,-0.068481692,-0.27286986,-1.7046317,-0.23110942,-0.36613929,-0.47839952,-2.5357424,-0.95409994,-1.185075,-0.1118376,-0.076404623,-0.15000759,-0.084026912,-0.69121813,-0.95647033,-0.24354273,-0.52020944,-2.7815169,-0.11219852,-0.4173714,-0.77261678,-0.2091395,-3.0913967,-0.13697858,-0.091653935,-1.1233827,-0.15109071,-0.44063421,-1.399574,-1.2358189,-0.18264408,-1.8298865,-0.20376123,-0.17012579,-0.85929986,-0.47245777,-0.23801213,-0.49762573,-0.10939307,-0.15308821,-0.12024209,-0.59434669,-0.067649626,-1.1063589,-1.8033008,-0.56522553,-0.20015023,-0.333319,-0.92884338,-0.87591634,-0.43150862,-0.60389396,-0.097362424,-1.7877646,-0.16479764,-1.9332977,-1.5115305,-0.28419868,-0.13895691,-0.70617479,-0.23500818,-0.089160383,-0.36818303,-0.54431629,-0.73358223,-1.1361436,-0.068694279,-1.4053621,-2.4998917,-1.2906086,-0.69969346,-0.14472322,-0.43742543,-1.2596277,-0.29763857,-0.73209746,-1.819883,-5.1577548,-0.09728952,-0.078617332,-0.915863,-0.21630165,-0.17994767,-0.082650374,-0.44796124,-2.7886659,-0.11307275,-0.54393984,-0.42705698,-0.16141729,-0.19693595,-0.111338,-0.59445234,-3.0773105,-3.2169567,-0.28475121,-2.2894811,-0.097611079,-1.1219147,-0.13770795,-2.4529476,-0.11234767,-5.9508241,-0.69000179,-0.93383777,-1.7628334,-0.40116289,-0.31118448,-1.416128,-0.79597883,-0.57464206,-0.3698301,-0.76026728,-2.3768547,-0.1832331,-0.090861316,-0.18563725,-0.095217531,-0.8406854,-0.09074074,-0.22857308,-1.2835347,-0.43023105,-1.7094484,-0.22474112,-0.45295003,-0.12374969,-1.0001782,-0.43351622,-1.0288395,-0.21563703,-2.065899,-0.24326676,-0.61851256,-3.0628758,-1.9647511,-0.33195535,-0.065313506,-0.32825672,-0.25106564,-0.40941851,-0.19940502,-0.090012628,-0.92851594,-1.8798589,-0.13420258,-0.94973896,-0.53012952,-0.0851379,-0.79035998,-0.14833118,-0.20800282,-0.2301776,-0.06394333,-2.1351289,-0.43234496,-0.73183151,-0.34227979,-0.7334145,-0.51282405,-0.26950533,-0.11339071,-0.07609205,-0.18015081,-0.85572952,-3.4408914,-1.4001231,-0.26573015,-0.61932925,-0.37923936,-0.85976854,-1.7663063,-0.20387685,-0.11461778,-0.068471651,-0.94598654,-0.89055848,-0.42631448,-0.75032993,-1.1757261,-0.24694606,-0.40406359,-2.5934898,-0.078441398,-0.59446128,-0.46225682,-0.1031342,-0.091826851,-0.93104734,-0.66434694,-0.099350868,-4.0278451,-1.2476307,-1.4345059,-0.36640319,-0.66360394,-0.17823092,-1.7736125,-1.4476989,-0.61819548,-0.36598443,-0.14979844,-1.9673585,-1.0763046,-1.2554819,-1.2310113,-0.2926084,-1.127549,-3.6177712,-0.41767838,-0.54059503,-2.38346,-2.3562819,-0.95490405,-1.439075,-0.078027756,-0.73266305,-0.065617695,-0.63276045,-0.55377381,-0.14996202,-0.4175255
-264.92638,0.99966477,0.056308545,6,63,0,265.90358,0.24992056,1.4244735,0.34883976,-2.8523405,0.057709095,-1.2520033,-0.87512432,-0.29956684,-0.17344042,-0.79506507,-1.4445168,-0.087837246,-1.1778142,-0.44706257,-1.7862041,-0.10116859,-0.090750551,-0.24464024,-1.9500426,-0.2819523,-0.99701389,-0.91952423,-0.38001961,-0.66335,-0.36894473,-1.1246563,-0.093441289,-0.25922771,-3.278697,-0.1164156,-0.14150591,-0.97364882,-0.094833778,-3.2158036,-0.51874943,-0.40669497,-0.67281723,-0.72722978,-1.837343,-0.13693227,-0.17237087,-0.33971152,-0.30943356,-3.6366747,-0.29741313,-3.8688392,-0.3590906,-1.1497445,-1.3530447,-0.58261484,-0.20150144,-1.3121017,-0.24460876,-0.31460268,-0.31088158,-0.54833582,-1.3446524,-1.9083781,-0.54139984,-1.3216984,-2.254066,-0.61080802,-0.23489773,-0.7671612,-2.104562,-0.094872464,-1.9651477,-0.47962823,-0.12159231,-0.48984777,-0.84890236,-0.45907676,-0.29290256,-0.3507037,-0.30960863,-0.86613601,-0.89758279,-1.34749,-0.25146994,-0.19326346,-0.083106894,-0.99583477,-0.082273025,-0.083713356,-0.27979932,-1.6754634,-0.2502734,-0.3835364,-0.47838439,-2.5292148,-0.95508731,-1.1826842,-0.1287991,-0.096862188,-0.16503585,-0.10168172,-0.68930999,-0.95482287,-0.25724695,-0.5276851,-2.7416639,-0.13119756,-0.42985729,-0.77008761,-0.22310216,-3.0364261,-0.15541327,-0.10916093,-1.1121105,-0.17127034,-0.4437633,-1.3788938,-1.2403697,-0.20144505,-1.7969539,-0.22101022,-0.18428538,-0.85583028,-0.48426836,-0.24573726,-0.50126682,-0.12494677,-0.16784772,-0.13882659,-0.60311151,-0.083055412,-1.1037072,-1.7849307,-0.57230356,-0.2109621,-0.34477089,-0.92924424,-0.87914405,-0.4445279,-0.61492542,-0.10831011,-1.7909632,-0.17945116,-1.9028328,-1.5075302,-0.29078946,-0.15156467,-0.70332528,-0.24162459,-0.11563309,-0.37041329,-0.54494637,-0.72996828,-1.1399643,-0.082246278,-1.410393,-2.4972563,-1.2763382,-0.7075457,-0.16487739,-0.44771268,-1.2517725,-0.31083505,-0.73437467,-1.7969976,-5.2536309,-0.11938952,-0.10046132,-0.91651853,-0.2334919,-0.19197005,-0.1023737,-0.45598645,-2.7363756,-0.13256433,-0.55454987,-0.42973055,-0.17151776,-0.21723739,-0.13261129,-0.59769074,-3.0081822,-3.1556855,-0.29609546,-2.2627779,-0.11487686,-1.1183163,-0.15626341,-2.4045759,-0.13481971,-7.4846264,-0.68504993,-0.93915603,-1.7610041,-0.40425258,-0.3283729,-1.391055,-0.78841554,-0.57177803,-0.37128537,-0.75255892,-2.3058933,-0.18796786,-0.097771203,-0.1893551,-0.12660395,-0.85232808,-0.099268486,-0.25252096,-1.2581771,-0.42740503,-1.666369,-0.24711134,-0.45179082,-0.14984146,-1.0072678,-0.43624488,-1.0217847,-0.2335983,-2.0248494,-0.26284193,-0.63042313,-2.9843905,-1.9303564,-0.34795871,-0.078391916,-0.33622738,-0.27208557,-0.4100932,-0.21916274,-0.10138814,-0.93280871,-1.801297,-0.15143382,-0.94571779,-0.54002028,-0.10825801,-0.79769232,-0.15729256,-0.21395547,-0.24876888,-0.076995493,-2.1384936,-0.4354865,-0.72299528,-0.34611509,-0.74430415,-0.51407855,-0.27582428,-0.13960935,-0.098746425,-0.20375364,-0.84958063,-3.349194,-1.3929538,-0.28562894,-0.62397855,-0.39486267,-0.85883831,-1.7441626,-0.22140437,-0.12702772,-0.085288279,-0.94449802,-0.88781133,-0.43635085,-0.75196845,-1.1655926,-0.26391373,-0.41110088,-2.5407732,-0.098655829,-0.59989001,-0.47415255,-0.11909757,-0.10938051,-0.93117411,-0.67109258,-0.11286158,-4.091931,-1.2511852,-1.4384729,-0.37100245,-0.67085828,-0.20260763,-1.7712329,-1.4492131,-0.63067045,-0.38118355,-0.1712183,-1.8860786,-1.0764379,-1.2409099,-1.2145141,-0.30037035,-1.1154149,-3.6114304,-0.42132318,-0.55387785,-2.3351694,-2.3519107,-0.94861678,-1.4338462,-0.099758469,-0.73778562,-0.081413047,-0.6400856,-0.55513716,-0.16126255,-0.4242595
