# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:16:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_4_1758773783775/tmp8h_v0khs/_7jx9gs9.json
# init = 2 (Default)
# random
#   seed = 2031
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_4_20250925_001624/rlddm_single_subject-20250925001624.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.179706
# Elements of inverse mass matrix:
# 0.397997, 0.0108779, -0.0327022, -0.0220171
# 0.0108779, 0.0111057, -0.0551096, 0.00100226
# -0.0327022, -0.0551096, 1.54586, -0.0182111
# -0.0220171, 0.00100226, -0.0182111, 0.0616448
-58.359644,0.99802024,0.17970574,4,15,0,58.93519,0.34260701,1.2173835,0.35494371,-2.7168489,0.066082661,0.010058122,0.1927127,-0.2347278,0.0069547588,0.024601335,0.19189623,0.2108801,-0.67732006,0.17826492,-1.8060813,0.0072674186,0.22538002,-1.3149254,0.13330991,-0.17892286,0.17676169,-1.97396,-0.53512013,0.22068549,-1.7476211,0.18374807,-0.1765379,-0.2915906,-0.85569456,-0.58589169,0.16494996,0.14176889,-0.043170505,-2.0981381,-0.59755587,-0.0044607964,0.087902393,0.15117008,-0.4673297,0.098502258,-3.1277209,-0.23836931,0.14217667,0.2224768,0.032042031,0.21923156,-0.1230929,0.23605401,0.22987711,-0.065150209,0.22813602,0.01051039,-0.52043976,0.18809435,-0.1269655,-0.18666585,-0.3610501,0.15003357,0.19849545,0.11878239,-0.63497873,-1.7741709,0.12720457,-1.0490228,-1.6226977,-3.3085382,0.16615668,0.035330427,-0.50598309,-0.23949012,-1.6707777,0.22129092,0.22120929,0.15734608,-0.16341214,0.23365918,-0.25220338,0.21405802,0.072367676,-0.022924279,0.10274764,0.053161312,-1.4648899,-0.092105198,-2.6928495,-1.3741589,0.12106742,0.16045598,-1.94043,0.21116487,-0.70219888,0.20563455,0.15254029,0.20553361,-0.00033809289,-0.77561815,-4.2159273,-2.959685,-0.058165551,-1.4668086,-0.82069282,-0.22723238,-1.4595143,0.21268512,-0.27090393
-58.425417,0.99909535,0.17970574,3,7,0,58.776906,0.37150431,1.2303499,0.35327802,-2.7060958,0.066797085,-0.0019121775,0.16992387,-0.23993344,-0.004931908,0.011289722,0.17181375,0.19187552,-0.67399362,0.16078217,-1.7790808,-0.0065293889,0.20716479,-1.2952497,0.11757342,-0.18536681,0.15807303,-1.9398564,-0.53440549,0.19921992,-1.7217284,0.16225747,-0.19008273,-0.29999761,-0.85186707,-0.58360721,0.14807362,0.1254634,-0.062508938,-2.0660418,-0.59603715,-0.017965293,0.067579666,0.13253493,-0.47063766,0.077982486,-3.0877202,-0.25248538,0.11861731,0.20095096,0.010510075,0.19764716,-0.13372036,0.21589451,0.20871349,-0.074457156,0.20703165,-0.0033992754,-0.52231866,0.16749827,-0.13726894,-0.19220273,-0.36392285,0.13377607,0.17938295,0.10341719,-0.63232289,-1.7493798,0.11353117,-1.0392993,-1.6022153,-3.2406065,0.14848863,0.023174776,-0.50778314,-0.24337777,-1.6456107,0.20170132,0.20022951,0.14319235,-0.17390798,0.2161118,-0.25722295,0.19785259,0.04781364,-0.031320464,0.089250459,0.041092224,-1.4446552,-0.11196119,-2.6500276,-1.355599,0.1055991,0.1378299,-1.9089489,0.18967897,-0.6921096,0.18340934,0.13413005,0.18300456,-0.013615139,-0.76864535,-4.1560774,-2.9153432,-0.065874451,-1.4471283,-0.81247979,-0.23345267,-1.4362593,0.1913267,-0.27659876
-57.573817,0.99744206,0.17970574,4,15,0,60.582321,0.51901892,1.2168062,0.35439469,-2.8069173,0.06039087,0.008653729,0.19561703,-0.23368984,0.0055428483,0.020549288,0.18904253,0.21088595,-0.67955628,0.17692188,-1.8093895,-0.00049936286,0.23071379,-1.3047911,0.13317059,-0.17666854,0.17246225,-1.9536903,-0.53642889,0.22228627,-1.7489626,0.19354942,-0.15629657,-0.26728969,-0.86998747,-0.58745205,0.16309756,0.1399814,-0.032057273,-2.1107856,-0.60266245,-0.014108876,0.1017364,0.14632348,-0.47843049,0.111283,-3.2405184,-0.22467607,0.14565865,0.22523761,0.040320441,0.22084296,-0.13019889,0.24186794,0.2310795,-0.06719989,0.2272856,0.0054315727,-0.52691356,0.18483382,-0.13185804,-0.18525852,-0.36486681,0.14634731,0.20137004,0.12080535,-0.63302223,-1.7893402,0.13447976,-1.0578994,-1.6362947,-3.2694382,0.16475174,0.034150467,-0.51526728,-0.23486835,-1.6701246,0.22726074,0.22902903,0.16393728,-0.17320259,0.24046213,-0.25728113,0.21825703,0.074593702,-0.021224563,0.10053653,0.050302433,-1.45865,-0.083670213,-2.7160624,-1.3694535,0.1233077,0.16711242,-1.9345778,0.21793785,-0.6687586,0.20256214,0.14820782,0.20300207,-0.0052921946,-0.77287417,-4.0753048,-3.0222736,-0.057516385,-1.460691,-0.81977389,-0.22467419,-1.4405997,0.21786461,-0.2699546
