# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:17:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_5_1758773868572/tmpp61ag7nc/yit6_j3l.json
# init = 2 (Default)
# random
#   seed = 2032
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_5_20250925_001749/rlddm_single_subject-20250925001749.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100
# Adaptation terminated
# Step size = 0.099055
# Elements of inverse mass matrix:
# 0.61382, -0.00769756, 0.0199232, 0.00268383
# -0.00769756, 0.00808258, -0.0263225, 0.00950397
# 0.0199232, -0.0263225, 0.783253, -0.0212601
# 0.00268383, 0.00950397, -0.0212601, 0.050772
-96.781669,0.99967872,0.099055017,5,31,0,99.558214,0.5920951,1.4747572,0.34017489,-3.016058,0.048993974,-0.35440903,-0.93657133,-0.16411194,-0.95437016,-1.0478936,-1.1921402,-0.28923052,-0.34097108,-1.1791027,-0.28049922,-0.3017512,-0.56731481,-0.185684,-0.33977764,-1.3403427,-0.22040052,-0.65767702,-0.21547141,-1.4295704,-0.36896211,-0.41321838,-0.34343494,-1.3577983,-1.1839022,-2.1306331,-1.1824737,-2.4826406,-0.1568234,-0.57880456,-0.58089551,-1.6238736,-0.36615387,-0.2764078,-0.51701371,-0.20351913,-0.3639792,-1.5915843,-1.2304807,-0.15963737,-0.23337767,-0.23157666,-3.8564178,-0.28361748,-1.4805632,-0.44489989,-0.78752539,-0.82526148,-0.25853746,-0.54499478,-0.83407529,-0.34209319,-0.22663247,-1.1385878,-1.2362076,-0.14447319,-0.15170149,-1.9873326,-5.4335839,-0.49736293,-0.7077508,-0.7286363,-1.7758412,-0.18945055,-0.4341026,-0.15800821,-0.22476867,-0.94661725,-0.95165772,-0.9222342,-0.14105847,-0.75685827,-0.65816314,-0.81954186,-0.55779019,-1.3932392,-4.1327218,-0.19758214,-0.18096735,-1.0306441,-0.15435236,-0.15287668,-0.19466214,-1.0013162,-0.23012228,-0.17563268,-0.69739345,-0.52426714,-1.689766,-0.14808965,-0.18728915,-0.90933435,-0.62885826,-0.48627881,-1.3562186,-0.27034009,-0.41553439,-1.0139034,-0.27310981,-1.6497083,-0.14793565
-96.340974,0.99857439,0.099055017,5,63,0,98.68713,0.66984765,1.428072,0.35323294,-2.9010239,0.054966911,-0.30458847,-0.92727354,-0.099290397,-0.94331968,-1.0425499,-1.2034834,-0.26074771,-0.28992352,-1.1856719,-0.22901025,-0.27780226,-0.52900409,-0.11932187,-0.32372468,-1.3584133,-0.15767764,-0.62628937,-0.1562528,-1.4539655,-0.32154662,-0.36724833,-0.29213264,-1.8084401,-1.191814,-2.2326316,-1.1890776,-2.5746528,-0.087554993,-0.54582826,-0.54773675,-1.645739,-0.32024173,-0.24135399,-0.48008517,-0.14235693,-0.3134788,-1.6142088,-1.2340393,-0.095949076,-0.19209222,-0.1707872,-4.029321,-0.22814399,-1.5206937,-0.40178085,-0.77329652,-0.80323714,-0.20412692,-0.50951133,-0.82370818,-0.29550282,-0.16613723,-1.1422074,-1.2389057,-0.075325242,-0.083239809,-2.0258101,-6.0761894,-0.46070512,-0.68047566,-0.70738604,-1.8234775,-0.12865218,-0.39279191,-0.0944795,-0.18179307,-0.94312425,-0.938216,-0.91704118,-0.076277117,-0.73689144,-0.76399076,-0.80411121,-0.51693643,-1.4118049,-4.6722795,-0.13584205,-0.12451056,-1.0281525,-0.09187463,-0.08973843,-0.12957012,-0.99123755,-0.16804671,-0.11007958,-0.66661743,-0.48770328,-1.7463777,-0.07817122,-0.13004745,-0.90427011,-0.59889902,-0.44268834,-1.3754648,-0.21299777,-0.37353731,-1.0046212,-0.23652183,-1.6741609,-0.079514034
-97.303907,0.99465439,0.099055017,4,23,0,101.87262,0.56031657,1.4249466,0.360189,-3.0226177,0.048673641,-0.2875364,-0.91196038,-0.093188656,-0.9328453,-1.0327601,-1.1841927,-0.32128261,-0.27304863,-1.1723598,-0.20592,-0.31917315,-0.51959438,-0.1122519,-0.38670246,-1.3447385,-0.14802826,-0.6169452,-0.13827054,-1.4398738,-0.30316674,-0.35076364,-0.27586445,-2.3625629,-1.1768225,-2.1853566,-1.1755887,-2.5692136,-0.08508311,-0.52864276,-0.53000201,-1.6520856,-0.29640373,-0.26922041,-0.46311047,-0.12835021,-0.29691864,-1.6163832,-1.2300492,-0.088051951,-0.22302067,-0.15759951,-4.0580173,-0.21154542,-1.4904906,-0.38462395,-0.74935075,-0.79615566,-0.18202138,-0.49212927,-0.79914988,-0.2708531,-0.15226671,-1.1291321,-1.2365904,-0.073374536,-0.078697953,-2.037936,-6.3280469,-0.43734538,-0.67009665,-0.68888734,-1.8093617,-0.1161011,-0.36968127,-0.08833598,-0.21230598,-0.91924606,-0.93197175,-0.89226521,-0.089054069,-0.7198878,-0.95204918,-0.78712758,-0.50875144,-1.4021228,-4.3284158,-0.12165005,-0.13531266,-1.0130107,-0.092573968,-0.088662406,-0.12110408,-0.9846709,-0.15819421,-0.10227287,-0.65859929,-0.46975225,-1.7144301,-0.077247492,-0.14042359,-0.87889136,-0.58138284,-0.43269001,-1.3613763,-0.19694589,-0.34952688,-0.99824771,-0.26349991,-1.678569,-0.075075517
