# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:28:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_8_1758774504051/tmpny1eqz9w/o15rsm9i.json
# init = 2 (Default)
# random
#   seed = 2035
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_8_20250925_002824/rlddm_single_subject-20250925002824.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0872283
# Elements of inverse mass matrix:
# 0.468285, 0.0107957, -0.0383455, -0.0190546
# 0.0107957, 0.00608907, -0.0178381, 0.00301417
# -0.0383455, -0.0178381, 0.180259, -0.00874358
# -0.0190546, 0.00301417, -0.00874358, 0.043215
-300.31853,0.99685489,0.087228328,5,31,0,302.20769,0.1556267,1.4294099,0.23504613,-2.5594567,0.077346752,-1.6988527,-1.7447672,-1.5925094,-1.5765781,-0.20035126,-1.770218,-0.15590039,-2.6383135,-0.25548005,-0.10546241,-4.4495882,-0.16837409,-1.0558468,-0.13259266,-2.2479974,-0.7743939,-0.27835217,-1.3322682,-1.9847273,-0.56261734,-0.35369007,-0.26519567,-0.10737777,-1.3441381,-0.6886556,-0.92957928,-3.1851181,-1.0200615,-0.91131264,-0.22702015,-0.59003346,-0.63209671,-0.74850755,-2.6681989,-0.21399668,-0.62430855,-0.10911589,-3.1585699,-0.12361327,-0.32497381,-0.78670544,-1.2825269,-0.38242464,-0.1204668,-0.37998397,-1.3095466,-0.69663097,-0.19096944,-0.96142511,-0.87372745,-1.77479,-0.82629153,-0.29127574,-0.88939706,-0.14438369,-0.21207352,-2.4079496,-0.61162765,-1.1207333,-0.1296967,-0.56235307,-1.4320276,-0.13500552,-2.9296785,-2.0823237,-0.33499475,-0.21542425,-1.2422098,-0.26062001,-0.22206426,-0.44505271,-0.23657199,-2.1556908,-0.94397728,-0.21298521,-0.096293062,-1.1691908,-2.1715477,-0.95883699,-0.91717053,-0.28855551,-0.13478058,-0.10938965,-0.51356033,-0.95944305,-1.377366,-0.57381543,-2.8000442,-1.2512544,-0.11733774,-0.18147435,-0.89180401,-0.1272125,-0.62626545,-1.2327912,-0.18502121,-0.82309445,-0.48172237,-0.39588309,-1.4492593,-0.66700473,-1.3941658,-0.5308636,-0.46777874,-0.92653812,-1.2998922,-1.0013018,-0.10755181,-0.37213096,-0.81785023,-0.88719625,-0.90012472,-0.62295573,-1.5981131,-0.68269018,-0.3676536,-0.84541139,-0.0982274,-0.11769773,-0.61560399,-0.82149702,-0.23972964,-0.27859247,-0.83222081,-1.4550215,-0.19452441,-0.49666801,-0.38961913,-0.10228514,-0.15024718,-1.0270908,-0.20595316,-0.57406923,-0.13550013,-0.91683274,-0.35459169,-0.6056051,-0.54801305,-0.3128494,-1.6362803,-0.47819217,-0.17374901,-0.17399735,-1.7822084,-1.5725913,-0.7322843,-0.51544593,-0.2678717,-1.2845066,-0.13039035,-0.85500756,-1.2559586,-0.55135656,-1.3448058,-3.2937937,-1.1323531,-1.2435893,-1.4904965,-0.32720378,-1.4859608,-0.69101306,-3.0916545,-5.2881548,-0.89575123,-0.16430737,-0.31099124,-1.4873801,-0.11440288,-1.9281877,-1.4709894,-0.43042531,-2.017293,-3.1571451,-1.8695145,-0.24602518,-0.54388138,-0.19718829,-0.53079985,-0.17642645,-0.19915979,-4.2610346,-2.8326767,-2.8169981,-0.56294637,-0.1796447,-2.950432,-0.29677013,-0.28957355,-0.32296338,-0.80080732,-0.90578889,-0.45163045,-1.3061411,-0.76482891,-1.9419002,-0.27024817,-2.2501935,-1.1385991,-3.2838831,-0.089878352,-1.6058675,-0.57610132,-1.0142759,-0.20880603,-0.089727975,-0.093786237,-0.21545715,-1.6809492,-0.28052173,-4.5956597,-1.2814943,-0.31791948,-0.089941002,-3.563753,-1.2300987,-0.085945567,-0.73191338,-0.3112187,-0.36984287,-1.1162361,-0.55093357,-2.8024416,-0.61687565,-1.7063072,-0.11500665,-0.081971433,-0.087374331,-0.13979032,-0.40958268,-0.42725609,-2.5191423,-4.4405843,-0.16970493,-0.1256665,-2.0604691,-0.76409132,-0.8174755,-0.65196058,-0.26718811,-0.90068317,-0.13159322,-1.1337782,-0.15251715,-1.763968,-0.79392334,-1.0414656,-2.179283,-1.2528006,-0.070823072,-1.2095444,-0.91742077,-0.24462371,-0.82119137,-1.3522112,-2.1636166,-1.3246753,-1.1566998,-0.28809965,-0.22034204,-1.8621751,-0.31868918,-0.11837546,-1.1548481,-0.44733222,-0.23307918,-1.6371384,-1.0042595,-1.627828,-0.27236358,-1.257823,-1.0963292,-1.63538,-1.8826986,-1.3230468,-0.082964088,-1.0671146,-0.16239368,-0.55802066,-0.15733599,-0.28538468,-0.44078001,-1.1258138,-0.43214592,-0.926302,-2.1986914,-1.1913187,-0.11296389,-0.091400191,-1.1652934,-0.15446142,-2.1344292,-1.5227895,-0.21226965,-2.1302807,-0.062653688,-0.13891642,-0.22900167,-1.7439046,-0.40580473,-0.4096178
-299.71408,0.99927911,0.087228328,5,31,0,302.32529,0.25803597,1.4535826,0.23254202,-2.5092675,0.081327793,-1.6680178,-1.7209894,-1.577316,-1.5492635,-0.22261717,-1.7446325,-0.17565504,-2.5510831,-0.28012778,-0.13654872,-4.4817925,-0.20331192,-1.0420323,-0.16783242,-2.1900429,-0.76937015,-0.29801721,-1.3163379,-1.9310574,-0.57076754,-0.36550484,-0.28474065,-0.14044597,-1.3260625,-0.72495296,-0.95952193,-3.1090399,-1.011061,-0.90673041,-0.24793042,-0.59563432,-0.63597646,-0.75014033,-2.5732564,-0.23630491,-0.62763083,-0.13892977,-3.0221839,-0.14529739,-0.34907683,-0.79655453,-1.2506248,-0.40931332,-0.15364913,-0.39275732,-1.296119,-0.69912397,-0.21166962,-0.95118803,-0.87983703,-1.7174004,-0.81154871,-0.29736932,-0.93191149,-0.15819477,-0.22688252,-2.3968589,-0.60659429,-1.1477443,-0.16453785,-0.56417017,-1.425984,-0.15687399,-2.8543356,-2.0624785,-0.37013038,-0.2246809,-1.2470623,-0.29130548,-0.25531228,-0.448163,-0.25496013,-2.1309944,-0.9411472,-0.23144161,-0.12234354,-1.1674873,-2.1299178,-0.95460703,-0.91001033,-0.30474238,-0.1719208,-0.14288369,-0.52187852,-0.95968639,-1.3550158,-0.57777423,-2.7637178,-1.2242002,-0.15099488,-0.20061732,-0.89694814,-0.16607638,-0.65718985,-1.2223609,-0.22625863,-0.82210192,-0.49041881,-0.40954956,-1.4182311,-0.66805083,-1.382935,-0.53648629,-0.47380422,-0.90913428,-1.2645953,-0.97898632,-0.12646035,-0.39374274,-0.80726497,-0.90624877,-0.91112182,-0.61546095,-1.5871744,-0.69894501,-0.42154157,-0.83363273,-0.11688718,-0.15730582,-0.62128397,-0.82864865,-0.25114772,-0.2975097,-0.82328266,-1.4468783,-0.21782072,-0.53851533,-0.39795062,-0.14390981,-0.1651661,-1.0354998,-0.2610201,-0.56517942,-0.18832132,-0.893183,-0.35363945,-0.59497322,-0.57278082,-0.36470071,-1.6185056,-0.4854674,-0.21511063,-0.20875556,-1.7596385,-1.5567906,-0.74522604,-0.53536834,-0.29754791,-1.2611266,-0.15797,-0.85219274,-1.2361301,-0.56278257,-1.3177392,-3.1270088,-1.1073854,-1.2429042,-1.4762543,-0.34889826,-1.4518795,-0.69031038,-2.9569658,-5.3561675,-0.88093666,-0.18644238,-0.33282109,-1.4552943,-0.15234123,-1.8781871,-1.439544,-0.43458181,-2.0037282,-3.1541389,-1.8574689,-0.25641982,-0.55459919,-0.23709687,-0.54005456,-0.21333238,-0.21803427,-4.3413878,-2.7450523,-2.7288312,-0.57847951,-0.19945612,-2.8740057,-0.31318855,-0.30744395,-0.33929566,-0.80316817,-0.89735093,-0.49509324,-1.2901749,-0.77346042,-1.8925288,-0.28639615,-2.1958085,-1.115632,-3.1406029,-0.11397163,-1.5933407,-0.58264736,-1.0012093,-0.22981383,-0.12354514,-0.1251516,-0.26220051,-1.6380315,-0.3148048,-4.7767619,-1.2799788,-0.35221629,-0.11881486,-3.4539645,-1.2107367,-0.11320163,-0.77290843,-0.32234695,-0.37764312,-1.1059701,-0.55604593,-2.7555468,-0.62107457,-1.6693369,-0.14871267,-0.11374419,-0.12324588,-0.17665084,-0.42980799,-0.44888922,-2.426755,-4.5856971,-0.20568275,-0.15625949,-2.0092167,-0.79205292,-0.82442171,-0.66519342,-0.27770244,-0.90887774,-0.17424095,-1.1669503,-0.17142932,-1.7544662,-0.78248293,-1.0422597,-2.1455584,-1.2446716,-0.10293212,-1.1834916,-0.92395515,-0.25245741,-0.80603391,-1.3760347,-2.0845275,-1.2890546,-1.128323,-0.34219181,-0.22858449,-1.8277564,-0.32292391,-0.14021122,-1.1516357,-0.4499642,-0.25132472,-1.5935958,-0.98863379,-1.6227336,-0.32837597,-1.2265666,-1.0791621,-1.617102,-1.8503812,-1.3081289,-0.11559724,-1.0501279,-0.19485563,-0.56478162,-0.17981733,-0.32440749,-0.47965051,-1.1133668,-0.44652619,-0.92158905,-2.1408554,-1.1714326,-0.13510578,-0.1154239,-1.1450806,-0.19803296,-2.1041034,-1.4900162,-0.24067046,-2.0666969,-0.088185426,-0.1800641,-0.26076886,-1.7334744,-0.40882945,-0.43383061
-300.23389,0.99936735,0.087228328,5,31,0,301.5883,0.70572657,1.4304369,0.23003141,-3.4238929,0.032585335,-1.7093274,-1.7666611,-1.6101322,-1.5815048,-0.21853498,-1.7819604,-0.16507324,-2.6430599,-0.26732674,-0.1204462,-5.2541384,-0.14007945,-1.0619219,-0.121624,-2.2537742,-0.77492529,-0.28997199,-1.3433991,-1.9660168,-0.57449232,-0.36527404,-0.27647692,-0.11070262,-1.3548188,-0.59190928,-0.79094377,-3.1718976,-1.036304,-0.92078181,-0.23795849,-0.60073071,-0.64150932,-0.76412404,-2.6364376,-0.22760123,-0.62861364,-0.11229983,-3.0747918,-0.12319183,-0.34685455,-0.80994321,-1.2794834,-0.40060085,-0.11532553,-0.40719479,-1.3516597,-0.70054151,-0.20698891,-0.98138634,-0.8895038,-1.7780181,-0.83630889,-0.3017846,-0.76237995,-0.15400386,-0.23375498,-2.3979922,-0.6284667,-0.93891962,-0.12163887,-0.59004017,-1.4283695,-0.15936596,-2.8071878,-2.1905919,-0.27174514,-0.20689567,-1.2619501,-0.21277348,-0.25290074,-0.4493654,-0.25048898,-2.188062,-0.9599658,-0.2198777,-0.099010911,-1.1850734,-2.1527658,-0.9780815,-0.92124849,-0.29443091,-0.12091633,-0.10342269,-0.53454354,-0.97526814,-1.372553,-0.59298913,-2.8174349,-1.2628521,-0.11373572,-0.20217446,-0.90106037,-0.12863123,-0.53816949,-1.2239683,-0.15739574,-0.81904828,-0.508288,-0.41963007,-1.4616711,-0.68876116,-1.4417977,-0.53380946,-0.47075847,-0.91825614,-1.2870342,-0.99703283,-0.11395344,-0.38574102,-0.8298645,-0.75872322,-0.90323753,-0.6434643,-1.5943539,-0.6829678,-0.31142432,-0.87717514,-0.10605954,-0.10730026,-0.65206588,-0.86536123,-0.22826889,-0.30058803,-0.81965622,-1.5089595,-0.21498958,-0.44563932,-0.38509418,-0.12097723,-0.14715676,-1.0517235,-0.19334439,-0.58068218,-0.13360787,-0.92618481,-0.36634497,-0.61849797,-0.55905961,-0.26397744,-1.6129851,-0.5021828,-0.14956458,-0.13967359,-1.8174583,-1.5979972,-0.75792172,-0.53769754,-0.28709836,-1.2985594,-0.14884861,-0.85353792,-1.2467873,-0.57519313,-1.3382809,-3.2013229,-1.1310329,-1.2697732,-1.49373,-0.3340405,-1.5096224,-0.71146563,-3.0825681,-4.7758408,-0.90687807,-0.18293315,-0.31277417,-1.4967692,-0.11742395,-1.9217907,-1.4711506,-0.43966112,-2.0272503,-3.1807832,-1.884107,-0.26064353,-0.54056071,-0.16379582,-0.55835622,-0.14831443,-0.20069573,-4.5060754,-2.7998238,-2.7837128,-0.58065377,-0.19570555,-3.0305709,-0.29993169,-0.29106824,-0.32491071,-0.80478889,-0.92796174,-0.38564138,-1.3027254,-0.77958196,-1.9718709,-0.28818317,-2.2956341,-1.1470045,-3.2829304,-0.094620944,-1.6160097,-0.59786086,-1.0009351,-0.21153667,-0.097401904,-0.10453007,-0.1953369,-1.6891026,-0.24319848,-4.0487022,-1.2863744,-0.27801286,-0.1069534,-3.7372976,-1.2564822,-0.10259292,-0.61752252,-0.32362873,-0.38549108,-1.1497225,-0.56970573,-2.7445093,-0.6109233,-1.6832435,-0.10656641,-0.096147396,-0.099585696,-0.12703731,-0.42098127,-0.43649131,-2.5427255,-4.2882637,-0.17421178,-0.11805727,-2.0832391,-0.65146882,-0.82698724,-0.65897612,-0.28358404,-0.90515217,-0.12849801,-0.95671568,-0.18701836,-1.7363147,-0.8208565,-1.0296536,-2.1130402,-1.2300017,-0.08716318,-1.2467406,-0.9065057,-0.27121127,-0.85060891,-1.129846,-2.2341261,-1.3650101,-1.1931612,-0.24211569,-0.24888477,-1.557576,-0.35000456,-0.15610306,-1.133403,-0.47766177,-0.27097724,-1.5603751,-0.97182021,-1.7260388,-0.26964789,-1.2386644,-1.0988581,-1.6597922,-1.904978,-1.3292146,-0.083997729,-1.0862613,-0.16503425,-0.55345336,-0.18376516,-0.25405439,-0.36777835,-1.1499385,-0.43308634,-0.91572165,-2.2379951,-1.2135887,-0.13028524,-0.10879423,-1.1945497,-0.13532538,-2.0907387,-1.563058,-0.20828495,-2.1905427,-0.078440433,-0.12833635,-0.2247453,-1.713362,-0.43194586,-0.40460999
