# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 04:28:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/recovery_out/tmp_subject_9_1758774509066/tmpwybpw90_/c9a_vr9w.json
# init = 2 (Default)
# random
#   seed = 2036
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/subject_9_20250925_002829/rlddm_single_subject-20250925002829.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299,log_lik.300
# Adaptation terminated
# Step size = 0.0860418
# Elements of inverse mass matrix:
# 0.333978, 0.0322246, -0.187783, -0.10143
# 0.0322246, 0.00756267, -0.042551, -0.00442867
# -0.187783, -0.042551, 1.20979, 0.028898
# -0.10143, -0.00442867, 0.028898, 0.0830265
-247.66014,0.99957662,0.086041785,5,31,0,248.31048,0.091062726,1.3363772,0.3965765,-3.1827805,0.041470188,-1.0692516,-0.34192342,-1.8219772,-0.40734954,-2.1412996,-0.73742938,0.032909746,-0.93915437,-1.5054763,-0.51234385,-0.27713001,-1.1021963,-1.7057727,-2.71207,-0.24581434,0.02943594,-0.050694849,0.025036193,-0.47863673,0.030393408,-0.63464071,-0.8675637,-0.062149724,-0.33656169,-0.53716894,-1.5846086,-0.04120384,0.027316565,-0.43700816,-0.016343777,-0.1874693,-0.87308299,-0.22961839,-3.0632306,-1.3226745,-1.3410884,-0.90875699,-1.5824257,-0.29644469,-1.6149258,0.029021956,0.020233275,-2.7831016,-1.6215978,-0.65312197,-0.21836906,-1.2755048,-0.2254466,-1.6374595,-0.91611681,-0.050151619,-0.24625411,-0.078571366,-0.030269665,-1.0575697,-0.98313549,-0.22361878,-0.24718236,-0.012244577,-0.41090138,-0.022564639,-0.46132604,-0.064360297,-2.1680454,-0.45362536,-1.26406,-1.6321558,-0.34571093,-0.31818516,-0.42531128,0.031813844,0.023007836,-0.036861073,-0.072591278,0.0066729925,-0.18010398,-0.60782291,0.035072786,-0.31838554,-1.6837564,-0.12305678,-3.2463216,-0.086326436,-0.037259679,-0.44114741,-1.7432572,-0.1763283,-0.58996205,-4.1363524,-0.72368749,-1.0019429,-3.6181447,-0.71145968,-1.0215636,-0.96061024,-0.13233271,0.034272326,-0.1262987,-0.022538219,-6.9239554,-0.15095723,-0.15988042,-0.97319608,-0.10273032,0.0097587292,-0.40583236,-0.017629292,-0.054577584,-0.48882749,-0.27506543,-1.0473911,-0.85272405,0.0301246,-0.1659781,-1.688731,-0.40452183,0.036870945,-0.56481954,-0.47409657,-0.28887297,-0.59893133,-2.5690646,-3.1559478,-0.030711012,-0.021847563,0.035806031,-1.8817145,-0.32410964,-0.26489182,-0.067760402,-2.1218272,-0.14935307,-0.45678551,-0.31342989,-0.53503224,-1.7435036,-1.4601045,-0.10816657,0.025242512,-0.39999144,-0.0044921618,-0.052156638,-0.31500035,-0.34176319,-0.15116125,-4.8680096,-3.4439494,-0.53422564,-0.89757221,-0.63454971,-0.74404039,-0.025012635,-0.17831037,-1.5584322,-0.9914754,-0.37392414,-0.030267702,-3.4658843,-1.2040051,-0.93235096,-0.057052093,-0.20117752,0.028840574,-0.31726032,-1.967889,-0.30331345,-2.6365248,-1.6152815,-0.89677928,0.016378162,0.030155637,-0.032671496,-0.35062783,-1.6917292,-1.9573197,-2.6656415,-1.3755398,0.0055605622,-0.25781589,-0.011323217,-0.55767238,-1.2481812,-0.5981269,-0.033593021,-0.035595686,-0.15288667,-0.057279732,-4.090532,0.012391801,-0.044237358,-0.19160519,-3.8865469,-0.79895757,-0.20690295,-0.98545812,0.016535158,0.013618112,-2.2312553,-0.35625075,0.0036193592,-0.23967631,0.023785362,-0.13913863,-0.99323096,-0.79558194,-2.3274602,-0.18487593,-0.55496391,-0.23782184,-0.20613365,-0.086616291,-0.94156016,-0.47010402,-0.99386584,-0.17310373,-1.92134,-0.33161364,-0.69040444,-0.01178366,-0.97380013,-1.4420143,0.0051070241,-0.43875567,-0.60572833,0.0033144717,0.04681191,0.035063668,-2.1368565,0.012200404,-1.046232,-0.27171053,-0.35263344,-0.29890194,-0.83246706,-1.473697,-0.012608827,-0.49831491,-0.86135197,-0.16233355,-1.6040058,-0.14259268,0.017778946,-0.16616691,-0.055497827,-0.39863138,0.01386543,-0.53155316,-0.046856546,0.013137011,-0.32559662,0.048000055,-0.11863165,-2.4294968,-0.80313598,-1.5712461,0.0019430874,-1.2974446,-0.40071232,-1.2084183,0.047033118,-0.59177252,-0.075059622,-3.5810454,-0.37788227,-1.2553354,-1.9585779,-0.017256492,0.020875094,-2.2616901,-0.18297605,-0.03847857,-1.7393175,-1.0820201,-1.2335912,-0.16081957,-3.230819,0.045478301,0.046101648,-1.4579403,0.032190053,-1.1152346,-1.4111229,-0.44702588,-1.6260591,-0.05495571,0.029522875,-0.40088203,-0.18846895,-1.7924189,-0.5081412,-2.1334823,-0.55453256,-0.047760382,-1.1931711,-0.64447877,0.028145348,-0.28398799,-0.44170973,-0.79655117,-0.48369649
-247.83309,0.99932627,0.086041785,5,47,0,248.73416,0.083793379,1.3787735,0.39657676,-2.9738058,0.051108434,-1.0327757,-0.35080312,-1.7395878,-0.41178694,-2.0402436,-0.936537,-0.02865506,-0.91006232,-1.4428734,-0.50952,-0.28996116,-1.0627608,-1.6298522,-2.5769119,-0.2619817,-0.044849475,-0.15252635,-0.052991677,-0.47843004,-0.043123456,-0.62443929,-0.84332628,-0.096313014,-0.34522643,-0.53343362,-1.5174158,-0.14080911,-0.031878251,-0.44063411,-0.10993492,-0.20971981,-0.8470523,-0.24554236,-2.9049566,-1.2689287,-1.2901606,-0.88396253,-1.5125933,-0.30662555,-1.5431016,-0.03866097,-0.029580005,-2.6404595,-1.5535775,-0.64085387,-0.23555953,-1.2250417,-0.35993805,-1.5646527,-0.8907943,-0.088789722,-0.26029439,-0.11304557,-0.12704232,-1.0201762,-0.95385547,-0.24287563,-0.26195698,-0.056333398,-0.41562911,-0.062876585,-0.4617049,-0.097904155,-2.0634523,-0.4553245,-1.216513,-1.5625511,-0.35365188,-0.32918669,-0.42919427,-0.041173439,-0.055606314,-0.075360424,-0.17916961,-0.04039942,-0.20129043,-0.59970729,-0.031134529,-0.4660141,-1.6091145,-0.15068057,-3.0756232,-0.11724023,-0.1363094,-0.44318107,-1.6658779,-0.30243145,-0.58267979,-3.9223992,-0.70796027,-0.96933136,-3.422415,-0.69626696,-0.98877893,-0.93116565,-0.25077425,-0.038138904,-0.24404287,-0.064404354,-6.2401357,-0.17448849,-0.18220039,-1.197873,-0.13336697,-0.040580285,-0.41108883,-0.060795099,-0.091497268,-0.48739237,-0.28941184,-1.0117191,-0.82992936,-0.040841191,-0.18903845,-1.6152434,-0.56406498,-0.027420246,-0.55893013,-0.47393875,-0.30128064,-0.59138003,-2.4425534,-2.9915394,-0.070103996,-0.062462132,-0.026003331,-1.7959392,-0.33398809,-0.27910379,-0.17347396,-2.0211171,-0.27098746,-0.45747807,-0.32407884,-0.7108771,-1.6669198,-1.3988889,-0.13846605,-0.035567704,-0.40624184,-0.04697762,-0.090214139,-0.32707124,-0.34939509,-0.1738812,-4.5696879,-3.2623716,-0.53171209,-0.87008179,-0.62600153,-0.72849437,-0.1209551,-0.20160496,-1.4936995,-0.95788854,-0.38177196,-0.068779421,-3.2760861,-1.1610685,-0.90548793,-0.16003718,-0.21985524,-0.046139997,-0.32905388,-1.8753131,-0.31390911,-2.5073938,-1.5436736,-0.8722602,-0.065720665,-0.024904492,-0.070329636,-0.35757412,-1.6165672,-1.8680579,-2.5324932,-1.321862,-0.039767021,-0.27367212,-0.10292893,-0.55338437,-1.2001303,-0.58953231,-0.13109229,-0.13379161,-0.17832427,-0.091276189,-3.8709852,-0.071234141,-0.07984098,-0.21076585,-3.6815691,-0.78080761,-0.22802772,-0.95606783,-0.039357571,-0.0703166,-2.1209724,-0.36209629,-0.083981115,-0.25844494,-0.025941728,-0.25864634,-0.9637847,-0.77335496,-2.2105592,-0.20285777,-0.55305078,-0.25089075,-0.22173361,-0.12203522,-0.9164173,-0.4670326,-0.95840146,-0.19941521,-1.839374,-0.33766779,-0.68071552,-0.10443703,-0.93954319,-1.3878572,-0.048336288,-0.43772115,-0.6011815,-0.037705154,-0.013553156,-0.040406658,-2.0295562,-0.068236755,-1.015475,-0.28167657,-0.35687353,-0.31494364,-1.0403544,-1.407565,-0.10333696,-0.49270676,-1.0759824,-0.18990317,-1.5412252,-0.17225288,-0.042633462,-0.19307114,-0.095789814,-0.40758659,-0.029321249,-0.53205825,-0.14766484,-0.066809459,-0.33983154,-0.015166263,-0.14155471,-2.3024007,-0.77866011,-1.5105339,-0.037641819,-1.2524272,-0.40132345,-1.158566,-0.0096696283,-0.58899815,-0.10210112,-3.384709,-0.38866662,-1.2133004,-1.8607043,-0.052337365,-0.061512917,-2.163871,-0.31177307,-0.083227092,-1.6702439,-1.0394997,-1.1929224,-0.18857262,-3.0504479,-0.01456435,-0.017759335,-1.4037546,-0.017489294,-1.071655,-1.3592671,-0.44490225,-1.561763,-0.094100201,-0.046992418,-0.40248985,-0.31546343,-1.7173696,-0.50945865,-2.0271896,-0.55241805,-0.080933499,-1.1523852,-0.63632095,-0.042894047,-0.29951074,-0.44656224,-0.77436714,-0.4808074
-249.01956,0.99858059,0.086041785,3,15,0,249.69089,0.089689209,1.4064564,0.39274765,-2.9991092,0.049831441,-1.0222578,-0.36768751,-1.7014016,-0.426017,-1.9904866,-0.93107829,-0.069110907,-0.90416951,-1.416413,-0.51951061,-0.30937235,-1.0508864,-1.5960654,-2.5056866,-0.28306153,-0.087661493,-0.19597546,-0.096089698,-0.48986361,-0.085831379,-0.62988718,-0.84021371,-0.12701069,-0.36204378,-0.54266585,-1.4880626,-0.18441077,-0.071783651,-0.45413708,-0.1533787,-0.23404905,-0.84330165,-0.26685648,-2.8240541,-1.2487527,-1.2700715,-0.87985707,-1.4830529,-0.32474897,-1.5123924,-0.080463033,-0.06681292,-2.5691307,-1.5226953,-0.64553056,-0.25771329,-1.2068898,-0.39603045,-1.5334204,-0.88629024,-0.12115183,-0.28072295,-0.14348542,-0.17086762,-1.0099138,-0.94683177,-0.2652591,-0.28279461,-0.09088909,-0.42951861,-0.096677585,-0.47401487,-0.12869982,-2.0137909,-0.46741211,-1.1984583,-1.5308266,-0.37045213,-0.34689175,-0.44262267,-0.084007196,-0.09908597,-0.1076154,-0.22215418,-0.076125494,-0.22496286,-0.60599361,-0.072838587,-0.49614647,-1.5764384,-0.17780345,-2.9872919,-0.14610813,-0.1795189,-0.45573275,-1.6312351,-0.3409265,-0.58953884,-3.7971902,-0.70970183,-0.9607913,-3.3198069,-0.69836677,-0.98070051,-0.92513415,-0.29165895,-0.08037828,-0.28420411,-0.098664708,-5.9498086,-0.19958155,-0.20671566,-1.1689214,-0.16244304,-0.077983311,-0.42589876,-0.095534182,-0.12358062,-0.49796912,-0.30962521,-1.0015263,-0.82783358,-0.083447271,-0.21421709,-1.5824894,-0.58755288,-0.06830452,-0.56678916,-0.48526875,-0.32012146,-0.59851333,-2.3763827,-2.9057626,-0.10292656,-0.095865891,-0.066354317,-1.755314,-0.35136754,-0.29902797,-0.2165259,-1.971818,-0.31093427,-0.46946676,-0.34193983,-0.72373704,-1.6324104,-1.373439,-0.16722416,-0.076095344,-0.42146185,-0.081182933,-0.1226038,-0.34568971,-0.36569258,-0.19882063,-4.3976093,-3.1620988,-0.54158137,-0.86535713,-0.63208026,-0.73038794,-0.16427956,-0.22659625,-1.4657094,-0.95065776,-0.39698494,-0.10222404,-3.186262,-1.1449554,-0.89962166,-0.20336119,-0.24319132,-0.089518266,-0.34673149,-1.832355,-0.33223773,-2.4380268,-1.5141804,-0.86769699,-0.10929799,-0.063741625,-0.10237374,-0.37377706,-1.5825599,-1.8257346,-2.4631528,-1.3000556,-0.075462783,-0.29412686,-0.14682959,-0.56224755,-1.1827566,-0.59604201,-0.1749926,-0.17733665,-0.20398746,-0.12194517,-3.7457832,-0.11504921,-0.11166597,-0.23422611,-3.5561357,-0.78051961,-0.25135425,-0.94884879,-0.078080375,-0.11389971,-2.0691024,-0.37792751,-0.12759041,-0.28032218,-0.063302274,-0.29813571,-0.95634638,-0.77249852,-2.1556737,-0.22590044,-0.56234968,-0.27124218,-0.24353215,-0.15254754,-0.91125957,-0.47788134,-0.95004107,-0.22516061,-1.7970598,-0.35409733,-0.68486046,-0.14765964,-0.93221859,-1.3635475,-0.085862583,-0.45013219,-0.60831061,-0.072296058,-0.054134737,-0.083441189,-1.982107,-0.11168876,-1.0060267,-0.30073527,-0.3725614,-0.33445703,-1.0238498,-1.382543,-0.14750749,-0.50261449,-1.0601827,-0.21581692,-1.5103224,-0.19924024,-0.082087546,-0.2186041,-0.12795425,-0.42268097,-0.064993148,-0.54188938,-0.19057972,-0.10999938,-0.35797392,-0.056583352,-0.16812835,-2.2468866,-0.77773515,-1.4806029,-0.071985584,-1.2330626,-0.41519808,-1.1431574,-0.049616817,-0.59660176,-0.13088287,-3.3072555,-0.40459946,-1.1955928,-1.81996,-0.084950278,-0.10506712,-2.1053534,-0.35079714,-0.1168335,-1.63346,-1.0286574,-1.1756677,-0.21401807,-2.9772816,-0.055692406,-0.059661705,-1.3775792,-0.055595293,-1.0598848,-1.3352438,-0.45746831,-1.528831,-0.12533156,-0.09078693,-0.41708131,-0.35298841,-1.6783303,-0.51967725,-1.9802832,-0.56105683,-0.1120045,-1.1372247,-0.64158576,-0.084643065,-0.31888429,-0.4591662,-0.77419675,-0.49240801
