subject_id,states,condition,alpha_mean,alpha_sd,alpha_rhat,alpha_ess,a_mean,a_sd,a_rhat,a_ess,t0_mean,t0_sd,t0_rhat,t0_ess,scaler_mean,scaler_sd,scaler_rhat,scaler_ess,log_scaler_mean,log_scaler_sd,log_scaler_rhat,log_scaler_ess
0,2,2-state,0.383,0.146,1.0,3089.0,1.502,0.034,1.0,3417.0,0.172,0.003,1.0,2179.0,0.046,0.01,1.0,3119.0,-3.112,0.22,1.0,3119.0
1,2,2-state,0.337,0.129,1.0,2351.0,1.298,0.028,1.0,2786.0,0.302,0.003,1.0,2165.0,0.048,0.011,1.0,2560.0,-3.054,0.224,1.0,2560.0
2,2,2-state,0.457,0.159,1.0,2796.0,1.233,0.028,1.0,3013.0,0.228,0.002,1.0,2325.0,0.052,0.012,1.0,2890.0,-2.983,0.23,1.0,2890.0
3,2,2-state,0.415,0.15,1.0,2835.0,1.166,0.029,1.0,3003.0,0.336,0.001,1.0,2279.0,0.056,0.014,1.0,3179.0,-2.911,0.239,1.0,3179.0
4,2,2-state,0.47,0.155,1.0,2853.0,1.29,0.031,1.0,2801.0,0.283,0.002,1.0,2212.0,0.056,0.013,1.0,3057.0,-2.915,0.236,1.0,3057.0
6,2,2-state,0.395,0.151,1.0,3282.0,1.26,0.029,1.0,3317.0,0.34,0.002,1.0,1961.0,0.053,0.013,1.0,2991.0,-2.968,0.243,1.0,2991.0
8,2,2-state,0.454,0.161,1.0,3401.0,0.933,0.022,1.0,3325.0,0.324,0.001,1.0,2783.0,0.051,0.012,1.0,3154.0,-2.996,0.233,1.0,3154.0
9,2,2-state,0.315,0.125,1.0,2794.0,1.241,0.028,1.0,2842.0,0.355,0.002,1.0,2369.0,0.053,0.013,1.0,2934.0,-2.96,0.245,1.0,2934.0
11,2,2-state,0.445,0.159,1.0,2934.0,1.133,0.027,1.0,3197.0,0.28,0.001,1.0,2675.0,0.051,0.012,1.0,3024.0,-2.996,0.229,1.0,3024.0
12,2,2-state,0.493,0.167,1.0,2910.0,1.413,0.033,1.0,3111.0,0.191,0.003,1.0,2628.0,0.052,0.012,1.0,3063.0,-2.98,0.231,1.0,3063.0
13,2,2-state,0.518,0.15,1.0,3008.0,1.22,0.028,1.0,3156.0,0.206,0.002,1.01,1970.0,0.054,0.013,1.0,2713.0,-2.94,0.234,1.0,2713.0
14,2,2-state,0.394,0.138,1.0,3238.0,1.055,0.024,1.0,3249.0,0.321,0.001,1.0,1966.0,0.053,0.013,1.0,3154.0,-2.965,0.234,1.0,3154.0
15,2,2-state,0.541,0.158,1.0,3124.0,1.205,0.028,1.0,3105.0,0.331,0.002,1.0,2862.0,0.052,0.012,1.0,3255.0,-2.985,0.231,1.0,3255.0
17,2,2-state,0.498,0.146,1.0,3233.0,0.911,0.023,1.0,3032.0,0.26,0.001,1.0,2345.0,0.056,0.014,1.0,3292.0,-2.919,0.244,1.0,3292.0
18,2,2-state,0.46,0.148,1.0,3043.0,1.125,0.026,1.0,2896.0,0.211,0.002,1.0,2076.0,0.06,0.015,1.0,3026.0,-2.838,0.243,1.0,3026.0
19,2,2-state,0.519,0.156,1.0,2435.0,1.225,0.028,1.0,2684.0,0.161,0.003,1.0,1809.0,0.05,0.011,1.0,2717.0,-3.025,0.218,1.0,2717.0
20,2,2-state,0.448,0.158,1.0,3435.0,0.974,0.024,1.0,3285.0,0.228,0.001,1.0,2544.0,0.052,0.012,1.0,3442.0,-2.974,0.232,1.0,3442.0
21,2,2-state,0.472,0.16,1.0,2920.0,1.147,0.027,1.0,3226.0,0.34,0.002,1.0,2024.0,0.053,0.013,1.0,3408.0,-2.958,0.235,1.0,3408.0
22,2,2-state,0.463,0.151,1.0,2792.0,1.341,0.031,1.0,3217.0,0.321,0.002,1.0,2152.0,0.051,0.012,1.0,2751.0,-2.999,0.228,1.0,2751.0
23,2,2-state,0.48,0.153,1.0,3044.0,1.36,0.032,1.0,3018.0,0.145,0.003,1.0,2122.0,0.056,0.013,1.0,3069.0,-2.916,0.232,1.0,3069.0
24,2,2-state,0.445,0.148,1.0,2870.0,1.361,0.033,1.0,3367.0,0.165,0.003,1.0,2111.0,0.059,0.014,1.0,3191.0,-2.86,0.243,1.0,3191.0
25,2,2-state,0.294,0.12,1.0,2732.0,1.169,0.025,1.0,2598.0,0.348,0.003,1.0,1630.0,0.052,0.013,1.0,2646.0,-2.983,0.246,1.0,2646.0
26,2,2-state,0.412,0.144,1.0,3329.0,1.123,0.027,1.0,3429.0,0.316,0.001,1.0,2795.0,0.058,0.014,1.0,3660.0,-2.869,0.239,1.0,3660.0
27,2,2-state,0.353,0.125,1.0,2811.0,1.076,0.024,1.0,2441.0,0.394,0.001,1.0,2475.0,0.052,0.012,1.0,3332.0,-2.983,0.234,1.0,3332.0
28,2,2-state,0.468,0.157,1.0,3088.0,1.039,0.025,1.0,3250.0,0.281,0.001,1.0,2491.0,0.059,0.015,1.0,2915.0,-2.858,0.247,1.0,2915.0
29,2,2-state,0.473,0.143,1.0,2916.0,1.261,0.028,1.0,2639.0,0.288,0.003,1.0,2345.0,0.061,0.015,1.0,3090.0,-2.821,0.239,1.0,3090.0
30,2,2-state,0.354,0.145,1.0,3045.0,1.176,0.027,1.0,2980.0,0.22,0.002,1.0,2124.0,0.05,0.011,1.0,3037.0,-3.016,0.222,1.0,3037.0
31,2,2-state,0.438,0.163,1.0,3125.0,1.263,0.03,1.0,3591.0,0.196,0.002,1.0,2378.0,0.051,0.012,1.0,2948.0,-2.995,0.232,1.0,2948.0
32,2,2-state,0.373,0.149,1.0,2878.0,1.329,0.03,1.0,2907.0,0.315,0.004,1.0,1972.0,0.048,0.011,1.0,2598.0,-3.053,0.229,1.0,2598.0
34,2,2-state,0.368,0.136,1.0,3221.0,1.009,0.026,1.0,2748.0,0.303,0.001,1.0,1948.0,0.052,0.012,1.0,3029.0,-2.98,0.233,1.0,3029.0
35,2,2-state,0.501,0.151,1.0,2618.0,1.482,0.036,1.0,2902.0,0.147,0.004,1.0,1781.0,0.062,0.015,1.0,2677.0,-2.813,0.24,1.0,2677.0
36,2,2-state,0.374,0.121,1.0,2668.0,1.23,0.028,1.0,2720.0,0.307,0.003,1.0,2362.0,0.055,0.014,1.0,3142.0,-2.932,0.243,1.0,3142.0
37,2,2-state,0.184,0.095,1.0,2255.0,1.238,0.028,1.0,2086.0,0.257,0.002,1.0,1917.0,0.044,0.011,1.0,2312.0,-3.161,0.246,1.0,2312.0
38,2,2-state,0.413,0.151,1.0,3185.0,1.05,0.025,1.0,3322.0,0.336,0.001,1.0,2619.0,0.054,0.013,1.0,3126.0,-2.94,0.24,1.0,3126.0
40,2,2-state,0.441,0.154,1.0,3360.0,0.912,0.022,1.0,3359.0,0.258,0.001,1.0,2650.0,0.055,0.013,1.0,3177.0,-2.924,0.236,1.0,3177.0
41,2,2-state,0.433,0.149,1.0,3217.0,0.996,0.025,1.0,3358.0,0.245,0.001,1.0,2159.0,0.052,0.012,1.0,3313.0,-2.99,0.233,1.0,3313.0
42,2,2-state,0.451,0.152,1.0,2689.0,1.297,0.029,1.0,2931.0,0.265,0.003,1.0,1872.0,0.059,0.015,1.0,2859.0,-2.858,0.246,1.0,2859.0
43,2,2-state,0.482,0.163,1.0,2843.0,1.341,0.03,1.0,2797.0,0.259,0.003,1.0,2259.0,0.051,0.012,1.0,2959.0,-3.003,0.229,1.0,2959.0
44,2,2-state,0.409,0.144,1.0,3070.0,1.13,0.029,1.0,3218.0,0.135,0.001,1.0,2742.0,0.054,0.013,1.0,2965.0,-2.946,0.236,1.0,2965.0
45,2,2-state,0.524,0.152,1.0,2599.0,1.269,0.031,1.0,2668.0,0.2,0.003,1.0,1798.0,0.059,0.014,1.0,3051.0,-2.852,0.238,1.0,3051.0
46,2,2-state,0.474,0.144,1.0,3740.0,1.094,0.027,1.0,2872.0,0.322,0.001,1.0,2233.0,0.059,0.015,1.0,3529.0,-2.861,0.246,1.0,3529.0
47,2,2-state,0.447,0.152,1.0,3451.0,1.082,0.025,1.0,3388.0,0.284,0.001,1.0,1848.0,0.054,0.013,1.0,3545.0,-2.942,0.239,1.0,3545.0
49,2,2-state,0.378,0.143,1.0,3215.0,1.113,0.027,1.0,3135.0,0.235,0.001,1.0,2323.0,0.056,0.014,1.0,2907.0,-2.915,0.245,1.0,2907.0
50,2,2-state,0.495,0.153,1.0,3134.0,1.096,0.027,1.0,3435.0,0.281,0.001,1.0,2491.0,0.06,0.015,1.0,3318.0,-2.838,0.244,1.0,3318.0
