condition,parameter,n,mean,std,median,q25,q75
2-state,alpha,97,0.4278144329896907,0.06752396640837163,0.438,0.395,0.472
2-state,a,97,1.1946288659793816,0.14564256471950635,1.2,1.094,1.292
2-state,t0,97,0.26128865979381444,0.06415507883942995,0.26,0.218,0.31
2-state,scaler,97,0.05408247422680413,0.00413488740045397,0.054,0.051,0.056
2-state,log_scaler,97,-2.94761855670103,0.07592244443330655,-2.943,-2.995,-2.903
3-state,alpha,104,0.4529615384615384,0.062313165103234584,0.4655,0.4325,0.491
3-state,a,104,1.3129711538461537,0.15651908018127259,1.303,1.19425,1.43675
3-state,t0,104,0.2897403846153846,0.08064882464336036,0.312,0.238,0.35324999999999995
3-state,scaler,104,0.05628846153846155,0.004438737415433194,0.057,0.053,0.059
3-state,log_scaler,104,-2.9088942307692305,0.07998433320735905,-2.8994999999999997,-2.96325,-2.85525
4-state,alpha,101,0.4586930693069306,0.05494829252565678,0.465,0.438,0.486
4-state,a,101,1.3137920792079207,0.15535799411885334,1.313,1.202,1.409
4-state,t0,101,0.2817623762376238,0.08477289053876262,0.293,0.218,0.347
4-state,scaler,101,0.05686138613861387,0.003870477239231093,0.057,0.054,0.059
4-state,log_scaler,101,-2.8974356435643567,0.06553112479449504,-2.889,-2.948,-2.858
5-state,alpha,105,0.4691619047619047,0.041329381383802086,0.474,0.449,0.494
5-state,a,105,1.368152380952381,0.14688331193844767,1.361,1.276,1.459
5-state,t0,105,0.30396190476190477,0.09475636002700698,0.325,0.228,0.379
5-state,scaler,105,0.057152380952380955,0.003572816580097321,0.057,0.055,0.059
5-state,log_scaler,105,-2.8919809523809525,0.06126581129553116,-2.888,-2.928,-2.86
