,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.286,0.217,0.001,0.725,0.003,0.003,3663.0,3012.0,1.0
a,2.574,0.246,2.091,3.05,0.005,0.004,3033.0,1982.0,1.0
t0,0.198,0.003,0.193,0.201,0.0,0.0,2816.0,2469.0,1.0
w,0.773,0.021,0.733,0.813,0.0,0.0,3416.0,2780.0,1.0
scaler,0.765,0.393,0.185,1.499,0.007,0.016,3715.0,2786.0,1.0
k_decline,0.288,0.118,0.047,0.511,0.002,0.002,3278.0,1482.0,1.0
b_U,0.26,0.786,-1.146,1.933,0.012,0.015,4279.0,2743.0,1.0
b_d1,0.592,0.91,-1.239,2.365,0.015,0.014,3823.0,2880.0,1.0
b_d2,0.166,0.95,-1.624,2.015,0.014,0.014,4413.0,3264.0,1.0
b_ship,0.159,0.724,-1.25,1.605,0.012,0.012,3800.0,2574.0,1.0
b_pair,-0.099,0.682,-1.399,1.311,0.011,0.011,3883.0,2581.0,1.0
