,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.287,0.217,0.001,0.719,0.003,0.003,3765.0,2727.0,1.0
a,2.576,0.25,2.092,3.063,0.005,0.004,2501.0,1992.0,1.0
t0,0.198,0.003,0.193,0.201,0.0,0.0,2680.0,2346.0,1.0
w,0.774,0.02,0.735,0.815,0.0,0.0,2915.0,2537.0,1.0
scaler,0.761,0.367,0.215,1.494,0.006,0.009,4058.0,2740.0,1.0
k_decline,0.289,0.119,0.068,0.52,0.002,0.002,2929.0,1577.0,1.0
b_U,0.015,1.008,-1.861,2.124,0.015,0.017,4380.0,2715.0,1.0
b_Uval,0.279,0.759,-1.125,1.814,0.012,0.013,4277.0,2601.0,1.0
b_Umenu,-0.003,1.001,-2.1,1.845,0.014,0.017,4834.0,3032.0,1.0
b_d1,0.586,0.922,-1.13,2.431,0.014,0.013,4181.0,3269.0,1.0
b_d2,0.153,0.953,-1.698,2.017,0.014,0.015,4421.0,2973.0,1.0
b_ship,0.133,0.721,-1.167,1.643,0.012,0.011,3859.0,2528.0,1.0
b_pair,-0.074,0.693,-1.438,1.302,0.011,0.012,4100.0,3110.0,1.0
