# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 07:19:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp206dre7r/xcm0kywi.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp206dre7r/rlddm_single_subjectlrlyt_e4/rlddm_single_subject-20250924031921_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 1.05202e-06
# Elements of inverse mass matrix:
# 1, 0, 0
# 0, 1, 0
# 0, 0, 1
-165.06163,0.89509984,1.0520237e-06,12,4095,0,166.06778,0.84722483,1.1878864,0.16896498,-0.59791979,-0.052369854,0.17962863,0.046699824,0.45052131,0.34375243,0.059429071,-0.1233851,-0.10444158,-0.77647836,-1.1279878,-1.4993656,-0.55963667,0.041300524,-0.074365111,-3.681569,-0.82349551,-0.47382428,-0.75672352,0.4991367,-2.5844419,-0.073375633,-0.53165953,-0.19897727,-0.6053356,-0.24593931,0.29872023,0.069229537,-0.088135041,0.34544861,-0.071320544,-0.25662151,-0.078738508,-0.69047825,0.27053906,-0.59849859,-1.1360357,-0.61757137,-1.9894364,-0.66223984,-1.7353476,-0.55066481,-2.3852778,-3.1693197,-3.6929877,-0.67908091,-0.99013023,-0.86045211,0.081634241,-0.44484025,-0.19785812,-0.65117452,0.6847961,0.074419465,-0.044552291,-2.333441,-1.8808656,0.32315826,0.25424002,-0.6682515,-0.53799428,-0.042635795,0.6127863,-0.15378796,-0.48073886,0.72370051,0.014435793,-0.38187701,-0.21474894,-0.10093652,-0.47242807,0.6477391,-0.11242353,-1.016618,0.36900079,-0.19843027,-0.0081222876,0.33042988,-1.6851177,-0.35634156,-0.090441935,-0.48420182,-0.34815618,0.11953119,-0.071682356,-0.43591609,0.050475827,-0.89684715,0.29549611,-0.0070375881,-0.054032463,0.41407723,0.16743027,0.026991697,0.067848401,-0.45403648,0.12939953,-0.058252567,0.15910443,0.23025104,0.3095886,0.090268158,-0.33005926,-0.86586534,-0.56506547,-0.15125621,-1.0195924,-0.252385,-0.45067506,-0.23072196,0.11650837,-0.01689093,-0.85593459,-0.31440515,-0.65788157,-0.42895963,0.39196948,-0.81253288,-5.571512,-0.29433084,-0.7139745,-0.78144105,-0.48260876,-0.28468296,-0.26601924,-0.57226908,-0.013758837,-0.72170384,0.20407476,-0.046758225,-0.72653941,-0.74650114,-0.31103337,-1.000045,-0.011002443,-0.20396351,-0.63266432,0.053694988,-0.76034758,-0.78593635,-1.1793848,-1.8967135,-0.77624019,-0.99938936,-1.6163332,-0.47978346,-0.95153455,-1.0376372,-1.2804416,-0.017407589,0.032126623,0.30882301,-0.22744651,-0.76271666,-0.24637542,-0.20296418,-0.24460838,-0.93195072,-0.33741462,-0.22324325,-0.5276845,-0.22524375,0.30912514,-0.048640955,-1.0736764,-0.43001939,-0.17020344,-0.38483716,-1.2040984,-0.88018164,0.24974255,-0.40930408,-0.11763243,-1.0825188,0.058423981,-1.0419901,-5.2310909,-1.0702627,-0.85623732,-0.16729038,-2.3874923,-0.36698535,-2.5037896,0.24976518,-0.5332014,-1.3899863,0.020118472,0.12881885,-0.16538038,0.34122612,-0.20190461,0.13964641,-0.64182325,0.093779565,-0.63777902,-1.0504085,0.73354466,-0.33024549,0.14802193,-0.30209791,-0.065050469,-0.57105747,-0.059266618,-0.3856201,-0.32723755,0.48319026,-0.29459081,0.49315821,-1.8163292,-0.39333334,0.55460538,0.073240354,0.024826677,-1.3637648,-0.54914688,-2.76989,-0.022957676,0.025514329,0.087165924,0.18862389,0.74836251,0.021254473,0.8572561,0.39207953,0.44159693,0.57700841,0.65035469,0.53010781,-0.40789671,0.20676355,0.15611833,0.10795064,-0.16507709,-0.23950777,-0.92452317,-0.71669548,0.38238035,-0.76471721,-0.51371467,-0.96249881,-0.75951864,-0.21837914,-1.0971565,-1.3149576,-0.24662392,-0.66809885,0.31899196,-1.8051499,-2.5529859,-0.44805065,-1.5536525,-0.62930256,-0.11144201,-0.33066016,-0.73909175,-0.19206934,-1.6838951,-4.593801,-0.9492569,-0.90046839,-3.8575373,-3.8314251,-3.4731368,-0.58691432,-0.27702499,-0.73826798,-0.5750978,-0.80691415,0.13315237,-2.7191032,-0.89350089,-0.65443664,-0.34014721,0.18543438,-0.067753037,-0.75580339,-1.824491,0.0026066842,-0.31120029,0.25390542,0.74370382,-0.27923257,-1.0216043,0.17768592,-0.18907458,-0.036938677,-0.74657405,-1.0102075,-0.34410167,-0.1213743,-0.39272546,-1.4323851
-165.10557,0.99999987,1.0520237e-06,12,4095,0,165.67346,0.84695541,1.1873329,0.16909591,-0.59847965,-0.052420902,0.18048481,0.046274173,0.45094269,0.34356041,0.060172033,-0.12283375,-0.10454928,-0.77631181,-1.1281408,-1.4998521,-0.55933274,0.042005761,-0.073615984,-3.6838727,-0.82427186,-0.473418,-0.75657002,0.49960475,-2.5868669,-0.072789393,-0.53060756,-0.19849895,-0.60436469,-0.24615527,0.29900305,0.069982916,-0.088193592,0.34526626,-0.071381652,-0.25731392,-0.078011924,-0.69114541,0.2702877,-0.5990442,-1.1370852,-0.6181562,-1.9913095,-0.66288156,-1.7360105,-0.55117422,-2.3864637,-3.1724599,-3.6964629,-0.67887771,-0.99020721,-0.86042341,0.081728867,-0.44439664,-0.19802301,-0.65090322,0.68490291,0.074017417,-0.045052486,-2.334682,-1.881735,0.32347666,0.25395865,-0.6688491,-0.5384748,-0.042676838,0.6128214,-0.15393369,-0.48117499,0.72383236,0.01522992,-0.38142768,-0.21416724,-0.10104094,-0.47329329,0.64783238,-0.11250387,-1.0166955,0.36935244,-0.19863203,-0.0074713153,0.33074015,-1.6866975,-0.35667506,-0.089888625,-0.48467934,-0.34767824,0.11963224,-0.070980418,-0.43634184,0.05054305,-0.89770925,0.29577729,-0.0063773925,-0.054078359,0.41447053,0.16827888,0.027802843,0.067900358,-0.45360848,0.12951796,-0.057512256,0.15924452,0.23044221,0.30986763,0.090345507,-0.32882175,-0.8658207,-0.56478636,-0.15062792,-1.0197079,-0.25184516,-0.45030515,-0.23096968,0.11658694,-0.017382115,-0.85674843,-0.31470767,-0.65688476,-0.4293416,0.39233311,-0.8123821,-5.5754069,-0.29380045,-0.71380577,-0.78133082,-0.48224511,-0.28415093,-0.26547129,-0.57198164,-0.013105446,-0.72239182,0.20449816,-0.046826044,-0.72633786,-0.7471931,-0.31050001,-1.0001123,-0.011473172,-0.20416102,-0.63327296,0.053763721,-0.76106411,-0.78581793,-1.1796045,-1.897542,-0.77696608,-0.99941658,-1.6168975,-0.47940597,-0.95156111,-1.0377378,-1.2807481,-0.017426052,0.032966576,0.30913081,-0.22682043,-0.76186125,-0.24660082,-0.20232244,-0.24401639,-0.93282851,-0.33689383,-0.2234688,-0.52860025,-0.22546103,0.30939717,-0.048687356,-1.0737903,-0.43042245,-0.17037304,-0.38564552,-1.2052443,-0.88139858,0.2501941,-0.40968923,-0.11775281,-1.0826578,0.058455933,-1.0420862,-5.2347551,-1.0704142,-0.85742626,-0.16744796,-2.388766,-0.36653835,-2.505164,0.25001924,-0.53283109,-1.3913085,0.02011278,0.12893237,-0.16600059,0.34152259,-0.20125844,0.13929778,-0.64159382,0.093860268,-0.63840447,-1.051412,0.73370369,-0.33098933,0.14768414,-0.30237411,-0.064300925,-0.57076448,-0.059776911,-0.38518914,-0.32756141,0.48363511,-0.29485503,0.49363935,-1.8180471,-0.3937085,0.55461108,0.073305197,0.025660608,-1.3650385,-0.54882181,-2.7727033,-0.022305959,0.026197553,0.08726117,0.18831849,0.74854192,0.020812824,0.85753853,0.39246018,0.44203186,0.57703333,0.6504493,0.53061391,-0.40748326,0.20648114,0.1557912,0.10806228,-0.16520748,-0.23973984,-0.92577196,-0.71654218,0.38273435,-0.76389563,-0.5133769,-0.96255672,-0.75940682,-0.21902789,-1.0973521,-1.3165471,-0.24609124,-0.66724125,0.31925397,-1.8068092,-2.5553998,-0.44695255,-1.5542225,-0.62992782,-0.1115762,-0.33097836,-0.7389409,-0.1922592,-1.6845688,-4.5981247,-0.9501675,-0.90131675,-3.8611378,-3.8338922,-3.4764007,-0.58787418,-0.2764998,-0.73814371,-0.57414445,-0.80686526,0.133236,-2.7206692,-0.89351101,-0.65425304,-0.34050831,0.18557592,-0.067810338,-0.75565788,-1.8265127,0.0026015617,-0.31149315,0.25411922,0.74385889,-0.27952357,-1.0229352,0.17782747,-0.18860943,-0.036953028,-0.74642967,-1.0115281,-0.34442994,-0.12147008,-0.39228396,-1.4340639
-165.24709,1,1.0520237e-06,12,4095,0,165.52821,0.8472457,1.1857577,0.1688948,-0.60209473,-0.054583704,0.18133178,0.043046397,0.45013916,0.34126791,0.060253365,-0.12294582,-0.10640909,-0.77901607,-1.1314323,-1.5040182,-0.56111782,0.042110196,-0.074486124,-3.6936286,-0.82847097,-0.47531194,-0.75890791,0.49893989,-2.59531,-0.073089022,-0.53088641,-0.19887885,-0.60496629,-0.2484841,0.29776664,0.070104593,-0.090552301,0.34282945,-0.073614335,-0.26116064,-0.078618242,-0.69532849,0.26780049,-0.60273138,-1.1417719,-0.62221794,-1.9985553,-0.66657929,-1.7408426,-0.55468028,-2.3932987,-3.183802,-3.7086066,-0.68096492,-0.99302211,-0.86290205,0.079837268,-0.4462448,-0.20066236,-0.65328435,0.68333003,0.070755619,-0.048628737,-2.3405576,-1.8864394,0.32182001,0.25148308,-0.67275639,-0.54159931,-0.044393837,0.61122679,-0.15636656,-0.48412559,0.7225258,0.014921212,-0.38254223,-0.21482061,-0.10289146,-0.47782981,0.64609359,-0.11492927,-1.0199021,0.36830231,-0.20152488,-0.0079646322,0.32917764,-1.6936011,-0.36006271,-0.08975918,-0.48789956,-0.34891636,0.11837149,-0.071460993,-0.4390615,0.048564722,-0.90202798,0.29452914,-0.0064709003,-0.056262902,0.41354742,0.16901146,0.02751472,0.065669385,-0.45546327,0.12784092,-0.058268254,0.1576633,0.22871002,0.30828065,0.08816142,-0.32839239,-0.86837823,-0.56652123,-0.15130425,-1.0225675,-0.25277737,-0.45173776,-0.23349822,0.11456752,-0.020612315,-0.8609825,-0.31712793,-0.65825218,-0.43259281,0.39095,-0.81523259,-5.5899481,-0.29491636,-0.71596983,-0.78366245,-0.48382322,-0.28522794,-0.26650079,-0.5737858,-0.013222904,-0.72588295,0.20371292,-0.048885066,-0.7288984,-0.75122041,-0.31193098,-1.0030111,-0.014867288,-0.20712714,-0.63690664,0.05179713,-0.76509728,-0.78818734,-1.1829544,-1.9026972,-0.78105617,-1.0026794,-1.6214253,-0.48100233,-0.95433706,-1.0407287,-1.2843504,-0.01949558,0.032382418,0.30784889,-0.2281058,-0.76338081,-0.24929748,-0.20353252,-0.24506722,-0.93731567,-0.33843564,-0.22601555,-0.53316591,-0.22807055,0.30785843,-0.050842754,-1.07693,-0.43359116,-0.17323833,-0.38978894,-1.2103863,-0.88684432,0.24953546,-0.41279982,-0.12047874,-1.085761,0.056674287,-1.045363,-5.2482888,-1.0734164,-0.86294725,-0.1703322,-2.3950717,-0.36777255,-2.5117584,0.24857405,-0.53490844,-1.3969391,0.01782118,0.12685066,-0.16960038,0.34050458,-0.20247465,0.13630943,-0.64335881,0.0916854,-0.64159968,-1.056143,0.73222014,-0.335171,0.14470597,-0.30522163,-0.065129901,-0.57257602,-0.06329692,-0.38626209,-0.32999336,0.48294469,-0.2977293,0.49287164,-1.824816,-0.39676298,0.55266638,0.071480431,0.02505612,-1.3706921,-0.55084856,-2.7830267,-0.022018112,0.025806694,0.085397326,0.18544855,0.74694154,0.017383104,0.85619031,0.39099842,0.44111169,0.57514556,0.64859978,0.52954749,-0.40882324,0.20362474,0.15270644,0.10584515,-0.167771,-0.24238422,-0.93144416,-0.71844841,0.38218234,-0.76533933,-0.51482187,-0.96506871,-0.76140806,-0.22303405,-1.1001286,-1.3232671,-0.24675871,-0.66771615,0.31863899,-1.8137387,-2.5641071,-0.44668439,-1.5581811,-0.63308152,-0.1137916,-0.33386292,-0.74117663,-0.19435134,-1.6891109,-4.6118492,-0.95462637,-0.90572026,-3.8734246,-3.8439226,-3.4871807,-0.5927174,-0.27750874,-0.74007985,-0.57412654,-0.80891659,0.13212147,-2.7277864,-0.89582791,-0.6559375,-0.34287919,0.18415702,-0.070034419,-0.75795418,-1.8344864,0.00018544181,-0.31434451,0.25286459,0.74244645,-0.28259479,-1.0288522,0.17595558,0.50406014,-0.039164523,-0.74868408,-1.0174217,-0.34776821,-0.12390086,-0.39363765,-1.4410201
-164.49371,0.88130028,1.0520237e-06,12,4095,0,166.63768,0.84688184,1.1869196,0.16915821,-0.59902306,-0.052583794,0.18102655,0.045839709,0.45113378,0.34333146,0.060592882,-0.12250649,-0.10469808,-0.77644606,-1.1284733,-1.5004245,-0.5592989,0.042414775,-0.073294116,-3.685853,-0.82497308,-0.47335767,-0.75666378,0.49983108,-2.588745,-0.072472939,-0.53006385,-0.1982313,-0.60388291,-0.24640444,0.29908646,0.07041221,-0.088383164,0.3450251,-0.071557037,-0.25793224,-0.077665944,-0.69180052,0.27001135,-0.59959057,-1.1379552,-0.6187634,-1.9928208,-0.66346793,-1.7367347,-0.55168411,-2.387642,-3.1749689,-3.6992115,-0.67892095,-0.99045108,-0.86058403,0.081657437,-0.44431582,-0.19828935,-0.65095621,0.68488242,0.073589628,-0.045557601,-2.3357634,-1.882525,0.32352405,0.25367128,-0.669443,-0.53892673,-0.042781542,0.61276811,-0.15416737,-0.48158801,0.72385261,0.015638791,-0.38125297,-0.21388344,-0.10118729,-0.47406301,0.64778697,-0.11271028,-1.0169885,0.36948596,-0.19894367,-0.0071537198,0.33079554,-1.688049,-0.3570995,-0.089532766,-0.48514186,-0.3475082,0.11963988,-0.070628822,-0.43672269,0.050450106,-0.89845947,0.29585863,-0.0060081223,-0.054241799,0.41463603,0.16880705,0.02822094,0.067770962,-0.45353471,0.12948202,-0.057179965,0.15922887,0.23042906,0.30990745,0.090232019,-0.32814387,-0.86598466,-0.56475621,-0.15032939,-1.0199726,-0.25161304,-0.45020187,-0.23125601,0.11649374,-0.017844856,-0.85746897,-0.31500269,-0.65648054,-0.42976935,0.39243158,-0.81254055,-5.5786066,-0.29359457,-0.71387217,-0.78144103,-0.48216217,-0.28393966,-0.26524788,-0.5719567,-0.012741568,-0.72297157,0.20469955,-0.046983154,-0.72644061,-0.74783954,-0.3103324,-1.0003626,-0.011945699,-0.20447974,-0.63383826,0.053672802,-0.76172117,-0.78592946,-1.1799707,-1.8983716,-0.77763379,-0.99969636,-1.6175451,-0.47931972,-0.95178016,-1.0380127,-1.2811798,-0.017564547,0.033359223,0.30921879,-0.22659814,-0.76151623,-0.24689846,-0.20208473,-0.24377809,-0.93360541,-0.33674485,-0.2237484,-0.52939523,-0.22574488,0.30943994,-0.048847481,-1.0740886,-0.43084873,-0.17066834,-0.38634668,-1.2062084,-0.88242153,0.25042205,-0.41010127,-0.11801145,-1.0829618,0.058372529,-1.0423951,-5.2377399,-1.0707107,-0.85844514,-0.16774068,-2.3899138,-0.36638009,-2.5063873,0.25006591,-0.53280748,-1.3924026,0.019952767,0.12884582,-0.16656006,0.34163779,-0.20101972,0.13892325,-0.64158626,0.093749245,-0.63892319,-1.052269,0.73371517,-0.33166724,0.14731529,-0.30271045,-0.063973901,-0.57073823,-0.060280553,-0.38501659,-0.32786644,0.4838491,-0.29518978,0.49385867,-1.8194382,-0.39410974,0.55450538,0.073229831,0.026048409,-1.3661159,-0.54881004,-2.7749572,-0.021894969,0.026540069,0.087193338,0.18797572,0.74854898,0.020349192,0.85761734,0.3925561,0.44221442,0.57694223,0.65039231,0.53080771,-0.40735129,0.20614954,0.15541525,0.10795871,-0.16545074,-0.24003386,-0.92683353,-0.71658218,0.38292893,-0.76355434,-0.51328703,-0.96275502,-0.75947498,-0.21964481,-1.0976377,-1.3178708,-0.2458286,-0.66678081,0.3194042,-1.8081962,-2.5573056,-0.44633629,-1.554802,-0.63044143,-0.11177895,-0.33133612,-0.73902318,-0.19246918,-1.6852618,-4.6014061,-0.9509542,-0.90207169,-3.8639544,-3.8359713,-3.4788993,-0.58871887,-0.27628287,-0.73819896,-0.57360003,-0.80696458,0.13325435,-2.7220329,-0.89366642,-0.65425379,-0.34082088,0.18558045,-0.067983148,-0.75574967,-1.8281624,0.0024268111,-0.31183667,0.25417266,0.74387702,-0.27989277,-1.0240594,0.17777748,0.50492189,-0.037107006,-0.74651681,-1.0126453,-0.34484633,-0.12168337,-0.39214256,-1.4354538
