# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 07:19:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp206dre7r/xcm0kywi.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp206dre7r/rlddm_single_subjectlrlyt_e4/rlddm_single_subject-20250924031921_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 3.67341e-08
# Elements of inverse mass matrix:
# 1, 0, 0
# 0, 1, 0
# 0, 0, 1
-537.67784,1,3.6734096e-08,12,4095,0,539.21164,0.42766324,0.6595592,0.29498713,-2.6842201,-0.9145725,1.4210014,-1.4356474,0.71894782,-0.50792275,1.7271186,1.3077576,-0.91183666,-1.8011685,-2.760866,-3.9136132,-1.0604568,1.6794611,0.34370936,-10.565064,-3.4287695,-0.91636184,-1.6567364,0.87398437,-8.9378115,1.2769097,1.4218619,1.0744318,1.2507425,-1.3494172,0.2436286,1.0762862,-1.0121147,-0.5631101,-0.94543568,-2.3314378,0.39857551,-3.1321457,-0.73601747,-2.6864431,-4.2412508,-2.9191175,-7.1859288,-2.8998321,-4.6044617,-2.5140689,-6.7756646,-11.273142,-12.880261,-1.4067019,-2.3639494,-1.9811818,-0.4792165,-0.78842911,-1.3778982,-1.4169158,0.48976053,-1.3813088,-1.7349031,-6.379675,-5.0121932,0.13646884,-0.83063081,-2.8942401,-2.2720089,-0.6703689,0.33732863,-1.2492631,-2.1322043,0.6727339,0.70975916,-0.40941599,0.095009253,-0.89923942,-3.0216876,0.4178029,-1.0928966,-2.6267681,0.4839514,-1.5270008,1.3359219,0.1835687,-6.3721897,-2.0456537,1.3676046,-2.3600693,-0.44350123,-0.20861364,0.41311138,-2.0196773,-0.56279809,-3.6880123,0.24294013,1.5260269,-0.8908697,0.63031235,1.4222706,0.78182233,-0.7155901,-0.85634098,-0.33719729,0.3608764,-0.2540218,-0.18313118,0.06897829,-0.63319268,1.1452451,-1.9957134,-1.0954434,0.15574865,-2.5307812,-0.17528753,-0.79099978,-1.5658227,-0.58889341,-1.5824461,-3.4757407,-1.5542837,0.9752761,-2.1485625,0.35717311,-1.9406106,-16.344099,-0.23625859,-1.5408267,-1.761312,-0.85224447,-0.24861583,-0.19356179,-1.1357734,1.5118381,-2.946799,1.3468029,-0.9232783,-1.6551366,-3.140127,-0.36587503,-2.3649102,-1.6163655,-1.5831234,-2.7841979,-0.57273678,-3.2176354,-1.7210463,-2.9384497,-5.1439587,-3.2558125,-2.5115515,-4.254999,-0.78485691,-2.2374164,-2.509132,-3.2570921,-0.80463096,0.66274867,0.25861558,-0.11656692,0.90232241,-1.5226035,-0.044441193,-0.0575978,-3.790117,-0.50108649,-1.4520698,-3.182231,-1.4793067,0.09785819,-0.89825352,-2.6219593,-2.1368608,-1.4674412,-2.7653802,-4.6561303,-4.280131,1.4587601,-2.0787473,-1.2985817,-2.6552052,-0.55713266,-2.6765434,-15.387098,-2.6431828,-4.1950552,-1.441121,-6.6919992,-0.4991629,-7.0704551,0.090627921,-1.0393626,-5.2933057,-0.86818004,-0.50992362,-2.077941,0.3673036,-0.054715523,-1.1597977,-1.1903043,-0.61393679,-2.6297682,-4.1576981,0.670512,-2.5824824,-1.1131413,-1.6960916,0.32826326,-1.1097381,-1.7480375,-0.44851345,-1.6677481,0.78718856,-1.7357817,0.83903355,-6.63265,-2.0255845,0.11732038,-0.51221887,0.64424532,-5.1651471,-1.1399462,-10.057454,1.6237303,1.4392732,-0.46337079,-1.0018072,0.6779054,-1.5325855,1.0246705,0.36102211,0.70168024,0.19327444,0.38209074,0.79707028,-0.60025637,-0.93227146,-1.1160407,-0.56311878,-1.2676423,-1.5411574,-4.416076,-1.4041456,0.69051103,0.87691577,-0.80224474,-2.171867,-1.5665162,-2.2613136,-2.6241574,-5.6115522,-0.044598453,1.1363522,0.4328811,-6.5903144,-9.1013813,0.87981639,-4.0164262,-2.6334092,-1.1329742,-1.8417238,-1.6095919,-1.1927867,-4.5086302,-15.496016,-3.8353083,-3.6787653,-13.259177,-11.045468,-11.820247,-3.370969,-0.20079809,-1.5265562,1.3685338,-1.7622624,-0.18288727,-7.7631464,-2.0284647,-1.2956664,-1.7262511,-0.19182519,-0.92894791,-1.5949171,-7.1403171,-0.92367228,-1.7693726,0.062029182,0.65559588,-1.8518788,-4.7173183,-0.36201697,0.85945567,-0.84297757,-1.649235,-4.665683,-2.0190788,-1.1341522,-0.55456502,-5.9602778
-537.71724,0.97157404,3.6734096e-08,12,4095,0,539.74523,0.42765339,0.65957286,0.2949628,-2.6843158,-0.91474148,1.4208238,-1.4357912,0.71871119,-0.50810772,1.7268454,1.3074955,-0.9120112,-1.8012991,-2.7609611,-3.9136643,-1.0606287,1.6791887,0.34348782,-10.564836,-3.4288357,-0.91653458,-1.656881,0.87374069,-8.9376517,1.2766504,1.4215931,1.0741807,1.2504798,-1.3495682,0.24341395,1.0760168,-1.0122752,-0.5632945,-0.9455999,-2.3315444,0.39834292,-3.1322195,-0.73619374,-2.6865361,-4.2412826,-2.9192008,-7.1858388,-2.8999218,-4.6044794,-2.5141699,-6.775591,-11.272879,-12.879933,-1.4068568,-2.3640672,-1.9813173,-0.479401,-0.7886028,-1.3780447,-1.4170626,0.48953428,-1.3814551,-1.7350341,-6.3796342,-5.0122119,0.13626155,-0.83080737,-2.8943229,-2.2721194,-0.67054842,0.3371103,-1.2494191,-2.1323258,0.67250036,0.70951588,-0.40961621,0.094785855,-0.89941422,-3.0217656,0.4175835,-1.093054,-2.6268762,0.4837278,-1.5271402,1.3356653,0.18335998,-6.3721288,-2.0457704,1.36733,-2.3601867,-0.44370298,-0.20882059,0.4128735,-2.0198104,-0.5629773,-3.6880732,0.24272654,1.5257608,-0.89103621,0.63008299,1.422052,0.78158056,-0.71576682,-0.85651677,-0.33739195,0.36064772,-0.25422145,-0.18333133,0.068769277,-0.63337158,1.1449699,-1.9958466,-1.0956182,0.15551971,-2.5309021,-0.1755057,-0.79119354,-1.5659767,-0.58908164,-1.5825826,-3.4758005,-1.5544264,0.97502576,-2.1486798,0.35695409,-1.9407372,-16.343633,-0.23646333,-1.5409799,-1.7614579,-0.85242881,-0.24882564,-0.19377428,-1.1359475,1.5115738,-2.946894,1.3465457,-0.92345328,-1.6552734,-3.1402006,-0.3660663,-2.3650222,-1.6165024,-1.5832627,-2.78429,-0.57291808,-3.2177095,-1.7211872,-2.9385418,-5.1439608,-3.2558836,-2.5116551,-4.2550323,-0.78503617,-2.2375368,-2.5092421,-3.2571718,-0.80480497,0.66251234,0.25840035,-0.1167684,0.90207609,-1.522745,-0.044645859,-0.057804475,-3.7901696,-0.5012772,-1.452217,-3.1823039,-1.4794527,0.097649277,-0.89842288,-2.6220631,-2.1369789,-1.4675844,-2.765473,-4.6561475,-4.2801596,1.4584956,-2.0788687,-1.2987321,-2.6553102,-0.55731926,-2.6766461,-15.38668,-2.6432932,-4.1950845,-1.4412635,-6.691944,-0.49936358,-7.0703868,0.090422252,-1.0395233,-5.2933007,-0.86835235,-0.51010785,-2.0780605,0.36707982,-0.054921675,-1.1599536,-1.1904716,-0.61411528,-2.6298733,-4.157736,0.67028122,-2.5825783,-1.1132976,-1.696225,0.32803666,-1.1099098,-1.7481674,-0.44871808,-1.6678958,0.78694435,-1.7359185,0.83879203,-6.6325837,-2.0257077,0.11711186,-0.51240476,0.6440101,-5.1651398,-1.1401106,-10.057241,1.6234547,1.4390114,-0.46355629,-1.001969,0.67767479,-1.5327246,1.0244264,0.36080545,0.70144773,0.1930636,0.38187259,0.79683449,-0.60044938,-0.93243507,-1.1161968,-0.56329725,-1.2677929,-1.5413026,-4.4160977,-1.4043034,0.69027285,0.87666623,-0.8024279,-2.1719959,-1.5666718,-2.2614226,-2.6242748,-5.6115243,-0.044824375,1.136078,0.4326434,-6.5902446,-9.1012224,0.87951454,-4.0164848,-2.6335179,-1.13314,-1.8418572,-1.6097408,-1.1929491,-4.5086615,-15.495589,-3.8353597,-3.6788211,-13.258835,-11.045223,-11.819968,-3.3710324,-0.20100769,-1.5267163,1.3682532,-1.7624183,-0.1831005,-7.7630528,-2.0286083,-1.2958416,-1.7264013,-0.19203279,-0.92911242,-1.5950586,-7.1402241,-0.92383988,-1.7695082,0.06181484,0.6553612,-1.8520119,-4.7173282,-0.36221065,0.85920882,-0.84314482,-1.6493848,-4.6656928,-2.0191977,-1.134309,-0.55475864,-5.9602342
-537.83056,1,3.6734096e-08,12,4095,0,538.42904,0.42764033,0.65954463,0.29495426,-2.6847854,-0.91505967,1.4208348,-1.4361712,0.71853284,-0.5084015,1.7267498,1.3073734,-0.91231776,-1.8016835,-2.7614178,-3.9142143,-1.0609356,1.6790929,0.34328901,-10.565955,-3.4293671,-0.91683844,-1.6572416,0.87357556,-8.9386449,1.27652,1.4214928,1.0740371,1.2503666,-1.3499181,0.24319296,1.0759279,-1.0126086,-0.5635956,-0.94592395,-2.3319962,0.39815744,-3.1327342,-0.73650781,-2.6870093,-4.2418786,-2.9197,-7.1866904,-2.9004044,-4.6050941,-2.5146274,-6.7763981,-11.274092,-12.88128,-1.4071936,-2.3644818,-1.9816983,-0.47968664,-0.78890021,-1.3784083,-1.4174142,0.48932155,-1.3818326,-1.7354433,-6.3803764,-5.0128365,0.13601771,-0.83112238,-2.8948183,-2.2725515,-0.67083796,0.33688762,-1.2497658,-2.1327418,0.6723057,0.70935906,-0.40986234,0.094584205,-0.89971963,-3.0222801,0.41735707,-1.0933947,-2.6273193,0.48352592,-1.5275197,1.3355277,0.1831228,-6.3729255,-2.0461984,1.3672216,-2.360622,-0.44395593,-0.20906626,0.41269505,-2.0202092,-0.56327154,-3.6886225,0.24250463,1.5256492,-0.89135518,0.62989428,1.4220355,0.78142741,-0.71607576,-0.85681692,-0.33766043,0.36045542,-0.25448083,-0.1835916,0.068527422,-0.63367482,1.1449076,-1.996233,-1.0959239,0.15532096,-2.5313262,-0.17573158,-0.79147121,-1.5663418,-0.58937411,-1.5829712,-3.4763367,-1.5547891,0.97487839,-2.1491083,0.35673387,-1.9411353,-16.345244,-0.23670153,-1.5413266,-1.7618225,-0.85271639,-0.24906219,-0.19400621,-1.1362591,1.5114607,-2.9473736,1.3464004,-0.92376683,-1.6556429,-3.1407118,-0.36632341,-2.3654406,-1.6168987,-1.5836476,-2.7847646,-0.57321204,-3.218223,-1.7215526,-2.9390087,-5.1446136,-3.2564024,-2.5120973,-4.2556157,-0.78532193,-2.2379443,-2.509672,-3.2576648,-0.80511364,0.66234093,0.25817758,-0.11700877,0.90192981,-1.523118,-0.044878768,-0.058031761,-3.7907315,-0.5015455,-1.4525784,-3.1828284,-1.4798179,0.09741033,-0.89874033,-2.6225053,-2.137402,-1.4679588,-2.7659571,-4.6567811,-4.2807751,1.4583631,-2.079286,-1.2990918,-2.6557521,-0.55760222,-2.677095,-15.388195,-2.643729,-4.1957002,-1.4416388,-6.6927208,-0.49961828,-7.0711948,0.090183397,-1.0398433,-5.2939873,-0.86867104,-0.5104005,-2.0784873,0.3668763,-0.055155798,-1.1603088,-1.1907849,-0.61441692,-2.6303237,-4.1583268,0.6700791,-2.5830563,-1.1136519,-1.6966134,0.32783971,-1.1102201,-1.7485766,-0.44896455,-1.6682644,0.78677518,-1.7363085,0.8386203,-6.6333863,-2.0261191,0.11686298,-0.51268756,0.64383666,-5.1658223,-1.1404309,-10.05835,1.6233634,1.4388833,-0.4638396,-1.0023123,0.67746821,-1.5331182,1.0242457,0.36058128,0.70126185,0.1928208,0.38164094,0.79664986,-0.60071337,-0.93277588,-1.1165556,-0.5635999,-1.2681481,-1.541672,-4.4167286,-1.4046321,0.69010181,0.8765228,-0.80270784,-2.1723885,-1.5670126,-2.2618764,-2.6247002,-5.6122596,-0.045033136,1.135968,0.43245845,-6.5910556,-9.1022322,0.87942473,-4.01703,-2.6339659,-1.1334697,-1.8422519,-1.6100936,-1.1932797,-4.5092549,-15.497137,-3.8359219,-3.6793736,-13.260209,-11.046375,-11.821206,-3.3715777,-0.20123773,-1.5270515,1.368163,-1.76277,-0.18333674,-7.7639163,-2.0289851,-1.2961554,-1.7267694,-0.19228059,-0.92943562,-1.5954144,-7.1410864,-0.92416755,-1.7698991,0.06158557,0.6551638,-1.8524127,-4.7179846,-0.36248565,0.85904539,-0.84346334,-1.649741,-4.6663473,-2.0196207,-1.1346505,-0.55502195,-5.9609976
-537.81616,1,3.6734096e-08,12,4095,0,538.41225,0.42764107,0.65954938,0.29495428,-2.6847224,-0.91502218,1.4208244,-1.4361236,0.71854681,-0.50836847,1.72675,1.3073781,-0.91228218,-1.8016343,-2.7613563,-3.9141372,-1.0608996,1.6790932,0.3433069,-10.565782,-3.4292938,-0.91680303,-1.6571965,0.87358724,-8.9384936,1.2765259,1.4214942,1.0740455,1.2503702,-1.349875,0.24321423,1.0759274,-1.0125684,-0.5635616,-0.94588529,-2.3319364,0.39817275,-3.1326636,-0.73647146,-2.6869456,-4.2417941,-2.9196322,-7.1865631,-2.9003393,-4.6050059,-2.5145664,-6.7762778,-11.273904,-12.88107,-1.4071524,-2.3644275,-1.9816498,-0.47965459,-0.78886573,-1.3783631,-1.4173706,0.48934078,-1.3817856,-1.7353909,-6.380267,-5.012747,0.13604257,-0.83108596,-2.8947509,-2.2724945,-0.67080498,0.33690879,-1.2497236,-2.1326878,0.67232201,0.70936983,-0.4098365,0.094602444,-0.89968422,-3.0222098,0.41737873,-1.0933533,-2.6272606,0.483544,-1.5274719,1.3355348,0.18314668,-6.3728076,-2.0461424,1.3672235,-2.3605653,-0.44392938,-0.20904117,0.41270908,-2.0201583,-0.56323794,-3.6885464,0.24252611,1.5256521,-0.89131736,0.62991019,1.4220271,0.78143782,-0.71604011,-0.85678225,-0.33763145,0.3604719,-0.25445342,-0.18356413,0.068551803,-0.63364006,1.144903,-1.9961836,-1.0958883,0.15533835,-2.531271,-0.17570981,-0.79144078,-1.5662971,-0.58934155,-1.5829219,-3.4762622,-1.5547437,0.97488727,-2.1490524,0.35675467,-1.941084,-16.344988,-0.23667714,-1.5412841,-1.761777,-0.85268395,-0.24903841,-0.19398324,-1.1362227,1.511464,-2.9473092,1.3464085,-0.92373044,-1.6555961,-3.1406416,-0.36629553,-2.3653854,-1.6168485,-1.5835991,-2.7847007,-0.57317867,-3.2181526,-1.7215066,-2.9389456,-5.1445192,-3.2563311,-2.5120384,-4.2555329,-0.78528934,-2.2378912,-2.5096152,-3.2575974,-0.80507778,0.66235407,0.25819902,-0.1169839,0.90193894,-1.5230712,-0.04485511,-0.058008957,-3.7906531,-0.50151615,-1.4525336,-3.1827565,-1.4797724,0.09743436,-0.89870296,-2.6224464,-2.1373469,-1.4679119,-2.765892,-4.6566906,-4.2806879,1.4583689,-2.0792319,-1.2990475,-2.6556933,-0.5575707,-2.6770352,-15.387955,-2.6436714,-4.1956128,-1.4415917,-6.6926058,-0.49959139,-7.0710747,0.09020772,-1.0398048,-5.2938881,-0.86863378,-0.51036755,-2.0784317,0.36689456,-0.055132118,-1.1602654,-1.1907478,-0.61438232,-2.6302639,-4.1582435,0.67009665,-2.5829921,-1.1136087,-1.696564,0.32785694,-1.1101837,-1.7485241,-0.44893899,-1.6682187,0.78678733,-1.7362591,0.838633,-6.6332672,-2.0260658,0.11688836,-0.512656,0.64385016,-5.1657235,-1.1403927,-10.05818,1.6233629,1.4388888,-0.46380794,-1.0022709,0.67748641,-1.5330684,1.0242595,0.36060284,0.70127714,0.19284523,0.3816634,0.79666473,-0.60068466,-0.93273492,-1.1165116,-0.56356512,-1.2681043,-1.541626,-4.4166388,-1.4045921,0.69011474,0.87653133,-0.80267625,-2.172338,-1.5669709,-2.2618164,-2.6246445,-5.6121521,-0.045014127,1.1359703,0.43247325,-6.5909351,-9.1020789,0.87942279,-4.0169541,-2.6339067,-1.1334305,-1.8422017,-1.6100499,-1.19324,-4.5091705,-15.496892,-3.8358434,-3.6792967,-13.259994,-11.046196,-11.821013,-3.3715022,-0.20121474,-1.5270108,1.3681622,-1.7627268,-0.18331333,-7.7637869,-2.0289377,-1.2961187,-1.7267239,-0.19225531,-0.92939709,-1.5953697,-7.1409574,-0.92412873,-1.7698496,0.061607906,0.65518034,-1.8523617,-4.7178905,-0.36245576,0.85905659,-0.84342562,-1.649697,-4.6662534,-2.0195656,-1.134609,-0.55499341,-5.9608853
