# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 09:28:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 100
#     num_warmup = 100
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.995
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmphpdpvfzn/qvh9kxbh.json
# init = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmphpdpvfzn/gng8lekn_3.json
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924052831_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler_param,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 2.08004e-07
# Elements of inverse mass matrix:
# 1, 0, 0, 0
# 0, 1, 0, 0
# 0, 0, 1, 0
# 0, 0, 0, 1
20.331885,0.99209317,2.0800359e-07,15,32767,0,-19.249762,0.28556116,1.1778985,0.30874296,0.64734544,0.5,-0.11950152,0.43480661,-1.9332236,0.32007079,0.91374873,0.56807111,0.84076604,0.95378932,0.40151094,0.17516474,-0.15111289,-0.53368214,0.33783922,0.85352383,0.81997677,-2.5942642,-0.36231093,0.41051045,0.16610796,0.93450103,-2.0908211,0.98710841,0.87079475,0.97784866,0.91728163,0.30516031,0.81321249,0.81564671,0.45636239,0.52473417,0.46493487,0.046757976,0.76033856,-0.21762578,0.47995842,-0.087807297,-0.60058041,-0.17420353,-1.5276145,-0.20111157,-0.72873535,-0.053702852,-1.4051161,-2.778501,-3.3086397,0.25182393,-0.060415946,0.047369255,0.59560903,0.48299906,0.32271542,0.29231915,0.86548374,0.33238643,0.25147735,-1.3413896,-0.93380768,0.82333098,0.425671,-0.13573164,0.034450272,0.51627512,0.84725198,0.31934405,0.029899099,0.91398205,0.86670301,0.545175,0.67848264,0.4098537,-0.17028745,0.91719323,0.42210316,-0.16007354,0.89015834,0.293778,1.0746477,0.84863557,-1.1920246,0.17055665,0.78906372,-0.088984819,0.48861186,0.5832989,0.73191521,0.018623253,0.59555143,-0.4902886,0.8280855,0.98397124,0.48534598,0.9398741,-1.2922269,0.92302345,0.48529348,0.4131124,0.58803144,0.76474088,0.60337213,0.64134193,0.73170675,0.52785875,-0.39061992,0.042350043,0.29711612,0.65256296,-0.19071873,0.52681092,0.32916596,0.12766628,0.46546192,0.31039042,-0.31962926,0.25737754,0.91278986,0.035432153,0.83291848,0.10021191,-4.4252992,0.59185964,0.17311096,0.091910477,0.36561793,0.54355435,0.55477054,0.26083458,1.0169141,-0.28479834,1.1175214,0.36834462,0.23398353,-0.21677346,0.62907283,-0.012220616,0.2424713,0.23180272,-0.14224414,0.54756977,-0.28156847,0.15114368,-0.23802341,-0.93429819,-0.28336728,-0.061268512,-0.61676028,0.45676555,-0.0043076885,-0.095951512,-0.33479546,0.46413914,0.88277755,0.81254143,0.68741904,0.93102129,0.26663166,0.71111341,0.69390738,-0.48911206,0.53216066,0.26813241,-0.25730943,0.25846546,0.76067863,0.4401124,-0.12430523,0.052464702,0.28922186,-0.15099136,-0.75888739,-0.61233066,1.0327067,0.063292593,0.34126232,-0.15136228,0.52519218,-0.15237758,-4.1345393,-0.17213855,-0.4953996,0.33018186,-1.4459326,0.47459452,-1.5827634,0.80157888,0.43082364,-0.99456578,0.42506074,0.56396133,0.089674632,0.81862919,0.6832132,0.39976864,0.29614119,0.56076014,-0.14759548,-0.60660186,0.96346579,-0.016585752,0.4519332,0.22655664,0.76142135,0.30625757,0.27169989,0.47727384,0.12873858,0.87758964,0.15177395,0.93191797,-1.3596247,0.093004714,0.78662413,0.56378377,0.87702063,-0.89979945,0.33538588,-2.3542295,0.7533591,1.0438625,0.59676124,0.45585175,0.98491986,0.33798562,1.1026923,0.88675294,0.94521365,0.83150919,0.91041805,0.98110005,0.47602189,0.5153619,0.48004714,0.61013216,0.36237005,0.22167483,-0.64321123,0.24991739,0.89006618,0.89547104,0.42588772,-0.013997324,0.16247827,0.10942598,-0.20323958,-0.90334422,0.56147817,0.73440758,0.74059877,-1.2872778,-2.206775,-0.15777503,-0.6361454,-0.17411569,0.32024591,0.11885205,0.17069574,0.3170407,-0.73959824,-4.1659184,-0.50059853,-0.43788146,-3.4305687,-2.7498719,-2.992956,-0.27476372,0.60057524,0.16347285,0.67049127,0.043046432,0.56949113,-1.8115621,-0.038133364,0.174993,0.082252766,0.58864963,0.47468658,0.23782911,-1.4715683,0.42838257,0.14141131,0.69069477,0.88684777,0.10680743,-0.75787174,0.5796999,0.89459142,0.513612,0.13306799,-0.64510295,0.14922982,0.40369039,0.48645926,-1.0636281
20.126561,1,2.0800359e-07,15,32767,0,-16.541265,0.28460496,1.1757938,0.30878465,0.64715076,0.5,-0.12161594,0.43469621,-1.9203588,0.31884074,0.9159668,0.56817443,0.84683564,0.95805028,0.40174062,0.17425195,-0.15284981,-0.53657145,0.33818263,0.85955816,0.82183375,-2.6046993,-0.36518168,0.41074833,0.16565399,0.93702358,-2.0995685,0.99101163,0.87624569,0.98115347,0.92193015,0.30471187,0.81452531,0.82200878,0.45594537,0.52466596,0.46472465,0.044744078,0.76254599,-0.22037463,0.4796885,-0.089956729,-0.6041882,-0.17695002,-1.534614,-0.20322456,-0.73263803,-0.055757177,-1.4116187,-2.7905456,-3.3223074,0.25174553,-0.061453696,0.04680678,0.59590094,0.48327196,0.32191277,0.29183923,0.86681165,0.33109709,0.249686,-1.34641,-0.93718881,0.82400189,0.42564026,-0.13833343,0.032843802,0.51667678,0.84846303,0.3188262,0.02854943,0.91568715,0.86973237,0.54655324,0.68065411,0.41012681,-0.17330851,0.91807515,0.4215512,-0.16152686,0.89179362,0.29272206,1.0781401,0.84953468,-1.1985874,0.16883121,0.79421607,-0.090617756,0.48970626,0.58433652,0.73440109,0.017606285,0.59572291,-0.49341444,0.829422,0.98889,0.4852691,0.94190061,-1.2804062,0.92615683,0.48505024,0.41325976,0.58850462,0.7667013,0.60403457,0.64189114,0.73248731,0.52771112,-0.3818856,0.041573892,0.29753766,0.65467968,-0.19178148,0.52846041,0.33002017,0.12695232,0.4655244,0.30931304,-0.32244566,0.25698107,0.91577569,0.033603167,0.83394113,0.098925895,-4.4423931,0.59303963,0.17283117,0.091417304,0.36616235,0.54483437,0.55610941,0.26100812,1.0218157,-0.28702933,1.1208585,0.36821837,0.23346399,-0.21932937,0.63010466,-0.013242065,0.24084366,0.23050283,-0.1442328,0.54758109,-0.28411336,0.15055596,-0.23990241,-0.93859629,-0.286042,-0.0628276,-0.62009975,0.45741175,-0.0052637814,-0.097195424,-0.33687003,0.46416785,0.88522016,0.81375236,0.68847641,0.93420399,0.26574019,0.71232649,0.69531082,-0.49240784,0.53289202,0.26751235,-0.26037051,0.25777846,0.76157479,0.4399752,-0.12577849,0.050935865,0.28820281,-0.15335858,-0.76305708,-0.61647837,1.0365498,0.061862004,0.34046004,-0.15279814,0.52564302,-0.15396087,-4.1499461,-0.17333788,-0.49981398,0.32910695,-1.4516018,0.47581748,-1.5888228,0.80253966,0.43078791,-0.999459,0.4248169,0.56397973,0.088091823,0.82043828,0.68432617,0.39896976,0.29642775,0.56077967,-0.14928275,-0.61026513,0.96495063,-0.019101047,0.45104338,0.22550947,0.76329088,0.30653861,0.27005487,0.4786559,0.12812634,0.88005493,0.15061143,0.9342013,-1.3659564,0.091763599,0.7871381,0.56424429,0.87933657,-0.9047709,0.33541679,-2.3650213,0.75966373,1.0478398,0.59709682,0.45513395,0.98617348,0.33637501,1.1044573,0.88778843,0.94715946,0.83219544,0.91116948,0.98300568,0.47708986,0.51454951,0.47890166,0.60997782,0.36164177,0.22093093,-0.64770575,0.25013999,0.8925885,0.89886908,0.42671619,-0.014614246,0.16256943,0.10710448,-0.2040931,-0.90938648,0.5636891,0.73961362,0.74289899,-1.2939365,-2.2158815,-0.1503831,-0.63872997,-0.1757241,0.32005278,0.1177234,0.17041717,0.31691655,-0.74290576,-4.1819331,-0.50380751,-0.44102175,-3.4445198,-2.7605862,-3.0049254,-0.27829253,0.6022053,0.1638114,0.67702927,0.043323296,0.57096231,-1.8182038,-0.038346591,0.17566238,0.081811657,0.58967085,0.47448428,0.23748806,-1.4793339,0.42792059,0.14027057,0.69192274,0.8884849,0.10552502,-0.76274587,0.58008253,0.89722584,0.51344137,0.1327288,-0.64990181,0.14762912,0.40326129,0.48738445,-1.0698478
19.888092,1,2.0800359e-07,15,32767,0,-18.446314,0.28443973,1.1736212,0.30879934,0.64838671,0.5,-0.12392536,0.43446677,-1.903133,0.31767245,0.91817298,0.56830362,0.85344596,0.9624058,0.40175335,0.17303435,-0.15499828,-0.53993628,0.33820719,0.86599283,0.82346743,-2.615897,-0.36830464,0.41074916,0.16488921,0.93963027,-2.1089696,0.99498986,0.8817643,0.98442883,0.92650089,0.30402142,0.81574455,0.82894458,0.45539125,0.5247471,0.46432881,0.042585746,0.76461691,-0.22337288,0.47954832,-0.092372499,-0.60822698,-0.17971461,-1.5421185,-0.20565681,-0.73696174,-0.057943143,-1.4185668,-2.8030422,-3.3365724,0.25129644,-0.062934262,0.045819133,0.59608841,0.48328755,0.32098322,0.29107987,0.8683064,0.32996656,0.2480566,-1.3522621,-0.94137652,0.82476122,0.42557291,-0.14110358,0.030978702,0.51683375,0.84969251,0.31821877,0.027015979,0.91755756,0.8724711,0.54747441,0.68238421,0.41015141,-0.17633154,0.91915584,0.42091051,-0.16334065,0.89336759,0.29154187,1.0817864,0.85038841,-1.205502,0.16692043,0.79969073,-0.092304379,0.49060662,0.58532317,0.73670103,0.016420536,0.59573266,-0.49668781,0.83060175,0.99397082,0.48494865,0.94376121,-1.2656275,0.92891428,0.48495721,0.41332476,0.58903208,0.76858819,0.60473048,0.6425462,0.7334114,0.52767074,-0.37192359,0.040492526,0.29764888,0.65656159,-0.19320478,0.52990604,0.33067207,0.12629364,0.46580145,0.30798005,-0.32574409,0.25610688,0.91892588,0.031848106,0.83520203,0.097560517,-4.4602995,0.59405607,0.17231264,0.090684631,0.36652912,0.54599131,0.55735193,0.26106129,1.0267319,-0.28931603,1.1242898,0.36816858,0.23245515,-0.22227901,0.63070025,-0.014869545,0.23946377,0.22931396,-0.14660137,0.5476573,-0.28700711,0.14969222,-0.24212901,-0.94334314,-0.28903819,-0.06478483,-0.6239707,0.45766594,-0.0066804414,-0.098902188,-0.33942767,0.46408603,0.88753772,0.81495532,0.68934782,0.93723076,0.26470002,0.71331835,0.69641778,-0.49592144,0.53342497,0.26668319,-0.26345781,0.2569029,0.76251154,0.43974986,-0.12767762,0.049255584,0.28713835,-0.15582793,-0.76754457,-0.62077365,1.0407582,0.060281079,0.33960214,-0.15465294,0.52596627,-0.15591958,-4.1664308,-0.17502858,-0.50429505,0.32796508,-1.4579304,0.47670727,-1.5955311,0.80338392,0.43042524,-1.0045903,0.42463007,0.56410079,0.086360554,0.82206597,0.68534336,0.39817008,0.29635374,0.56073291,-0.1512338,-0.61417369,0.96658667,-0.021649667,0.45017411,0.22423773,0.76507953,0.30654772,0.26839636,0.47969108,0.12735498,0.88262512,0.14943652,0.93663011,-1.3727793,0.090252165,0.78789213,0.56452773,0.88158991,-0.90998676,0.33519365,-2.3761921,0.76644875,1.0520534,0.59732484,0.45447799,0.98768863,0.33491921,1.1065816,0.88890385,0.94911918,0.83302161,0.91215645,0.98502751,0.47776164,0.51384522,0.47790349,0.60983776,0.36081309,0.22003537,-0.65224591,0.24982663,0.89496067,0.9020504,0.42711353,-0.015751015,0.16217729,0.10483367,-0.20554292,-0.91556311,0.56547039,0.74469715,0.74510745,-1.3010043,-2.2253665,-0.14241366,-0.64184792,-0.17757721,0.31976405,0.11648847,0.16978924,0.31657832,-0.7467947,-4.1988473,-0.50732202,-0.44443798,-3.4591571,-2.772194,-3.0176703,-0.28175591,0.60341411,0.16355659,0.68354341,0.04296152,0.57218857,-1.8256151,-0.039082103,0.17583352,0.08113314,0.59064703,0.47409113,0.23666974,-1.4871139,0.42755677,0.13908201,0.69313785,0.89036197,0.10423266,-0.76760205,0.58053713,0.89997047,0.5130931,0.13211061,-0.65489619,0.14584683,0.40263752,0.48805123,-1.0763048
