# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 17:25:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9995
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmppu_3hin1/xwhy36bx.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924132503_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.00404575
# Elements of inverse mass matrix:
# 1.16876, 0.0416345, -0.0486064, -0.440093
# 0.0416345, 0.006624, -0.00852784, -0.00789256
# -0.0486064, -0.00852784, 0.0464525, 0.00516527
# -0.440093, -0.00789256, 0.00516527, 0.240285
-188.29592,0.99999537,0.0040457455,9,1023,0,189.41803,0.020256271,1.2088399,0.32222656,0.302264,-0.73661433,-0.2110109,-6.180424,-0.39145188,0.21462177,-0.10793541,-0.2489114,0.15857755,-0.1880931,-0.45869408,-0.72626761,-1.0468357,-0.20417201,-0.20339458,0.14950992,-3.1486629,-0.93932173,-0.17999654,-0.38825498,0.23328415,-2.5872889,0.18792629,0.0073667958,0.22640045,0.1389014,-0.33933078,0.10338137,-0.34280627,-0.2639831,-0.12215896,-0.22996776,-0.65412673,0.18449404,-0.88521622,-0.17767625,-0.74193992,-1.1891498,-0.81933139,-2.0705941,-0.79212949,-1.2710594,-0.68835629,-1.9073883,-3.3633769,-3.7774945,-0.31086535,-0.57984763,-0.45860749,-0.10233995,-0.17175598,-0.37283848,-0.36257655,0.17060541,-0.36456498,-0.47248746,-1.7978201,-1.3723954,0.075671993,-0.20539501,-0.79182447,-0.59696725,-0.11110521,0.13576386,-0.32203086,-0.56996334,0.18766491,0.23748367,-0.002639918,0.13352724,-0.18043926,-0.86574614,0.12420845,-0.28374894,-0.6660802,0.16252344,-0.41511855,0.19859088,0.070960865,-1.8633282,-0.57588683,0.037950483,-0.61510022,-0.019388521,0.020957427,0.19150613,-0.50966036,-0.11795835,-1.0235546,0.11069409,0.053741706,-0.20792323,0.20063531,-4.0641207,0.23704168,-0.1686635,-0.17484837,-0.047151881,0.16055416,-0.019608946,-0.012045864,0.051820297,-0.15272631,-1.2663063,-0.48999751,-0.20952657,0.14018052,-0.61919287,0.063052121,-0.1063059,-0.37810029,-0.11621924,-0.42368358,-0.95715509,-0.37349325,0.22403945,-0.59896798,0.11695496,-0.51570055,-6.1247644,0.01829693,-0.35277253,-0.41377585,-0.14433834,0.027689265,0.043196283,-0.22458082,0.07990033,-0.79201182,0.21966919,-0.20444987,-0.40492441,-0.86602001,-0.023154673,-0.58901166,-0.45785007,-0.43412865,-0.75019077,-0.12810391,-0.88067492,-0.41719311,-0.7739303,-1.4309828,-0.89738883,-0.65639359,-1.1543084,-0.12749196,-0.54909845,-0.62932079,-0.85202362,-0.17471058,0.21634312,0.10955018,0.028471425,0.23082741,-0.40516135,0.047756708,0.059585655,-1.0551647,-0.063425592,-0.36524427,-0.91021196,-0.36958486,0.06230201,-0.20787734,-0.67741121,-0.57481952,-0.3941354,-0.77195922,-1.3132949,-1.231663,0.14893955,-0.54973859,-0.34595301,-0.67082182,-0.091109597,-0.6912273,-4.3672019,-0.65074402,-1.2264531,-0.39931112,-1.8253155,-0.024219503,-1.9394103,0.05686833,-0.24589568,-1.4807645,-0.19783152,-0.10487528,-0.57192628,0.15281024,0.051921275,-0.30809434,-0.23788166,-0.13919556,-0.6885031,-1.162919,0.18536823,-0.73809657,-0.30601899,-0.45719453,0.16571094,-0.20934459,-0.49945648,0.002262155,-0.38838735,0.23336283,-0.44602464,0.23351013,-1.9242195,-0.54373094,0.05762253,-0.093930169,0.21398224,-1.4730434,-0.24335593,-2.9241459,-0.25390882,0.15383303,-0.086751702,-0.26645396,0.18047102,-0.43282737,0.22951376,0.11805218,0.2038943,0.071096493,0.11236185,0.21297959,-0.0620034,-0.25677158,-0.31239698,-0.14092745,-0.33530112,-0.38733288,-1.2666459,-0.29825077,0.21630206,0.23241437,-0.12476105,-0.51650513,-0.33688119,-0.63929535,-0.63320723,-1.6131092,0.11041161,0.11751305,0.18566629,-1.8774656,-2.69225,-0.51978502,-1.0569202,-0.68546982,-0.26023906,-0.48315092,-0.36875026,-0.27263637,-1.2245644,-4.87265,-1.0742742,-1.0338622,-4.0605895,-3.283959,-3.5548277,-0.96360237,0.044940013,-0.31691375,-0.12416345,-0.37612886,0.040414073,-2.1819122,-0.46070728,-0.24318641,-0.40698449,0.016799062,-0.2178407,-0.3743286,-2.131813,-0.23990809,-0.47622675,0.067679676,0.17846822,-0.50865046,-1.4134785,-0.07353486,0.21107536,-0.18216167,-0.40283511,-1.2827836,-0.52417908,-0.2565179,-0.083989393,-1.6293668
-186.4211,0.99877713,0.0040457455,10,1023,0,191.08663,0.11403028,1.3239707,0.31676597,0.082807047,-0.68416897,-0.24885714,-5.477069,-0.39414588,0.053392252,-0.16562299,-0.5901208,-0.10510084,-0.2321766,-0.44987401,-0.6742409,-0.94021258,-0.24232447,-0.54437206,0.018812641,-2.6901458,-0.84640531,-0.21879924,-0.39077202,0.05719726,-2.2663675,-0.066550436,-0.30337329,0.0085934712,-0.1323164,-0.35483129,-0.0053965296,-0.69047907,-0.28820027,-0.18202858,-0.2582885,-0.6086051,0.039270965,-0.80655561,-0.22403904,-0.68644595,-1.059754,-0.75384334,-1.7933025,-0.72938865,-1.1366018,-0.64508475,-1.6675581,-2.8441882,-3.2037245,-0.32883976,-0.55167038,-0.45109889,-0.16620045,-0.22170301,-0.38244134,-0.37392315,0.04083373,-0.37255241,-0.46606472,-1.5561943,-1.2065262,-0.024726704,-0.24291947,-0.73711899,-0.57405787,-0.171474,0.011393126,-0.33125685,-0.53490735,0.051729981,0.044339609,-0.096434849,0.00080314688,-0.23989759,-0.77116452,0.02494555,-0.29241681,-0.64469135,0.048103244,-0.40188862,-0.029902905,-0.018181959,-1.5859486,-0.53461472,-0.27595677,-0.60066333,-0.11179097,-0.082066012,0.026508556,-0.51439141,-0.15939194,-0.93927513,0.0088326823,-0.23469039,-0.23607722,0.063010428,-3.9558331,0.060290796,-0.22216571,-0.22848394,-0.12758058,0.016777848,-0.10467144,-0.096581333,-0.046969692,-0.20606808,-1.6184909,-0.48307049,-0.25231649,0.0078291476,-0.5952967,-0.047069923,-0.17523585,-0.39351503,-0.17672898,-0.41976971,-0.86313728,-0.38221763,0.017144975,-0.57331426,-0.003964374,-0.50918465,-5.0175632,-0.074906014,-0.36744749,-0.42060815,-0.20243917,-0.07057129,-0.055362721,-0.26746714,-0.21092294,-0.72625271,-0.01668816,-0.24111094,-0.4157587,-0.79828496,-0.10462419,-0.5665297,-0.45048325,-0.42765253,-0.70523729,-0.17276106,-0.81491722,-0.40656003,-0.70355438,-1.2468446,-0.83375498,-0.63289499,-1.0583152,-0.1968329,-0.54826271,-0.61489867,-0.80132133,-0.23026192,0.043727637,-0.011793316,-0.069204099,0.02463762,-0.42149173,-0.055198737,-0.045856153,-0.94302784,-0.12596639,-0.38376008,-0.81809953,-0.38696129,-0.028585527,-0.24017119,-0.64598151,-0.54333344,-0.39723079,-0.71638722,-1.1685978,-1.104585,-0.12388859,-0.52084966,-0.36371048,-0.62519804,-0.14478535,-0.6390669,-3.6007498,-0.60580451,-1.1004416,-0.41002652,-1.5895029,-0.097842419,-1.6840229,-0.040812673,-0.27936712,-1.3089513,-0.23930089,-0.1642522,-0.54504016,0.027253222,-0.046860405,-0.32366157,-0.27562667,-0.18898373,-0.64582049,-1.0377251,0.042361789,-0.68916855,-0.32998689,-0.45591361,0.040179408,-0.24159525,-0.48983326,-0.077070057,-0.39336011,0.055994516,-0.44157176,0.059307611,-1.6640608,-0.52171583,-0.036152284,-0.15449349,0.05503912,-1.2964406,-0.27417599,-2.5132762,-0.59694425,-0.11239305,-0.15165635,-0.29725978,0.035673654,-0.43719766,0.050702745,-0.00079717728,0.043269474,-0.032089697,-7.5471669e-05,0.049694315,-0.12578556,-0.29098605,-0.33405839,-0.19513768,-0.35387885,-0.38935529,-1.1217377,-0.32335111,0.048398757,0.027687786,-0.1818317,-0.50504651,-0.35387885,-0.59855547,-0.6011815,-1.4052735,-0.0062359637,-0.15986652,0.038684636,-1.6337018,-2.3249488,-0.88420319,-0.95633514,-0.64668188,-0.2955908,-0.4754649,-0.37918759,-0.30203068,-1.0904676,-4.005981,-0.96254661,-0.93045142,-3.3989094,-2.7629674,-2.9891972,-0.87577546,-0.048687699,-0.33399751,-0.4484245,-0.38304163,-0.052967414,-1.874347,-0.45427695,-0.27592579,-0.4074971,-0.06494364,-0.25693693,-0.38779178,-1.8213839,-0.27025799,-0.46489613,-0.032008177,0.034920064,-0.49191295,-1.23857,-0.14033228,0.028481642,-0.22464419,-0.40667418,-1.1517535,-0.5096732,-0.28982906,-0.14054155,-1.47027
-185.53366,0.99996773,0.0040457455,10,1023,0,187.85408,0.1866127,1.328527,0.30999019,0.062901077,-0.70129613,-0.26859905,-3.6229505,-0.41143168,0.04396196,-0.18551904,-0.43904091,-0.066748182,-0.25226326,-0.46677128,-0.69021417,-0.95424768,-0.26137012,-0.4094851,0.0010345564,-2.7058747,-0.85845189,-0.23652913,-0.40780382,0.056927041,-2.2994998,-0.040844077,-0.22497502,0.017322529,-0.090617916,-0.37310552,-0.020965667,-0.51625048,-0.30501646,-0.20546015,-0.27407223,-0.62163653,0.023590467,-0.82114487,-0.24608755,-0.7007998,-1.0727295,-0.77074563,-1.8004808,-0.74576189,-1.1541678,-0.66302318,-1.6775294,-2.8413748,-3.1926497,-0.34739563,-0.56846403,-0.46860493,-0.18814508,-0.24345282,-0.40152801,-0.39345581,0.025601357,-0.39053327,-0.48523378,-1.5666458,-1.2207873,-0.044643327,-0.26241268,-0.75608249,-0.59507355,-0.19368507,-0.0094558673,-0.34625721,-0.54804772,0.044532103,0.034127045,-0.1215291,-0.021220932,-0.26527828,-0.78059477,0.012833275,-0.30858217,-0.66637249,0.036456027,-0.41899289,-0.0046329558,-0.036288839,-1.5953771,-0.55220488,-0.20251055,-0.61864848,-0.13233471,-0.10188176,0.013476098,-0.53366042,-0.18003794,-0.95246348,-0.010836454,-0.16660599,-0.25871814,0.047154777,-2.7305418,0.051722919,-0.23648651,-0.24428148,-0.14365095,0.0048977248,-0.12048425,-0.11177285,-0.061191754,-0.22144899,-1.1960892,-0.50255274,-0.27726858,-0.012955523,-0.61748418,-0.068705875,-0.19298801,-0.40803501,-0.19074545,-0.44753315,-0.88616218,-0.40703435,0.025872562,-0.58835824,-0.018412817,-0.52497224,-4.8026046,-0.090982544,-0.38315802,-0.43563956,-0.21820509,-0.085095945,-0.069831301,-0.28206636,-0.15350113,-0.73218392,-0.0046742964,-0.25333884,-0.44394065,-0.82332443,-0.13085449,-0.59091239,-0.46305054,-0.44060687,-0.72874395,-0.18807078,-0.83679395,-0.41975733,-0.71478873,-1.2519939,-0.85768866,-0.6564804,-1.0804667,-0.22047259,-0.57000728,-0.63563035,-0.82044213,-0.24977445,0.03473645,-0.029279202,-0.088359054,0.026803493,-0.44131672,-0.073601711,-0.063350494,-0.96274565,-0.14914239,-0.40081118,-0.83793898,-0.40272138,-0.049781957,-0.26216007,-0.66250674,-0.56388275,-0.41945637,-0.73108163,-1.1791873,-1.117294,-0.079385186,-0.54368405,-0.37762088,-0.64865863,-0.16851182,-0.65885584,-3.640934,-0.62473612,-1.1137781,-0.42539237,-1.6131936,-0.12042806,-1.7099579,-0.056691874,-0.29690389,-1.3283455,-0.26220529,-0.18723871,-0.55890222,0.01512937,-0.065738603,-0.34272143,-0.29560244,-0.21010236,-0.66174467,-1.0488757,0.023293142,-0.71419876,-0.3506186,-0.47449364,0.024914383,-0.26358625,-0.50339589,-0.10096025,-0.41699071,0.048154223,-0.46166818,0.051945426,-1.6806317,-0.5422518,-0.052022286,-0.17642374,0.047284762,-1.3050997,-0.29172655,-2.5280227,-0.44522403,-0.07353505,-0.17305486,-0.31837889,0.019005845,-0.45914983,0.044452392,-0.019596083,0.030435584,-0.050569775,-0.016416891,0.040175852,-0.14584564,-0.31089927,-0.35230975,-0.21469077,-0.37282236,-0.4102479,-1.1363483,-0.34245681,0.04033632,0.031488529,-0.20139427,-0.52305899,-0.37282236,-0.61608646,-0.61904442,-1.4178036,-0.023679625,-0.11104515,0.026122255,-1.6414998,-2.3382561,-0.66846258,-0.97097023,-0.6630836,-0.31425368,-0.49140616,-0.3950188,-0.31965669,-1.1019914,-3.9436616,-0.97367228,-0.94177922,-3.3645757,-2.7564839,-2.968683,-0.89607648,-0.065441974,-0.35088942,-0.33253803,-0.40197325,-0.071879291,-1.8795865,-0.47227806,-0.29505572,-0.4241103,-0.08097794,-0.2789009,-0.41025997,-1.8230692,-0.28827563,-0.48208625,-0.04900995,0.023695056,-0.50890071,-1.2515936,-0.15955563,0.026659695,-0.24557722,-0.42505617,-1.1670949,-0.52927635,-0.31194511,-0.15563751,-1.4918995
