# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 18:57:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpa9e4bv05/p0zwql2i.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924145755_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0474796
# Elements of inverse mass matrix:
# 1.15795, 0.0382385, -0.0417633, -0.441273
# 0.0382385, 0.00637025, -0.00835089, -0.00707213
# -0.0417633, -0.00835089, 0.0469339, 0.00695579
# -0.441273, -0.00707213, 0.00695579, 0.231286
-185.58812,0.9607225,0.047479648,6,63,0,186.06404,0.098009442,1.262807,0.31565857,0.067181516,-0.71867936,-0.23789469,-4.2824352,-0.40192128,0.13637455,-0.14428368,-0.31027657,0.06198676,-0.2171296,-0.46345582,-0.70843887,-1.0029304,-0.23114392,-0.27261986,0.082306073,-2.909207,-0.90315636,-0.20799247,-0.39752482,0.1520187,-2.4429973,0.088821648,-0.083919309,0.13380788,0.042900097,-0.3532755,0.046587749,-0.38978137,-0.28194298,-0.16088335,-0.25184101,-0.63909396,0.11103086,-0.85398078,-0.20780022,-0.72356176,-1.1323455,-0.79626838,-1.9390705,-0.76759817,-1.2147127,-0.67635598,-1.8028288,-3.093045,-3.4925315,-0.32797166,-0.57510267,-0.46519538,-0.13993638,-0.20175977,-0.38279186,-0.37236286,0.098691785,-0.38169157,-0.48293964,-1.6685013,-1.2842859,0.014435633,-0.2251789,-0.78086376,-0.59984481,-0.15454203,0.064078229,-0.3294608,-0.55559124,0.12376261,0.14288328,-0.059247077,0.061443219,-0.22042426,-0.8221847,0.072862665,-0.29280621,-0.66837878,0.10609184,-0.4131977,0.11257956,0.023934341,-1.7181601,-0.55969632,-0.062840402,-0.62017828,-0.074115314,-0.038407448,0.10862009,-0.52167205,-0.14553491,-0.99176775,0.055947702,-0.033342192,-0.22951686,0.13197963,-3.0552278,0.15638254,-0.20412527,-0.20955501,-0.094207227,0.087948151,-0.067856949,-0.059983591,-0.0023029239,-0.18604794,-1.1431633,-0.49371813,-0.23765399,0.073703863,-0.61255689,0.0045025802,-0.14701713,-0.39244983,-0.15297071,-0.43123774,-0.92064943,-0.38788032,0.13468872,-0.59295648,0.054233748,-0.52000506,-5.6930394,-0.033357805,-0.36622078,-0.42405029,-0.18029468,-0.027198008,-0.010759578,-0.25349187,-0.014008037,-0.7647482,0.12305299,-0.22860144,-0.42162006,-0.8439776,-0.073694396,-0.58922922,-0.46126899,-0.43715811,-0.73959225,-0.15501757,-0.86026048,-0.41646693,-0.74286149,-1.3404341,-0.87887531,-0.65780125,-1.1235651,-0.17423672,-0.56334608,-0.63623953,-0.84052545,-0.21332397,0.13084597,0.042717231,-0.027336997,0.13848585,-0.42245147,-0.0095351201,0.00037336996,-1.0053224,-0.10015174,-0.38480709,-0.86776893,-0.39043091,0.013833474,-0.2303334,-0.67249017,-0.56543339,-0.40240022,-0.75324377,-1.2503602,-1.1778101,0.04861006,-0.54278025,-0.36365405,-0.65550887,-0.12488792,-0.67153945,-3.9191618,-0.63587856,-1.1711467,-0.41246708,-1.7166387,-0.06766793,-1.8181944,0.0022408479,-0.27001434,-1.404835,-0.22718104,-0.14273327,-0.5668788,0.087266182,-0.0030447448,-0.32494901,-0.26387749,-0.17262594,-0.67442018,-1.106832,0.11237627,-0.72303127,-0.32695398,-0.46482867,0.10047092,-0.23361132,-0.5030662,-0.044613946,-0.40003532,0.14910046,-0.4529411,0.15035935,-1.7976302,-0.53991588,0.0029181562,-0.13011412,0.13584908,-1.3945234,-0.26764042,-2.7252906,-0.3154872,0.057398451,-0.12707046,-0.29050376,0.10670544,-0.44379617,0.14579279,0.054149669,0.1236178,0.013725191,0.051955737,0.13296649,-0.10054866,-0.28200549,-0.33158907,-0.17516656,-0.35225821,-0.39622401,-1.2027156,-0.31841652,0.13602568,0.14221717,-0.16013655,-0.51914173,-0.35225821,-0.62798013,-0.62380956,-1.516495,0.048814997,0.023098228,0.1147131,-1.7706235,-2.5059238,-0.54407118,-1.0131032,-0.67309205,-0.28566723,-0.48655648,-0.38181901,-0.29482528,-1.1631688,-4.382116,-1.0244995,-0.98889598,-3.7044603,-3.0030762,-3.2508252,-0.9294009,-0.0065506131,-0.33184344,-0.19765043,-0.3844474,-0.0095763975,-2.025373,-0.46285406,-0.26424369,-0.41212652,-0.027528969,-0.24850155,-0.39205486,-1.9679454,-0.25924291,-0.47383873,0.017598206,0.11146701,-0.5019868,-1.3197407,-0.10757927,0.13393183,-0.21893929,-0.40377342,-1.2436536,-0.53599389,-0.29151332,-0.10940469,-1.590432
-185.95541,0.99940476,0.047479648,6,63,0,188.11291,0.13696009,1.3132545,0.30038488,0.080860407,-0.73550802,-0.29152058,-2.0411888,-0.43912095,0.054551818,-0.20535941,-0.21611594,0.018014468,-0.27478274,-0.49586814,-0.72482928,-0.99420387,-0.28446966,-0.19995294,-0.0011401871,-2.7953362,-0.8968227,-0.25923064,-0.4356532,0.076348776,-2.3633968,0.030387365,-0.084318817,0.059134748,-0.00081788856,-0.40033017,-0.030449838,-0.2700452,-0.33088422,-0.2239228,-0.29933617,-0.6561102,0.027143452,-0.85914774,-0.26695331,-0.73623641,-1.1164728,-0.80613471,-1.8614272,-0.78157931,-1.197133,-0.6957684,-1.7328555,-2.9315398,-3.2885351,-0.37310883,-0.59977275,-0.49726253,-0.20714899,-0.26494558,-0.42905751,-0.42065244,0.02372613,-0.41655283,-0.51275085,-1.6273821,-1.2711152,-0.055016693,-0.28609906,-0.78868042,-0.62388346,-0.21192643,-0.013594757,-0.3745366,-0.58168084,0.046582147,0.056245046,-0.1347878,-0.024648468,-0.28554832,-0.81870033,0.004758848,-0.33367993,-0.69923782,0.034421993,-0.44601151,0.059688133,-0.046426197,-1.646063,-0.58134451,-0.072313126,-0.65303255,-0.14985261,-0.11763304,0.017421444,-0.56614062,-0.19795775,-0.99758301,-0.01654256,-0.03643487,-0.27821882,0.05510204,-1.5673477,0.078128151,-0.26287639,-0.27009825,-0.16471256,0.0013525616,-0.14022041,-0.13127748,-0.076937108,-0.24634347,-0.70152705,-0.53025388,-0.29848551,-0.015497909,-0.65016563,-0.080648586,-0.21549152,-0.43934524,-0.21541712,-0.46956108,-0.91760121,-0.42937721,0.058205967,-0.62317305,-0.027250439,-0.55820751,-5.4305936,-0.10801873,-0.41250157,-0.4669061,-0.24277214,-0.10265345,-0.085975552,-0.30961108,-0.028926536,-0.7747161,0.058848995,-0.28074748,-0.46605488,-0.8546355,-0.14391697,-0.61834653,-0.49532958,-0.47190752,-0.76011731,-0.21054497,-0.87140637,-0.44984118,-0.75198348,-1.3030217,-0.89212943,-0.68718095,-1.1215324,-0.24020374,-0.60049114,-0.66833696,-0.85842082,-0.27311731,0.044871631,-0.038347081,-0.10325382,0.056548646,-0.47023691,-0.087635156,-0.077051713,-0.99890575,-0.16467027,-0.42980772,-0.87190581,-0.43223232,-0.059237775,-0.28291563,-0.6977776,-0.59254228,-0.44454169,-0.767776,-1.2273246,-1.1637902,0.004601083,-0.57003896,-0.40779948,-0.67694132,-0.18465279,-0.68961192,-3.6882306,-0.65522614,-1.1607905,-0.45600061,-1.6584448,-0.13497217,-1.7567654,-0.070804794,-0.32244956,-1.3728107,-0.28279005,-0.20504425,-0.59222614,0.010056345,-0.080147092,-0.36589906,-0.32136327,-0.22827802,-0.69847632,-1.096314,0.03011104,-0.74300073,-0.37432305,-0.50369615,0.023703594,-0.28371865,-0.53647828,-0.11342315,-0.44078925,0.066359483,-0.48994361,0.068962942,-1.7347218,-0.57125791,-0.065557488,-0.19491705,0.056464952,-1.3548483,-0.31628363,-2.5996523,-0.22292846,0.014596989,-0.1917374,-0.34229497,0.021629266,-0.48617754,0.063222113,-0.026421537,0.037597835,-0.062350607,-0.02512656,0.049499808,-0.16335156,-0.33557726,-0.37891283,-0.23637316,-0.39967609,-0.43492531,-1.178886,-0.36842984,0.052099934,0.063887755,-0.22254095,-0.55394163,-0.39967609,-0.64724626,-0.65234333,-1.4653456,-0.031835366,-0.012771257,0.029727175,-1.6944255,-2.4210071,-0.37153532,-1.0138037,-0.69850969,-0.34004855,-0.5229951,-0.42417145,-0.34593282,-1.1485345,-4.1290517,-1.0171906,-0.9848581,-3.4993794,-2.8520825,-3.08097,-0.93161773,-0.079838001,-0.37829031,-0.15139667,-0.42931757,-0.084954036,-1.9457599,-0.50186749,-0.3196721,-0.45344876,-0.097222177,-0.30045175,-0.43503389,-1.8903968,-0.31325799,-0.51269067,-0.060893023,0.026420324,-0.54068798,-1.303333,-0.17918581,0.04746969,-0.26584274,-0.45497882,-1.2056114,-0.55591522,-0.3330225,-0.17798306,-1.5322202
-183.63014,0.99954992,0.047479648,5,63,0,186.82733,0.17330653,1.2864198,0.31405173,0.072446969,-0.70973844,-0.24700766,-4.1153316,-0.4002655,0.10372052,-0.15733132,-0.36440797,0.012825025,-0.22944294,-0.45938594,-0.69799716,-0.97887776,-0.23934458,-0.33329852,0.05100413,-2.8711323,-0.87632668,-0.21274637,-0.39642218,0.12206319,-2.4262174,0.036752188,-0.14432669,0.089080406,-0.011240616,-0.35949283,0.024028,-0.44593166,-0.28655928,-0.17829896,-0.25348335,-0.62489707,0.078061649,-0.83768527,-0.22236138,-0.70921964,-1.1058956,-0.78360249,-1.8816304,-0.75740219,-1.1927918,-0.66871311,-1.7486026,-2.996416,-3.3610539,-0.33171672,-0.56789506,-0.46122414,-0.15973279,-0.21965194,-0.3898387,-0.38116653,0.077070875,-0.37757625,-0.47852375,-1.6389028,-1.2678191,-0.0029042784,-0.2404673,-0.76691991,-0.59549827,-0.16580297,0.037945477,-0.33112638,-0.54681803,0.10055942,0.098294304,-0.086461564,0.026130113,-0.24276716,-0.79351166,0.060651623,-0.29009676,-0.67325121,0.089016987,-0.40791513,0.073216903,0.006574405,-1.6581139,-0.54974029,-0.12231722,-0.622804,-0.099206817,-0.06568236,0.068326851,-0.53212386,-0.15114236,-0.98053221,0.035607145,-0.083822025,-0.23559692,0.10468772,-2.9904971,0.11855947,-0.21358963,-0.22171839,-0.11237609,0.055684083,-0.087013617,-0.077616284,-0.021701403,-0.19702735,-1.1861119,-0.49751136,-0.25595492,0.035693024,-0.62180169,-0.028875782,-0.16584693,-0.39779629,-0.16413611,-0.43735537,-0.90429372,-0.39425451,0.094987026,-0.59036465,0.027584881,-0.52265176,-5.8294981,-0.054262033,-0.37069141,-0.42704422,-0.19338225,-0.047928603,-0.031034293,-0.26244358,-0.070754421,-0.7444063,0.072510241,-0.23172678,-0.43371569,-0.83873552,-0.096829914,-0.59111463,-0.45615641,-0.43204149,-0.73864973,-0.16070913,-0.8541576,-0.40951527,-0.72423679,-1.2970002,-0.87670375,-0.6619815,-1.1155869,-0.19476892,-0.57006598,-0.64042746,-0.83835226,-0.22705828,0.093979332,0.01527853,-0.050961898,0.094601758,-0.43268962,-0.034600855,-0.023437394,-0.98717436,-0.11708057,-0.38947193,-0.85437041,-0.39158973,-0.0078619902,-0.23959511,-0.6692541,-0.56243106,-0.40825131,-0.7419816,-1.2203125,-1.1549086,-0.00073907066,-0.54035589,-0.36498224,-0.65233549,-0.1382936,-0.66363453,-3.7993145,-0.62729753,-1.1519367,-0.41593111,-1.6791535,-0.085949085,-1.7834455,-0.016526342,-0.27783983,-1.3777753,-0.23959469,-0.15865176,-0.55825095,0.065147419,-0.026650925,-0.32572543,-0.27686609,-0.18293159,-0.66894967,-1.0821033,0.078480609,-0.72270522,-0.33425968,-0.46777128,0.076763318,-0.24105613,-0.49939542,-0.064467907,-0.40529848,0.11160275,-0.45402569,0.1151031,-1.7557672,-0.5399083,-0.011528388,-0.14728546,0.10681535,-1.3530568,-0.27198533,-2.6577126,-0.37098362,0.0063406327,-0.14371766,-0.30046785,0.072614952,-0.45110742,0.10810122,0.026379313,0.087523368,-0.0092095923,0.029039329,0.099192084,-0.11410616,-0.29260749,-0.33721578,-0.18903124,-0.35911694,-0.39823633,-1.1724941,-0.32655656,0.10068024,0.10055125,-0.174644,-0.51988796,-0.35911694,-0.61823787,-0.62255952,-1.4706958,0.021691484,-0.031046926,0.081346579,-1.7073511,-2.4748828,-0.60720261,-0.99906052,-0.66994035,-0.29643435,-0.4864057,-0.38326882,-0.30230715,-1.1385093,-4.2302119,-1.0010203,-0.96708963,-3.5763004,-2.9147573,-3.1439395,-0.91678375,-0.02609977,-0.33589097,-0.25404782,-0.39021199,-0.032491935,-1.969563,-0.46554492,-0.27560322,-0.41425843,-0.04360256,-0.25769306,-0.39837799,-1.9091655,-0.26847189,-0.4762745,-0.0070924774,0.078608363,-0.50518177,-1.3009161,-0.12902535,0.090854024,-0.22191044,-0.41566831,-1.201335,-0.52469866,-0.29276502,-0.12566023,-1.5459714
