# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 20:50:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp6zuhf5dg/4m_uw6ms.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924165036_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.00916058
# Elements of inverse mass matrix:
# 0.447355, 0.00301593, 0.011173, -0.275727
# 0.00301593, 0.00056319, -0.000683536, -0.000754679
# 0.011173, -0.000683536, 0.0390849, -0.00616632
# -0.275727, -0.000754679, -0.00616632, 0.238341
-187.16177,0.99998735,0.0091605848,8,255,0,187.90191,0.025488389,1.2138847,0.31843648,0.16931338,-0.7451779,-0.22389979,-4.5490066,-0.40409818,0.20190312,-0.12161528,-0.17985896,0.1668077,-0.20005527,-0.47083671,-0.73494046,-1.0548984,-0.21713221,-0.14086457,0.13619532,-3.1028614,-0.94997063,-0.19428579,-0.3997998,0.22242884,-2.5786516,0.19127672,0.038848196,0.22203294,0.15124661,-0.34888286,0.090722497,-0.25747101,-0.27438525,-0.13663876,-0.24283879,-0.66354826,0.17065577,-0.89252489,-0.18979616,-0.751917,-1.1939307,-0.82879528,-2.0680247,-0.79868408,-1.2773638,-0.69871369,-1.9152276,-3.3305299,-3.7607617,-0.32307039,-0.59110471,-0.4718843,-0.11386235,-0.18171286,-0.3810253,-0.36978502,0.15142178,-0.38167044,-0.48889258,-1.7771385,-1.3597397,0.055429419,-0.21131868,-0.80836098,-0.61268124,-0.13031037,0.1158238,-0.3290982,-0.57538562,0.17737224,0.22334013,-0.019166933,0.11770761,-0.19467354,-0.87149756,0.11043448,-0.29414414,-0.67766612,0.14976097,-0.42433705,0.20141761,0.058189084,-1.8552526,-0.58384993,0.063070022,-0.62639974,-0.034040161,0.0063011844,0.17874644,-0.51896756,-0.13230475,-1.0286704,0.095640843,0.078002724,-0.22162365,0.1859872,-3.1176379,0.22640053,-0.18179948,-0.18700808,-0.060050956,0.14848806,-0.031995982,-0.024688192,0.038681197,-0.1643581,-1.0167567,-0.49857881,-0.22068313,0.12740298,-0.6265003,0.05009761,-0.11830472,-0.38774369,-0.12814169,-0.43773167,-0.96833413,-0.38787202,0.21935368,-0.60531035,0.10469807,-0.5232085,-5.5103599,0.0061576678,-0.36190673,-0.42231436,-0.15535732,0.015508369,0.030956475,-0.23490765,0.099197186,-0.79650979,0.21663511,-0.21495517,-0.41885538,-0.87725408,-0.039697236,-0.60176646,-0.46700183,-0.44350248,-0.76075595,-0.14015721,-0.8904183,-0.42672453,-0.77998132,-1.4333383,-0.90640653,-0.66706792,-1.1617017,-0.14304594,-0.56410891,-0.64336767,-0.86366165,-0.19061549,0.20206105,0.093205514,0.013167507,0.22253704,-0.41679149,0.034028933,0.044929519,-1.0606617,-0.076308332,-0.37789799,-0.91430397,-0.38414661,0.049394647,-0.21989324,-0.68735296,-0.58364557,-0.40434189,-0.78048337,-1.3174812,-1.2359669,0.15844408,-0.56020466,-0.35743669,-0.68032084,-0.10519606,-0.69936548,-4.3187251,-0.66041868,-1.2282484,-0.40934484,-1.8287469,-0.038538224,-1.9384198,0.042327026,-0.25753118,-1.4851632,-0.21152095,-0.11925607,-0.58206702,0.13823641,0.037719908,-0.32154417,-0.24924482,-0.15363813,-0.69609027,-1.166413,0.17077267,-0.74730944,-0.31863645,-0.46762008,0.15071481,-0.22291518,-0.5091954,-0.01304091,-0.40084306,0.22129237,-0.4580646,0.22101547,-1.9197327,-0.55306732,0.042333909,-0.10787254,0.20155466,-1.4743151,-0.25554331,-2.9298478,-0.1825839,0.16183188,-0.10181595,-0.28020773,0.16555073,-0.44501318,0.21735714,0.10248964,0.18969353,0.055516305,0.096783872,0.19924054,-0.075063547,-0.26849873,-0.32470772,-0.15308379,-0.34580168,-0.39904638,-1.2732153,-0.30907943,0.20516386,0.22578822,-0.13787064,-0.52784888,-0.34871341,-0.64871731,-0.64094163,-1.6130672,0.095986671,0.1320542,0.17407575,-1.8824111,-2.6736372,-0.40661008,-1.060795,-0.69345141,-0.27229825,-0.49332182,-0.38076425,-0.28506852,-1.2272888,-4.796654,-1.0791244,-1.039683,-4.0194539,-3.2474538,-3.5163154,-0.9705738,0.03085735,-0.32841664,-0.073410948,-0.38538617,0.027879976,-2.1706257,-0.46914786,-0.2528753,-0.41548566,0.0044033181,-0.23315294,-0.38772806,-2.1149087,-0.24924225,-0.48227706,0.057640544,0.16940668,-0.51252732,-1.4004879,-0.081008704,0.20781052,-0.20298721,-0.40472127,-1.3071373,-0.54563587,-0.2786424,-0.088613496,-1.6623976
-187.46144,0.99991126,0.0091605848,8,255,0,189.17996,0.028633369,1.2170853,0.31853923,0.15474314,-0.74221266,-0.22373064,-4.6313726,-0.40284407,0.19817351,-0.12204807,-0.19474972,0.15851866,-0.20009351,-0.4692241,-0.73200061,-1.0501946,-0.21698129,-0.15520197,0.13352207,-3.088223,-0.94567552,-0.19414952,-0.39856538,0.21806644,-2.5675222,0.1836416,0.027612,0.21606761,0.14255891,-0.3480867,0.088670779,-0.27352999,-0.27386362,-0.13708269,-0.24242115,-0.66083555,0.16752706,-0.88877265,-0.18986263,-0.74887849,-1.1885914,-0.8253862,-2.0580739,-0.79543151,-1.271806,-0.69600521,-1.906291,-3.3131474,-3.7415298,-0.32227694,-0.58887078,-0.47029293,-0.11450428,-0.18193987,-0.38002568,-0.36883446,0.1487916,-0.38054649,-0.48732826,-1.7684995,-1.3533621,0.05372578,-0.21114458,-0.80530332,-0.61060294,-0.13080603,0.1133672,-0.32806076,-0.57296829,0.17446546,0.2185094,-0.020712306,0.11496632,-0.19522319,-0.8670143,0.10881417,-0.29291975,-0.67590534,0.14772383,-0.42237826,0.19484384,0.056951725,-1.8440158,-0.58089097,0.051767903,-0.6250288,-0.035778399,0.0042002844,0.1746836,-0.51822778,-0.13191321,-1.0253714,0.094127162,0.068122852,-0.22077161,0.18343674,-3.1755588,0.22248826,-0.18258131,-0.18776408,-0.061633917,0.144969,-0.033668265,-0.026315622,0.036656063,-0.16506003,-1.0443437,-0.4975104,-0.22106493,0.12442129,-0.62480162,0.047919785,-0.11928116,-0.38723641,-0.12905831,-0.43582662,-0.96340732,-0.38624559,0.2134192,-0.60371646,0.10205894,-0.52191342,-5.5159568,0.004416585,-0.36144018,-0.42153372,-0.156029,0.013694379,0.029017763,-0.23512462,0.08950898,-0.79386417,0.21019164,-0.21528366,-0.41715298,-0.87298842,-0.04022612,-0.59904998,-0.46594725,-0.44256827,-0.75719252,-0.14087409,-0.88612176,-0.42587664,-0.77797197,-1.4300299,-0.90079765,-0.66302788,-1.1558701,-0.14397739,-0.56287488,-0.64172376,-0.86095543,-0.19108028,0.19789779,0.090751612,0.011443045,0.21707015,-0.41668984,0.032056846,0.042859144,-1.0554237,-0.076675637,-0.3774038,-0.90962155,-0.3836723,0.048212359,-0.21929211,-0.68545114,-0.5809955,-0.40284208,-0.77772522,-1.3121413,-1.2312409,0.14955529,-0.55762439,-0.35706341,-0.67705632,-0.10524161,-0.69596641,-4.275593,-0.65730011,-1.2236094,-0.40863277,-1.8190948,-0.039202576,-1.9279264,0.040434624,-0.25746108,-1.4779602,-0.21127074,-0.11955345,-0.58016877,0.13550048,0.03621742,-0.32090864,-0.24885981,-0.15406463,-0.69312018,-1.1606174,0.16742526,-0.74490079,-0.3183715,-0.46655684,0.14847104,-0.22226368,-0.50803624,-0.013628603,-0.39906003,0.21746514,-0.45601614,0.21732069,-1.9123071,-0.55164803,0.041194389,-0.1088228,0.19818028,-1.4666478,-0.254857,-2.9192567,-0.1972353,0.15309514,-0.10268806,-0.28005977,0.16217901,-0.44410344,0.21265148,0.099942287,0.18585894,0.053420905,0.094296513,0.19517189,-0.075387078,-0.26810419,-0.32441763,-0.15327234,-0.34489482,-0.3976895,-1.2676414,-0.30837487,0.20134258,0.22053704,-0.13851251,-0.52658679,-0.3483449,-0.64568897,-0.63888746,-1.6033632,0.093594129,0.12277505,0.17060381,-1.8723668,-2.6673494,-0.42564311,-1.0576063,-0.69167373,-0.27246875,-0.49236422,-0.38034704,-0.28522666,-1.2230722,-4.8027266,-1.0753404,-1.0359057,-4.0128538,-3.2374215,-3.5049993,-0.96583393,0.028930692,-0.32813133,-0.08687391,-0.38479562,0.02596765,-2.1620007,-0.46808426,-0.25294081,-0.41456033,0.0029332377,-0.23268439,-0.38642968,-2.1053846,-0.2491435,-0.48090039,0.0556979,0.16604664,-0.51093821,-1.3943432,-0.0819303,0.20307365,-0.20278505,-0.40376455,-1.3012307,-0.54363419,-0.27868329,-0.088660853,-1.6574981
-187.98034,0.99999876,0.0091605848,7,255,0,188.72273,0.024014828,1.2196368,0.31882422,0.17953118,-0.73921237,-0.22295203,-4.7745871,-0.40135118,0.19551458,-0.12175624,-0.21142075,0.15079344,-0.19938977,-0.4674529,-0.72908193,-1.0460281,-0.21625984,-0.17077978,0.13205604,-3.073078,-0.94210409,-0.19362691,-0.39714522,0.21444929,-2.5546223,0.17702549,0.016505823,0.21124032,0.13455949,-0.34677478,0.087482697,-0.29186034,-0.27305549,-0.13652698,-0.24173957,-0.65841626,0.16560452,-0.8851759,-0.18924525,-0.74586073,-1.183746,-0.82200353,-2.0496224,-0.79225738,-1.2662761,-0.69313908,-1.8982374,-3.2998718,-3.726645,-0.32115101,-0.58657639,-0.46843404,-0.11416794,-0.18133126,-0.37866191,-0.36758568,0.14739941,-0.37894083,-0.48510564,-1.7615231,-1.3482059,0.053382678,-0.21090592,-0.80147815,-0.60768423,-0.12998852,0.11272888,-0.32743831,-0.57132321,0.17162986,0.21594123,-0.020259796,0.11429107,-0.19377707,-0.86474271,0.10671814,-0.29282328,-0.67191698,0.1450265,-0.42176306,0.18759425,0.055395355,-1.8400274,-0.57981404,0.041997613,-0.62110636,-0.0349597,0.0048438466,0.17345259,-0.5147829,-0.13254331,-1.0195388,0.092334084,0.05687459,-0.22090588,0.18035154,-3.2706925,0.21808168,-0.18104218,-0.18624613,-0.060731824,0.14407127,-0.033112732,-0.025918617,0.036522901,-0.16394305,-1.0794401,-0.49478913,-0.21966853,0.12353313,-0.62146326,0.047756411,-0.11840182,-0.38504176,-0.1281273,-0.43477852,-0.9605363,-0.38538731,0.20952574,-0.60052186,0.10126708,-0.51925271,-5.396528,0.0044197309,-0.35953101,-0.41934345,-0.15510907,0.013634241,0.028848935,-0.23381387,0.079093581,-0.7898997,0.2037408,-0.21406916,-0.41605251,-0.87022734,-0.040802208,-0.59726117,-0.46356491,-0.44029462,-0.75481219,-0.14003845,-0.88328936,-0.42368054,-0.77351142,-1.4192956,-0.89974124,-0.66248279,-1.1528884,-0.14251189,-0.55941762,-0.63796318,-0.85616877,-0.18979183,0.19573374,0.090203658,0.011418122,0.21329818,-0.41345798,0.031979452,0.042776375,-1.0520091,-0.077156471,-0.37518089,-0.90717433,-0.38125898,0.046761339,-0.21919725,-0.68159173,-0.57946206,-0.40179685,-0.77400802,-1.305818,-1.2249965,0.14228926,-0.55621147,-0.35497496,-0.67522161,-0.1056714,-0.69414085,-4.292599,-0.65548952,-1.2173591,-0.40644312,-1.8131338,-0.03976005,-1.9219105,0.040162488,-0.25618582,-1.472412,-0.21071954,-0.11943687,-0.577545,0.13417434,0.035492188,-0.31951981,-0.24813925,-0.15330139,-0.6907487,-1.1568024,0.16584426,-0.74105678,-0.31655178,-0.46412825,0.14621725,-0.22211941,-0.50526774,-0.014619891,-0.39836021,0.21367449,-0.45501391,0.21349143,-1.9016901,-0.54871726,0.039985979,-0.10800086,0.19510883,-1.461987,-0.25443337,-2.9011105,-0.21434455,0.14568827,-0.10198709,-0.27848688,0.16083999,-0.44164535,0.20999478,0.099365666,0.18407448,0.053246871,0.093773904,0.19315738,-0.075944678,-0.26714004,-0.3225223,-0.15297982,-0.34373948,-0.39643263,-1.2621295,-0.307377,0.19839296,0.21609914,-0.13774156,-0.52354789,-0.34623109,-0.64404406,-0.63584894,-1.600139,0.092786697,0.11440898,0.16871457,-1.8664885,-2.6449465,-0.44612241,-1.0511829,-0.68758836,-0.27064117,-0.4894669,-0.37798568,-0.28323496,-1.2161281,-4.7222187,-1.0695395,-1.0305571,-3.9701352,-3.2124137,-3.4780923,-0.96279763,0.028888916,-0.3262547,-0.10029877,-0.3827453,0.025848626,-2.1499058,-0.46569951,-0.25162618,-0.41263806,0.0026348321,-0.23208285,-0.38518333,-2.0953397,-0.24811846,-0.47889329,0.054865941,0.16391213,-0.50894584,-1.3882804,-0.081928324,0.19942482,-0.20189133,-0.40231687,-1.2957478,-0.54117821,-0.27670568,-0.089674183,-1.647528
