# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 20:50:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp6zuhf5dg/4m_uw6ms.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924165036_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0695977
# Elements of inverse mass matrix:
# 0.407208, 0.00290859, 0.00353464, -0.257648
# 0.00290859, 0.0005511, -0.000529989, -0.000900237
# 0.00353464, -0.000529989, 0.0374095, -0.00366919
# -0.257648, -0.000900237, -0.00366919, 0.228247
-188.33003,0.99925424,0.069597693,5,63,0,190.03802,0.053565281,1.2044092,0.3176392,0.070945213,-0.75594385,-0.22625599,-4.1454888,-0.40983695,0.21179951,-0.1221544,-0.12637915,0.19323146,-0.20149908,-0.47765895,-0.74539452,-1.0712762,-0.21927775,-0.090192297,0.14256092,-3.141483,-0.96504579,-0.19633608,-0.40463311,0.23553664,-2.6265393,0.21417411,0.076421663,0.23972857,0.17967496,-0.35193258,0.096647215,-0.19730552,-0.275724,-0.13866107,-0.2448987,-0.67219252,0.17802323,-0.90546844,-0.19105341,-0.76346103,-1.2115966,-0.84192243,-2.0992527,-0.80923492,-1.2989126,-0.70975408,-1.9500727,-3.3697078,-3.8153822,-0.32689204,-0.60001652,-0.47964985,-0.1133184,-0.18166034,-0.38379619,-0.37162138,0.1545616,-0.39004032,-0.49960713,-1.7925154,-1.3706372,0.054510939,-0.20831547,-0.82649547,-0.62613343,-0.13547065,0.11626332,-0.32867977,-0.57900986,0.18931888,0.23165537,-0.020944672,0.12040503,-0.19947139,-0.87956006,0.11829965,-0.29394391,-0.69223859,0.15981298,-0.42617952,0.22669534,0.064551031,-1.8700719,-0.58790298,0.095795622,-0.63971054,-0.03544798,0.0058066749,0.18521564,-0.52879195,-0.13128421,-1.0471257,0.1013822,0.1143186,-0.22261718,0.1954338,-2.8437407,0.2406013,-0.18497099,-0.18972799,-0.060279719,0.15496021,-0.030869853,-0.023248027,0.041755473,-0.16548124,-0.90669852,-0.50528896,-0.22280078,0.13340145,-0.63526464,0.053549879,-0.1185781,-0.39265672,-0.12860005,-0.44427635,-0.98344463,-0.39360764,0.23580187,-0.61314215,0.11042907,-0.52958942,-5.5732901,0.0090788639,-0.3657381,-0.42710978,-0.15659648,0.016511659,0.032351551,-0.24028261,0.13410809,-0.80879235,0.23914306,-0.21751085,-0.4252975,-0.88999877,-0.040413014,-0.61075467,-0.47525667,-0.44944733,-0.77397826,-0.13796168,-0.9062778,-0.42896022,-0.78871131,-1.4499165,-0.92339319,-0.68150116,-1.1894287,-0.1492396,-0.57759292,-0.65741538,-0.88094443,-0.19481925,0.21058601,0.096147996,0.014671802,0.23730778,-0.42336838,0.035973336,0.046528459,-1.0741851,-0.074248151,-0.385104,-0.92325816,-0.39283061,0.055022298,-0.2203349,-0.70013752,-0.58969279,-0.40815829,-0.79287965,-1.3391112,-1.256761,0.18434376,-0.56662152,-0.36324496,-0.6884884,-0.10436468,-0.70711545,-4.2987236,-0.6685088,-1.2475488,-0.41509357,-1.8563049,-0.036989903,-1.9654372,0.044871742,-0.26029343,-1.5086883,-0.21411238,-0.12019381,-0.59041452,0.14422838,0.040484273,-0.32603302,-0.25154297,-0.15545121,-0.70513819,-1.1819829,0.17764549,-0.75958081,-0.32364085,-0.47450353,0.15768965,-0.22473576,-0.51688341,-0.01119313,-0.40624645,0.23270953,-0.46411072,0.23228879,-1.9477519,-0.56027957,0.044821757,-0.108079,0.21113622,-1.4969731,-0.25861646,-2.9780968,-0.12849058,0.18857649,-0.10222178,-0.283769,0.17267562,-0.45137135,0.22895224,0.10696244,0.19816767,0.058565841,0.10106665,0.20867273,-0.074415561,-0.27196795,-0.32908615,-0.15401681,-0.35000595,-0.40379743,-1.292619,-0.31268194,0.21571743,0.24130084,-0.13807755,-0.53464275,-0.35216052,-0.65909962,-0.64868224,-1.6380711,0.10165483,0.16281279,0.18373562,-1.9166207,-2.7108291,-0.33696572,-1.0765039,-0.70304719,-0.27501676,-0.49961274,-0.38560329,-0.28830335,-1.2446855,-4.8469833,-1.0940655,-1.0539098,-4.0592006,-3.28133,-3.5476261,-0.98634176,0.034501841,-0.33020217,-0.025299132,-0.38719213,0.032351733,-2.1970319,-0.47344383,-0.25336941,-0.41839661,0.008796015,-0.23813118,-0.39510982,-2.1350082,-0.2490235,-0.48502354,0.064792109,0.18107149,-0.51462883,-1.4110858,-0.076039393,0.22550796,-0.21062592,-0.4029362,-1.3417542,-0.56178393,-0.29083869,-0.079616037,-1.7172709
-187.58229,0.99999656,0.069597693,5,31,0,188.73799,0.033061143,1.2040946,0.31570946,0.107864,-0.7627877,-0.23276684,-3.568086,-0.41664649,0.2083684,-0.12853616,-0.087601761,0.20209791,-0.20794202,-0.48451501,-0.75237036,-1.078441,-0.22587169,-0.054593258,0.13773609,-3.1478483,-0.97250161,-0.20313944,-0.41169309,0.23298042,-2.6271197,0.22087386,0.096894247,0.24118369,0.1896518,-0.35878717,0.090659481,-0.15285852,-0.2830267,-0.14441149,-0.25202313,-0.67976907,0.17387316,-0.91251549,-0.19752188,-0.77030522,-1.2188357,-0.84853368,-2.1071537,-0.81641871,-1.3048251,-0.71625608,-1.9558634,-3.3827238,-3.8269415,-0.33370519,-0.60682848,-0.48617543,-0.11953438,-0.18817902,-0.39091647,-0.37894066,0.15031646,-0.39603563,-0.50517868,-1.8029317,-1.3803083,0.049803427,-0.21627562,-0.83123921,-0.63121748,-0.14043279,0.11253745,-0.3371357,-0.58776651,0.18338926,0.23145276,-0.025178254,0.11680156,-0.20386706,-0.88976656,0.11075264,-0.30294052,-0.6958742,0.15256024,-0.43529021,0.22970277,0.056996154,-1.886052,-0.59741552,0.11606746,-0.64342895,-0.039511292,0.0019749102,0.18315578,-0.53280602,-0.13955148,-1.0511024,0.09453206,0.13032243,-0.23061821,0.18979756,-2.478853,0.23744608,-0.19004216,-0.19487603,-0.065196333,0.1514159,-0.036074027,-0.028664154,0.036395277,-0.17133227,-0.7914453,-0.51131149,-0.22870772,0.12884608,-0.64129589,0.048296651,-0.12436619,-0.3986537,-0.13440322,-0.45155736,-0.99131604,-0.40084211,0.23656191,-0.6192167,0.10539169,-0.53590375,-5.5322254,0.0033893132,-0.37198501,-0.43338579,-0.16178618,0.013005181,0.028912842,-0.24280955,0.1473802,-0.81347299,0.24054452,-0.22249839,-0.43227897,-0.89855199,-0.045991853,-0.61831556,-0.47927133,-0.45538712,-0.77948684,-0.14671976,-0.91024383,-0.43833322,-0.79909601,-1.4643159,-0.92551612,-0.68368928,-1.1897136,-0.15278732,-0.58104556,-0.66109161,-0.88458416,-0.19971682,0.2084586,0.091834072,0.009621525,0.23747585,-0.42886376,0.031177287,0.041928531,-1.0828635,-0.081568337,-0.39019401,-0.93279141,-0.39755238,0.047777674,-0.22805628,-0.70483491,-0.59783935,-0.41561653,-0.79895869,-1.3449585,-1.2619886,0.1947478,-0.57469622,-0.36867818,-0.69675744,-0.11178338,-0.71553579,-4.3637259,-0.67657195,-1.2530136,-0.42092408,-1.8651111,-0.043640997,-1.9749655,0.039423148,-0.26655897,-1.5156525,-0.22052744,-0.12649416,-0.59712227,0.13922427,0.034821236,-0.33276021,-0.25794748,-0.16170419,-0.71220436,-1.1899875,0.17361608,-0.76545895,-0.32951617,-0.48055569,0.15206207,-0.23200049,-0.52270975,-0.017917419,-0.41322905,0.23021584,-0.47132037,0.22953427,-1.95561,-0.56711076,0.03895942,-0.11450978,0.20789183,-1.503342,-0.26485725,-2.9896464,-0.08936493,0.19769388,-0.10883992,-0.29062032,0.16803983,-0.45815377,0.22652137,0.10141745,0.19437171,0.052665135,0.095468871,0.20507763,-0.080625931,-0.27812833,-0.33578027,-0.16010422,-0.35624943,-0.41084318,-1.3005343,-0.31890514,0.2128703,0.24128842,-0.14477594,-0.54174039,-0.35916131,-0.66540832,-0.65595465,-1.6441439,0.095839138,0.17404367,0.1791256,-1.9227483,-2.7205131,-0.27980108,-1.0828446,-0.70972977,-0.28168463,-0.50645666,-0.39241914,-0.29490679,-1.2520143,-4.8820202,-1.1016831,-1.0618021,-4.0880445,-3.2987915,-3.5717188,-0.99223915,0.028107512,-0.33825148,0.002713798,-0.39533999,0.025829162,-2.2080741,-0.48084821,-0.26058719,-0.4260601,0.0017376098,-0.24368193,-0.40062128,-2.1484105,-0.25664933,-0.49304932,0.057943813,0.1757624,-0.52290049,-1.4215348,-0.083535396,0.2225158,-0.21563684,-0.4118934,-1.3435355,-0.56569123,-0.29467396,-0.088802952,-1.7136299
-189.61562,0.99745889,0.069597693,5,31,0,190.2918,0.049273325,1.1909574,0.31624505,0.075422491,-0.77305485,-0.2311126,-3.5544675,-0.41913269,0.22451125,-0.12438365,-0.048830706,0.23004036,-0.20566261,-0.48851394,-0.76229888,-1.0955868,-0.22399043,-0.016874694,0.14995071,-3.2158424,-0.98704295,-0.20062589,-0.41381947,0.25187065,-2.6853697,0.24671638,0.12983652,0.26336066,0.21821988,-0.35972448,0.10158742,-0.11243999,-0.28185371,-0.14119817,-0.25038166,-0.68758642,0.18764069,-0.92601185,-0.19496877,-0.78078034,-1.2391022,-0.86095053,-2.1469644,-0.82760106,-1.3281096,-0.72577484,-1.9936784,-3.4486478,-3.9023799,-0.33421573,-0.61363246,-0.49051667,-0.11510421,-0.18520843,-0.39233991,-0.37987597,0.16201696,-0.39889253,-0.51083278,-1.8343005,-1.4023529,0.0574781,-0.21267147,-0.84490816,-0.64009038,-0.13805101,0.12198755,-0.33619424,-0.592401,0.19954529,0.24789253,-0.019925804,0.12684393,-0.20317153,-0.90011782,0.12350352,-0.30094378,-0.7072879,0.16728206,-0.43624592,0.25676649,0.067704862,-1.9137058,-0.60171632,0.14691062,-0.65358609,-0.034656748,0.0079483378,0.19640999,-0.54008262,-0.13432587,-1.070388,0.10595103,0.16351488,-0.22781983,0.2054276,-2.4419687,0.25713135,-0.18843941,-0.19327067,-0.060326409,0.16372646,-0.030091983,-0.022324919,0.044772402,-0.16855873,-0.74498641,-0.51648959,-0.22731801,0.14053172,-0.64946392,0.05704439,-0.1204286,-0.4012372,-0.13071738,-0.45450844,-1.0058073,-0.40268159,0.25739161,-0.62679617,0.11635574,-0.5413779,-5.828316,0.010981264,-0.3737072,-0.4365176,-0.15855342,0.019573929,0.035967035,-0.24430282,0.18046474,-0.82599897,0.26706766,-0.22240517,-0.43437281,-0.91018576,-0.04014678,-0.62401304,-0.48583702,-0.46000134,-0.79084991,-0.14093691,-0.92605246,-0.43913895,-0.80737281,-1.4846683,-0.94321898,-0.69611429,-1.2151306,-0.15165188,-0.59001843,-0.67168,-0.90028211,-0.19855878,0.22379956,0.1013876,0.016794249,0.25736424,-0.43250557,0.038902106,0.049799384,-1.0987673,-0.075382249,-0.3934129,-0.94457768,-0.40133145,0.057917819,-0.22530154,-0.71559495,-0.60325387,-0.4174297,-0.81072404,-1.3693769,-1.2850531,0.22218352,-0.57969682,-0.37106424,-0.70433999,-0.10644114,-0.72337675,-4.390953,-0.68386545,-1.2756988,-0.42416831,-1.8981645,-0.036988028,-2.0098775,0.04783228,-0.26585432,-1.5426562,-0.2186845,-0.12239433,-0.6037911,0.15150157,0.043244072,-0.33340302,-0.25688172,-0.15857291,-0.72105711,-1.2088075,0.18722731,-0.77665909,-0.33069103,-0.48504752,0.16531536,-0.22979119,-0.52834067,-0.010465924,-0.41544125,0.24803256,-0.47459419,0.24728783,-1.9929629,-0.57299596,0.047530875,-0.10996094,0.22373754,-1.5303785,-0.26413265,-3.0480573,-0.05072446,0.22603782,-0.10408256,-0.29018601,0.18173989,-0.46165387,0.2444373,0.1122393,0.20959313,0.061811953,0.10607242,0.22104403,-0.075270059,-0.27772645,-0.33651029,-0.1569064,-0.3576469,-0.41301421,-1.3221425,-0.31944609,0.22928764,0.26204001,-0.14076088,-0.54681986,-0.36005176,-0.67388916,-0.66346562,-1.6745467,0.10684284,0.20387618,0.19401547,-1.9589545,-2.776246,-0.23739071,-1.1010645,-0.71902111,-0.28105643,-0.51094421,-0.39433061,-0.29466755,-1.2733142,-5.0057601,-1.1192283,-1.0781822,-4.17162,-3.3647013,-3.6393137,-1.0083096,0.036926941,-0.33774959,0.04008317,-0.39599257,0.034796201,-2.2488704,-0.4841906,-0.25886187,-0.42791081,0.010295076,-0.24319583,-0.40377325,-2.1856272,-0.25449543,-0.49607907,0.068523894,0.19129895,-0.52635012,-1.4440294,-0.076825501,0.24257682,-0.21522958,-0.41199165,-1.3709872,-0.57430773,-0.29723847,-0.080679246,-1.7537353
