# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 21:31:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpwo5r69kv/x4gbwd16.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924173125_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0919035
# Elements of inverse mass matrix:
# 0.377899, 0.00245185, -0.00129099, -0.229899
# 0.00245185, 0.000544977, -0.000632495, -0.000440877
# -0.00129099, -0.000632495, 0.0415026, 0.00131932
# -0.229899, -0.000440877, 0.00131932, 0.198793
-191.15291,0.99463642,0.091903504,4,15,0,191.37832,0.029375267,1.1884458,0.30896242,0.15919062,-0.80091065,-0.25650015,-2.0591309,-0.44471254,0.21040798,-0.14908152,0.071173626,0.25609305,-0.23160026,-0.51436211,-0.79017617,-1.1233805,-0.24938115,0.091923874,0.12980378,-3.2794033,-1.013352,-0.2252754,-0.44029337,0.24234103,-2.7183145,0.26436191,0.19078963,0.26431105,0.24634592,-0.38746119,0.078726992,0.023730661,-0.30931759,-0.16504585,-0.27614459,-0.715415,0.17023418,-0.95462314,-0.22079456,-0.80764937,-1.2690682,-0.88786994,-2.1809524,-0.85698061,-1.3560057,-0.75225202,-2.0189167,-3.5059881,-3.9457789,-0.36016608,-0.63984949,-0.51539939,-0.14104098,-0.2124439,-0.42108708,-0.40937399,0.14586984,-0.42105421,-0.53302974,-1.8833111,-1.4457474,0.038934119,-0.2432492,-0.86583052,-0.66223524,-0.15850884,0.10515798,-0.36638106,-0.6236775,0.18003742,0.24075183,-0.041234455,0.107955,-0.2265788,-0.93143277,0.10097401,-0.32916482,-0.73159938,0.1461064,-0.46516517,0.26847013,0.043373724,-1.9556709,-0.6313983,0.20444361,-0.6784,-0.057268124,-0.014203584,0.18055074,-0.56662901,-0.1594226,-1.0991792,0.084203008,0.21629477,-0.25318739,0.1887629,-1.4444251,0.24796971,-0.21325732,-0.21873136,-0.084834299,0.14419639,-0.054833169,-0.046947896,0.021240819,-0.19468036,-0.40546817,-0.54471693,-0.25384653,0.11964926,-0.67845695,0.033625143,-0.14617109,-0.42880953,-0.1565455,-0.47896728,-1.0312905,-0.42698814,0.25392896,-0.65644252,0.09408531,-0.57037975,-6.4552971,-0.013742457,-0.4016822,-0.4648758,-0.18509813,-0.0036819865,0.01299635,-0.26866291,0.22835848,-0.85614129,0.27727206,-0.2477288,-0.45945603,-0.93686894,-0.062124712,-0.65005855,-0.51145388,-0.48688869,-0.81588513,-0.16905363,-0.95090867,-0.4693481,-0.83957705,-1.5259235,-0.96580613,-0.71690192,-1.2337691,-0.17249532,-0.61284076,-0.69567358,-0.92586516,-0.22217949,0.21073333,0.080773887,-0.0063111064,0.25234949,-0.4597427,0.01612765,0.027825804,-1.1289239,-0.10080679,-0.41828466,-0.97635734,-0.42477528,0.033756367,-0.25170899,-0.74177711,-0.63159369,-0.44475793,-0.83842317,-1.3992461,-1.3147011,0.25006489,-0.60689054,-0.39698819,-0.73206933,-0.13120317,-0.75203758,-4.4700086,-0.7113831,-1.3073571,-0.45122175,-1.9276756,-0.060891824,-2.0425187,0.025176438,-0.29213268,-1.5715419,-0.24332596,-0.14643824,-0.631042,0.13182593,0.020535851,-0.35873293,-0.28297419,-0.18301865,-0.74941579,-1.239439,0.17008357,-0.80406342,-0.35623312,-0.51198504,0.14641419,-0.25481785,-0.55563856,-0.033542117,-0.44050203,0.23807371,-0.50026277,0.23707214,-2.0318259,-0.60143115,0.025754977,-0.13509966,0.2097931,-1.5598326,-0.28919444,-3.0854383,0.068673008,0.25373494,-0.12860595,-0.31587588,0.16373022,-0.48830991,0.23386738,0.091056199,0.19384555,0.039333025,0.084700073,0.20657124,-0.099464218,-0.30329248,-0.36257096,-0.18211709,-0.38400832,-0.43931066,-1.3515092,-0.34561308,0.2158092,0.25855326,-0.16654901,-0.57499048,-0.38778959,-0.69918143,-0.69301245,-1.7014815,0.084271817,0.23688558,0.17539933,-1.9809384,-2.8379357,-0.064759278,-1.1336218,-0.74874105,-0.30802218,-0.53923693,-0.42146246,-0.32146091,-1.3071854,-5.2165726,-1.1515347,-1.1098153,-4.2878771,-3.4456113,-3.7294373,-1.0347485,0.01274529,-0.36655382,0.12730471,-0.42623333,0.0096810155,-2.2963534,-0.51377313,-0.28743639,-0.45747847,-0.015355263,-0.26583915,-0.42737651,-2.2371342,-0.28338532,-0.5273021,0.042565786,0.17074891,-0.55901623,-1.4894652,-0.10619102,0.22892136,-0.2343571,-0.44650973,-1.3817031,-0.59133521,-0.31419014,-0.11310932,-1.7522262
-187.30863,0.99999883,0.091903504,5,31,0,191.7658,0.028907218,1.1964419,0.31976102,0.16655113,-0.75578079,-0.21895473,-4.8071122,-0.40434798,0.22537044,-0.11340576,-0.13973065,0.20242709,-0.19455195,-0.47304903,-0.74519376,-1.0740091,-0.21194715,-0.10093037,0.15469096,-3.1973112,-0.96547703,-0.18813436,-0.40004223,0.24883525,-2.6468474,0.22523569,0.077501677,0.25208479,0.18688622,-0.34808214,0.10694449,-0.2183083,-0.27109031,-0.12899416,-0.23827372,-0.67144838,0.19139709,-0.90744439,-0.18391866,-0.76242703,-1.2176998,-0.84158088,-2.1174408,-0.81110648,-1.3034866,-0.70775582,-1.9580173,-3.4230033,-3.8589806,-0.32104529,-0.59685467,-0.47402956,-0.10575994,-0.17590587,-0.38127372,-0.3697856,0.17099105,-0.38080968,-0.49130934,-1.8228591,-1.3915905,0.070291288,-0.206451,-0.8197961,-0.61882854,-0.12215131,0.13318412,-0.32745512,-0.58106314,0.19916041,0.24885578,-0.0078625143,0.13483786,-0.18948145,-0.88470373,0.1283974,-0.29059931,-0.68726305,0.1699865,-0.42467112,0.23550492,0.073550116,-1.8955912,-0.58865565,0.10098577,-0.63478222,-0.023758462,0.018000282,0.19936872,-0.52462179,-0.12336892,-1.0498175,0.11283541,0.11746298,-0.21557066,0.20867441,-3.2280443,0.25379945,-0.17651966,-0.18197367,-0.050825932,0.16701632,-0.021657319,-0.013942423,0.052040004,-0.15839063,-0.99631225,-0.50307761,-0.21653299,0.14492813,-0.63495179,0.063864422,-0.11081019,-0.38882083,-0.12097727,-0.43807199,-0.98329443,-0.38678524,0.24748104,-0.6132668,0.12108907,-0.52841007,-6.1158251,0.018197664,-0.36212437,-0.42440133,-0.14903093,0.027918127,0.04399224,-0.23114824,0.1382048,-0.8101993,0.25025019,-0.21055982,-0.41882801,-0.89004764,-0.027989697,-0.60693039,-0.47027945,-0.44606056,-0.77061386,-0.13320453,-0.90388831,-0.42876851,-0.7936599,-1.4702393,-0.91879187,-0.67306212,-1.1827638,-0.13610229,-0.57007652,-0.6518222,-0.87892026,-0.18513935,0.22516526,0.10912839,0.025645689,0.25017011,-0.41930359,0.047236119,0.058610849,-1.0795444,-0.066178684,-0.37829575,-0.92901548,-0.38460151,0.064359087,-0.21426458,-0.69733778,-0.5888,-0.40449959,-0.79273566,-1.3459875,-1.2625159,0.19356252,-0.56439571,-0.35737553,-0.68792854,-0.09576731,-0.70764988,-4.3871478,-0.6675089,-1.255196,-0.41087888,-1.8680845,-0.027075712,-1.9813231,0.0560889,-0.25412395,-1.5163216,-0.20591737,-0.1107172,-0.58817236,0.15679662,0.051722558,-0.31957551,-0.24508989,-0.14665913,-0.70501622,-1.1885706,0.19127057,-0.75881445,-0.31717349,-0.47075404,0.17073362,-0.21719713,-0.51380696,-0.00027998836,-0.40018758,0.24745002,-0.4591546,0.24712714,-1.9694866,-0.55897939,0.057067392,-0.099791364,0.2252828,-1.5047992,-0.25111733,-3.0092207,-0.14236164,0.1973518,-0.093306745,-0.2773789,0.18556624,-0.44736373,0.2424366,0.11887757,0.21157622,0.069750581,0.11289258,0.22202215,-0.064798085,-0.26502345,-0.32340711,-0.14590759,-0.34460896,-0.3990762,-1.2990823,-0.30677299,0.22913728,0.25448457,-0.13065762,-0.53290623,-0.34838193,-0.65541197,-0.64933207,-1.6449848,0.1121322,0.1681757,0.19491731,-1.9210876,-2.7613436,-0.37040649,-1.0837284,-0.70423466,-0.26978641,-0.49764211,-0.38149759,-0.28299516,-1.2549511,-5.0677244,-1.1015192,-1.0604175,-4.1813204,-3.3585941,-3.6377249,-0.98660659,0.043961143,-0.32743392,-0.034249509,-0.38632551,0.040794404,-2.2299847,-0.47261266,-0.24967686,-0.41713893,0.016706394,-0.22791057,-0.38718865,-2.171685,-0.24570036,-0.48603364,0.072024585,0.19006724,-0.5173555,-1.4345765,-0.072154326,0.23325521,-0.19653565,-0.40662587,-1.3295337,-0.54872457,-0.27504536,-0.079206572,-1.6954626
-187.32724,0.99974001,0.091903504,5,63,0,188.19369,0.032104699,1.1987696,0.31761018,0.12046221,-0.76107212,-0.22630581,-4.0615007,-0.41165251,0.21837309,-0.12112766,-0.10409111,0.20661554,-0.20141614,-0.48011823,-0.75055213,-1.079187,-0.2193421,-0.068591305,0.14731092,-3.1741984,-0.97201419,-0.19623035,-0.40680898,0.24279729,-2.6428954,0.22691237,0.093868884,0.24959271,0.19320639,-0.35378704,0.099779603,-0.17443471,-0.27728037,-0.13704946,-0.24569074,-0.67724773,0.18380068,-0.91213607,-0.19088252,-0.76843674,-1.2211845,-0.84734451,-2.1174153,-0.81540747,-1.3076499,-0.71392616,-1.963271,-3.40785,-3.8523673,-0.32812089,-0.60350443,-0.48164147,-0.11236021,-0.18176683,-0.38634419,-0.37439774,0.16075811,-0.39028002,-0.5003884,-1.8137301,-1.3865067,0.059520094,-0.21055141,-0.8289433,-0.62751992,-0.13244007,0.12270824,-0.33220148,-0.58503157,0.19302175,0.24158232,-0.016648826,0.12644781,-0.19712671,-0.88919393,0.12031975,-0.29720212,-0.69345052,0.16236583,-0.43074219,0.23635293,0.065963592,-1.8946201,-0.59425562,0.1145275,-0.64068701,-0.031419591,0.010399745,0.19282724,-0.5294899,-0.13195538,-1.0525078,0.10412463,0.12961863,-0.22384449,0.2001419,-2.7793917,0.24741008,-0.18340705,-0.18840331,-0.057568591,0.16076692,-0.02823688,-0.020709026,0.044988706,-0.16469044,-0.87039365,-0.50782718,-0.2225976,0.13815943,-0.63903166,0.056952911,-0.11728909,-0.39411969,-0.12741913,-0.44649005,-0.99066737,-0.3953423,0.24507812,-0.61690251,0.11447018,-0.53272734,-5.7064229,0.011584649,-0.36727218,-0.42924671,-0.15511739,0.021287718,0.037338583,-0.23689395,0.14795932,-0.81294419,0.24826647,-0.21639394,-0.42710773,-0.89726209,-0.037416679,-0.61471956,-0.47541451,-0.45130912,-0.77741451,-0.13979113,-0.90954831,-0.43409741,-0.79808241,-1.4700667,-0.9247048,-0.68038754,-1.1906465,-0.14523577,-0.57739663,-0.65830602,-0.8839653,-0.19290455,0.21837966,0.10115601,0.018117694,0.24647552,-0.42457097,0.03982377,0.050777849,-1.0838537,-0.073781247,-0.38515758,-0.93276873,-0.39233702,0.056687738,-0.22154624,-0.70270957,-0.59463833,-0.41085744,-0.79766501,-1.3486145,-1.2650504,0.19876709,-0.57107329,-0.36363738,-0.69419359,-0.10405529,-0.71329297,-4.3862668,-0.67383706,-1.2564119,-0.41647721,-1.8720914,-0.035357568,-1.9833756,0.048257395,-0.26062115,-1.520134,-0.21381017,-0.11892759,-0.59398474,0.14893363,0.043691788,-0.32706683,-0.25184364,-0.1545389,-0.71012364,-1.1920504,0.18355715,-0.76388073,-0.3240024,-0.47652974,0.16211708,-0.22529731,-0.51914758,-0.0092257469,-0.4080182,0.24036567,-0.46665893,0.23976774,-1.9660518,-0.56399188,0.048130079,-0.10712187,0.21799806,-1.5078926,-0.25859255,-3.0076944,-0.106032,0.20191231,-0.10123815,-0.28466798,0.17791173,-0.45377947,0.23631415,0.1108341,0.20432821,0.061669679,0.10483726,0.21503089,-0.072733694,-0.27212892,-0.3303025,-0.15309197,-0.35102282,-0.40592261,-1.303306,-0.31333976,0.22273916,0.25037123,-0.13770491,-0.5383004,-0.35416414,-0.66241172,-0.65370239,-1.6490973,0.10498069,0.17644708,0.18870666,-1.9288955,-2.7431501,-0.31157318,-1.0849653,-0.70809526,-0.27597833,-0.50282419,-0.38761838,-0.2892848,-1.2556195,-4.9595164,-1.1036382,-1.063221,-4.1333164,-3.3293493,-3.6055757,-0.9921584,0.036684989,-0.33311687,-0.0071729867,-0.3909496,0.034206673,-2.2219855,-0.47716822,-0.25494492,-0.42188141,0.0099640097,-0.23685528,-0.3952708,-2.1621786,-0.25096373,-0.48969493,0.066369569,0.18501488,-0.52004831,-1.4284333,-0.076632042,0.23115321,-0.2079301,-0.40840547,-1.3435425,-0.5605661,-0.28738197,-0.08226262,-1.7149156
