# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 21:53:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpujiae32z/azys1umw.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924175302_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0919035
# Elements of inverse mass matrix:
# 0.377899, 0.00245185, -0.00129099, -0.229899
# 0.00245185, 0.000544977, -0.000632495, -0.000440877
# -0.00129099, -0.000632495, 0.0415026, 0.00131932
# -0.229899, -0.000440877, 0.00131932, 0.198793
-191.15291,0.99463642,0.091903504,4,15,0,191.37832,0.029375267,1.1884458,0.30896242,0.15919062,-0.80091065,-0.25650015,-2.0577417,-0.44810629,0.20905648,-0.15052148,0.071173626,0.25740151,-0.2287534,-0.51601097,-0.79017617,-1.1260923,-0.24938115,0.090726387,0.12980378,-3.2576602,-1.013352,-0.2240426,-0.43755423,0.24562028,-2.7660192,0.26116839,0.18869143,0.2632772,0.24634592,-0.38625592,0.080728542,0.025705476,-0.3059723,-0.16709962,-0.27508586,-0.71398385,0.17023418,-0.95634878,-0.21881292,-0.81061874,-1.2713281,-0.88786994,-2.1863789,-0.85698061,-1.3583163,-0.75225202,-2.0232269,-3.5059881,-3.9750833,-0.35834129,-0.63876038,-0.51539939,-0.14183706,-0.2124439,-0.42019769,-0.40763073,0.14377782,-0.42271269,-0.53568072,-1.8760033,-1.4390227,0.03611231,-0.23941704,-0.87013377,-0.66491523,-0.16109802,0.10213972,-0.36354639,-0.62117674,0.18235856,0.23791195,-0.043547933,0.10628486,-0.22897875,-0.92745343,0.10366597,-0.32551394,-0.73651811,0.14975525,-0.4613146,0.27154092,0.045936113,-1.9408915,-0.62655409,0.20100689,-0.68416737,-0.060748458,-0.016802301,0.17853893,-0.56817824,-0.15876011,-1.0994742,0.083861162,0.21511995,-0.25538864,0.18598948,-1.4458948,0.24850879,-0.21385323,-0.21881987,-0.08404861,0.1454053,-0.053131691,-0.044813107,0.023761641,-0.19112088,-0.402204,-0.54034718,-0.25019303,0.12186525,-0.67295876,0.036009601,-0.1421075,-0.42233945,-0.1498562,-0.48733172,-1.0446205,-0.43681788,0.26060693,-0.64870421,0.098819493,-0.56587296,-5.8204914,-0.010203667,-0.39580006,-0.46037481,-0.18259526,-0.0025662689,0.015522874,-0.26721917,0.22546031,-0.84835382,0.27403282,-0.24260219,-0.46713854,-0.94547185,-0.068344654,-0.65689292,-0.50783711,-0.48167241,-0.82471668,-0.16199803,-0.96091075,-0.46058374,-0.82886201,-1.5034835,-0.97993108,-0.73005014,-1.2550763,-0.18093855,-0.62281543,-0.70524339,-0.93628124,-0.22759398,0.20648316,0.076477966,-0.0099952995,0.24940464,-0.46414862,0.012028409,0.023224726,-1.1204517,-0.096250298,-0.42422354,-0.96628952,-0.43183164,0.038970197,-0.24667721,-0.7496392,-0.62536456,-0.43998231,-0.84411519,-1.4089616,-1.3248076,0.24588908,-0.60116018,-0.40205258,-0.72573142,-0.12682932,-0.74495872,-4.2222494,-0.7053339,-1.3168557,-0.45568442,-1.9131138,-0.057348444,-2.0240999,0.021661472,-0.29551598,-1.5631174,-0.24057722,-0.14379371,-0.63514564,0.12893183,0.023004102,-0.36201072,-0.2798287,-0.18641451,-0.74451686,-1.230935,0.16658345,-0.81039209,-0.3607441,-0.51641961,0.15010853,-0.25073822,-0.56066747,-0.02944393,-0.43436807,0.24266681,-0.4953162,0.24193226,-2.0566831,-0.60830835,0.030682462,-0.1405889,0.21451525,-1.5441129,-0.2838731,-3.1659987,0.073646296,0.24874834,-0.13390203,-0.3216278,0.15847162,-0.49503937,0.22862772,0.085761873,0.18859657,0.033999912,0.079401637,0.2013256,-0.094020153,-0.30929211,-0.36877349,-0.18733769,-0.3897925,-0.43308116,-1.3384967,-0.35126712,0.21256208,0.25408014,-0.17098,-0.58063021,-0.39232368,-0.69364254,-0.69869129,-1.6863218,0.080460563,0.2334697,0.17196244,-1.9628009,-2.889464,-0.0685301,-1.145716,-0.75666898,-0.31340365,-0.54548823,-0.42741344,-0.32726499,-1.319797,-6.0676588,-1.1616506,-1.1188675,-4.4718743,-3.5143994,-3.8128714,-1.027054,0.0094543378,-0.36859967,0.12584679,-0.42772421,0.0070579003,-2.3226059,-0.51824956,-0.2910514,-0.46117889,-0.018138738,-0.26355136,-0.42378862,-2.255785,-0.28628542,-0.5304154,0.040377784,0.16859403,-0.56167322,-1.4942883,-0.10757788,0.22779499,-0.23335326,-0.44622549,-1.3827753,-0.59208151,-0.31562006,-0.1115541,-1.7585459
-187.30863,0.99999883,0.091903504,5,31,0,191.7658,0.028907218,1.1964419,0.31976102,0.16655113,-0.75578079,-0.21895473,-4.8056723,-0.40774818,0.22397018,-0.11487521,-0.13973065,0.20378464,-0.19165906,-0.47469678,-0.74519376,-1.0766617,-0.21194715,-0.10217448,0.15469096,-3.1767457,-0.96547703,-0.18687851,-0.39728741,0.25224636,-2.6924255,0.2219118,0.075317437,0.25100831,0.18688622,-0.34686412,0.10902141,-0.21625038,-0.26769169,-0.1310995,-0.23719549,-0.67002455,0.19139709,-0.90914804,-0.18189198,-0.76537272,-1.2199156,-0.84158088,-2.1226895,-0.81110648,-1.3057503,-0.70775582,-1.9621996,-3.4230033,-3.8866899,-0.31919072,-0.59576403,-0.47402956,-0.10658065,-0.17590587,-0.38037189,-0.36801623,0.1688033,-0.3824919,-0.49398222,-1.8158284,-1.3850471,0.067370837,-0.20253929,-0.82407938,-0.62151779,-0.12482542,0.13002443,-0.3245621,-0.57854531,0.20159715,0.24587069,-0.010271636,0.13308687,-0.19195465,-0.88073846,0.13122102,-0.28685789,-0.69219805,0.17382089,-0.42075468,0.23873976,0.076234412,-1.8811155,-0.58376651,0.097363884,-0.64058968,-0.027388978,0.015205382,0.19717333,-0.52631887,-0.12257977,-1.0503122,0.1125746,0.11634109,-0.21769303,0.20590635,-3.2294633,0.25446566,-0.17724162,-0.18217125,-0.050128892,0.16817062,-0.020001291,-0.011831991,0.054564794,-0.15484704,-0.99300244,-0.49881617,-0.21290919,0.147188,-0.62955158,0.06628775,-0.10669904,-0.3823733,-0.11423517,-0.44635109,-0.99620698,-0.39655941,0.25433261,-0.60568937,0.12595671,-0.52395167,-5.6217056,0.021811466,-0.35624301,-0.41992713,-0.14651246,0.029034397,0.046561817,-0.22972306,0.13523691,-0.80260379,0.24693399,-0.20540631,-0.42646284,-0.89841232,-0.034322875,-0.6136451,-0.46672678,-0.44090117,-0.77924378,-0.12605659,-0.91362106,-0.42005305,-0.78339274,-1.4489948,-0.93235776,-0.68583673,-1.203754,-0.1448041,-0.58010193,-0.66140889,-0.88927411,-0.19070934,0.22070493,0.10463575,0.0218061,0.24707654,-0.42377643,0.042956506,0.053803782,-1.071149,-0.061445987,-0.3843452,-0.91899239,-0.39178898,0.069817106,-0.20907988,-0.70523073,-0.58251403,-0.39963265,-0.79843511,-1.3555866,-1.2725189,0.1891582,-0.55860123,-0.36255351,-0.68155452,-0.091220558,-0.70053426,-4.1486158,-0.66141728,-1.2646088,-0.41543106,-1.8537916,-0.023373048,-1.9632672,0.052400831,-0.25761077,-1.5080048,-0.20307496,-0.10796609,-0.59232511,0.15374557,0.054314745,-0.32294284,-0.2418428,-0.15018683,-0.70007942,-1.1801152,0.18757359,-0.76518141,-0.32181137,-0.47527439,0.17463719,-0.21297346,-0.51892274,0.0040198579,-0.39393616,0.25228987,-0.45410427,0.25225209,-1.9937995,-0.56597429,0.062261512,-0.10552832,0.23029168,-1.4892099,-0.24560622,-3.0873521,-0.13708071,0.19205813,-0.09884658,-0.28332626,0.17999281,-0.45425336,0.23687601,0.11327841,0.20600936,0.064121822,0.10729036,0.21645754,-0.059091375,-0.27122127,-0.32980338,-0.15130331,-0.35051308,-0.3926982,-1.2862448,-0.31255764,0.22569802,0.2497434,-0.13528703,-0.53865975,-0.3530563,-0.6497925,-0.6550966,-1.6297691,0.10809797,0.16454468,0.19126886,-1.9031734,-2.8120663,-0.37446745,-1.0958739,-0.7122886,-0.27537972,-0.50405402,-0.38764181,-0.28902491,-1.2675872,-5.802604,-1.1116898,-1.0695296,-4.3564206,-3.4256759,-3.7187702,-0.97884291,0.040448468,-0.32963853,-0.03587866,-0.38795424,0.037980596,-2.2559444,-0.47722666,-0.25345361,-0.42096701,0.013749961,-0.22549556,-0.38346904,-2.1901813,-0.24873571,-0.4892474,0.06969096,0.18775962,-0.52009553,-1.4394543,-0.073634869,0.23203586,-0.19546876,-0.40640226,-1.3304636,-0.54941835,-0.27653625,-0.077562985,-1.7017629
-187.32724,0.99974001,0.091903504,5,63,0,188.19369,0.032104699,1.1987696,0.31761018,0.12046221,-0.76107212,-0.22630581,-4.0603417,-0.41439108,0.21724985,-0.12230756,-0.10409111,0.20770104,-0.19910478,-0.48143495,-0.75055213,-1.0812978,-0.2193421,-0.069576184,0.14731092,-3.1583854,-0.97201419,-0.19524004,-0.4046406,0.24547243,-2.6780696,0.22431588,0.09216568,0.24875477,0.19320639,-0.3528419,0.1013884,-0.17284035,-0.27464964,-0.13867787,-0.24485774,-0.67614753,0.18380068,-0.91344578,-0.1893261,-0.77070151,-1.2228803,-0.84734451,-2.1214036,-0.81540747,-1.3093736,-0.71392616,-1.9664513,-3.40785,-3.8730209,-0.32671805,-0.60267989,-0.48164147,-0.11297611,-0.18176683,-0.38567,-0.37307806,0.15912229,-0.39154145,-0.50238954,-1.8080853,-1.381384,0.057232822,-0.20754,-0.83213016,-0.62951384,-0.13441534,0.12038351,-0.33008518,-0.58319319,0.19480002,0.23940434,-0.018404854,0.12517492,-0.1989231,-0.88631325,0.12236653,-0.29449168,-0.69702427,0.165136,-0.42791395,0.23868485,0.067895785,-1.8842474,-0.59074016,0.11192943,-0.64457735,-0.033819602,0.0088031292,0.19165639,-0.53004429,-0.13191417,-1.0518309,0.10343376,0.12821546,-0.22612157,0.19737758,-2.7810763,0.247392,-0.18338747,-0.18800829,-0.056457021,0.16218432,-0.026450328,-0.018603599,0.047377916,-0.16144583,-0.86736227,-0.50392746,-0.21927953,0.14011771,-0.63447724,0.059058388,-0.11381249,-0.38873097,-0.1215873,-0.45359885,-1.0017587,-0.4036458,0.25093041,-0.61033774,0.11847931,-0.52901741,-5.3977188,0.014602166,-0.36241158,-0.42550238,-0.15294974,0.02233786,0.039554537,-0.23556521,0.14538302,-0.80651328,0.24538158,-0.21202014,-0.43354635,-0.90439973,-0.042738884,-0.62044974,-0.47226501,-0.44688094,-0.78471556,-0.13382733,-0.91859862,-0.42680356,-0.78838534,-1.4504855,-0.93708355,-0.69112413,-1.2062693,-0.15169413,-0.58482215,-0.66538562,-0.89158264,-0.19700373,0.21510677,0.097859075,0.015305633,0.24421431,-0.42783165,0.036705417,0.047279194,-1.077733,-0.070340969,-0.38954321,-0.92550303,-0.3975396,0.060627757,-0.21780411,-0.70837671,-0.59011321,-0.40736271,-0.80173609,-1.3554511,-1.2721593,0.19562905,-0.5669232,-0.3673258,-0.68962778,-0.10080487,-0.70820856,-4.2115205,-0.66948819,-1.2630421,-0.41970092,-1.8619255,-0.032734881,-1.9705796,0.045651337,-0.26308019,-1.5142578,-0.21180201,-0.11698484,-0.59690562,0.14678835,0.045513411,-0.32943135,-0.24956405,-0.15701026,-0.70666098,-1.1861297,0.18097407,-0.76831852,-0.32723927,-0.47967583,0.16483617,-0.22234822,-0.52270002,-0.0062309055,-0.40348802,0.24386357,-0.46314374,0.2434531,-1.983308,-0.56877777,0.051702347,-0.11104895,0.22142615,-1.4971915,-0.25481107,-3.0600339,-0.1024252,0.19829881,-0.10502108,-0.28872986,0.1741138,-0.45847484,0.23252484,0.10701845,0.20053475,0.05783361,0.10101949,0.21123894,-0.068833094,-0.27636212,-0.33466274,-0.15697395,-0.35526992,-0.40150841,-1.2940231,-0.31750119,0.22040199,0.24714587,-0.14084102,-0.5421945,-0.35732202,-0.65858528,-0.65759106,-1.6394891,0.10225416,0.17399652,0.18624589,-1.9166755,-2.7739243,-0.31410338,-1.092959,-0.71340819,-0.27967177,-0.50705433,-0.39167162,-0.29325653,-1.263863,-5.3240461,-1.1102767,-1.0691652,-4.2320003,-3.3684136,-3.6520585,-0.98707179,0.034488138,-0.33448843,-0.0081744677,-0.39193179,0.032516325,-2.2384553,-0.48013844,-0.25737276,-0.42433701,0.00806826,-0.23538848,-0.39287489,-2.173761,-0.25289505,-0.49173202,0.064890244,0.18355147,-0.52177598,-1.4313472,-0.077520533,0.23042851,-0.20729785,-0.4079369,-1.3448401,-0.56135937,-0.28835188,-0.081212052,-1.7190583
