# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:05:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp664_o3mv/fxez_2t4.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924180504_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.128906
# Elements of inverse mass matrix:
# 0.378445, 0.00181524, -0.00259146, -0.240356
# 0.00181524, 0.000473793, -0.000504613, -0.000358326
# -0.00259146, -0.000504613, 0.0353977, 7.09319e-05
# -0.240356, -0.000358326, 7.09319e-05, 0.2228
-187.24669,0.99979905,0.12890575,5,31,0,188.22357,0.048689876,1.2186116,0.3156808,0.13171196,-0.75047699,-0.23322891,-3.7349571,-0.41498716,0.18942348,-0.13365509,-0.1397351,0.17032019,-0.20701366,-0.47871871,-0.73998277,-1.0586399,-0.22628477,-0.10862862,0.12332446,-3.1006439,-0.94898063,-0.2005119,-0.40353606,0.21832875,-2.6353248,0.18482398,0.049400449,0.21292848,0.15211203,-0.35754675,0.08090151,-0.2091402,-0.27984404,-0.14958865,-0.24935339,-0.66603236,0.15871338,-0.89814823,-0.19823876,-0.75878952,-1.197596,-0.83261949,-2.067207,-0.80426616,-1.2815493,-0.7038341,-1.9111791,-3.3208027,-3.7585625,-0.32923559,-0.59517097,-0.47747169,-0.12716298,-0.19419921,-0.39025261,-0.37876181,0.14031892,-0.38778608,-0.49606091,-1.7748536,-1.3599567,0.042562861,-0.21879889,-0.81420053,-0.61988564,-0.1412217,0.10197947,-0.33492287,-0.5789568,0.17010779,0.20849713,-0.035055389,0.10145905,-0.21076832,-0.86574088,0.10630725,-0.295111,-0.69366363,0.1466346,-0.42414025,0.20560512,0.052333164,-1.8248947,-0.58121646,0.068916727,-0.64118343,-0.051123996,-0.010186237,0.16237661,-0.53192274,-0.13900785,-1.035428,0.084926937,0.089693531,-0.23182802,0.17335552,-2.6167319,0.21910998,-0.19377159,-0.19913128,-0.072241122,0.13551511,-0.043209871,-0.034761383,0.029331314,-0.17151127,-0.87302974,-0.50267453,-0.22893859,0.11509447,-0.63096127,0.0382919,-0.12684769,-0.39155606,-0.1322701,-0.45320147,-0.98175262,-0.40455607,0.21732072,-0.60689185,0.096008961,-0.52928553,-5.6200834,-0.0037365569,-0.3666527,-0.42851913,-0.16552755,0.0026075787,0.01992369,-0.24571198,0.10790599,-0.79589327,0.21110739,-0.22040987,-0.43377523,-0.88792941,-0.056123868,-0.61347631,-0.4719106,-0.44652711,-0.77426673,-0.14272339,-0.90389086,-0.42513491,-0.77538445,-1.416362,-0.92338158,-0.68566013,-1.1867438,-0.16439385,-0.58439877,-0.66313554,-0.88356943,-0.20802001,0.18465802,0.074955711,-0.0043145496,0.20847967,-0.43404322,0.015476651,0.026277496,-1.0526824,-0.080939214,-0.39432969,-0.90604371,-0.40065529,0.04504094,-0.22242526,-0.70444059,-0.58225097,-0.40709972,-0.79205754,-1.3290944,-1.2505928,0.15402389,-0.55825943,-0.37358932,-0.676642,-0.10845526,-0.69558464,-4.0167223,-0.65758851,-1.2442246,-0.42453456,-1.8074606,-0.044770924,-1.9145785,0.026731805,-0.27122132,-1.4769432,-0.2181011,-0.1266097,-0.59207524,0.12426464,0.027762899,-0.33140452,-0.25713698,-0.16608636,-0.69822882,-1.1604448,0.155894,-0.75992256,-0.33270326,-0.48101208,0.14517074,-0.22598894,-0.5238005,-0.016986729,-0.40074771,0.21692171,-0.45792098,0.21743684,-1.9402933,-0.56673198,0.036412117,-0.12304674,0.19443637,-1.4635767,-0.26074213,-2.9584872,-0.14046799,0.16100339,-0.11534088,-0.29260527,0.1502013,-0.4576271,0.20342677,0.086976669,0.17467641,0.040135636,0.081279871,0.18445703,-0.081275804,-0.2815848,-0.33792522,-0.16631317,-0.3578443,-0.40264605,-1.2668127,-0.32133842,0.19369603,0.21499062,-0.15157428,-0.53956987,-0.36155826,-0.6494509,-0.65225506,-1.5969848,0.080882044,0.1331676,0.15914561,-1.8589331,-2.7261844,-0.34965341,-1.078958,-0.70835958,-0.28695977,-0.50702978,-0.39419505,-0.2998683,-1.2419623,-5.1874833,-1.0908923,-1.0493593,-4.1174698,-3.2930797,-3.5547367,-0.96909803,0.016694515,-0.33787822,-0.047934416,-0.39526581,0.013390665,-2.1859484,-0.48137605,-0.26650901,-0.42689362,-0.0085041271,-0.24005898,-0.39346595,-2.1225384,-0.26132749,-0.49328497,0.043242732,0.15523974,-0.52388304,-1.4117348,-0.095708002,0.19437414,-0.20802059,-0.41655543,-1.3006293,-0.54845795,-0.28638245,-0.098686122,-1.661802
-190.7941,0.76632867,0.12890575,5,31,0,192.49737,0.012939086,1.1951345,0.31287154,0.1401387,-0.78076911,-0.24258519,-2.7994789,-0.43197761,0.21190149,-0.13712372,-0.0078503926,0.23257642,-0.21514946,-0.50029154,-0.77036184,-1.1043304,-0.23569058,0.020332132,0.1381273,-3.1635814,-0.99765046,-0.21335418,-0.42373153,0.24139022,-2.6828572,0.24503715,0.14725405,0.25691041,0.22342307,-0.3682693,0.090083453,-0.060508698,-0.29116129,-0.15372644,-0.26246346,-0.69688588,0.17541039,-0.93361445,-0.20494849,-0.79100583,-1.2448249,-0.86890901,-2.1481216,-0.83419978,-1.3324992,-0.73440206,-1.9996291,-3.4300466,-3.9080064,-0.34464738,-0.6232339,-0.50190663,-0.12565629,-0.19447455,-0.40044793,-0.38722671,0.14560621,-0.41335337,-0.52419855,-1.820462,-1.3945302,0.040991399,-0.21990109,-0.85719635,-0.65173502,-0.15301206,0.10656859,-0.34538992,-0.60058679,0.1869953,0.23729071,-0.031575972,0.11544157,-0.21245996,-0.91082347,0.10771302,-0.31395235,-0.71278405,0.15203886,-0.44834409,0.25232991,0.053340497,-1.9209084,-0.61319911,0.16295351,-0.65903102,-0.044418153,-0.0017939606,0.1876291,-0.54405142,-0.15013742,-1.0696304,0.090092306,0.17317831,-0.24368063,0.18808037,-1.9624223,0.24395509,-0.19746035,-0.20146174,-0.068777773,0.15544656,-0.038555628,-0.031305631,0.035034786,-0.17623554,-0.59474439,-0.52088879,-0.23450399,0.13137726,-0.65158381,0.048238125,-0.12757835,-0.40546843,-0.13750758,-0.47159945,-1.0232126,-0.42056253,0.25482204,-0.62808727,0.10807407,-0.54466431,-5.1194679,0.0027452035,-0.37812111,-0.44090317,-0.16613646,0.011561739,0.028429688,-0.2489372,0.18572078,-0.82467317,0.25711913,-0.22702506,-0.4515979,-0.9267105,-0.057820039,-0.64057869,-0.48900603,-0.46415719,-0.80434442,-0.15003252,-0.93901101,-0.44552485,-0.80889063,-1.4741929,-0.95656497,-0.70866638,-1.2248988,-0.16520403,-0.60013949,-0.68044728,-0.90655765,-0.21059264,0.21205285,0.088440571,0.0045966021,0.24938282,-0.44049242,0.02693416,0.03717212,-1.1036922,-0.087022305,-0.40401801,-0.94968727,-0.41318147,0.045605215,-0.23641417,-0.72328645,-0.61154925,-0.42629652,-0.81912965,-1.3745225,-1.2891438,0.22541739,-0.58949514,-0.38093362,-0.71334837,-0.1192988,-0.73131899,-4.3733356,-0.69277714,-1.2777596,-0.43330779,-1.8986277,-0.049199389,-2.0066159,0.034274076,-0.27711929,-1.5426701,-0.22944987,-0.13381933,-0.61442874,0.1371341,0.032099627,-0.34693222,-0.2655318,-0.1723562,-0.72653624,-1.2109055,0.17332015,-0.78519523,-0.34209951,-0.49477934,0.15170294,-0.24182745,-0.53709178,-0.024172558,-0.42598344,0.23713844,-0.48519305,0.23584527,-1.9945232,-0.58352516,0.035479946,-0.12422961,0.21400364,-1.52503,-0.27268194,-3.0859814,-0.0056406557,0.22577695,-0.11945646,-0.30475278,0.16644853,-0.47476961,0.2307774,0.096454044,0.19459336,0.046082585,0.090285226,0.20634162,-0.085085508,-0.29159144,-0.35025386,-0.17135282,-0.37098345,-0.42063872,-1.3199644,-0.33298836,0.21572761,0.25100082,-0.15468797,-0.55844229,-0.37202065,-0.68060532,-0.67364842,-1.6717557,0.092488432,0.2088167,0.18074657,-1.957835,-2.7660034,-0.16919746,-1.105738,-0.72763019,-0.29326988,-0.52172902,-0.40667898,-0.30706381,-1.2790966,-5.105384,-1.1272195,-1.0875302,-4.2032465,-3.3629955,-3.6535837,-1.0104393,0.022580163,-0.35059079,0.067881986,-0.40708766,0.021593727,-2.253532,-0.49470583,-0.2703019,-0.43903913,-0.0041016187,-0.25383015,-0.41204274,-2.1903589,-0.26653083,-0.50596611,0.055652636,0.17892202,-0.53497468,-1.4428113,-0.087493277,0.23419765,-0.22927231,-0.41885201,-1.3828476,-0.58768143,-0.31104978,-0.091443261,-1.7622869
-192.00813,0.95571107,0.12890575,4,25,0,194.17761,0.0065257355,1.1906038,0.31846178,0.29436926,-0.76567624,-0.22345898,-4.236288,-0.41424196,0.2290543,-0.11733187,-0.09106825,0.22268692,-0.19582997,-0.48305099,-0.75521026,-1.0916682,-0.21653022,-0.054186501,0.15785652,-3.1682596,-0.98404582,-0.19395795,-0.40589291,0.25585921,-2.683203,0.24131783,0.11033676,0.26426699,0.21089595,-0.35018336,0.11027349,-0.1589334,-0.27247589,-0.13394436,-0.24351137,-0.68120123,0.1943789,-0.91980102,-0.18552185,-0.77605255,-1.2334323,-0.85432486,-2.1438878,-0.81968217,-1.3213638,-0.71879442,-1.9930485,-3.4380057,-3.91999,-0.32614976,-0.60676422,-0.48448246,-0.10597061,-0.17527027,-0.38274093,-0.36946842,0.1656883,-0.39508294,-0.50673273,-1.8149509,-1.385292,0.061904905,-0.20110746,-0.84198184,-0.63510279,-0.13280998,0.12726622,-0.32749069,-0.58465306,0.20503969,0.25257696,-0.010869865,0.13585146,-0.19279731,-0.89726294,0.12762091,-0.29570091,-0.69669152,0.17131012,-0.43111321,0.25101138,0.073463891,-1.9159571,-0.59722842,0.13089019,-0.64262957,-0.023897836,0.018818369,0.20610217,-0.52709183,-0.13044171,-1.0566102,0.11036012,0.14332817,-0.22415501,0.20703205,-2.8714863,0.25853206,-0.178462,-0.18252194,-0.049047201,0.17431598,-0.018717845,-0.011421947,0.055059277,-0.15710622,-0.86953268,-0.50434987,-0.21577582,0.15080633,-0.6360742,0.068537631,-0.10782725,-0.38798712,-0.11809546,-0.45365545,-1.0091687,-0.40227367,0.26416933,-0.61243678,0.12779647,-0.52795391,-5.1542047,0.023112438,-0.36001873,-0.42330845,-0.14660711,0.031849131,0.04875841,-0.23002687,0.15955533,-0.81015029,0.25865086,-0.20795906,-0.43382814,-0.91244156,-0.03743486,-0.62418304,-0.47190766,-0.44683102,-0.789261,-0.13036296,-0.92492864,-0.42801317,-0.79423999,-1.4649513,-0.94248031,-0.6928159,-1.2129627,-0.14550623,-0.58366501,-0.66465763,-0.89260502,-0.19137317,0.22888294,0.10854292,0.024781912,0.26039898,-0.42316488,0.047104976,0.057386253,-1.0905772,-0.066719069,-0.38628857,-0.93561916,-0.39541902,0.066248805,-0.21700695,-0.70807538,-0.59485654,-0.40822362,-0.80481371,-1.3648,-1.2787088,0.21393807,-0.57254225,-0.36317115,-0.69729528,-0.099041204,-0.71544844,-4.3662408,-0.67654489,-1.267454,-0.41604455,-1.8900981,-0.028532932,-1.9988892,0.054341029,-0.25870907,-1.5319424,-0.20975807,-0.11351476,-0.59860903,0.15649052,0.052990652,-0.32897142,-0.24617216,-0.15313871,-0.71049807,-1.1982461,0.19185855,-0.77071199,-0.32410952,-0.47803578,0.17179449,-0.22222973,-0.52069606,-0.0033251133,-0.40765943,0.25300297,-0.46728296,0.25195267,-1.9913878,-0.56761959,0.056518161,-0.10510562,0.23210373,-1.5132782,-0.25297359,-3.1001363,-0.088187622,0.21412325,-0.10005226,-0.28686081,0.18498294,-0.4582463,0.24513333,0.11592123,0.21182867,0.065765296,0.10979727,0.22290921,-0.064215815,-0.27362304,-0.33273674,-0.15252214,-0.35362884,-0.40219333,-1.3070988,-0.315337,0.23167463,0.26078696,-0.13583226,-0.54270894,-0.35481879,-0.66355174,-0.65895529,-1.6602897,0.1118442,0.19140099,0.19834494,-1.947074,-2.7776265,-0.29987771,-1.0949375,-0.71340915,-0.27546077,-0.50575556,-0.38974205,-0.28937237,-1.2701326,-5.2564276,-1.1167647,-1.0766877,-4.271014,-3.3920302,-3.6931368,-0.99526032,0.04189309,-0.33348046,0.0072858175,-0.39053568,0.040800263,-2.2571297,-0.47883015,-0.25265684,-0.42275877,0.015099374,-0.23339501,-0.39277776,-2.1940098,-0.24897794,-0.49045102,0.074623087,0.19602732,-0.51985267,-1.4374022,-0.069075405,0.24632831,-0.20823465,-0.40306437,-1.3675154,-0.56873531,-0.29041124,-0.073320383,-1.7469809
