# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:28:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp88t0wtc0/45dlblme.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924182849_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0227448
# Elements of inverse mass matrix:
# 0.499265, 0.0122307, -0.0167956, -0.10494
# 0.0122307, 0.00486836, -0.00694185, 0.00635193
# -0.0167956, -0.00694185, 0.0510691, -0.00764059
# -0.10494, 0.00635193, -0.00764059, 0.0758467
-177.31138,0.99998788,0.022744842,7,127,0,178.38252,0.35439149,1.2675588,0.31186914,-3.0943627,0.045303877,-0.72737725,-0.25012999,-3.3618551,-0.4155867,0.12221404,-0.16051712,-0.2461055,0.073285468,-0.22676722,-0.4686484,-0.71292241,-1.0060903,-0.24148137,-0.22603662,0.062324101,-2.9642363,-0.89578172,-0.21456563,-0.40411765,0.15287475,-2.5323476,0.088888463,-0.061451147,0.12988896,0.050635076,-0.36299383,0.036182889,-0.31378498,-0.28905536,-0.18217033,-0.25321157,-0.63521918,0.093879458,-0.85864582,-0.22713068,-0.72328176,-1.1346678,-0.80244579,-1.9345471,-0.77645432,-1.2313748,-0.68691961,-1.7970386,-3.0763732,-3.4408424,-0.3356429,-0.57878667,-0.46970555,-0.15648503,-0.2177515,-0.3902937,-0.38273046,0.086135123,-0.39450454,-0.50179909,-1.6407445,-1.2754177,-0.0092753515,-0.23072885,-0.79448402,-0.61661179,-0.17106484,0.042017706,-0.32984561,-0.55240551,0.12519472,0.11924802,-0.087119612,0.034547284,-0.24525474,-0.81322922,0.069305899,-0.29771204,-0.68641465,0.102072,-0.42188287,0.11721894,0.008812636,-1.72556,-0.57356424,-0.034180536,-0.62359971,-0.086925841,-0.050060172,0.096284549,-0.53133311,-0.16393894,-0.98426135,0.033449309,-0.019713925,-0.25338687,0.10815185,-2.4668166,0.13495755,-0.20318357,-0.21467057,-0.10282716,0.076625901,-0.07531086,-0.065143651,-0.0066814452,-0.1908116,-0.95095041,-0.51077678,-0.25984977,0.049461763,-0.62575524,-0.010845326,-0.15599276,-0.39131348,-0.14936485,-0.45998822,-0.94744026,-0.41398976,0.13611081,-0.59932497,0.04293955,-0.53026433,-5.703151,-0.043543521,-0.37240434,-0.42948475,-0.18733586,-0.034260558,-0.017621762,-0.25784359,-0.0072812211,-0.74762692,0.11024363,-0.22703736,-0.45212093,-0.86709147,-0.099171212,-0.60864461,-0.46291397,-0.43830039,-0.76004913,-0.15976451,-0.87656792,-0.41559643,-0.74156155,-1.3320033,-0.90329375,-0.68007226,-1.1469986,-0.19517461,-0.58201056,-0.65363761,-0.8564942,-0.22403955,0.11925457,0.028593736,-0.04290129,0.12930194,-0.43978834,-0.023460747,-0.010846103,-1.0261038,-0.12276871,-0.39186539,-0.88600884,-0.39222667,-0.0049162354,-0.24641562,-0.68399711,-0.57951824,-0.42025689,-0.7604512,-1.2511391,-1.1742378,0.065230999,-0.56070684,-0.36451515,-0.67721715,-0.14177851,-0.68428001,-3.9937927,-0.64500943,-1.1799007,-0.42022515,-1.7418678,-0.086577882,-1.8519396,-0.0055229375,-0.27813537,-1.4191581,-0.24387787,-0.15987657,-0.56958184,0.075904826,-0.015360974,-0.33705245,-0.27545262,-0.19206264,-0.67478026,-1.0942204,0.087616019,-0.75154248,-0.34464292,-0.48012487,0.091974279,-0.24916811,-0.50380865,-0.066059914,-0.42014354,0.13380671,-0.46524441,0.13927358,-1.8013245,-0.55097372,-0.0050321437,-0.1448437,0.12661251,-1.3937395,-0.27779992,-2.7188972,-0.25414773,0.067467716,-0.14098933,-0.30339693,0.087950022,-0.46202708,0.13604428,0.037686226,0.1076414,0.0015944744,0.043015582,0.12169264,-0.11332533,-0.29689293,-0.34070328,-0.18906244,-0.36501021,-0.41184134,-1.2053146,-0.33139397,0.12435519,0.13515577,-0.17412086,-0.5290626,-0.36665549,-0.63544492,-0.63702679,-1.5186129,0.032677091,0.032262975,0.098026054,-1.7443352,-2.5648181,-0.45867485,-1.0236967,-0.68244894,-0.29782347,-0.49085795,-0.38431527,-0.30356422,-1.1663791,-4.2267957,-1.0223857,-0.98569251,-3.6156071,-3.0133146,-3.1957792,-0.9491383,-0.015911006,-0.33650364,-0.15252732,-0.39776396,-0.02724311,-2.0242838,-0.47473106,-0.27767846,-0.41736422,-0.032355064,-0.2654217,-0.41278264,-1.949324,-0.26958157,-0.4837204,0.0045521933,0.099875138,-0.51178636,-1.3327446,-0.12392931,0.12304499,-0.22928116,-0.41812931,-1.2439619,-0.5442322,-0.30653589,-0.11244987,-1.6142794
-178.24199,0.9998761,0.022744842,7,127,0,179.22846,0.22479423,1.2567764,0.30818173,-2.9057362,0.054708501,-0.74589071,-0.26001761,-2.5666572,-0.42969753,0.13015582,-0.16809206,-0.1429488,0.11470921,-0.23591877,-0.48600746,-0.73315005,-1.0311803,-0.25187983,-0.12594522,0.066191717,-3.0031856,-0.9214268,-0.22438919,-0.41639611,0.16363277,-2.5730061,0.12253302,0.0049396795,0.15037678,0.09470408,-0.37637601,0.034671913,-0.20025255,-0.30019301,-0.18808791,-0.26669972,-0.65617019,0.098624951,-0.87952631,-0.23373601,-0.74508563,-1.1607004,-0.82368558,-1.9733831,-0.79533995,-1.2536256,-0.70341943,-1.8349992,-3.138698,-3.5169383,-0.34925159,-0.59751737,-0.48625561,-0.16437014,-0.22741079,-0.40681773,-0.39748153,0.089043402,-0.40551382,-0.51172801,-1.6884403,-1.308933,-0.008702925,-0.24215539,-0.81127977,-0.62924057,-0.17704469,0.045802487,-0.34642663,-0.57315173,0.12516965,0.13592803,-0.08807533,0.038252769,-0.25207555,-0.83644341,0.066339623,-0.30812199,-0.70514975,0.10320335,-0.43254362,0.15133452,0.0093944365,-1.7543229,-0.58719591,0.026265971,-0.64266332,-0.092008227,-0.053945269,0.10316519,-0.54440084,-0.17156104,-1.0094965,0.033182349,0.041743335,-0.2621399,0.11400379,-1.898521,0.15488024,-0.21953593,-0.22812739,-0.1103657,0.079187016,-0.083063789,-0.073520688,-0.01310084,-0.20013776,-0.71551352,-0.5208433,-0.26550122,0.053848187,-0.64125555,-0.013401614,-0.16443918,-0.40831579,-0.16245248,-0.47096649,-0.96483009,-0.42352798,0.15505398,-0.61432056,0.043583315,-0.54294297,-5.6387504,-0.048014855,-0.38558508,-0.44398565,-0.19729417,-0.040281219,-0.023134912,-0.27035298,0.054725455,-0.7750192,0.14311628,-0.23990232,-0.46050264,-0.88574061,-0.10242542,-0.62445146,-0.47740165,-0.45286738,-0.77785461,-0.16856377,-0.89824464,-0.43083064,-0.76047198,-1.3595183,-0.92195373,-0.69573659,-1.1708442,-0.2027821,-0.59738629,-0.67065077,-0.87750334,-0.23608839,0.12632735,0.026443047,-0.047236993,0.14662946,-0.45185188,-0.028416058,-0.016512763,-1.0411444,-0.12449245,-0.407128,-0.90111151,-0.40977673,-0.0054805316,-0.25443485,-0.70083075,-0.59368059,-0.43108126,-0.77848164,-1.2791218,-1.2072632,0.10450655,-0.5723839,-0.38084623,-0.68973638,-0.14808167,-0.70011245,-4.0159015,-0.66181952,-1.2061746,-0.43447432,-1.7703348,-0.090397611,-1.8803548,-0.010972031,-0.29061779,-1.4498642,-0.25362485,-0.16776838,-0.58565089,0.078701658,-0.020514062,-0.34672608,-0.2877224,-0.19576005,-0.6986704,-1.1298549,0.096891546,-0.76253684,-0.35354978,-0.49134325,0.09168952,-0.25689102,-0.52231314,-0.068128549,-0.42954699,0.14797448,-0.47813088,0.15074032,-1.842472,-0.56754814,-0.0088622291,-0.15357999,0.1351506,-1.4204629,-0.28700131,-2.7864126,-0.14889581,0.10837376,-0.14970092,-0.31567406,0.092794818,-0.47414537,0.1461953,0.037157606,0.11444333,-0.0029666837,0.039401875,0.1290231,-0.1201102,-0.30654624,-0.35369888,-0.19707412,-0.37655603,-0.42189576,-1.232846,-0.34230987,0.13339917,0.15364248,-0.18179149,-0.54530196,-0.37660971,-0.65184653,-0.65260636,-1.5477416,0.032777192,0.082804679,0.10568246,-1.7931234,-2.5908548,-0.31797757,-1.0467549,-0.70121368,-0.3093229,-0.50898256,-0.40126585,-0.31617213,-1.1928726,-4.3871717,-1.0489339,-1.0128236,-3.7222436,-3.054504,-3.2777967,-0.96568093,-0.021422288,-0.35180719,-0.067457499,-0.40956447,-0.02858457,-2.0638464,-0.488347,-0.28800677,-0.43384898,-0.040975651,-0.27319041,-0.42107365,-1.9969809,-0.28065822,-0.49867407,0.00133942,0.10383304,-0.527959,-1.3608021,-0.13025426,0.13623669,-0.23845168,-0.43195678,-1.2680599,-0.55789595,-0.31411897,-0.12531682,-1.6335377
-177.27124,0.99997553,0.022744842,7,127,0,178.99777,0.22991665,1.276208,0.31033325,-2.7032146,0.066989821,-0.72675312,-0.256097,-3.1371526,-0.41995653,0.10887664,-0.16837874,-0.24780614,0.061294773,-0.23299937,-0.47286605,-0.71349148,-1.0014578,-0.24764859,-0.2290724,0.050966535,-2.9377804,-0.89134482,-0.21860547,-0.40526144,0.14097467,-2.522984,0.072041394,-0.073938189,0.11298718,0.036013468,-0.36986649,0.025267999,-0.31558018,-0.29400885,-0.18914262,-0.25908921,-0.63592703,0.08095706,-0.85534084,-0.23305744,-0.72331706,-1.1281008,-0.80135331,-1.9158376,-0.77532624,-1.2210367,-0.68512898,-1.779058,-3.0492525,-3.4077428,-0.34131182,-0.58083973,-0.47242388,-0.16721619,-0.22844077,-0.39986194,-0.39172369,0.078879117,-0.3936097,-0.49837451,-1.6436934,-1.2766453,-0.014647431,-0.24062408,-0.78810696,-0.61282857,-0.17445639,0.035497232,-0.33845545,-0.55717152,0.11069025,0.10711945,-0.095796958,0.022532685,-0.25417284,-0.80804014,0.060748151,-0.29802794,-0.69271163,0.094350299,-0.41947844,0.10899755,0.0038125292,-1.7001821,-0.57080121,-0.047869894,-0.62886025,-0.097797948,-0.061547722,0.081887549,-0.53589931,-0.1683954,-0.98392549,0.02411086,-0.028940952,-0.25796705,0.097101277,-2.324523,0.12880328,-0.21733225,-0.22731213,-0.11464641,0.061456202,-0.088358922,-0.078120909,-0.019935517,-0.19875656,-0.9194694,-0.51200407,-0.26577566,0.037034632,-0.62894351,-0.023919914,-0.16642719,-0.4000599,-0.16109485,-0.4612456,-0.93863739,-0.41503257,0.12146697,-0.60147483,0.031187685,-0.53329528,-5.6945086,-0.054958046,-0.37873864,-0.43589411,-0.19775969,-0.047807777,-0.030681322,-0.26795045,-0.013434077,-0.7525716,0.099382152,-0.23514081,-0.45335871,-0.86386995,-0.10661029,-0.60998393,-0.46556264,-0.44106946,-0.76031994,-0.165398,-0.87655697,-0.41803132,-0.73838053,-1.3195145,-0.90157914,-0.68207011,-1.1445701,-0.20475344,-0.58713516,-0.65842457,-0.85966024,-0.23477246,0.10340433,0.014942917,-0.054831521,0.11315651,-0.44654083,-0.03733081,-0.024964278,-1.0131791,-0.1264054,-0.39940115,-0.87739893,-0.4000966,-0.012324546,-0.25015727,-0.685771,-0.57874592,-0.42269581,-0.75863413,-1.2442359,-1.1755173,0.04863404,-0.55758112,-0.37264771,-0.67266982,-0.14702566,-0.68125664,-3.8865116,-0.64307633,-1.1774388,-0.4265735,-1.7209344,-0.093294707,-1.8302929,-0.017105904,-0.28631793,-1.4114029,-0.25091483,-0.1681468,-0.56933995,0.066661676,-0.02733682,-0.33844468,-0.28436989,-0.19448632,-0.6804924,-1.0963714,0.078562288,-0.74745327,-0.34861121,-0.48208068,0.080687843,-0.25150728,-0.51006756,-0.071585525,-0.42004346,0.12388614,-0.46574606,0.12815921,-1.7938074,-0.55535034,-0.012853757,-0.15457727,0.11591033,-1.3790369,-0.2811213,-2.7052368,-0.25536317,0.053316079,-0.15058573,-0.31068633,0.075305538,-0.46581638,0.12107983,0.025727652,0.093749925,-0.010639832,0.030426405,0.10828504,-0.12069627,-0.30280102,-0.34677581,-0.19666412,-0.37010779,-0.41222327,-1.196982,-0.33695604,0.11074596,0.12081264,-0.18194636,-0.5336471,-0.3703491,-0.63320271,-0.63874251,-1.5007149,0.021084389,0.021021692,0.086595409,-1.7339127,-2.5370763,-0.45505945,-1.0230658,-0.68619398,-0.30619197,-0.49777848,-0.39211667,-0.31123186,-1.1622305,-4.2708171,-1.0204399,-0.98495529,-3.6190993,-2.9760278,-3.1865466,-0.94118186,-0.027634028,-0.34434228,-0.15945963,-0.40262919,-0.036844305,-2.0082325,-0.47912673,-0.28576098,-0.42495902,-0.045059285,-0.26832691,-0.41288197,-1.9409615,-0.27740839,-0.48930953,-0.0087818261,0.084448572,-0.51877764,-1.3310969,-0.13598665,0.10511902,-0.23027618,-0.42858355,-1.2241007,-0.53834446,-0.30402585,-0.12857472,-1.581958
