# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp_0to7j5f/iftkza6p.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924184320_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.128337
# Elements of inverse mass matrix:
# 0.377458, 0.0157486, -0.0180574, -0.0545995
# 0.0157486, 0.00505701, -0.00665096, 0.00258662
# -0.0180574, -0.00665096, 0.0491312, -0.0029551
# -0.0545995, 0.00258662, -0.0029551, 0.0515805
-174.92132,0.99929023,0.12833718,5,31,0,176.15168,0.30497564,1.2924453,0.30734163,-2.8631298,0.057089799,-0.72633956,-0.26771641,-2.7662682,-0.42661562,0.084721733,-0.18264525,-0.25225588,0.037666092,-0.24542558,-0.47670687,-0.71211111,-0.99310831,-0.2589817,-0.23826749,0.027765088,-2.8863296,-0.88443352,-0.23076125,-0.41329708,0.11686876,-2.4778755,0.048539096,-0.091219715,0.088806267,0.013148395,-0.37747964,0.0053392408,-0.31472602,-0.30428418,-0.20424312,-0.26830642,-0.63525801,0.057585145,-0.85154565,-0.24718407,-0.7208527,-1.1171669,-0.79829396,-1.8858784,-0.77393555,-1.2111462,-0.68597189,-1.7507733,-2.9879482,-3.3362346,-0.34940338,-0.5823999,-0.47688436,-0.18115693,-0.2403919,-0.4050127,-0.3980448,0.055699095,-0.40293581,-0.50694476,-1.6110895,-1.2581167,-0.036187705,-0.25111358,-0.78841616,-0.61815317,-0.19000952,0.011769738,-0.34431779,-0.55737094,0.09081179,0.078985469,-0.11545331,-0.00071697227,-0.26772332,-0.80385652,0.041295421,-0.30875349,-0.69248212,0.072479016,-0.42850679,0.082398604,-0.017784077,-1.6806641,-0.57589551,-0.064998505,-0.62918835,-0.1142724,-0.079165291,0.057994921,-0.54126615,-0.18286909,-0.97525853,0.003081646,-0.048950536,-0.27049793,0.073024821,-2.0894342,0.098470152,-0.22455966,-0.23628682,-0.12931331,0.039631246,-0.10329654,-0.092797509,-0.036438283,-0.2117528,-0.86805179,-0.52041261,-0.28044419,0.013205485,-0.63185736,-0.042948724,-0.18014749,-0.40506377,-0.17177148,-0.46993553,-0.93626229,-0.42492062,0.096369445,-0.60476396,0.010108088,-0.53900047,-5.4515665,-0.072334883,-0.38636772,-0.44184384,-0.20985928,-0.064121675,-0.047501746,-0.27736115,-0.037149907,-0.74573376,0.071593144,-0.24470737,-0.46361721,-0.86188768,-0.12468934,-0.61319196,-0.4710823,-0.44693296,-0.76003111,-0.17881531,-0.8720846,-0.42399402,-0.73759789,-1.305319,-0.89840413,-0.6838939,-1.134305,-0.21832541,-0.5902912,-0.65943669,-0.85509729,-0.24490556,0.080422242,-0.0041024373,-0.072062627,0.088116504,-0.45366299,-0.054309849,-0.041571475,-1.0114901,-0.1453919,-0.40513684,-0.87755793,-0.40442421,-0.03318535,-0.26342342,-0.6864612,-0.5835315,-0.43172315,-0.75771656,-1.2312974,-1.1586379,0.028054901,-0.56449486,-0.37794181,-0.67749117,-0.1629701,-0.68353252,-3.8518064,-0.64520189,-1.1652208,-0.43257432,-1.7043152,-0.11200211,-1.8121666,-0.033326608,-0.29567161,-1.3936524,-0.26272169,-0.1822467,-0.57262401,0.043520066,-0.044268182,-0.34953876,-0.29359928,-0.21138072,-0.6767689,-1.0794638,0.051955749,-0.75197527,-0.35998409,-0.48987761,0.060083358,-0.26464621,-0.51252686,-0.090702548,-0.42983799,0.097147138,-0.47250559,0.10287649,-1.76399,-0.55858397,-0.031351728,-0.16823103,0.091087367,-1.3645392,-0.29288518,-2.6468297,-0.26107613,0.03111579,-0.16424981,-0.31991522,0.051963123,-0.47298846,0.097211421,0.0053865456,0.07006088,-0.028253636,0.012030206,0.084713813,-0.13640728,-0.31360546,-0.35486161,-0.20998691,-0.37877312,-0.42199064,-1.1850479,-0.34648957,0.08655413,0.095429447,-0.19568276,-0.53714204,-0.38048284,-0.63568186,-0.64100321,-1.4838403,0.00044612254,-0.0029014608,0.061696415,-1.7017857,-2.5012339,-0.4475688,-1.0153708,-0.68578525,-0.31580809,-0.500503,-0.39706727,-0.32006532,-1.150141,-4.1180111,-1.010534,-0.97512304,-3.5168125,-2.923788,-3.1056149,-0.93951795,-0.044394929,-0.35089582,-0.17084266,-0.4109317,-0.056477505,-1.9757219,-0.48517006,-0.29657805,-0.42987326,-0.059901703,-0.28135166,-0.42354686,-1.9044043,-0.28773204,-0.49417793,-0.02721735,0.062225394,-0.52237123,-1.3148368,-0.15108773,0.080825262,-0.24316967,-0.43471776,-1.2148509,-0.54434046,-0.31705203,-0.13928406,-1.571189
-175.29272,0.99886532,0.12833718,5,31,0,176.26774,0.30405247,1.249836,0.31871275,-3.320287,0.036142459,-0.71751611,-0.22651976,-5.1638215,-0.39768658,0.15458307,-0.13327026,-0.32950814,0.077578226,-0.20219523,-0.4551866,-0.70461465,-1.0072873,-0.21848938,-0.29345672,0.09822638,-2.9775089,-0.89933294,-0.19313654,-0.38673304,0.17843544,-2.5376544,0.10219733,-0.08432304,0.15374801,0.055314187,-0.34207252,0.067717865,-0.41442369,-0.26763027,-0.15307833,-0.23479216,-0.62880525,0.12804855,-0.85341501,-0.19927801,-0.71777765,-1.137494,-0.79652879,-1.960164,-0.76700393,-1.2309978,-0.67518277,-1.8219389,-3.1317678,-3.5232447,-0.31673088,-0.56840416,-0.45658587,-0.12709243,-0.1898046,-0.37107283,-0.36143612,0.11626968,-0.37762584,-0.48455689,-1.659742,-1.2790225,0.022601092,-0.20570184,-0.78762216,-0.60261101,-0.14566225,0.076064337,-0.31226679,-0.5422741,0.15215949,0.15511311,-0.051868066,0.072752822,-0.21448083,-0.81483462,0.095233093,-0.27957744,-0.67024572,0.1293963,-0.40537072,0.13003725,0.039824108,-1.7467372,-0.56040509,-0.054210847,-0.6096137,-0.055023346,-0.017153288,0.13283866,-0.50993017,-0.13995868,-0.98092401,0.065227539,-0.037815382,-0.22955345,0.1405615,-3.5928805,0.16725101,-0.18145826,-0.18997412,-0.073235291,0.1119985,-0.045791497,-0.036837177,0.022406298,-0.16562796,-1.2670638,-0.48901166,-0.23029064,0.087401267,-0.60865373,0.023252674,-0.12779902,-0.37375302,-0.12661889,-0.4404628,-0.94189807,-0.39265192,0.16232694,-0.58250823,0.077188225,-0.50985249,-5.337834,-0.01174755,-0.35155092,-0.4097985,-0.16050626,-0.0030284506,0.013237523,-0.23379591,-0.018321296,-0.74510773,0.12946199,-0.20572629,-0.42856127,-0.85883985,-0.067803426,-0.59432781,-0.44643704,-0.4221675,-0.74792151,-0.13615522,-0.86919384,-0.40126034,-0.73482188,-1.341312,-0.89238115,-0.66353835,-1.1413918,-0.16566451,-0.56294258,-0.63642,-0.84430597,-0.19923888,0.15244446,0.061948881,-0.010336002,0.15932736,-0.41574832,0.0090897108,0.02048147,-1.0205321,-0.092110832,-0.37246556,-0.87770992,-0.37598276,0.026826967,-0.22254092,-0.6690678,-0.56524598,-0.39952895,-0.75027396,-1.2563799,-1.1782283,0.068133241,-0.54545696,-0.34633659,-0.66337902,-0.11594937,-0.67363079,-4.0846756,-0.63517327,-1.1776522,-0.40007091,-1.759848,-0.057473695,-1.8690453,0.024314365,-0.25569868,-1.4277605,-0.21947214,-0.13303318,-0.55705293,0.10783569,0.015217128,-0.31679589,-0.25176175,-0.16405347,-0.66680746,-1.1029002,0.12464298,-0.733721,-0.32060277,-0.45946665,0.1208366,-0.22593053,-0.4894135,-0.0355148,-0.39966658,0.16582869,-0.44862464,0.16909548,-1.8201857,-0.53526172,0.023140442,-0.1178831,0.15796753,-1.4033924,-0.25528262,-2.7741068,-0.33489309,0.070010727,-0.1141339,-0.2812731,0.1229843,-0.4410345,0.1660343,0.071056652,0.14219773,0.032203244,0.072908102,0.15406324,-0.086632928,-0.27204731,-0.3201143,-0.16189639,-0.34286017,-0.39215429,-1.2124544,-0.30829408,0.15709678,0.16288832,-0.14652543,-0.51266792,-0.34391089,-0.62527805,-0.6209301,-1.5349849,0.066951119,0.033190309,0.13365695,-1.7808653,-2.5663046,-0.59134653,-1.0168708,-0.66865325,-0.27341149,-0.47534159,-0.36745543,-0.28136582,-1.1665392,-4.3198846,-1.0224103,-0.98575811,-3.6909706,-3.0422306,-3.2542571,-0.94152305,0.013921856,-0.31766789,-0.20472876,-0.37603805,0.0065687475,-2.0460276,-0.45522836,-0.25224961,-0.39972891,-0.0054060866,-0.24153876,-0.39046859,-1.9764837,-0.24548668,-0.46480157,0.037556509,0.13395959,-0.4929166,-1.3296966,-0.0916882,0.15646381,-0.20998167,-0.39336217,-1.258947,-0.53516841,-0.28736035,-0.085832483,-1.6309167
-175.08915,0.9999686,0.12833718,4,15,0,175.51059,0.29120007,1.2478507,0.31923007,-3.2413582,0.039110739,-0.71720622,-0.22462201,-5.3470498,-0.39636414,0.15769157,-0.13118137,-0.33408235,0.079461107,-0.20022915,-0.4538979,-0.70420895,-1.0076014,-0.21650552,-0.29762836,0.10100365,-2.9902325,-0.89871416,-0.19065224,-0.38495498,0.18214005,-2.5496106,0.10387951,-0.085368298,0.15627229,0.056442989,-0.34085797,0.070658495,-0.42085159,-0.26573853,-0.15119825,-0.232535,-0.62771368,0.13093749,-0.85330645,-0.19752942,-0.71713317,-1.1383394,-0.796405,-1.9634105,-0.76693675,-1.2324356,-0.67456941,-1.8242072,-3.1400486,-3.5301016,-0.31507996,-0.56741748,-0.45513301,-0.12538769,-0.18842663,-0.37018558,-0.3605674,0.11996133,-0.37557409,-0.4829852,-1.6639464,-1.2816679,0.02569556,-0.20412546,-0.78697493,-0.60155582,-0.14310834,0.079281423,-0.31074831,-0.54132717,0.15560464,0.15792273,-0.049874179,0.075108518,-0.2133064,-0.81372951,0.098966622,-0.27704684,-0.67086863,0.13336412,-0.40327573,0.13315011,0.043174417,-1.7481185,-0.55907854,-0.0547074,-0.60950128,-0.052988926,-0.014978693,0.13548511,-0.50962081,-0.13736255,-0.98189551,0.068245236,-0.037624209,-0.22757453,0.14384771,-3.6995035,0.17089662,-0.17987361,-0.18850307,-0.071336203,0.11446679,-0.043828172,-0.034721853,0.024864202,-0.16360504,-1.2926287,-0.4882694,-0.22884019,0.089859343,-0.60859877,0.025444815,-0.12600547,-0.37270017,-0.12455741,-0.43936968,-0.9419144,-0.3912243,0.16522288,-0.58209794,0.079917337,-0.50931145,-5.4383957,-0.0094546496,-0.35031889,-0.40887766,-0.15881238,-0.00083767505,0.015618737,-0.23236508,-0.017645736,-0.74492128,0.13206414,-0.20369207,-0.42759758,-0.85917046,-0.065533669,-0.59378753,-0.44511326,-0.42067429,-0.7481431,-0.13358325,-0.86983002,-0.39947956,-0.7340797,-1.342357,-0.8932736,-0.66367147,-1.1435248,-0.16411994,-0.5628831,-0.63667912,-0.84543056,-0.19769,0.15525835,0.064462524,-0.0081137804,0.16195084,-0.41519841,0.011256849,0.022792006,-1.020703,-0.089587648,-0.37135745,-0.87758529,-0.37470551,0.02974367,-0.22045225,-0.66902481,-0.56428514,-0.39827083,-0.75003168,-1.2577324,-1.180046,0.069493639,-0.54421668,-0.34500516,-0.66269014,-0.11344501,-0.6728726,-4.085458,-0.63419568,-1.1797102,-0.39907275,-1.7623016,-0.054840267,-1.8723754,0.026940696,-0.25412012,-1.4303488,-0.21778794,-0.1310492,-0.5557866,0.11111084,0.0177744,-0.31485943,-0.25027898,-0.16173816,-0.66659686,-1.1038641,0.12768431,-0.73388749,-0.31922708,-0.45856109,0.12430202,-0.22361112,-0.48865401,-0.0327176,-0.39806997,0.16929101,-0.44712078,0.17261991,-1.8246028,-0.53472518,0.026285284,-0.11586488,0.16145191,-1.4046043,-0.25322205,-2.7812691,-0.33963138,0.071587346,-0.11205981,-0.27977486,0.12585094,-0.44017197,0.16909402,0.073780825,0.14507924,0.034818165,0.075833088,0.15720337,-0.084164731,-0.27050383,-0.31860781,-0.15993836,-0.34151704,-0.39056337,-1.2133618,-0.30683479,0.16017463,0.1658023,-0.14451403,-0.51202591,-0.34254076,-0.62419234,-0.62065764,-1.5362493,0.069638963,0.034248126,0.13666205,-1.7826229,-2.5764197,-0.60148499,-1.018413,-0.66874716,-0.27210224,-0.47459309,-0.3661754,-0.27987931,-1.1681022,-4.3425772,-1.0232011,-0.98640372,-3.704957,-3.0515968,-3.2651125,-0.94182631,0.016505599,-0.3162168,-0.2073631,-0.3748922,0.009034934,-2.0507306,-0.45440278,-0.25086052,-0.39871942,-0.0028657893,-0.23947008,-0.38900086,-1.9809135,-0.24391609,-0.46410298,0.039938126,0.13669188,-0.49254484,-1.3330171,-0.09004148,0.15886474,-0.20720009,-0.39308563,-1.2581124,-0.53306971,-0.28473909,-0.084139733,-1.6312556
