# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp_0to7j5f/iftkza6p.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924184320_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0749159
# Elements of inverse mass matrix:
# 0.37808, 0.0107452, -0.00551759, -0.0592664
# 0.0107452, 0.00469767, -0.00634719, 0.00308957
# -0.00551759, -0.00634719, 0.0469414, -0.00240648
# -0.0592664, 0.00308957, -0.00240648, 0.0486699
-175.95301,0.99907982,0.074915934,5,31,0,176.63414,0.34439758,1.2827233,0.32040872,-3.070917,0.046378604,-0.69271902,-0.22759541,-6.4432251,-0.38853953,0.11062459,-0.14117614,-0.51484844,-0.020816504,-0.20498472,-0.44025993,-0.67870665,-0.96504556,-0.21912834,-0.47510328,0.064634657,-2.8668433,-0.85754624,-0.19261111,-0.37702381,0.13056068,-2.4478736,0.011135241,-0.2229522,0.084078902,-0.050149417,-0.33746797,0.043673232,-0.61641721,-0.26524705,-0.16222288,-0.230193,-0.60283669,0.090687945,-0.82085016,-0.20559566,-0.68887948,-1.0904308,-0.76614071,-1.8715626,-0.74060159,-1.1842199,-0.65297552,-1.7376582,-2.9859446,-3.3468369,-0.31064041,-0.547751,-0.44118401,-0.13780596,-0.19692865,-0.36429333,-0.35691556,0.088546768,-0.36752031,-0.47216616,-1.5854074,-1.2279435,0.0025378894,-0.20913891,-0.75805959,-0.58432945,-0.15079715,0.048622963,-0.30508494,-0.5220675,0.11969351,0.098316112,-0.07199522,0.039361911,-0.22370172,-0.77673925,0.075743417,-0.27304546,-0.65308067,0.10345448,-0.39408279,0.047541866,0.019662532,-1.6674923,-0.54230086,-0.18489211,-0.5916811,-0.071335807,-0.036600249,0.08994438,-0.50154171,-0.14382894,-0.9436331,0.041260646,-0.16501614,-0.23070541,0.10316725,-4.4589038,0.11180194,-0.18241487,-0.19367839,-0.086279421,0.075972812,-0.060174368,-0.050285975,0.0046393232,-0.17043372,-1.6318661,-0.4814738,-0.23768038,0.052179739,-0.59368876,-0.00052405823,-0.13720307,-0.36519512,-0.13028304,-0.43181293,-0.90722361,-0.38686381,0.097751785,-0.56771191,0.048621012,-0.50037302,-5.2906802,-0.030250301,-0.34660853,-0.40228207,-0.16728865,-0.02164545,-0.005903615,-0.23544492,-0.14281912,-0.71298706,0.046685785,-0.20502863,-0.42420518,-0.82908097,-0.082713237,-0.57690826,-0.43451139,-0.41047553,-0.7246533,-0.1397628,-0.83848304,-0.38826215,-0.70648595,-1.2831476,-0.86421057,-0.64654408,-1.1019392,-0.1750643,-0.55102367,-0.62087977,-0.81872998,-0.20269616,0.10685746,0.035887482,-0.029777845,0.095879598,-0.41242619,-0.011820873,0.00020589674,-0.98374683,-0.10484114,-0.36557684,-0.84719871,-0.36586259,0.0062908176,-0.22388719,-0.65030209,-0.54831306,-0.39310282,-0.72482835,-1.2044674,-1.1293562,-0.032284657,-0.52981365,-0.33883973,-0.64353422,-0.12281131,-0.65051792,-3.8900738,-0.6122243,-1.1342747,-0.39318387,-1.6833752,-0.070454318,-1.7902845,0.0061005373,-0.25494775,-1.3681149,-0.22168094,-0.14055996,-0.53855154,0.078404669,-0.0034958574,-0.31180407,-0.25240645,-0.17133925,-0.64171811,-1.051831,0.084596094,-0.71595541,-0.31962564,-0.45138818,0.093360859,-0.22634765,-0.4747002,-0.050755141,-0.39278043,0.11505651,-0.43667017,0.12130417,-1.7413588,-0.52075552,0.0071140496,-0.12620098,0.11593517,-1.3432512,-0.25421207,-2.6392803,-0.52294295,-0.02995309,-0.12243346,-0.27947418,0.085738251,-0.43388161,0.11605611,0.044249977,0.099730419,0.012161243,0.050195113,0.11084816,-0.09565502,-0.27309973,-0.31560379,-0.16866518,-0.33929309,-0.38469441,-1.1597656,-0.30659507,0.11074815,0.099437242,-0.15426522,-0.49930878,-0.34092977,-0.60284397,-0.60445916,-1.4656415,0.039549988,-0.078824217,0.092966343,-1.6884358,-2.4783344,-0.83057872,-0.98189634,-0.64899578,-0.27424231,-0.46216142,-0.35819002,-0.27962921,-1.1211866,-4.1069229,-0.98094857,-0.94521583,-3.5127287,-2.9179752,-3.1010555,-0.90896043,-0.0037586227,-0.31149565,-0.36704048,-0.37129569,-0.015139597,-1.9582191,-0.44631635,-0.25471854,-0.39051489,-0.01890295,-0.24225476,-0.38561164,-1.8863742,-0.24667643,-0.45513365,0.014067337,0.094569441,-0.48263255,-1.2829486,-0.10690108,0.098135508,-0.2065978,-0.39163021,-1.1977596,-0.51348207,-0.28162096,-0.095510429,-1.5584723
-174.45818,0.99999404,0.074915934,5,63,0,176.39616,0.30680621,1.2482717,0.31846294,-3.0519328,0.047267478,-0.71935297,-0.22707615,-5.0414804,-0.39831752,0.15555617,-0.13430974,-0.31535867,0.08363802,-0.20284947,-0.45422707,-0.70531235,-1.0075888,-0.21845263,-0.28383126,0.09658603,-3.0222682,-0.89533433,-0.19097845,-0.38594127,0.18382733,-2.579618,0.1049631,-0.078825556,0.15594114,0.058874317,-0.3438294,0.068344788,-0.40024025,-0.26750678,-0.1556161,-0.2321253,-0.6263816,0.12767213,-0.85464395,-0.20195023,-0.71671064,-1.1393449,-0.79756148,-1.9635066,-0.76964076,-1.2368,-0.67657137,-1.821284,-3.1429244,-3.5190843,-0.31639195,-0.5676342,-0.45511243,-0.12997279,-0.19329552,-0.37307952,-0.36437343,0.11958581,-0.37597097,-0.48511289,-1.6659554,-1.2859591,0.022970094,-0.20741118,-0.78792016,-0.60385341,-0.14493734,0.076126298,-0.311451,-0.54112591,0.15673594,0.15329311,-0.05632347,0.068788375,-0.22004676,-0.80996037,0.1005925,-0.27648395,-0.67700082,0.13483468,-0.40363816,0.13699572,0.041355157,-1.7461787,-0.56017282,-0.047650323,-0.6129421,-0.05764859,-0.019600613,0.13078594,-0.51551736,-0.13837639,-0.98476816,0.065839623,-0.03011584,-0.23011578,0.14193596,-3.5137004,0.16896304,-0.18123563,-0.1915182,-0.075083314,0.11017223,-0.04726225,-0.037300143,0.022876389,-0.16632739,-1.2402937,-0.49396403,-0.23505298,0.083714695,-0.61375608,0.020521972,-0.12993766,-0.3746302,-0.12547198,-0.44281488,-0.94443989,-0.39473404,0.16472419,-0.58625949,0.076162948,-0.51441316,-5.964007,-0.013367668,-0.35336331,-0.41227239,-0.16243896,-0.004513302,0.012511769,-0.23561532,-0.011944467,-0.74366305,0.13251771,-0.20454823,-0.43316045,-0.86280677,-0.069888289,-0.59683226,-0.44670596,-0.42168128,-0.75247787,-0.13431811,-0.87341111,-0.39912366,-0.734242,-1.3422519,-0.89911798,-0.66919497,-1.1506458,-0.16927483,-0.5684411,-0.64239034,-0.85166296,-0.20082976,0.15242727,0.060791291,-0.012400376,0.15954399,-0.42118084,0.0070511338,0.019469004,-1.0242318,-0.093518332,-0.3739646,-0.88078299,-0.37561307,0.026855479,-0.22284905,-0.67346333,-0.56650388,-0.4017807,-0.75259452,-1.2602073,-1.1819448,0.073480442,-0.54644184,-0.34645916,-0.66602178,-0.11536434,-0.67451029,-4.0704961,-0.63477563,-1.1853862,-0.40243966,-1.7665242,-0.058179489,-1.8797202,0.025367021,-0.25664577,-1.4331666,-0.22069244,-0.13397088,-0.55672611,0.10922312,0.015093006,-0.31655183,-0.25342389,-0.16531193,-0.66735806,-1.1015815,0.12310558,-0.74092908,-0.32351671,-0.46290803,0.12431361,-0.22540209,-0.4903224,-0.03572412,-0.40102665,0.16764703,-0.44863521,0.17214471,-1.828807,-0.53786076,0.025448404,-0.11879175,0.16032674,-1.4051668,-0.25520767,-2.7787408,-0.32246024,0.075918399,-0.11481167,-0.28247939,0.12214594,-0.44456158,0.1678733,0.070402561,0.14169197,0.032309764,0.074420331,0.15523442,-0.08622529,-0.27430987,-0.32084929,-0.16335616,-0.34491362,-0.39308356,-1.2132144,-0.31023579,0.1578664,0.16475532,-0.14793196,-0.51505227,-0.34631816,-0.62473906,-0.62495964,-1.5347573,0.065761669,0.037273473,0.13283683,-1.7731259,-2.6064467,-0.57889059,-1.024303,-0.67286919,-0.27606381,-0.47675695,-0.36734905,-0.28260102,-1.1716593,-4.355703,-1.0244839,-0.98712287,-3.7092346,-3.0693618,-3.2682179,-0.9459672,0.014267232,-0.31758334,-0.19477918,-0.37873222,0.0045247831,-2.0558799,-0.45827648,-0.25507075,-0.40094981,-0.0040870995,-0.24201578,-0.39287187,-1.9818559,-0.24713478,-0.4678897,0.035998778,0.13331138,-0.49697996,-1.3421744,-0.095680391,0.1549223,-0.20640826,-0.39957934,-1.2520627,-0.53105158,-0.28479531,-0.086908864,-1.6295753
-175.45912,0.79861085,0.074915934,3,15,0,179.82334,0.21126486,1.2347656,0.31871276,-3.200838,0.04072806,-0.72802521,-0.2246256,-4.9460224,-0.40081814,0.17428776,-0.12837399,-0.26827168,0.11560919,-0.1994585,-0.46126633,-0.71605208,-1.0263265,-0.21690754,-0.23193489,0.1143202,-3.0301586,-0.91773885,-0.19138451,-0.38927942,0.1996835,-2.5826687,0.13720632,-0.035183844,0.1816984,0.095012943,-0.34369293,0.079449022,-0.34975072,-0.26736861,-0.14727135,-0.23574897,-0.64018125,0.14552019,-0.86787064,-0.19460659,-0.73079859,-1.1590879,-0.80974286,-2.0017384,-0.77842974,-1.2512677,-0.68459783,-1.8622774,-3.2034671,-3.6106187,-0.31838237,-0.57698292,-0.46237256,-0.12179273,-0.18641828,-0.37461624,-0.36383705,0.1311385,-0.37933687,-0.48708474,-1.7003181,-1.3058778,0.034528273,-0.20409661,-0.79847632,-0.60817297,-0.14050675,0.091012841,-0.31567961,-0.55185749,0.16631536,0.18072244,-0.041012093,0.088848155,-0.20963557,-0.83082155,0.10583586,-0.28000146,-0.67869015,0.14288993,-0.40779444,0.16403757,0.051580901,-1.7795832,-0.56628194,-0.0079187906,-0.61826652,-0.047091249,-0.0078508564,0.15172458,-0.5136073,-0.13576539,-0.9990263,0.077811924,0.0090459999,-0.2270008,0.15846676,-3.4192358,0.19416335,-0.18249448,-0.18937885,-0.066810161,0.12815703,-0.038837614,-0.030235593,0.031063181,-0.16211265,-1.1666447,-0.49049217,-0.22507215,0.10431681,-0.61488941,0.034567145,-0.12281654,-0.37768612,-0.12473676,-0.44188012,-0.95538902,-0.39307017,0.18898485,-0.58877224,0.090713957,-0.51358403,-5.4037637,-0.0027682211,-0.35328377,-0.41304015,-0.15717979,0.0053416336,0.022025079,-0.23317593,0.029273762,-0.76157762,0.16406299,-0.20568669,-0.42820677,-0.87079475,-0.059008638,-0.60089897,-0.45105336,-0.4265321,-0.75767789,-0.13285392,-0.883033,-0.40580144,-0.74652194,-1.3671258,-0.90483479,-0.67089164,-1.1602529,-0.16084693,-0.56859906,-0.64409965,-0.85731723,-0.19781041,0.17171298,0.073604746,-0.0013475157,0.18522247,-0.41745638,0.018312237,0.029344866,-1.0336388,-0.083271641,-0.3758886,-0.88856073,-0.38095882,0.038560515,-0.21942556,-0.6778441,-0.5708246,-0.40044477,-0.76145976,-1.2799573,-1.2042355,0.10486173,-0.54938294,-0.35030453,-0.66924817,-0.10998851,-0.68200201,-4.1383038,-0.64372299,-1.1988215,-0.40336884,-1.7880206,-0.048591551,-1.8979165,0.032330526,-0.25559345,-1.454357,-0.21676701,-0.12788306,-0.56473222,0.12325159,0.02376852,-0.31617819,-0.25162768,-0.15749827,-0.67985958,-1.1298647,0.14462932,-0.73911844,-0.31891809,-0.46167399,0.13414811,-0.22318169,-0.49639086,-0.026069015,-0.40027782,0.18884151,-0.45244484,0.19060313,-1.8584886,-0.54130952,0.032223108,-0.11318414,0.17750317,-1.4296637,-0.25384048,-2.8424338,-0.27238054,0.10790873,-0.10948126,-0.2813329,0.14018475,-0.44334441,0.18746205,0.083753803,0.16098135,0.041680729,0.083493443,0.17305599,-0.080513542,-0.27076778,-0.32160926,-0.15796001,-0.34380109,-0.39286976,-1.2353206,-0.30833997,0.17731634,0.18918297,-0.14214203,-0.51850072,-0.34380109,-0.63366848,-0.62824411,-1.5640728,0.079837444,0.075666946,0.15246297,-1.825405,-2.607439,-0.51662479,-1.0334487,-0.67817212,-0.27282143,-0.48176284,-0.37179852,-0.28182073,-1.1882775,-4.4745062,-1.0422869,-1.0055458,-3.8008138,-3.1021321,-3.3436039,-0.9538653,0.022295158,-0.32040537,-0.14924989,-0.37727754,0.017555609,-2.0882343,-0.45864775,-0.25051786,-0.40394106,0.00099661551,-0.23881386,-0.3902288,-2.0227894,-0.24441433,-0.46914588,0.04828778,0.15104674,-0.49811527,-1.3536974,-0.084843442,0.18016661,-0.20816609,-0.39529635,-1.2821953,-0.5411439,-0.28587298,-0.082841307,-1.6558691
