# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:49:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpgcqbogl7/4_q9jz7z.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924184931_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0908067
# Elements of inverse mass matrix:
# 0.869559, 0.0104278, -0.00974303, -0.0530786
# 0.0104278, 0.00523911, -0.00638059, 0.000114619
# -0.00974303, -0.00638059, 0.0448579, -0.000204197
# -0.0530786, 0.000114619, -0.000204197, 0.0591703
-171.79337,0.99876373,0.090806663,5,31,0,174.61222,0.14698641,1.2375513,0.32132373,-2.9468271,0.052506038,-0.71759799,-0.21663102,-6.1736971,-0.39214529,0.17432297,-0.12095495,-0.3467083,0.092209743,-0.19151641,-0.45292281,-0.70636425,-1.0152631,-0.20927582,-0.30287992,0.11855102,-3.0012521,-0.90783647,-0.18383428,-0.38046003,0.19620602,-2.5559855,0.11858296,-0.079099053,0.1718574,0.069438692,-0.33569469,0.083493649,-0.43979562,-0.259764,-0.13860567,-0.22915592,-0.63205969,0.14860539,-0.85801739,-0.18544511,-0.72223843,-1.1478522,-0.79879598,-1.9874241,-0.76805277,-1.2367597,-0.67403627,-1.8472477,-3.1859556,-3.5972357,-0.31008086,-0.56764126,-0.45348962,-0.11480529,-0.1791164,-0.36711429,-0.35615888,0.13544277,-0.36924759,-0.47568725,-1.6915778,-1.2962167,0.042060748,-0.19777395,-0.78562278,-0.59622573,-0.13158759,0.097359825,-0.30940932,-0.54472738,0.16569524,0.18035347,-0.032519754,0.094743946,-0.20102596,-0.82113583,0.10974535,-0.27205539,-0.66791198,0.1455487,-0.39849037,0.14796896,0.057737211,-1.7618996,-0.55568684,-0.049263297,-0.60928855,-0.040837279,-0.0020589671,0.15294407,-0.50430588,-0.12762509,-0.98890778,0.083461208,-0.029123545,-0.21808053,0.16097472,-4.1583088,0.19192881,-0.17580169,-0.18191896,-0.060245664,0.1311165,-0.032582495,-0.024191196,0.036351544,-0.15489471,-1.3861141,-0.47953236,-0.21559801,0.10932173,-0.60414335,0.040422112,-0.11549376,-0.36978145,-0.1186571,-0.43132011,-0.94247552,-0.3830953,0.18134416,-0.57899012,0.094995901,-0.5039753,-5.3260909,0.0029520202,-0.34520411,-0.40483565,-0.15054606,0.010179184,0.026665817,-0.22659873,-0.0046450487,-0.754757,0.15165382,-0.19983976,-0.41652105,-0.85731831,-0.050598097,-0.58958805,-0.44321588,-0.41878304,-0.74560543,-0.12625586,-0.87096696,-0.39799855,-0.73690188,-1.3549217,-0.89200731,-0.65972618,-1.1467664,-0.15309442,-0.55891886,-0.63437769,-0.84700521,-0.19132259,0.17048392,0.077298353,0.0037862029,0.17847185,-0.40924267,0.022777251,0.033362358,-1.0179105,-0.073971609,-0.36900879,-0.87417765,-0.37454286,0.045884193,-0.2098245,-0.66897555,-0.55929912,-0.38975693,-0.75215886,-1.2690787,-1.1945281,0.077898681,-0.53663957,-0.34473532,-0.65533632,-0.10044259,-0.66993273,-4.0622283,-0.63243239,-1.1877837,-0.39666933,-1.7636784,-0.04027273,-1.8715295,0.036366602,-0.24872774,-1.4363196,-0.20718582,-0.11893,-0.5572122,0.12619627,0.027252054,-0.30523611,-0.24590959,-0.14691858,-0.67364813,-1.1241779,0.1499933,-0.72384181,-0.30831863,-0.45254083,0.13757007,-0.21326253,-0.48971713,-0.01736911,-0.38883463,0.18672538,-0.44390997,0.18829436,-1.8399836,-0.53087508,0.037252965,-0.10557283,0.17729236,-1.4171405,-0.24606204,-2.8195892,-0.3509645,0.083749385,-0.10212346,-0.27287053,0.14333702,-0.43331222,0.18521068,0.088393204,0.16199102,0.046508321,0.087171738,0.17266197,-0.072963849,-0.26290275,-0.31406233,-0.15099071,-0.33580128,-0.38209469,-1.2214245,-0.30051379,0.17617859,0.18204701,-0.13528142,-0.50971718,-0.33580128,-0.62309597,-0.61885312,-1.5474296,0.083962328,0.046648315,0.15364302,-1.8099075,-2.589703,-0.62873556,-1.0222941,-0.66930937,-0.26565278,-0.47436162,-0.36503786,-0.27484522,-1.1774345,-4.5142511,-1.0326384,-0.99656639,-3.8102925,-3.0858729,-3.3427633,-0.93951515,0.026778347,-0.31351961,-0.2104296,-0.36870909,0.023322601,-2.0736912,-0.4499214,-0.24293904,-0.39644457,0.0054941908,-0.22945665,-0.37957534,-2.0119793,-0.2373253,-0.46099286,0.05251849,0.15167388,-0.49015653,-1.3420598,-0.078903704,0.17546964,-0.1987411,-0.38804666,-1.2658949,-0.52934322,-0.27501334,-0.079107559,-1.6320521
-172.56523,0.99870568,0.090806663,5,31,0,174.34727,0.096669295,1.3087658,0.31622229,-2.8460366,0.058074037,-0.69222992,-0.24606576,-5.0681161,-0.40190767,0.073198955,-0.16196973,-0.51250373,-0.058387827,-0.22385008,-0.45677925,-0.68281235,-0.95963185,-0.23989227,-0.46753082,0.037403128,-2.7030499,-0.86562881,-0.21792216,-0.39205478,0.081880967,-2.3065407,-0.024835295,-0.24098599,0.043053404,-0.081836997,-0.35169818,0.0097143455,-0.60277485,-0.28494419,-0.17637043,-0.25867475,-0.61815254,0.059068926,-0.8189053,-0.21735928,-0.69834374,-1.0781637,-0.76475217,-1.8300753,-0.73749429,-1.1544101,-0.65304394,-1.7050528,-2.897989,-3.2827289,-0.32881049,-0.55877348,-0.45697803,-0.15628196,-0.21242904,-0.3793372,-0.36936046,0.051159337,-0.38098181,-0.47510298,-1.5628443,-1.2089019,-0.021299684,-0.23069113,-0.75227814,-0.58272035,-0.17031104,0.0230631,-0.33007428,-0.54017749,0.068708972,0.072568718,-0.08364231,0.0203863,-0.22975757,-0.78987926,0.031420481,-0.29688577,-0.64468597,0.057847752,-0.40850683,0.0046409222,-0.01004604,-1.6294351,-0.54775115,-0.21100169,-0.59522313,-0.093079642,-0.060249113,0.059238699,-0.5007841,-0.16757503,-0.93486706,0.011307366,-0.18990494,-0.24654058,0.067996668,-3.6718942,0.078933256,-0.21087701,-0.2156788,-0.10987565,0.045261149,-0.086219432,-0.079211578,-0.02843773,-0.1922954,-1.4673477,-0.47785675,-0.24350579,0.03069323,-0.58900805,-0.024058632,-0.15681237,-0.38180957,-0.16064153,-0.43604986,-0.8933782,-0.39317597,0.056907578,-0.56758242,0.019176623,-0.50038026,-4.4200705,-0.05585453,-0.35998968,-0.41296762,-0.18823773,-0.050402142,-0.036698818,-0.25549377,-0.1633516,-0.7282364,0.014470555,-0.23310112,-0.4208022,-0.81478724,-0.09957,-0.57615986,-0.44881118,-0.4271535,-0.71492547,-0.16801666,-0.82719677,-0.40896222,-0.71171394,-1.2654187,-0.84469102,-0.6379179,-1.0712717,-0.18910658,-0.54865241,-0.61603185,-0.80552335,-0.22413151,0.068662241,0.0044264058,-0.055722381,0.057911129,-0.41646913,-0.040161759,-0.031593368,-0.95909253,-0.11964923,-0.38220161,-0.83065652,-0.38775822,-0.018413976,-0.23875417,-0.64901111,-0.54949818,-0.39780454,-0.72448091,-1.187034,-1.118817,-0.074633299,-0.52889978,-0.36245425,-0.63351156,-0.1424453,-0.64850782,-3.7101759,-0.61555516,-1.1116572,-0.40724421,-1.6234813,-0.090722585,-1.7169151,-0.029528022,-0.27568857,-1.3311069,-0.2360492,-0.15868805,-0.55132382,0.041525775,-0.033588144,-0.32698041,-0.26951078,-0.18646738,-0.65052121,-1.0533584,0.059984171,-0.69615377,-0.32835762,-0.45593989,0.05296404,-0.24224931,-0.4914901,-0.070111692,-0.39610501,0.080213494,-0.44523468,0.082033135,-1.6955092,-0.52594859,-0.028352619,-0.1475634,0.074880096,-1.3217882,-0.27357357,-2.5632823,-0.51715637,-0.066393968,-0.14455339,-0.29450358,0.055946769,-0.436318,0.076283116,0.014932232,0.066601714,-0.019237125,0.013248206,0.072408126,-0.12067164,-0.28645105,-0.33243354,-0.18829065,-0.35141502,-0.39280569,-1.1440417,-0.32010951,0.072885412,0.059609579,-0.1745628,-0.50619952,-0.35141502,-0.60856906,-0.60321871,-1.4376934,0.010343432,-0.1074936,0.060839643,-1.6767057,-2.3402106,-0.78167945,-0.96443311,-0.64879691,-0.28967642,-0.47588738,-0.3789494,-0.29831807,-1.1046256,-4.0360028,-0.9763702,-0.94326946,-3.4436038,-2.8045182,-3.0328214,-0.88866041,-0.036904249,-0.33267988,-0.37735562,-0.3812211,-0.039628151,-1.905253,-0.45387107,-0.26999592,-0.40692013,-0.055359586,-0.25598613,-0.38866355,-1.8521191,-0.26548866,-0.46391059,-0.016188999,0.057864228,-0.48974541,-1.2473964,-0.12666244,0.061763779,-0.22930382,-0.39815524,-1.1864885,-0.52411254,-0.29641855,-0.12834395,-1.5105617
-172.77667,0.99988554,0.090806663,5,63,0,173.43823,0.099734,1.2085425,0.31021838,-3.0053629,0.049520782,-0.77742809,-0.25122655,-2.4425008,-0.43618939,0.19056795,-0.14906624,-0.01222989,0.2121645,-0.22454143,-0.50147166,-0.76650617,-1.0914739,-0.24401773,0.01048763,0.11763277,-3.1492745,-0.98235076,-0.21948328,-0.42574241,0.22321794,-2.6799064,0.22036206,0.12730615,0.23260548,0.19998805,-0.37563544,0.073121142,-0.062930296,-0.29775355,-0.16638349,-0.26766312,-0.69147526,0.15457755,-0.92598422,-0.21612735,-0.78500727,-1.2300419,-0.86295985,-2.1117415,-0.83012302,-1.3195396,-0.73184022,-1.9648347,-3.3683152,-3.8122606,-0.35035822,-0.62169033,-0.50245369,-0.1400909,-0.20790138,-0.40775356,-0.39551922,0.13022852,-0.41433649,-0.52436981,-1.7984468,-1.3822179,0.025945543,-0.23024008,-0.84962911,-0.65032743,-0.16235774,0.089200508,-0.35044589,-0.59864997,0.17042756,0.21169427,-0.050191451,0.092475039,-0.22868399,-0.89373792,0.097447232,-0.31443263,-0.71961271,0.14011438,-0.4460924,0.23546343,0.041506195,-1.876123,-0.60935065,0.14247269,-0.66201978,-0.06125674,-0.019127368,0.16428325,-0.55002809,-0.15899296,-1.0611228,0.073003656,0.1550406,-0.25264937,0.16808436,-1.7424142,0.22270295,-0.20753697,-0.21261802,-0.083005944,0.13432277,-0.05330541,-0.045231383,0.020264772,-0.18582113,-0.54901035,-0.52459157,-0.2462068,0.10929788,-0.65491545,0.028752749,-0.14161663,-0.41166262,-0.14793437,-0.47652185,-1.0138716,-0.42595709,0.23221693,-0.62997246,0.088850239,-0.55044047,-5.4609844,-0.014353582,-0.38554467,-0.44770471,-0.17935867,-0.0062540281,0.011046061,-0.26018849,0.16798902,-0.81924538,0.23489151,-0.23523477,-0.45812702,-0.92156913,-0.072382259,-0.64150272,-0.49107872,-0.46600787,-0.80369404,-0.15822301,-0.93548587,-0.44566157,-0.80084926,-1.4496597,-0.95558827,-0.71248684,-1.2211937,-0.18016763,-0.60675385,-0.68577978,-0.90827987,-0.2227731,0.18866701,0.068820198,-0.013015036,0.22428384,-0.4499988,0.0082285881,0.018946379,-1.091446,-0.098947098,-0.41108641,-0.94082452,-0.4185265,0.03080928,-0.24411213,-0.72480192,-0.61105806,-0.43182493,-0.81449584,-1.3572433,-1.2768748,0.20245908,-0.58766761,-0.38752484,-0.71022264,-0.12861821,-0.72754517,-4.2536546,-0.68918412,-1.2680734,-0.44005478,-1.8695132,-0.062843332,-1.9791617,0.019435451,-0.28506219,-1.5271801,-0.23989907,-0.14642487,-0.6118271,0.12111133,0.013435855,-0.34861058,-0.27809861,-0.17983806,-0.72831897,-1.2014002,0.15545076,-0.78113475,-0.34807983,-0.49834314,0.13455521,-0.24899608,-0.53978632,-0.037974666,-0.43122796,0.21402255,-0.48892867,0.21363549,-1.9537144,-0.58108948,0.017738559,-0.13164839,0.19030994,-1.5155639,-0.28417137,-2.9704111,-0.015903972,0.2089558,-0.12827386,-0.30891457,0.148907,-0.47608094,0.21283709,0.08126326,0.17504389,0.032675067,0.077262711,0.18817927,-0.099670051,-0.29820816,-0.35352728,-0.18047319,-0.37543417,-0.4264098,-1.3077856,-0.33832217,0.19553744,0.22993913,-0.16379578,-0.55801672,-0.37543417,-0.68050695,-0.6716366,-1.6517491,0.076252184,0.18986878,0.16233155,-1.9308885,-2.720051,-0.16443886,-1.0948776,-0.72464973,-0.30092109,-0.52190573,-0.40821585,-0.31206827,-1.260046,-4.7887256,-1.1098856,-1.0713711,-4.0355548,-3.2665106,-3.5380603,-1.0083025,0.009666867,-0.35369585,0.058770065,-0.41022616,0.0074762859,-2.200857,-0.49565024,-0.27733746,-0.44054123,-0.015018552,-0.26460073,-0.42123678,-2.1382386,-0.2725092,-0.50708906,0.040384333,0.16004445,-0.53678024,-1.4270696,-0.10127097,0.21096876,-0.23609349,-0.42691494,-1.3591423,-0.58463041,-0.31604686,-0.10370533,-1.7373335
