# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:57:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpzhr2z7v_/muov24yg.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924185722_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.169411
# Elements of inverse mass matrix:
# 0.906229, 0.004736, 0.00339241, -0.0423178
# 0.004736, 0.00555075, -0.00701791, 0.000375609
# 0.00339241, -0.00701791, 0.058389, 0.000846568
# -0.0423178, 0.000375609, 0.000846568, 0.0613634
-137.83345,0.99960079,0.1694111,4,15,0,140.74763,0.017783493,1.2047126,0.23952039,-2.4955965,0.082447258,-2.4561607,0.1578901,-0.0078583404,-1.8752976,-1.2096306,-0.65687805,0.22590744,0.087189691,0.014193793,0.14858143,0.22922634,-0.25846806,-1.9853493,0.22024858,-0.22561715,-2.8114504,-0.02249097,-0.51453373,-1.6199069,-0.51445147,-0.082357259,-0.42928607,0.22010168,0.11732664,0.13153475,-0.66418236,0.2149529,-0.070935713,0.21964341,-4.0194471,-0.52728294,-0.41789391,0.15168133,0.24356592,0.22898938,-0.052120406,0.02420207,-0.38676742,0.22447555,0.17033866,0.24090058,-0.33490128,0.17571762,0.16781632,0.20482732,-0.4027257,0.14673986,-0.37319924,0.038214317,0.015992619,0.23854085,-1.260522,0.044064812,0.16096234,-0.16227323,0.21543216,0.12448028,-0.99322433,-0.78399208,-0.4066273,-2.555362,0.23006252,0.053014929,-0.10598482,-0.073222318,-6.8928134,0.13301346,0.11639395,-0.20972921,0.040541966,-0.52824866,-0.19979026,0.014740795,0.017934002,-1.2540459,-3.0554364,0.098830789,-0.89680135,0.19154199,0.22927823,0.17276523,0.23737343,0.23937376,-1.2541898,0.24106392,-0.8696084,-0.17750369,-0.04823248,0.094471958,0.063657015,-0.015185937,0.03018504,-0.15979336,-0.25407194,-0.89693071,0.027420459,0.086764561,-0.86181681,0.086071342,0.21989295,0.10598783,0.2407348,0.21650305,-0.47124484,0.13516611,-0.22903028,-0.077886507,0.10337876,-0.081168724,-2.1026413,-0.4715587,-0.51772453,-0.84431432,-0.14993531,-0.42424103,0.0040544293,0.23386376,-1.675466,-0.10536065,-0.18953618,-0.70678815,-0.023388207,0.22705438,-0.16918848,-0.14284023,0.00167805,-0.73851861,-0.31623927,0.10064969,-0.3884637,-0.34397211,-0.73595458,-0.0025777897,-0.32947762,-1.183896,0.247496,-0.012292598,-0.42585147,-0.09120716,-0.36680341,0.16772388,-0.10076426,-0.96442902,-0.73989228,0.24118817,-2.4337141,0.20860198,0.038647449,-0.1875887,-0.88327412,-1.6385637,-0.37456965,-0.33070143,0.24536222,0.094598095,-1.4936845,0.017297885,-0.79455035,-3.1289498,-1.6303172,-1.213703,-1.9996478,-1.1318157,-3.0018531,-0.7546433,0.10455291,0.20583493,0.24544686,0.18826982,-0.28138837,-0.087315211,0.01023642,-1.0648895,0.17821001,0.081300068,0.059440442,0.03128761,-0.13511963,-0.055488692,-1.3403669,-1.7583765,-4.5407308,-0.279958,0.13382599,0.22901049,0.16120637,-0.068617316,-0.12505409,0.2385331,0.21879943,0.22498157,-1.3258214,-0.089483258,-0.57857192,0.20194098,-0.20288651,0.22405929,0.16641754,0.053626298,0.062958727,0.23186854,-0.11539489,-0.91609164,0.15937266,-3.1506502,0.14223476,-0.47394936,-2.3476217,-3.4939007,-4.0912249,-1.7163793,-0.28882326,0.12630871,-0.74040102,0.21921594,-0.013369082,-0.68820016,-0.49427552,-3.4036819,-2.478495,0.21457201,-0.42523416,-1.739836,0.13631693,0.23059531,0.22124061,-0.12714645,-0.63925975,-0.84089197,-0.012622152,-0.80815674,-0.72332276,-0.69339661,0.18948505,-0.930439,0.24172449,0.22867819,-0.17810467,0.056846673,0.17402359,-1.1518914,-0.48740396,-2.0413095,-0.58328585,-0.04336356,0.20356034,-0.72480188,-0.18038113,-0.028023239,-0.35289532,-2.5647379,-0.2008879,-0.24178204,-0.26246402,-0.58193416,0.23221251,-3.3728456,0.12622923,0.0012517342,0.23755862,0.085572837,-1.7761736,-0.73453857,0.23794431,-0.089217671,-0.12287325,-1.1981061,0.23822547,0.2035992,0.22988616,0.21678032,0.24190956,0.1984353,0.24374099,-0.29961306,0.070250586,-0.038604508,0.10872665,0.23441483,0.23113488,0.14365174,-0.5772618,0.11750176,0.010694606,0.18144106,0.10251151,-0.9863876,0.14495378,0.18313968,0.21727238,0.14672582,0.2062596
-138.40188,0.9975504,0.1694111,5,31,0,140.62317,0.093407759,1.2564719,0.24065928,-2.7272056,0.065401795,-2.2762295,0.11033341,-0.031831224,-1.7526034,-1.1245552,-0.62049868,0.1110371,0.053976907,-0.013910252,0.098465379,0.11538249,-0.2608845,-1.862794,0.14733639,-0.2333185,-2.6597192,-0.048403321,-0.49853545,-1.5179316,-0.49736503,-0.10322998,-0.41771773,0.15016282,0.075290407,0.08683094,-0.63340762,0.14791514,-0.088849075,0.10146117,-3.7318593,-0.50468186,-0.40263646,0.10494029,0.14943998,0.11455721,-0.071111013,0.0011655743,-0.37215911,0.15389695,0.12334164,0.1379947,-0.33223761,0.11881603,0.1213583,0.14758098,-0.3940222,0.095842302,-0.36900516,0.016804104,-0.0026502018,0.16522129,-1.1653233,0.019740113,0.11456678,-0.16969986,0.15022506,0.082393275,-0.92958227,-0.74273162,-0.39536818,-2.38472,0.11731155,0.022000836,-0.11869174,-0.089232909,-8.7781463,0.088853204,0.077302422,-0.21020234,0.011799214,-0.5025868,-0.20603241,-0.0088716318,-0.0085714149,-1.1670308,-2.847149,-0.071233851,-0.84709376,0.13392841,0.15782482,0.028550989,0.15469072,0.15239052,-1.1770387,0.15059068,-0.82797036,-0.19140702,-0.075710385,0.051195081,0.023643201,-0.043420925,-0.0013794505,-0.16972282,-0.25566121,-0.84929785,-0.0017924942,0.051015932,-0.81134083,0.049073486,0.097897665,0.062793985,0.14412321,0.092184958,-0.44542551,0.096374344,-0.23566531,-0.096817844,0.063486993,-0.10010091,-1.9622929,-0.4536093,-0.4940068,-0.79344784,-0.16076591,-0.41265627,-0.02427573,0.15184728,-1.5745981,-0.1239292,-0.20227244,-0.67913,-0.050003696,0.15056956,-0.18059089,-0.15854989,-0.029466996,-0.7076225,-0.31846749,0.057840628,-0.37239143,-0.3299312,-0.68707551,-0.033347036,-0.31383278,-1.093782,0.16148834,-0.026631632,-0.41935697,-0.09861105,-0.35190876,0.12028678,-0.11065984,-0.89850839,-0.70128509,0.16314111,-2.2416256,0.14522567,0.0094271202,-0.19078587,-0.82930048,-1.533265,-0.36754562,-0.32715041,0.14670188,0.060515599,-1.3953687,-0.0059060357,-0.7550726,-2.9574868,-1.5079783,-1.1429473,-1.8680356,-1.0642714,-2.833049,-0.70584706,0.072313647,0.085956588,0.15184851,0.12824042,-0.28327283,-0.10807831,-0.022298502,-1.0085376,0.13027952,0.052204058,0.033860615,0.009066121,-0.13977794,-0.070308358,-1.2485522,-1.6254019,-4.006597,-0.27429052,0.091136004,0.1557183,0.11240308,-0.08627536,-0.13895899,0.15087392,0.14809112,0.15302229,-1.2409276,-0.10189871,-0.55193942,0.075956235,-0.20882259,0.10302324,0.11479916,0.022910104,0.03098746,0.15930206,-0.1275306,-0.86250923,0.11182684,-2.9591919,0.095733207,-0.45911153,-2.211888,-3.3134745,-3.9342112,-1.6149837,-0.29191941,0.077111659,-0.71028695,0.090031481,-0.045369551,-0.63678666,-0.48335175,-3.2521967,-2.3271451,0.14804058,-0.41408037,-1.6350695,0.088395563,0.15150677,0.1465584,-0.14519325,-0.61674521,-0.80456365,-0.043750606,-0.75212034,-0.67465571,-0.64675318,0.060390306,-0.88105821,0.14329763,0.11206291,-0.1900179,-0.12973685,0.11724516,-1.0855892,-0.4729653,-1.9080625,-0.55992833,-0.067255677,0.13652776,-0.69285726,-0.19049358,-0.053607767,-0.34744625,-2.3985913,-0.20881583,-0.24647105,-0.26566316,-0.55791878,0.16357202,-3.1059498,0.090002383,-0.027053314,0.13663043,0.046074598,-1.6389758,-0.69815432,0.15093489,-0.10009794,-0.13121653,-1.1164076,0.16245418,0.074779526,0.11720025,0.094934733,0.14254297,0.066451554,0.15081893,-0.29229802,0.042518771,-0.25260006,0.065874707,0.1497796,0.14944953,0.10502476,-0.54326026,0.081961626,-0.018035126,0.13164942,0.068754212,-0.92060385,0.10295485,0.042273453,0.15459635,0.098713521,0.13957356
-135.77802,1,0.1694111,4,15,0,138.52072,0.088225605,1.2145225,0.23931828,-2.94477,0.052614161,-2.4211145,0.14837477,-0.013908432,-1.8579172,-1.1903089,-0.6496027,0.20602694,0.080897425,0.0066747451,0.13655738,0.20831411,-0.26164113,-1.9735187,0.20413185,-0.23090877,-2.8200244,-0.030445526,-0.51552521,-1.6063131,-0.51464484,-0.089884073,-0.42976397,0.20608999,0.10795068,0.12171207,-0.66080704,0.20167768,-0.075975478,0.19965925,-3.9773816,-0.52407911,-0.41528449,0.14232801,0.22574034,0.20826711,-0.057466142,0.020809209,-0.38340204,0.21005452,0.16288967,0.22071999,-0.3381227,0.16190016,0.16042474,0.19564897,-0.40460485,0.13369747,-0.37690074,0.03664146,0.014936177,0.22804863,-1.2350722,0.041075827,0.15263729,-0.16483195,0.20266328,0.11528823,-0.98024621,-0.77884393,-0.40688261,-2.5349974,0.20963253,0.045909406,-0.10964372,-0.077168348,-6.9431745,0.12340945,0.10864604,-0.20935892,0.034166008,-0.52301811,-0.20343781,0.010499191,0.01177728,-1.2355461,-3.0269383,0.072019636,-0.88990658,0.17996128,0.21650151,0.1483421,0.22027194,0.22105279,-1.2428334,0.22209247,-0.86798434,-0.18526033,-0.058943644,0.081953692,0.051139003,-0.02465829,0.021080752,-0.16408006,-0.2567986,-0.89203985,0.01970296,0.0786003,-0.85279967,0.077399558,0.19725218,0.094817312,0.22038803,0.19335746,-0.46410774,0.12879316,-0.23359011,-0.083920935,0.094223212,-0.087378683,-2.0816431,-0.4694057,-0.51382233,-0.83428136,-0.15428099,-0.42485497,-0.0042437057,0.21628026,-1.6658056,-0.11258551,-0.19664488,-0.70765806,-0.031786747,0.21085824,-0.17439941,-0.14974351,-0.0082302359,-0.73821076,-0.32132534,0.089704861,-0.38492113,-0.34003284,-0.72350174,-0.012236649,-0.3238865,-1.1601615,0.23436808,-0.012828828,-0.42934833,-0.091112455,-0.36326827,0.15829295,-0.10297044,-0.94938929,-0.73353815,0.22607977,-2.3851874,0.19742447,0.03286832,-0.18735168,-0.87156131,-1.6254282,-0.37725894,-0.33391479,0.22611267,0.089471223,-1.4790244,0.01427739,-0.79213967,-3.1430163,-1.5993165,-1.2070548,-1.9834721,-1.12381,-3.011088,-0.7412087,0.10141491,0.18928156,0.22482542,0.17301739,-0.28611675,-0.096150687,-0.0013311767,-1.0619089,0.17187165,0.07822595,0.057359061,0.029895538,-0.13348239,-0.057006332,-1.3203456,-1.7246664,-4.2748869,-0.27764331,0.1260587,0.21582728,0.15200149,-0.072950806,-0.12970436,0.22151364,0.20475769,0.21201769,-1.3139415,-0.090825736,-0.57618319,0.18249006,-0.2072186,0.20115286,0.15390488,0.045581269,0.054688633,0.21678985,-0.12002469,-0.90876327,0.15134365,-3.1497304,0.13060287,-0.47538109,-2.3476645,-3.5252764,-4.1861816,-1.7105805,-0.29480433,0.11166305,-0.74230761,0.19183539,-0.025917848,-0.67039684,-0.49914773,-3.4589525,-2.4733017,0.1998027,-0.42700153,-1.7324309,0.1238111,0.2124943,0.20339683,-0.13564782,-0.64166197,-0.84210196,-0.024029566,-0.79243355,-0.70944353,-0.67955117,0.17190737,-0.92626041,0.22084696,0.20560195,-0.18455227,0.025706228,0.16028083,-1.1443559,-0.48855268,-2.0237909,-0.58193679,-0.050917822,0.18829736,-0.72313408,-0.18496054,-0.03562703,-0.35416357,-2.5461271,-0.2047959,-0.24519156,-0.2656733,-0.57955869,0.22011727,-3.3110925,0.12028172,-0.0064941707,0.21797752,0.075821451,-1.7433691,-0.7298425,0.2212517,-0.091279015,-0.12475012,-1.1814949,0.22442838,0.18200619,0.21028396,0.19577566,0.22403986,0.17596505,0.22811646,-0.29813611,0.066210284,-0.072612328,0.097994585,0.21571272,0.2128879,0.13834312,-0.56840798,0.11201814,0.0025299594,0.17323765,0.09706296,-0.97149918,0.13783169,0.15833655,0.20672243,0.13568407,0.19086272
