# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 22:57:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpzhr2z7v_/muov24yg.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924185722_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.10621
# Elements of inverse mass matrix:
# 0.767432, 0.00463766, -0.00999642, -0.0272514
# 0.00463766, 0.00507695, -0.00700364, 0.000167462
# -0.00999642, -0.00700364, 0.0618383, -0.000567182
# -0.0272514, 0.000167462, -0.000567182, 0.0595884
-135.54118,0.999995,0.10621019,5,31,0,135.96227,0.081468729,1.202872,0.23934662,-2.8915418,0.055490589,-2.463583,0.15909446,-0.0085551643,-1.8893602,-1.2089404,-0.65762805,0.22996764,0.088836387,0.012662895,0.14705174,0.23168339,-0.26176611,-2.0074285,0.21915279,-0.23030963,-2.8724324,-0.025414019,-0.5207441,-1.6333156,-0.51991623,-0.086276153,-0.43342876,0.22088495,0.11697531,0.1312851,-0.66909988,0.21593197,-0.072108638,0.22405211,-4.0624206,-0.52977392,-0.41886359,0.15280569,0.24570658,0.23207874,-0.053078812,0.026692867,-0.38641008,0.22533446,0.17394907,0.24204435,-0.33953685,0.17384175,0.17136976,0.20881543,-0.4074036,0.14422638,-0.37913368,0.042865075,0.020552595,0.24512372,-1.254328,0.047769765,0.16357859,-0.16291138,0.21705378,0.12450521,-0.9944144,-0.78949602,-0.41017364,-2.5813787,0.23282362,0.053051791,-0.10682557,-0.073268521,-6.746626,0.13329472,0.11779159,-0.20848976,0.040917028,-0.52837622,-0.2025682,0.016505294,0.017941418,-1.2553576,-3.0796156,0.10591844,-0.90220129,0.19270199,0.23236774,0.17752938,0.23759,0.23902274,-1.2620614,0.24068838,-0.87987021,-0.18355681,-0.054338628,0.090418954,0.058652408,-0.019416946,0.027432144,-0.16231882,-0.25699624,-0.90478827,0.025877224,0.086481456,-0.8644971,0.085596137,0.22207514,0.1037934,0.23997823,0.21848668,-0.46876385,0.13828845,-0.23296629,-0.080104047,0.10295192,-0.083608323,-2.1171437,-0.47368526,-0.51927981,-0.84569391,-0.15226138,-0.4283878,0.001390465,0.23299253,-1.6942268,-0.10960262,-0.19540495,-0.71678096,-0.026926342,0.22649166,-0.17290837,-0.14760531,-0.002675283,-0.74809044,-0.32281663,0.098096833,-0.38740642,-0.34171795,-0.73259442,-0.0068627108,-0.32536151,-1.1774101,0.25436908,-0.0075908531,-0.43308603,-0.087678722,-0.36506168,0.16983107,-0.099422932,-0.96222468,-0.74397253,0.24356171,-2.4324672,0.21093489,0.039020002,-0.18667382,-0.88484525,-1.6501063,-0.37913264,-0.33493972,0.24718713,0.097298386,-1.5014367,0.019805659,-0.80198803,-3.1901294,-1.6276441,-1.2246628,-2.0148312,-1.1399815,-3.05772,-0.75176024,0.10958222,0.21469213,0.2441848,0.18568896,-0.28632045,-0.09225103,0.0049647695,-1.076992,0.18321128,0.085587575,0.064052829,0.035773626,-0.13164092,-0.052849411,-1.341419,-1.7536635,-4.3502872,-0.27822053,0.13594811,0.23189035,0.16307621,-0.068916226,-0.12691686,0.23985478,0.21982617,0.22770499,-1.3348835,-0.087373572,-0.58277158,0.20882313,-0.20606555,0.22606904,0.16516811,0.052658794,0.062040435,0.23259247,-0.11711109,-0.92137675,0.16209426,-3.2012549,0.14077412,-0.47955267,-2.3867323,-3.5833801,-4.2520619,-1.7381379,-0.29530598,0.12139581,-0.75151659,0.21715083,-0.020368338,-0.67933541,-0.50404962,-3.5287127,-2.5187688,0.21368469,-0.43075319,-1.7622884,0.13349523,0.22837976,0.2182323,-0.13319455,-0.64956338,-0.85402111,-0.0188756,-0.80288628,-0.71832253,-0.6878618,0.19987183,-0.9401487,0.2404097,0.22870268,-0.18333026,0.061393634,0.17165205,-1.1626763,-0.49360901,-2.0607481,-0.58890226,-0.046665104,0.20167194,-0.73292912,-0.18380942,-0.031008131,-0.35658208,-2.5962325,-0.20410813,-0.24536749,-0.26628924,-0.58659211,0.23602004,-3.359458,0.12971154,-0.0010744397,0.23829624,0.083703419,-1.7710912,-0.73974673,0.23919802,-0.087767331,-0.12197643,-1.1992021,0.24134698,0.208862,0.23407443,0.22117537,0.24523365,0.20313899,0.24839331,-0.29917891,0.073542604,-0.032088198,0.10688074,0.23279122,0.22938276,0.14823112,-0.57492425,0.12096436,0.0084002824,0.18505321,0.10550317,-0.98578472,0.14791149,0.18658997,0.22106335,0.14597034,0.20459683
-135.98387,0.99548601,0.10621019,4,31,0,138.79155,0.10840219,1.2162278,0.24034642,-2.8617997,0.057165784,-2.4115876,0.14936397,-0.01194347,-1.8539955,-1.1821597,-0.64450173,0.19969707,0.083209259,0.0080321279,0.13631443,0.2017987,-0.25947808,-1.9724098,0.20192725,-0.22954037,-2.8318783,-0.029233964,-0.51335011,-1.6019965,-0.51205841,-0.088723608,-0.42686971,0.2051078,0.10916109,0.12211092,-0.65806365,0.20051311,-0.074044312,0.19275652,-3.9827866,-0.5198654,-0.41151551,0.14321802,0.22208895,0.20196219,-0.055549935,0.024417515,-0.3785857,0.20839684,0.1651127,0.21507228,-0.33666463,0.1606317,0.16262252,0.19698111,-0.40269355,0.13296509,-0.37549804,0.040869844,0.019306387,0.22735207,-1.226341,0.043886742,0.15353837,-0.16240524,0.20163023,0.11691126,-0.97511432,-0.77420028,-0.40323757,-2.5265667,0.20403294,0.047151262,-0.10632507,-0.075157321,-7.7000066,0.12370193,0.10982921,-0.20604093,0.035761393,-0.51898018,-0.20045561,0.012684422,0.013287102,-1.2268419,-3.0305909,0.055977223,-0.88685024,0.17942571,0.215232,0.13702457,0.21724073,0.21731467,-1.2389953,0.21804952,-0.86599038,-0.1844995,-0.058896402,0.081890268,0.050985934,-0.023637057,0.022516362,-0.1612028,-0.25361505,-0.88793264,0.021826353,0.080761773,-0.84886681,0.077929125,0.18876297,0.094318547,0.21490095,0.18455789,-0.45765642,0.13161208,-0.23243719,-0.082672587,0.094828747,-0.086272176,-2.0792587,-0.4663146,-0.50905853,-0.82954959,-0.15178799,-0.42182299,-0.0027943934,0.21362746,-1.6623688,-0.11096962,-0.19543735,-0.70570611,-0.030282768,0.20916281,-0.17207267,-0.14814692,-0.0073869564,-0.73580467,-0.31965773,0.09051906,-0.38102132,-0.33569957,-0.71730331,-0.011236411,-0.31875667,-1.1513777,0.23109428,-0.0096693198,-0.42661027,-0.087934487,-0.36009951,0.15823256,-0.10067641,-0.94406602,-0.72798504,0.2232646,-2.3647232,0.19817221,0.035722848,-0.18274498,-0.86479961,-1.6233984,-0.37582607,-0.33255819,0.2208682,0.092584522,-1.4747272,0.017860086,-0.78994695,-3.1593327,-1.5881633,-1.2045288,-1.9804474,-1.1201795,-3.0217862,-0.73402069,0.10496707,0.18334303,0.22009919,0.17155712,-0.28480404,-0.095819499,-0.0017878514,-1.0603582,0.17437599,0.082001724,0.061308859,0.032590257,-0.12998366,-0.054417108,-1.315184,-1.7173773,-4.2476238,-0.2745715,0.12655131,0.21381199,0.15210304,-0.071539942,-0.12845669,0.21736916,0.20231936,0.20990638,-1.3062283,-0.088549846,-0.57115228,0.17380365,-0.20456748,0.19352953,0.15424718,0.047705793,0.056746543,0.21578236,-0.1170568,-0.90344754,0.15222333,-3.1467209,0.13132041,-0.47250413,-2.3483983,-3.5326928,-4.2107163,-1.7081145,-0.29325057,0.11097464,-0.7399769,0.18286763,-0.025650341,-0.66258114,-0.49694391,-3.4610411,-2.4638059,0.20000774,-0.42301246,-1.7260497,0.12476164,0.21060551,0.20175383,-0.13389373,-0.63897293,-0.83940284,-0.023086875,-0.7865109,-0.70381298,-0.67402419,0.16307764,-0.92079216,0.21717016,0.19950187,-0.18203823,0.0079240093,0.16068474,-1.1389323,-0.48515546,-2.0158753,-0.57806726,-0.048914833,0.18741465,-0.71967119,-0.18237159,-0.033753338,-0.35085065,-2.5394449,-0.202028,-0.24236584,-0.26283798,-0.57557819,0.21919272,-3.3008916,0.12252963,-0.00491683,0.21334023,0.076815108,-1.7329579,-0.72583069,0.21851277,-0.088100383,-0.12160657,-1.1751093,0.22286649,0.17347655,0.20413199,0.18829926,0.21966663,0.16694857,0.22513942,-0.29399882,0.069525076,-0.097438568,0.09822285,0.21196146,0.20944258,0.14120521,-0.56238313,0.11459802,0.0038004978,0.17464199,0.099569494,-0.96488838,0.13966212,0.1478578,0.20690106,0.13618611,0.18929904
-138.74267,0.99048361,0.10621019,4,31,0,141.89605,0.01413655,1.1773435,0.24251731,-3.1260413,0.043891205,-2.5513734,0.19050964,0.013808424,-1.94087,-1.2474487,-0.66782833,0.27561202,0.11415267,0.037430414,0.18129559,0.27897969,-0.24917837,-2.0534168,0.26093926,-0.2141522,-2.9070943,-0.00059477638,-0.51643693,-1.6717179,-0.51640845,-0.063225188,-0.42736508,0.26085524,0.14792581,0.1632157,-0.67311866,0.25491987,-0.052166219,0.2705473,-4.1530238,-0.53033582,-0.41619292,0.18434414,0.28908583,0.2779712,-0.033768805,0.047711613,-0.38394886,0.26393753,0.20432477,0.28799527,-0.33014267,0.21001121,0.20156612,0.24243369,-0.40121027,0.1787603,-0.3696507,0.061702513,0.03814348,0.2808234,-1.3008858,0.068197677,0.19351188,-0.14945164,0.25379218,0.15473547,-1.0202159,-0.8000615,-0.40498402,-2.6526222,0.27936208,0.077985687,-0.089888848,-0.055227657,-8.7541047,0.16381815,0.14562265,-0.1990329,0.06469826,-0.53286238,-0.18841451,0.037616183,0.040998366,-1.2937109,-3.1733968,0.15116399,-0.91794581,0.22786337,0.27038381,0.22489562,0.28032813,0.28336725,-1.2919809,0.28585534,-0.88941037,-0.16421151,-0.027937342,0.12311195,0.09053789,0.0066666634,0.054374455,-0.14624504,-0.2451479,-0.91782897,0.051182299,0.1140034,-0.88174817,0.11373961,0.27073226,0.13564722,0.28746306,0.26783186,-0.47468672,0.16479982,-0.21776067,-0.059293183,0.13252684,-0.06276552,-2.1775728,-0.4728486,-0.52192319,-0.86390392,-0.13572322,-0.42301466,0.027084185,0.27727455,-1.7289903,-0.08751555,-0.17563255,-0.71653253,-0.00093002835,0.26953487,-0.154406,-0.12643637,0.026066269,-0.74909749,-0.30745606,0.13144946,-0.38883904,-0.34247689,-0.7542178,0.022205993,-0.32787071,-1.2256839,0.29048761,0.0057511137,-0.42166361,-0.077402767,-0.36694445,0.19812118,-0.087713854,-0.9950019,-0.74974913,0.28116063,-2.5099991,0.24958747,0.065913299,-0.17281792,-0.89966135,-1.7038445,-0.37438558,-0.32833016,0.29007814,0.12499731,-1.5515389,0.042730947,-0.81492001,-3.2856316,-1.6786742,-1.2551737,-2.0832792,-1.1696312,-3.1480344,-0.76671507,0.13488819,0.25838891,0.28876324,0.22185812,-0.27569608,-0.071496464,0.031758138,-1.0968756,0.21424903,0.10964994,0.086639012,0.056733083,-0.11909642,-0.035297805,-1.3796164,-1.8156093,-4.6746281,-0.27105522,0.16595698,0.27127963,0.19530678,-0.049162708,-0.10854797,0.28421617,0.26024916,0.2674709,-1.3725176,-0.070508983,-0.58786448,0.25484356,-0.19386644,0.27250799,0.19767544,0.076375892,0.086300119,0.2705349,-0.10217425,-0.94262578,0.19452111,-3.3053918,0.17149905,-0.47785114,-2.446231,-3.6687027,-4.3180008,-1.7813748,-0.28302924,0.15558536,-0.75597957,0.26912653,0.0074927309,-0.70036449,-0.497073,-3.5467244,-2.578369,0.25223701,-0.42547142,-1.8022121,0.16719147,0.2721374,0.26146068,-0.11132881,-0.64752577,-0.85800319,0.0098528766,-0.827423,-0.73849081,-0.70674417,0.24047855,-0.95314196,0.28837521,0.27884018,-0.16443405,0.1088335,0.20934733,-1.1826946,-0.4878833,-2.1086882,-0.58784691,-0.021720096,0.2434403,-0.73474547,-0.16548011,-0.0049774508,-0.3462823,-2.6438927,-0.1868135,-0.22945253,-0.2508918,-0.58530143,0.27058948,-3.5514008,0.15356454,0.02584753,0.28676128,0.11542686,-1.8491558,-0.74533839,0.2840468,-0.074468717,-0.10963563,-1.2381618,0.27904728,0.2535795,0.27831169,0.26646722,0.2883734,0.24919875,0.28932232,-0.29411105,0.095189881,0.010492953,0.13868441,0.2783591,0.27428506,0.17376208,-0.58540673,0.1460714,0.03396856,0.21561928,0.13022868,-1.0131355,0.176106,0.23528395,0.25584675,0.1787812,0.24457041
