# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:00:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp3emd7fe7/kiu0bc8k.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924190032_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0863791
# Elements of inverse mass matrix:
# 0.712662, 0.0105237, -0.014273, -0.0436942
# 0.0105237, 0.00549077, -0.00717875, 0.00135711
# -0.014273, -0.00717875, 0.0492506, 0.000888773
# -0.0436942, 0.00135711, 0.000888773, 0.0567675
-170.42906,0.99992189,0.086379135,5,47,0,173.19454,0.11921935,1.2552693,0.31690182,-2.9097401,0.054489889,-0.71963206,-0.23292537,-4.5773773,-0.40348202,0.14585744,-0.13992043,-0.30898264,0.074963014,-0.20848962,-0.46306061,-0.70912282,-1.0097558,-0.22601118,-0.27110786,0.09232177,-2.9232553,-0.90664146,-0.20184545,-0.39258986,0.16644208,-2.4909363,0.09847328,-0.076720961,0.14569123,0.054524326,-0.34849026,0.057488923,-0.38917653,-0.27527559,-0.15636602,-0.24625402,-0.63806015,0.12137198,-0.85683273,-0.20177393,-0.72541458,-1.1386069,-0.79857184,-1.9553831,-0.76872193,-1.2230464,-0.67719274,-1.8191016,-3.1190515,-3.5278201,-0.32379191,-0.57434716,-0.46352738,-0.1333972,-0.19567441,-0.3787299,-0.367875,0.1074676,-0.38129102,-0.48411617,-1.6667125,-1.2817954,0.018374849,-0.21497635,-0.78545277,-0.6011629,-0.15014094,0.071881632,-0.32405408,-0.55304275,0.13583724,0.15343479,-0.052723089,0.070310848,-0.21581575,-0.82340857,0.082092988,-0.28811632,-0.6693479,0.11667363,-0.41022918,0.12483348,0.032774215,-1.7362634,-0.56253691,-0.050800025,-0.61407697,-0.062075824,-0.024551441,0.12546701,-0.51145366,-0.14674091,-0.98337528,0.058084039,-0.032162998,-0.23397608,0.13300676,-3.2372787,0.16344937,-0.19354657,-0.1989992,-0.081062977,0.1042689,-0.054297895,-0.04640144,0.012032986,-0.17319517,-1.171101,-0.4870395,-0.2306012,0.084040832,-0.60810775,0.017052668,-0.13422481,-0.38158615,-0.13825322,-0.44100771,-0.93819786,-0.39422098,0.15409889,-0.58433246,0.069235608,-0.51120886,-4.9909654,-0.019787872,-0.35766169,-0.41550044,-0.16866339,-0.013027968,0.002761942,-0.24269768,-0.010081673,-0.7575087,0.12897472,-0.21771535,-0.42536556,-0.85401896,-0.070850649,-0.59424081,-0.45387807,-0.43026521,-0.74542467,-0.14619199,-0.86744552,-0.41038989,-0.73972311,-1.340967,-0.88710136,-0.66176627,-1.1341102,-0.17028328,-0.56415582,-0.63749421,-0.84392979,-0.20833806,0.14206995,0.051854564,-0.019139927,0.15098494,-0.4192714,-0.00083243365,0.0091357225,-1.0104406,-0.093665281,-0.38134763,-0.87083375,-0.38724246,0.022125813,-0.22573844,-0.67234922,-0.56510885,-0.40001639,-0.75394189,-1.2567111,-1.1833074,0.060699424,-0.5426158,-0.35876961,-0.65743773,-0.11923807,-0.67276055,-3.9721684,-0.63671747,-1.1760863,-0.40862872,-1.7325154,-0.061142736,-1.8355965,0.011433535,-0.26459771,-1.4159368,-0.22285709,-0.13726579,-0.56514672,0.097937839,0.0047181957,-0.32057464,-0.25974636,-0.1663088,-0.67549577,-1.1134932,0.12350776,-0.72316455,-0.32241545,-0.46199629,0.1099221,-0.22938321,-0.49951487,-0.038583308,-0.39887926,0.15934324,-0.45240994,0.16053995,-1.8065087,-0.53702932,0.011979457,-0.12442257,0.14779512,-1.401767,-0.26230546,-2.7577599,-0.31326028,0.067916686,-0.12123439,-0.28685971,0.11658084,-0.44212343,0.15699017,0.063130813,0.13439723,0.022224261,0.06114032,0.14416961,-0.093714948,-0.27748274,-0.32765952,-0.16911582,-0.34848174,-0.39350902,-1.2098836,-0.31421754,0.14763296,0.15456893,-0.15388269,-0.517407,-0.34848174,-0.62826239,-0.62318128,-1.5277951,0.058457822,0.034198356,0.12581331,-1.7851197,-2.5267968,-0.54965876,-1.015335,-0.67245619,-0.28042928,-0.48370741,-0.37782316,-0.28977285,-1.1671107,-4.4006448,-1.0271108,-0.99188212,-3.726206,-3.020078,-3.2723003,-0.93404896,0.0024751177,-0.32753883,-0.1917826,-0.3805054,-0.00032324388,-2.0380306,-0.4595306,-0.2584041,-0.40806487,-0.018493943,-0.2448358,-0.39019326,-1.9794786,-0.25333382,-0.47038805,0.027694274,0.12352585,-0.49855584,-1.3247516,-0.099099566,0.14749857,-0.21576364,-0.39877584,-1.2546994,-0.53723797,-0.28950545,-0.10039063,-1.6080277
-171.12059,0.9989687,0.086379135,5,31,0,171.66085,0.081216162,1.2147561,0.31879304,-2.9123796,0.054346251,-0.7432667,-0.22276226,-4.6918553,-0.40563346,0.20023008,-0.12194096,-0.19132463,0.16401471,-0.19639549,-0.47051904,-0.73266386,-1.054614,-0.21576109,-0.15297968,0.13608838,-3.0808553,-0.94751478,-0.19190482,-0.39566972,0.22505161,-2.6163571,0.18485943,0.030118144,0.21951473,0.14754084,-0.34558997,0.093934013,-0.26749387,-0.26899248,-0.13865033,-0.23962325,-0.65910905,0.16976722,-0.89067318,-0.18769133,-0.75144984,-1.1917047,-0.827936,-2.0649313,-0.79545345,-1.2791218,-0.69808114,-1.9193951,-3.3081975,-3.7536267,-0.32073626,-0.58937056,-0.47145702,-0.11287423,-0.17957361,-0.37723859,-0.36502663,0.14777599,-0.38412833,-0.49266814,-1.7538261,-1.3415531,0.049387966,-0.20228756,-0.8146684,-0.61729793,-0.13498241,0.1098574,-0.3213526,-0.56713901,0.18290275,0.21619761,-0.02410518,0.11317171,-0.199266,-0.86062374,0.11647377,-0.28626389,-0.68445918,0.15626182,-0.41633913,0.20403198,0.063512021,-1.8320275,-0.57717747,0.05296704,-0.62876128,-0.035721796,0.0053385297,0.17757818,-0.51761216,-0.13190978,-1.0239831,0.094283334,0.069417986,-0.22395084,0.18189035,-3.2110741,0.22456908,-0.17979107,-0.18457691,-0.057143972,0.15101381,-0.028111942,-0.020341515,0.043206758,-0.15842344,-1.0416171,-0.49236065,-0.21708876,0.12855653,-0.62117549,0.052031402,-0.11433116,-0.38113127,-0.12099881,-0.44541873,-0.97757318,-0.39539814,0.22407216,-0.59684802,0.10910897,-0.51800789,-5.2485208,0.010048891,-0.35531262,-0.41670108,-0.15168019,0.017799225,0.034478723,-0.23150302,0.089526818,-0.78542012,0.20929645,-0.20749772,-0.42640449,-0.88518803,-0.046200156,-0.60817138,-0.46040348,-0.43569463,-0.76835653,-0.13163664,-0.89881908,-0.41584709,-0.76744153,-1.4101547,-0.91812143,-0.67778443,-1.1804624,-0.15195529,-0.57330698,-0.65147519,-0.87146465,-0.19447537,0.1979976,0.089972205,0.011236806,0.21970216,-0.41863855,0.031799158,0.042055107,-1.0538449,-0.072437356,-0.38080353,-0.90478447,-0.38844658,0.053940065,-0.21550949,-0.69095423,-0.57834411,-0.40071093,-0.78039986,-1.3178348,-1.2376459,0.15206553,-0.5555726,-0.35825577,-0.67585727,-0.10187188,-0.69370091,-4.1864018,-0.65592095,-1.2284792,-0.40936258,-1.8237142,-0.036937173,-1.9311314,0.042091945,-0.25651784,-1.4838983,-0.21100742,-0.1188857,-0.58025223,0.13849892,0.037590926,-0.32003142,-0.24828244,-0.15305902,-0.69364402,-1.1618819,0.16977288,-0.74738655,-0.3188368,-0.46720191,0.15201479,-0.22049753,-0.50904999,-0.012204014,-0.3997588,0.21971525,-0.45680173,0.21973686,-1.9114702,-0.55013629,0.041920481,-0.1060392,0.19993725,-1.4749431,-0.25566932,-2.9123007,-0.1949588,0.15877295,-0.10098166,-0.2790736,0.16508577,-0.44405125,0.21722042,0.10238406,0.18766729,0.055793514,0.097814907,0.19853027,-0.073887637,-0.26861167,-0.32354895,-0.15260339,-0.34505297,-0.39637173,-1.2693288,-0.3083765,0.2041281,0.22381992,-0.13618257,-0.52559404,-0.3458727,-0.648082,-0.63781919,-1.6107286,0.09732747,0.12921654,0.17571733,-1.885753,-2.6621489,-0.4213963,-1.0577949,-0.69045217,-0.27150507,-0.49029925,-0.37807967,-0.28281767,-1.2219693,-4.6928471,-1.0736758,-1.034434,-3.9610147,-3.2111409,-3.4716976,-0.97141047,0.033007275,-0.32397988,-0.07928029,-0.38008539,0.030643891,-2.154183,-0.46476587,-0.24881117,-0.41043325,0.0084775877,-0.23540984,-0.38998743,-2.0924325,-0.24421298,-0.47601711,0.062313566,0.17339172,-0.50521608,-1.3854546,-0.075213745,0.21203941,-0.20780704,-0.39595828,-1.3207813,-0.55301111,-0.28683119,-0.077962796,-1.6936284
-172.00315,0.99850477,0.086379135,5,31,0,172.98045,0.043245875,1.2051566,0.31795473,-2.7816483,0.061936333,-0.7542174,-0.22520629,-4.2597042,-0.41122846,0.21074456,-0.12206758,-0.13640297,0.19077386,-0.19831253,-0.47799632,-0.74382653,-1.0718102,-0.21833376,-0.099258812,0.14354071,-3.1079145,-0.96559568,-0.19561249,-0.40243225,0.23593497,-2.63552,0.21052589,0.070803576,0.23845176,0.17738839,-0.34917592,0.098591995,-0.20638777,-0.27269721,-0.13853655,-0.24398065,-0.67077949,0.17836057,-0.90441033,-0.18862526,-0.76378739,-1.210391,-0.8406666,-2.0983542,-0.80692787,-1.2974181,-0.70851381,-1.9517717,-3.359391,-3.823544,-0.3252346,-0.59883694,-0.47937454,-0.11149564,-0.17907625,-0.38092112,-0.36810355,0.15230173,-0.39165886,-0.5010773,-1.7782273,-1.3592713,0.052038312,-0.20346743,-0.82861831,-0.62702057,-0.13689768,0.11461245,-0.32587878,-0.57636283,0.18988671,0.23060209,-0.020147723,0.12129488,-0.19766381,-0.87894733,0.11775784,-0.29319808,-0.69006551,0.15944618,-0.42523845,0.22403634,0.064958533,-1.8681874,-0.58693344,0.091017904,-0.63639957,-0.032936467,0.0090546094,0.1881482,-0.52243401,-0.13405248,-1.0383727,0.098679854,0.10547756,-0.22646585,0.19020393,-2.9214821,0.2371158,-0.18098993,-0.18519984,-0.055358956,0.15956648,-0.025814291,-0.018448775,0.046152902,-0.1597834,-0.92655642,-0.4982128,-0.21736158,0.13689089,-0.62790223,0.057476074,-0.11326766,-0.38537151,-0.12148217,-0.45107871,-0.99347265,-0.40085437,0.24101247,-0.60382202,0.11541577,-0.5231947,-5.1204214,0.013734332,-0.35895296,-0.42090707,-0.15120813,0.022019571,0.038613011,-0.23246082,0.12346412,-0.79750768,0.23061422,-0.21000383,-0.43094833,-0.8977871,-0.044517168,-0.61643649,-0.46726362,-0.44259605,-0.77806578,-0.1338523,-0.91057233,-0.42361706,-0.78087437,-1.4346724,-0.92868439,-0.68477473,-1.1935107,-0.15061417,-0.57828502,-0.65742001,-0.8801809,-0.19476423,0.20986762,0.09613984,0.015334005,0.23669964,-0.42125691,0.036740917,0.046821224,-1.0709561,-0.072437829,-0.38463296,-0.91941895,-0.39328503,0.056624966,-0.21857491,-0.6989817,-0.58729163,-0.40574185,-0.79195582,-1.3380692,-1.2549885,0.18106342,-0.56517026,-0.36198078,-0.68689106,-0.10352012,-0.70486293,-4.2734826,-0.66687059,-1.244357,-0.41338319,-1.8532593,-0.035828016,-1.960299,0.045028666,-0.25923828,-1.5048894,-0.21267749,-0.11891029,-0.58989694,0.14370022,0.042126333,-0.32643339,-0.24892703,-0.15560397,-0.70194567,-1.1781234,0.17695105,-0.75848744,-0.32293262,-0.47315108,0.15761287,-0.22395976,-0.51512536,-0.010708706,-0.40471621,0.23267382,-0.46294133,0.23202206,-1.9470793,-0.5595001,0.04593635,-0.10822209,0.21209958,-1.4905924,-0.25617874,-2.9957883,-0.1362673,0.18364238,-0.10305416,-0.28445564,0.1714004,-0.45165125,0.22704697,0.10600242,0.1968664,0.057753449,0.10012726,0.20708617,-0.072229754,-0.27184309,-0.32941217,-0.15396274,-0.34975989,-0.4015204,-1.2881325,-0.31246625,0.2154188,0.23946341,-0.13785619,-0.53404839,-0.3512424,-0.65713344,-0.64745155,-1.6343758,0.10177949,0.1591347,0.18379911,-1.9153421,-2.6997074,-0.34906104,-1.0732645,-0.7011253,-0.27407462,-0.49840044,-0.38501517,-0.28748475,-1.2420885,-4.8579338,-1.0923814,-1.0528634,-4.0498977,-3.2674836,-3.5379932,-0.98323894,0.035071853,-0.32932541,-0.032633995,-0.38534198,0.033714735,-2.1931743,-0.47158846,-0.25150936,-0.41670675,0.0094114808,-0.23762901,-0.3936538,-2.1303348,-0.24736721,-0.4825915,0.066408893,0.18213218,-0.51144199,-1.4033777,-0.073126597,0.22701664,-0.21218465,-0.39820153,-1.3472794,-0.56447606,-0.29276793,-0.076429291,-1.7237605
