# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:00:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp3emd7fe7/kiu0bc8k.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924190032_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292
# Adaptation terminated
# Step size = 0.0930432
# Elements of inverse mass matrix:
# 0.843665, 0.0119611, -0.0203949, -0.0431263
# 0.0119611, 0.00555718, -0.00712412, 0.00150471
# -0.0203949, -0.00712412, 0.0464392, -0.00210867
# -0.0431263, 0.00150471, -0.00210867, 0.0598599
-173.75554,0.99988615,0.093043164,6,63,0,177.53545,0.16565435,1.2194806,0.30781534,-3.1943231,0.040994266,-0.77586299,-0.25914698,-2.1708428,-0.44050799,0.17310796,-0.1593239,-0.014207429,0.1959123,-0.23308516,-0.50353424,-0.76431437,-1.0828178,-0.25161048,0.0045134661,0.10076815,-3.1250016,-0.9732635,-0.22635143,-0.42928385,0.20730599,-2.6653971,0.20191803,0.11375199,0.21407682,0.18290407,-0.38142027,0.059293229,-0.061964617,-0.30384746,-0.17766504,-0.27283984,-0.68832341,0.13696913,-0.92028011,-0.22651413,-0.78075891,-1.218763,-0.85990138,-2.0831731,-0.8274434,-1.3106608,-0.73133888,-1.9404383,-3.3155497,-3.7387662,-0.35615906,-0.62202452,-0.50467012,-0.1517376,-0.21846637,-0.4134618,-0.40189963,0.11588638,-0.41886988,-0.52822088,-1.7752604,-1.3688471,0.011563855,-0.23799342,-0.84772708,-0.65217219,-0.17231636,0.073263833,-0.35445284,-0.59737054,0.15671946,0.19084149,-0.06552313,0.074103298,-0.24099757,-0.88425104,0.085085888,-0.31822193,-0.72297198,0.12707011,-0.44866891,0.21938841,0.028591505,-1.853967,-0.61033163,0.12925824,-0.66299857,-0.073828983,-0.032538318,0.14640307,-0.5543003,-0.16812989,-1.0540038,0.058095155,0.14113722,-0.26121378,0.15099677,-1.5697209,0.20453322,-0.21587652,-0.22187554,-0.094716461,0.11732169,-0.06554722,-0.057114617,0.007373271,-0.19465039,-0.51029631,-0.53005499,-0.25699288,0.091224779,-0.65802586,0.013314933,-0.15290507,-0.41679627,-0.15706194,-0.48119615,-1.0082586,-0.43140133,0.21392073,-0.63220477,0.073291379,-0.5545859,-5.5339387,-0.027641821,-0.39128044,-0.45249044,-0.18908186,-0.019328484,-0.0020139681,-0.26790878,0.15266064,-0.81327121,0.21537794,-0.24131846,-0.46568783,-0.92038375,-0.085849689,-0.64437752,-0.49284197,-0.4679601,-0.8045131,-0.16590855,-0.93356388,-0.44729584,-0.79621955,-1.4324329,-0.95481771,-0.7152937,-1.2164333,-0.19160044,-0.61074838,-0.68826421,-0.90691689,-0.23143857,0.17119607,0.054147084,-0.026108278,0.20573807,-0.45581237,-0.0052434561,0.0058334082,-1.0869167,-0.11142415,-0.41525232,-0.93859753,-0.42148155,0.016187562,-0.25320467,-0.7240771,-0.61388203,-0.43852222,-0.81068746,-1.3426621,-1.2654313,0.18763214,-0.59141172,-0.39008516,-0.71346262,-0.14012383,-0.72811962,-4.2414946,-0.68961901,-1.2578013,-0.44330023,-1.8571609,-0.075811245,-1.9680422,0.0077272388,-0.29139622,-1.5173802,-0.24981685,-0.15803277,-0.61036139,0.10787039,-0.0011815169,-0.35263926,-0.28759508,-0.18816476,-0.72889803,-1.1926665,0.13743385,-0.78300649,-0.35399337,-0.5018627,0.1192869,-0.25739901,-0.53966623,-0.052142694,-0.43845565,0.19450007,-0.49416784,0.19475811,-1.9322034,-0.58342386,0.0069400358,-0.14340084,0.1747966,-1.4962949,-0.28981255,-2.9428422,-0.017650145,0.19163746,-0.13978696,-0.31715219,0.1307623,-0.48247515,0.19424536,0.065366699,0.15672815,0.018701655,0.063151132,0.17082706,-0.11007581,-0.30613464,-0.35939714,-0.19011829,-0.38151668,-0.43128108,-1.2959759,-0.34507306,0.17796397,0.21155829,-0.17375368,-0.56084672,-0.38151668,-0.67970692,-0.67294239,-1.6325007,0.061111392,0.17364903,0.14520834,-1.903619,-2.6980801,-0.1585773,-1.0876209,-0.72442145,-0.30828847,-0.52404275,-0.41176027,-0.31833069,-1.2478578,-4.6594756,-1.0992929,-1.0621337,-3.9462673,-3.2091075,-3.4695372,-1.0053148,-0.0025157569,-0.35873699,0.051544956,-0.41542536,-0.0057294429,-2.1702511,-0.49899406,-0.28495859,-0.44391435,-0.02578586,-0.27333879,-0.42807107,-2.1061068,-0.2794378,-0.51003617,0.026787981,0.14373202,-0.53951598,-1.4153973,-0.11285513,0.19258749,-0.24360756,-0.43296756,-1.3453927,-0.58549671,-0.32273239,-0.11307875,-1.7236802
-172.12769,0.99976993,0.093043164,6,63,0,175.76041,0.060330488,1.3069247,0.31155831,-2.9894837,0.050313409,-0.70653912,-0.2587176,-3.7302485,-0.41542045,0.07328758,-0.17322053,-0.3940585,-0.021942782,-0.23626237,-0.47165213,-0.69759494,-0.97628283,-0.25286692,-0.35559319,0.033033856,-2.7023223,-0.88535603,-0.23304778,-0.40739133,0.083152783,-2.3034016,0.0068867088,-0.16920419,0.059374152,-0.039316635,-0.36349753,0.0017077238,-0.46660189,-0.29841926,-0.18698657,-0.27374539,-0.63497482,0.056105056,-0.83406484,-0.22850376,-0.71430428,-1.0941418,-0.77994139,-1.8487106,-0.75139797,-1.1687665,-0.66764231,-1.7256241,-2.915989,-3.3114915,-0.34255883,-0.57417384,-0.47259369,-0.16534072,-0.22145471,-0.39050821,-0.379872,0.041926234,-0.39759755,-0.49076667,-1.5750088,-1.2202106,-0.03211683,-0.24137866,-0.76940842,-0.59816227,-0.18428598,0.014569052,-0.34338929,-0.55511967,0.063603849,0.078787522,-0.091049407,0.016967087,-0.23732716,-0.81094635,0.018305608,-0.3142894,-0.65352302,0.047141209,-0.42595561,0.026786394,-0.022024682,-1.6525883,-0.56384975,-0.14545353,-0.60693318,-0.10140964,-0.067948666,0.059654355,-0.51069509,-0.18189999,-0.94803352,0.0025550146,-0.12904542,-0.2595728,0.064271479,-2.7804143,0.082533961,-0.22226135,-0.22608786,-0.11922814,0.042775508,-0.095342632,-0.089090983,-0.037899583,-0.20429722,-1.1538889,-0.48926438,-0.25311255,0.027727931,-0.59999174,-0.030285855,-0.16650826,-0.39397393,-0.17255033,-0.44952292,-0.90964131,-0.40659459,0.069123746,-0.57936,0.013350402,-0.51118037,-4.3046313,-0.063992048,-0.37176794,-0.42433576,-0.19805136,-0.057847735,-0.044572963,-0.26579604,-0.10751583,-0.74319085,0.037051712,-0.24609235,-0.43251474,-0.82883545,-0.10969505,-0.58960216,-0.46284922,-0.44175727,-0.72731241,-0.18207954,-0.8399621,-0.42515308,-0.72853222,-1.2841298,-0.85579096,-0.64849018,-1.0811081,-0.19779414,-0.55827761,-0.62549974,-0.81472209,-0.23424677,0.070901777,-0.0012721275,-0.063152881,0.069860544,-0.42538834,-0.046696817,-0.038616416,-0.97581061,-0.13171305,-0.39368527,-0.84676359,-0.40061001,-0.028799453,-0.25253274,-0.6603019,-0.56440796,-0.41079718,-0.73853615,-1.2022569,-1.1319817,-0.033866389,-0.54524598,-0.37469643,-0.64873062,-0.15655316,-0.66426061,-3.7621574,-0.63182724,-1.1230493,-0.4181234,-1.6432221,-0.10208832,-1.7346361,-0.039042568,-0.2876878,-1.346227,-0.24820953,-0.17024865,-0.56653205,0.034042723,-0.041290779,-0.34296388,-0.27942382,-0.20029522,-0.66275161,-1.0677355,0.055259857,-0.71006112,-0.34107631,-0.46823819,0.045144808,-0.25685618,-0.5040553,-0.081250418,-0.40975912,0.083520713,-0.45882632,0.08420637,-1.7153838,-0.54069609,-0.037422173,-0.16126263,0.074903379,-1.3357405,-0.28539742,-2.5969635,-0.39542538,-0.029682045,-0.1563468,-0.30739272,0.05233428,-0.44876896,0.078225157,0.007787405,0.066919184,-0.028275901,0.003500644,0.071864114,-0.13262043,-0.29709764,-0.34552537,-0.19867864,-0.36267862,-0.40809161,-1.1629404,-0.33125313,0.075027393,0.071462711,-0.18575429,-0.51893478,-0.3646009,-0.62454886,-0.61532961,-1.4579494,0.0038647286,-0.061712255,0.058249569,-1.6984248,-2.3460248,-0.61018101,-0.97682669,-0.66106096,-0.29967136,-0.48897669,-0.39276273,-0.31085246,-1.119489,-4.0407654,-0.99244148,-0.95876343,-3.4526232,-2.8187938,-3.0435638,-0.90278875,-0.046476019,-0.34573449,-0.28330953,-0.39358912,-0.048140878,-1.9228491,-0.46651511,-0.2812192,-0.41996801,-0.066423215,-0.26890667,-0.40107842,-1.8699428,-0.27748296,-0.47600865,-0.023401235,0.056393267,-0.5007743,-1.256831,-0.13449923,0.07068848,-0.24613859,-0.40598762,-1.2119326,-0.54401587,-0.31388681,-0.13698043,-1.5351158
-172.3378,0.99617777,0.093043164,4,31,0,177.20514,0.016029155,1.2442728,0.31757399,-2.8455392,0.05810293,-0.72491121,-0.22933347,-4.6608545,-0.40336099,0.16238136,-0.13285817,-0.28346978,0.097146004,-0.20422184,-0.4665882,-0.71532586,-1.023949,-0.22302826,-0.23977547,0.10843582,-2.9089373,-0.92691002,-0.20328956,-0.39632856,0.17730722,-2.4679485,0.12601888,-0.04393139,0.16913047,0.083507118,-0.34396645,0.068725508,-0.35972437,-0.27366871,-0.14813977,-0.24782764,-0.64795001,0.13711573,-0.8655112,-0.19487512,-0.73439569,-1.1524733,-0.80699341,-1.9849755,-0.7734545,-1.2344366,-0.68280806,-1.8532412,-3.1578465,-3.6016298,-0.32348653,-0.58054467,-0.46888247,-0.12160746,-0.18399994,-0.37306923,-0.3606633,0.11316606,-0.38826744,-0.4902564,-1.6755162,-1.2849915,0.024813275,-0.20661234,-0.79840822,-0.60801242,-0.14914245,0.081227084,-0.3223555,-0.55739735,0.14591504,0.17562245,-0.038121109,0.089588871,-0.20154606,-0.84532207,0.082907145,-0.29505783,-0.66181942,0.11894491,-0.41872094,0.13911145,0.036946287,-1.7781758,-0.57103884,-0.019930124,-0.61157387,-0.048558441,-0.010421738,0.14655765,-0.5043784,-0.1463088,-0.98871028,0.067678957,-0.0070899767,-0.2313369,0.14589979,-3.2654184,0.17824868,-0.18685663,-0.19028053,-0.069949148,0.1228408,-0.042877883,-0.036617056,0.021774872,-0.167763,-1.1459713,-0.48406659,-0.22097435,0.10331773,-0.60475812,0.033079332,-0.12394675,-0.37842091,-0.1329835,-0.44069445,-0.94999554,-0.39338132,0.17465763,-0.58279567,0.0840142,-0.50623425,-4.5875069,-0.0067881494,-0.35324512,-0.41072984,-0.15857156,0.001364617,0.015980303,-0.23396787,0.01349703,-0.76428231,0.14954559,-0.21442646,-0.42191716,-0.8607626,-0.061770245,-0.59652397,-0.45509012,-0.43249501,-0.7469611,-0.14485374,-0.87122997,-0.41591271,-0.7505903,-1.3633609,-0.88732698,-0.65825958,-1.1338006,-0.15811604,-0.55728728,-0.63094002,-0.83874281,-0.19913644,0.16264431,0.067851579,-0.0046189645,0.17569711,-0.4090414,0.015205504,0.023963864,-1.0253053,-0.088492363,-0.37631393,-0.88249337,-0.38525191,0.029498958,-0.22480402,-0.6697844,-0.57035902,-0.39910819,-0.75852072,-1.2695069,-1.1903089,0.089072854,-0.55060033,-0.3546196,-0.66507699,-0.11833774,-0.68134811,-4.1403978,-0.64603511,-1.1786359,-0.40252024,-1.7639761,-0.054772261,-1.8632325,0.021359099,-0.25945594,-1.4320956,-0.21851566,-0.13120717,-0.57014363,0.10797871,0.017842636,-0.32455531,-0.25088023,-0.16441265,-0.67604164,-1.1242606,0.13607295,-0.72693805,-0.31928178,-0.45937793,0.11790001,-0.23037941,-0.4979796,-0.032978876,-0.40041234,0.17597174,-0.45475901,0.17542827,-1.8334628,-0.54007983,0.019642335,-0.11944033,0.16317279,-1.4177986,-0.25877953,-2.8237575,-0.28241977,0.089313356,-0.11568923,-0.28468309,0.13127406,-0.44057002,0.17258231,0.075110459,0.15164521,0.03208198,0.069922725,0.15934612,-0.087585308,-0.27236226,-0.32616849,-0.16248076,-0.34519994,-0.39488122,-1.2274022,-0.3103237,0.16497543,0.17480798,-0.14714708,-0.51727611,-0.3457073,-0.63573229,-0.6228945,-1.5558766,0.072067425,0.061258209,0.14219934,-1.825564,-2.5193029,-0.51448886,-1.0179184,-0.67169422,-0.27320394,-0.48290884,-0.37750116,-0.28584124,-1.1773716,-4.4122148,-1.0389385,-1.0031323,-3.7593674,-3.0487564,-3.3051602,-0.9410536,0.011943598,-0.32627441,-0.16396482,-0.37765067,0.011431849,-2.0645481,-0.45772009,-0.25165137,-0.40666236,-0.011366996,-0.24224224,-0.38779858,-2.0067678,-0.24830921,-0.46766366,0.041524624,0.14130092,-0.49376158,-1.3240667,-0.084631126,0.17294741,-0.22134752,-0.38635011,-1.2935579,-0.55296141,-0.29675306,-0.087926144,-1.6496556
