# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:18:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmprni4c5a0/7eqqnjtj.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924191845_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299
# Adaptation terminated
# Step size = 0.110198
# Elements of inverse mass matrix:
# 0.772402, -0.000277913, -0.00262267, -0.00684133
# -0.000277913, 0.00507849, -0.00591704, 0.000130414
# -0.00262267, -0.00591704, 0.0601303, -0.00248031
# -0.00684133, 0.000130414, -0.00248031, 0.0624332
-143.17679,0.99943954,0.11019816,5,31,0,143.6428,0.080116525,1.1723202,0.27600193,-2.6804235,0.068534123,-1.5251314,-0.69928884,-0.67774755,0.27540836,-0.20454805,-1.1265658,-1.8800931,-0.018739019,-1.6292612,-0.20275434,-0.79263877,0.048513781,-0.35470731,-1.9976433,-0.38488047,-0.95420758,-0.37469094,-0.56370513,-2.6539193,0.25668041,-0.40174937,0.28798165,0.23665356,-0.011729975,-0.71576804,0.063614064,0.28967739,-1.6365979,-2.834555,-0.29368962,-0.32072137,-1.8702828,-0.42629221,-0.56372325,-0.68303854,-0.25324641,-0.36183576,0.23244138,-2.0402601,-0.28482014,-0.53110585,-0.89177398,-1.328162,-1.3706017,0.2726165,-2.0612578,-0.62574794,-0.19633413,0.26570795,-0.96503246,-1.7333801,0.24786341,0.2364474,-0.37395432,-0.2286249,0.27266332,-1.9804251,0.25479179,-0.2822388,-0.26055708,0.20282133,-0.67961478,-0.42075925,-0.80941708,-0.17446223,-1.2407668,0.29829197,-2.5152123,-0.26756756,0.28919095,-0.15564352,0.28188624,-0.82827574,0.029835128,-0.35807799,-1.3172636,-0.13076592,-1.9013266,-0.95808274,0.27377475,-0.13409927,-3.4108129,-1.5919714,-0.044610348,-0.45908145,-1.214868,-0.20763413,0.072023918,0.29891836,-0.14532447,-0.29645441,-0.040482141,0.21996735,-1.2876769,-0.21393058,0.1983474,0.057491153,-0.55138293,0.13368081,0.27699082,0.29422943,0.27554515,-0.63409757,0.21333235,0.27980513,-0.10035526,-0.13217808,-1.5610492,-3.0662941,-2.4256282,-0.89784433,-0.3770237,0.046504633,0.021530797,0.29490891,-0.050615635,0.26660237,-0.016079701,-0.50472374,-0.36527287,-0.029580581,0.056036881,-0.19108283,-0.17920649,-0.30337843,0.29890943,0.11339533,-1.4069862,0.24486248,-0.53329168,-0.017548715,-0.02386141,0.23859193,0.29637404,-0.2882071,-2.1248263,-0.11433025,0.030888476,0.13036798,-0.10448375,-1.1349694,0.24269691,-0.97361089,-3.7492611,0.25951501,-0.77531957,-0.50669673,-0.55650353,0.12631785,-0.12692774,-0.92824814,-0.026532937,0.15939319,-0.041590216,0.2920924,-0.52328516,-0.43255228,-2.3372252,0.29389036,-1.0888468,-0.52809045,-0.35936088,-0.47367382,-0.31051411,-0.17881866,0.2845724,-1.955022,0.27836449,0.075066734,-0.3421245,0.28683011,0.25935949,0.21096945,-0.67458162,-2.3878726,-0.34802212,-0.67503662,-1.6772931,-0.26882131,-0.45970153,0.26982162,-0.82903868,-3.015127,0.13423636,-0.98837979,0.20270684,-2.7921876,-0.31570264,-1.2307217,-0.6404398,-0.12862512,-3.3610618,-0.29074018,-0.099327327,-0.6848377,-1.5552221,-0.21248704,0.052309327,0.00096527632,-0.20176853,-0.38529482,-0.0013414381,-0.88443217,-0.9436301,-0.4712649,0.059523049,0.28165733,0.29129019,0.24244985,0.1326004,0.022895583,-0.11460622,-1.3664962,-0.22123489,-0.12928333,-0.54922667,-0.79049322,-0.30015989,-1.5664814,0.29657662,-0.86344381,0.0080487096,0.027170886,-0.097187614,0.24911631,-0.44235322,0.30095395,-0.32656216,-0.13766453,0.13084281,0.11592388,-0.16217866,-0.47982883,-1.1426138,-0.28890483,-0.107854,-0.040914448,0.29443926,0.22072616,0.22926712,-0.0327082,-1.1491243,0.057145928,-0.053140967,-0.12040092,0.091044428,-0.30424706,0.20541659,-0.23413387,-0.40963077,0.10129278,-0.64159984,-1.6875151,0.28455071,0.19424697,-0.26456477,0.19365947,-0.60415467,0.17993387,-0.13130992,0.10063535,-1.142383,0.22368243,0.27695921,-0.46224278,0.088015012,0.28854806,-0.81899442,-0.18894405,0.077585784,0.16692424,-0.30927512,0.068728795,0.11856134,0.12604166,0.24910535,-0.44463423,-0.76278309,0.073287957,-0.13145541,0.2735625,0.24448064,0.016076221,-0.81210465,0.29976688,-0.20395774,0.27164499,-0.0038922477,0.11428238,0.13214419,-1.0791473,0.26413609,-0.3543259,0.28922953,-8.1651357,-1.1321003,0.030574168,-0.23039112,0.2570274
-143.08281,0.99946666,0.11019816,5,31,0,144.23874,0.086696532,1.1745143,0.27635215,-2.9771863,0.050935949,-1.5188392,-0.69608027,-0.67461954,0.26962641,-0.20322113,-1.1217615,-1.8740056,-0.017893971,-1.6225804,-0.20109352,-0.78908128,0.048697459,-0.35351489,-1.9862151,-0.38183112,-0.94781026,-0.37088608,-0.56089321,-2.6547114,0.25045781,-0.40103941,0.2846401,0.23480153,-0.010921697,-0.71127008,0.064148946,0.28680861,-1.6334054,-2.8143404,-0.29353567,-0.31929973,-1.8592809,-0.423305,-0.56015581,-0.67938361,-0.2527934,-0.3583874,0.23053794,-2.0358456,-0.28214488,-0.52760253,-0.88723698,-1.3209916,-1.3639177,0.26740724,-2.0476476,-0.6232947,-0.19373352,0.26047216,-0.96248145,-1.7274471,0.24600233,0.23506023,-0.37161864,-0.22743461,0.26655653,-1.9735246,0.25287103,-0.28083675,-0.25933647,0.19426193,-0.67694732,-0.41821297,-0.80611137,-0.17272234,-1.2347431,0.2940698,-2.5035164,-0.26634045,0.28445658,-0.15437976,0.27952268,-0.82487694,0.029629301,-0.35541197,-1.3113212,-0.12960014,-1.8943053,-0.95360535,0.2716075,-0.13301929,-3.387108,-1.5872426,-0.044758643,-0.45815819,-1.2088403,-0.2071277,0.071337463,0.29462609,-0.14471897,-0.2960324,-0.04088424,0.21979906,-1.2786097,-0.21107196,0.19842611,0.057066497,-0.54861323,0.13364401,0.27508905,0.29146275,0.27356504,-0.63208809,0.20432969,0.27687989,-0.099506696,-0.13146762,-1.5548115,-3.0591242,-2.4210018,-0.89340865,-0.3747083,0.046456704,0.022421267,0.29143776,-0.049414092,0.26478379,-0.015040538,-0.50180175,-0.36353741,-0.029148005,0.0560027,-0.1903589,-0.17865997,-0.30180728,0.29458221,0.1136624,-1.3995835,0.23778392,-0.53092771,-0.017003626,-0.023455118,0.23728646,0.29283917,-0.28723375,-2.118117,-0.11275814,0.03055872,0.11985003,-0.1029303,-1.1295019,0.24104509,-0.96756104,-3.7465629,0.25378657,-0.77088819,-0.50365369,-0.55398554,0.12630535,-0.12585044,-0.92463409,-0.026268652,0.15903581,-0.04078415,0.28805348,-0.52053138,-0.43047401,-2.329042,0.29099015,-1.0847492,-0.52517855,-0.35647835,-0.46983411,-0.30969731,-0.17638523,0.28302474,-1.9524857,0.27686781,0.064195879,-0.33908842,0.28504014,0.25444191,0.21139613,-0.67195572,-2.3833184,-0.34322174,-0.66879238,-1.6741492,-0.26788403,-0.45568199,0.26862361,-0.82517929,-2.9970026,0.13535273,-0.98140419,0.1960293,-2.7800821,-0.31383668,-1.2300787,-0.63462508,-0.12558352,-3.339531,-0.28826212,-0.099657536,-0.68396395,-1.5445408,-0.20869542,0.053128271,-0.00014273701,-0.2024502,-0.38588568,-0.0027494721,-0.87696236,-0.94271607,-0.46693973,0.061010058,0.27820169,0.28874541,0.24235019,0.13405541,0.025126341,-0.11380532,-1.3553764,-0.21780263,-0.1282834,-0.54879356,-0.78670271,-0.29622984,-1.5583139,0.29176128,-0.86047715,0.008927508,0.026992002,-0.094183263,0.24363222,-0.43914498,0.29663606,-0.32299816,-0.135801,0.13006786,0.11770648,-0.15926649,-0.47685331,-1.1388099,-0.28509682,-0.10698254,-0.041986744,0.29131545,0.21795641,0.22852894,-0.034099809,-1.1449087,0.05540577,-0.052174489,-0.11678464,0.093385614,-0.29947307,0.20676462,-0.23498891,-0.40740677,0.10080047,-0.63805763,-1.6897558,0.27981708,0.19116225,-0.26626754,0.18739802,-0.59678868,0.17837876,-0.1281771,0.098510656,-1.1386642,0.22061083,0.27426176,-0.46188283,0.077970188,0.28709792,-0.81586831,-0.18609594,0.07727544,0.16518978,-0.30547056,0.069244838,0.1187585,0.12711665,0.2487542,-0.44182687,-0.75737837,0.072784165,-0.1289791,0.27278781,0.24462997,0.018482158,-0.80660227,0.29534044,-0.20018995,0.27031021,-0.00085550411,0.11656602,0.1313702,-1.0708425,0.26072902,-0.35144798,0.28726826,-8.5365425,-1.1230744,0.033721663,-0.22695052,0.25581346
-142.53197,0.99995639,0.11019816,5,31,0,143.93068,0.20712328,1.2253183,0.26995222,-2.726682,0.065436045,-1.4343965,-0.67847066,-0.65875605,0.17870872,-0.22620979,-1.0695643,-1.7503583,-0.060376527,-1.5297133,-0.22742355,-0.76390942,0.002779031,-0.35818669,-1.8842062,-0.39556598,-0.92144303,-0.39361014,-0.55830167,-2.455082,0.15500286,-0.3997736,0.20834303,0.16564283,-0.053505325,-0.6965904,0.017093403,0.19266209,-1.5158452,-2.6298535,-0.30150314,-0.32988147,-1.7501877,-0.42667525,-0.56108371,-0.65832146,-0.26896155,-0.3741312,0.16580097,-1.9083208,-0.30516934,-0.52578626,-0.85110729,-1.2571844,-1.2874721,0.17330288,-1.9246309,-0.61612783,-0.22274712,0.16799904,-0.9212346,-1.6382769,0.1732827,0.1610888,-0.37904539,-0.24972767,0.1699758,-1.8549334,0.18024318,-0.3001415,-0.27898611,0.099437252,-0.66221728,-0.42219527,-0.78413138,-0.19879761,-1.1761119,0.20870742,-2.3320349,-0.28252849,0.19201689,-0.18498125,0.19783756,-0.80094041,-0.013435578,-0.3698331,-1.2488161,-0.16186105,-1.7690734,-0.91145518,0.19233814,-0.16706289,-3.1888372,-1.4877426,-0.076033119,-0.45010902,-1.1474406,-0.22742491,0.029868237,0.20363807,-0.17468508,-0.30592464,-0.070391928,0.15308015,-1.2290731,-0.23592289,0.13134016,0.011037859,-0.54133947,0.079134376,0.19342948,0.2111404,0.19916623,-0.61757201,0.11516359,0.19602784,-0.12603931,-0.16126103,-1.4504773,-2.8592062,-2.243644,-0.85478876,-0.37987921,0.0023841576,-0.024283243,0.19972756,-0.084446068,0.19295936,-0.054203309,-0.50271304,-0.37633949,-0.062451915,0.0071077472,-0.21172808,-0.19921753,-0.31211255,0.21118163,0.059169941,-1.3306376,0.14552112,-0.52909472,-0.057260037,-0.064964992,0.16270039,0.20636211,-0.30663054,-2.013572,-0.14138784,-0.0083853422,0.038127032,-0.13992873,-1.067606,0.16985135,-0.94117724,-3.5129708,0.16058661,-0.75299237,-0.49718968,-0.55112762,0.069352095,-0.1521882,-0.87983958,-0.067720178,0.10002311,-0.073475616,0.20121397,-0.51100399,-0.43083384,-2.2086418,0.20404982,-1.0392398,-0.51914166,-0.3724856,-0.48426048,-0.31578325,-0.21267431,0.1905858,-1.81128,0.19610082,-0.026908592,-0.35827213,0.18888183,0.15473025,0.13639513,-0.6485317,-2.1883664,-0.37393408,-0.66843545,-1.5472078,-0.27940145,-0.46100929,0.19226928,-0.79810841,-2.8371372,0.072903327,-0.94695456,0.099597376,-2.5974354,-0.32811136,-1.1567439,-0.63137285,-0.16295193,-3.151373,-0.3110623,-0.12996653,-0.65978657,-1.4655043,-0.2421477,0.0037843388,-0.033903914,-0.21840693,-0.3825098,-0.037177224,-0.84781887,-0.905252,-0.47195889,0.014805077,0.18559307,0.20388047,0.16807647,0.071268624,-0.023145029,-0.1409076,-1.2999347,-0.24738102,-0.15747706,-0.53994112,-0.76567412,-0.31742251,-1.486899,0.2187809,-0.820669,-0.039057388,-0.01084884,-0.13416061,0.15317291,-0.45194013,0.21956358,-0.33718925,-0.1730089,0.079843095,0.057735986,-0.18763639,-0.48238429,-1.0770206,-0.30535818,-0.13533923,-0.076257273,0.20193788,0.15573777,0.1570057,-0.068006828,-1.0913594,0.014755539,-0.088210027,-0.15599884,0.032562674,-0.32627035,0.13634347,-0.25403682,-0.41825072,0.05565035,-0.63341341,-1.585325,0.18397157,0.13247949,-0.27253345,0.094279828,-0.60079288,0.1243504,-0.1579011,0.045890069,-1.0806035,0.15209665,0.20025673,-0.46862728,-0.002859929,0.20293637,-0.78707357,-0.20647362,0.033684777,0.10029874,-0.32031375,0.032266461,0.07468315,0.071416545,0.18038652,-0.43202184,-0.74658176,0.018152558,-0.15476835,0.19592788,0.17159946,-0.028110172,-0.78643185,0.20941624,-0.22846627,0.1951495,-0.047594953,0.057637454,0.07043971,-1.0338817,0.18998219,-0.36077009,0.20726663,-5.3225812,-1.0624729,-0.0083683224,-0.24399925,0.18499368
