# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:18:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmprni4c5a0/7eqqnjtj.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924191845_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296,log_lik.297,log_lik.298,log_lik.299
# Adaptation terminated
# Step size = 0.145189
# Elements of inverse mass matrix:
# 0.69979, -0.00124571, 0.0180193, -0.0173251
# -0.00124571, 0.00489707, -0.00616589, -0.00120897
# 0.0180193, -0.00616589, 0.0598921, 0.00222881
# -0.0173251, -0.00120897, 0.00222881, 0.0604187
-143.53823,0.99991889,0.14518856,4,15,0,146.01064,0.11084984,1.2571677,0.26865567,-2.7535989,0.063698208,-1.381072,-0.66298972,-0.64426545,0.1135277,-0.23396751,-1.0344927,-1.6887988,-0.076071343,-1.4716204,-0.23324075,-0.74414189,-0.018916901,-0.3623102,-1.7935294,-0.39157869,-0.88691182,-0.38461544,-0.54582211,-2.3663027,0.089207404,-0.40227808,0.16030471,0.12892934,-0.070098336,-0.67845621,-0.0068358382,0.13907682,-1.4753633,-2.5143846,-0.30853637,-0.33359818,-1.6806276,-0.42612848,-0.54679937,-0.64826636,-0.27474436,-0.3718797,0.12710292,-1.8304278,-0.30540162,-0.51756855,-0.82985184,-1.2108673,-1.2457633,0.10991769,-1.8457033,-0.59939288,-0.22870911,0.10147987,-0.89368019,-1.5638707,0.13550865,0.12673381,-0.3802142,-0.25473753,0.10880126,-1.7777681,0.14032506,-0.30099003,-0.28249931,0.026953596,-0.64613374,-0.42090043,-0.75891837,-0.20795373,-1.133184,0.1522026,-2.2400309,-0.2884507,0.13355922,-0.19273261,0.15357522,-0.77652343,-0.034425712,-0.36734423,-1.1984657,-0.1713407,-1.7066082,-0.88661313,0.14973024,-0.17449321,-3.0068543,-1.4384305,-0.095423676,-0.45198205,-1.1111892,-0.23516482,0.0026078465,0.1539368,-0.18240604,-0.31232183,-0.091079263,0.11530652,-1.175605,-0.24223773,0.099246051,-0.011133469,-0.53389221,0.05043275,0.15010769,0.15518061,0.15225286,-0.60578888,0.039473773,0.15389129,-0.14295142,-0.17182638,-1.4090348,-2.7273464,-2.165349,-0.8343646,-0.38226924,-0.019745865,-0.042906862,0.14843409,-0.10227218,0.1479339,-0.073760709,-0.49561818,-0.37391061,-0.082706267,-0.012698516,-0.22130893,-0.20992338,-0.31813924,0.15311974,0.033689376,-1.2793204,0.074994861,-0.51887858,-0.074798752,-0.080172492,0.12821884,0.15576359,-0.30696166,-1.9077604,-0.15635405,-0.032303191,-0.047857606,-0.14927331,-1.0399217,0.13223756,-0.90337018,-3.3326405,0.093459998,-0.72988929,-0.4942786,-0.54030909,0.043250807,-0.16731242,-0.85950918,-0.082106971,0.07064454,-0.093489232,0.14060423,-0.50864756,-0.4303488,-2.0930894,0.15336966,-1.0025188,-0.51376935,-0.36925276,-0.47014652,-0.32332926,-0.21488716,0.14782621,-1.7533066,0.15006974,-0.10686956,-0.35460179,0.14645095,0.092428326,0.10543758,-0.63968707,-2.1272836,-0.36374756,-0.64607938,-1.5092014,-0.28754947,-0.4568486,0.14594595,-0.77559016,-2.6751623,0.048005535,-0.91628326,0.026804511,-2.4812114,-0.32987742,-1.1229281,-0.61440581,-0.17174369,-2.9731952,-0.30990871,-0.14211746,-0.64822681,-1.4079617,-0.24455149,-0.016811617,-0.055610496,-0.22796053,-0.3868336,-0.057573926,-0.82570346,-0.8747653,-0.4665983,-0.011123179,0.12458918,0.14506191,0.12854618,0.046011717,-0.042615387,-0.15590394,-1.245051,-0.25126291,-0.16898402,-0.53125535,-0.74307291,-0.31867845,-1.4191744,0.16775205,-0.80403024,-0.054305134,-0.035051541,-0.14501035,0.08136146,-0.44201449,0.16072481,-0.3405154,-0.17873502,0.049710131,0.032995818,-0.19879496,-0.47361785,-1.046986,-0.30846421,-0.15017428,-0.092020422,0.1498067,0.12002247,0.12151022,-0.084803435,-1.0543845,-0.0090053827,-0.10438714,-0.16500716,0.011866818,-0.32375676,0.1018009,-0.25818965,-0.41243168,0.026180324,-0.61459911,-1.5252608,0.12628813,0.10060858,-0.28196441,0.017974507,-0.58351551,0.089315176,-0.17208822,0.025294638,-1.0471935,0.12078477,0.15465273,-0.45773988,-0.091358472,0.14676273,-0.76678,-0.22009848,0.0064809994,0.075890896,-0.32488724,0.00052594166,0.041116591,0.043325615,0.13568667,-0.43860867,-0.72082638,-0.00018227826,-0.17068009,0.14827964,0.13096152,-0.047494014,-0.76267003,0.15689995,-0.23501607,0.14950013,-0.065562793,0.031649772,0.047417657,-0.99609031,0.15083396,-0.36261777,0.15024577,-5.2600037,-1.0375436,-0.034650105,-0.25658535,0.14232993
-144.73074,0.99712303,0.14518856,5,31,0,146.10803,0.044907225,1.1576467,0.27718922,-2.9480582,0.05244144,-1.5555677,-0.70865299,-0.68656146,0.30394323,-0.20114779,-1.1468342,-1.92399,-0.0091901651,-1.662354,-0.19824342,-0.80438638,0.059106265,-0.35739458,-2.0307795,-0.38337904,-0.96405924,-0.37039172,-0.56895777,-2.7393412,0.2873312,-0.40734724,0.30801648,0.25380883,-0.0020107833,-0.72251209,0.07559621,0.31898396,-1.6800181,-2.8804395,-0.29669499,-0.32144907,-1.9024265,-0.42713036,-0.56698961,-0.69153906,-0.25364122,-0.35879893,0.24858616,-2.0911673,-0.28046861,-0.53411609,-0.90537271,-1.3493315,-1.396059,0.30267814,-2.0947829,-0.63378245,-0.18953687,0.29632239,-0.98445726,-1.7696491,0.26656595,0.25546704,-0.37464862,-0.2262438,0.30178815,-2.0241762,0.27377389,-0.28128373,-0.25894791,0.23487766,-0.68901617,-0.42253494,-0.82200874,-0.16956898,-1.2630787,0.32326419,-2.5688953,-0.26624977,0.31698081,-0.15018393,0.30435724,-0.84025469,0.039170908,-0.35711719,-1.3434661,-0.12464662,-1.9446316,-0.97479868,0.29545883,-0.12799069,-3.4799675,-1.6285751,-0.039041208,-0.46617995,-1.233182,-0.20654169,0.081962672,0.32325815,-0.14148889,-0.29739242,-0.034763362,0.2394743,-1.306062,-0.20814656,0.21613139,0.068041241,-0.55780045,0.14728893,0.30054784,0.31856952,0.29651655,-0.64363816,0.24330925,0.30101195,-0.095400726,-0.12711019,-1.596576,-3.1388348,-2.4911831,-0.91272644,-0.3784042,0.056039181,0.033198314,0.32187122,-0.042210664,0.28656492,-0.0059901738,-0.50685127,-0.36569193,-0.022696141,0.066472442,-0.1890023,-0.17789905,-0.30374235,0.32291443,0.12705488,-1.4299658,0.27560512,-0.53886438,-0.0083116792,-0.015166056,0.2576938,0.32083668,-0.28783125,-2.1680424,-0.1071945,0.039481092,0.16311772,-0.096888825,-1.1548889,0.26098744,-0.98558297,-3.8435878,0.29007742,-0.78475117,-0.51114538,-0.56098662,0.14130826,-0.12065728,-0.9471099,-0.018587507,0.17445955,-0.033876238,0.31936988,-0.52851781,-0.43570206,-2.3862202,0.31922246,-1.1085906,-0.53279103,-0.35752464,-0.472643,-0.31281467,-0.17089208,0.31167018,-2.0104924,0.30230737,0.11150194,-0.33968855,0.31501684,0.29248256,0.23275933,-0.68557009,-2.4578175,-0.33939986,-0.67473931,-1.7240342,-0.26945025,-0.4582332,0.29336928,-0.84166488,-3.0691041,0.15159852,-0.99780374,0.23812601,-2.8549051,-0.31519227,-1.2653815,-0.64119069,-0.11789333,-3.4204866,-0.28737522,-0.096237357,-0.69993132,-1.5757496,-0.20280807,0.064580132,0.0056264757,-0.20410039,-0.39355568,0.0028427005,-0.88902456,-0.96667162,-0.47002125,0.073717283,0.31256179,0.31937309,0.26480618,0.1508025,0.037003425,-0.10935568,-1.3796177,-0.21294372,-0.12444535,-0.55970847,-0.80140229,-0.2944987,-1.5928615,0.31441861,-0.87962828,0.018968863,0.035524536,-0.085882389,0.2814659,-0.44218204,0.32323982,-0.32243844,-0.12992613,0.14285262,0.13388546,-0.15388932,-0.48183684,-1.166317,-0.2830342,-0.10251601,-0.036950977,0.32077994,0.23402416,0.24858481,-0.028991309,-1.1708022,0.063471365,-0.045244418,-0.10860071,0.10913294,-0.29615116,0.22737915,-0.23583461,-0.41056611,0.11194698,-0.64709002,-1.7382981,0.31366962,0.20560385,-0.27037568,0.22930201,-0.60122525,0.19247855,-0.12223639,0.1093287,-1.1665027,0.23787097,0.29642208,-0.46798094,0.12324055,0.31638433,-0.83267862,-0.18328436,0.087835164,0.18095262,-0.3053981,0.0785858,0.13014265,0.14151142,0.26974015,-0.4492415,-0.76828329,0.08533038,-0.12456433,0.2970057,0.26623705,0.029119394,-0.81973965,0.32398811,-0.1963457,0.29291453,0.01012351,0.13210078,0.14670565,-1.0888962,0.27941572,-0.35455352,0.31591642,-8.9970279,-1.1441891,0.045446838,-0.22347147,0.27608379
-143.17468,0.99989393,0.14518856,4,15,0,145.10042,0.066680627,1.1740953,0.27605576,-2.7519922,0.063800632,-1.5208585,-0.69751189,-0.6760358,0.27140021,-0.20428887,-1.1234973,-1.8764912,-0.018739462,-1.6246737,-0.20210669,-0.79057945,0.047884884,-0.35477632,-1.9882436,-0.3830554,-0.94942647,-0.37193102,-0.56205052,-2.6561379,0.25276302,-0.40226005,0.28490654,0.23465309,-0.01177479,-0.71287382,0.063174347,0.28766251,-1.6359501,-2.8197332,-0.29456347,-0.32049559,-1.8624783,-0.42489954,-0.56136075,-0.68128843,-0.25364889,-0.35980764,0.23016047,-2.0369323,-0.28318572,-0.52916621,-0.88929963,-1.3228963,-1.3666075,0.26917536,-2.0516572,-0.62428283,-0.19504667,0.2621019,-0.9635051,-1.7283826,0.24606869,0.23511075,-0.37313932,-0.22837924,0.26886107,-1.9752817,0.25279898,-0.28183872,-0.26014562,0.19792923,-0.67799551,-0.41974898,-0.80739499,-0.17417771,-1.2371816,0.29512189,-2.5074459,-0.26718035,0.28591903,-0.15521756,0.27984005,-0.82565632,0.029161293,-0.35684157,-1.3142944,-0.1304341,-1.8973595,-0.95600299,0.27195508,-0.13367638,-3.3984913,-1.5891605,-0.045657678,-0.45944305,-1.2097166,-0.2081395,0.070915415,0.29597951,-0.14563476,-0.29618646,-0.041427409,0.21883853,-1.2827298,-0.21308952,0.19709607,0.056934413,-0.5504548,0.13270341,0.27564843,0.29127003,0.27315896,-0.63310704,0.20779305,0.27772192,-0.10104062,-0.13218025,-1.55866,-3.0579366,-2.4221917,-0.89584523,-0.37647871,0.045506468,0.021707337,0.29264386,-0.05070044,0.26429968,-0.015975316,-0.50260307,-0.36423067,-0.030517489,0.055278839,-0.19146223,-0.18010668,-0.30332736,0.29512447,0.11271328,-1.4014039,0.2405433,-0.53212921,-0.017631698,-0.024004845,0.23717354,0.29373535,-0.28789432,-2.1170609,-0.11393851,0.029841849,0.12428678,-0.10403914,-1.1317689,0.24086871,-0.96936244,-3.7397681,0.25561599,-0.77265775,-0.50583686,-0.55436529,0.12605855,-0.12659268,-0.92759959,-0.02688766,0.15832921,-0.04214119,0.2887849,-0.52245516,-0.43196017,-2.3281831,0.29146694,-1.0858763,-0.52684504,-0.35775032,-0.47080934,-0.31102682,-0.17719953,0.2835439,-1.9548798,0.27673252,0.069767211,-0.34059054,0.28604546,0.25663392,0.21109381,-0.67385201,-2.3884406,-0.34401443,-0.67002784,-1.6776421,-0.26927947,-0.45703485,0.26852863,-0.82691702,-3.0006942,0.134431,-0.98311642,0.19903786,-2.7844167,-0.31513017,-1.2314932,-0.63641999,-0.12687399,-3.344303,-0.28941979,-0.10041473,-0.68521718,-1.5470722,-0.21000801,0.052144571,-0.00098346656,-0.20354019,-0.38683023,-0.0033419356,-0.87863898,-0.94347945,-0.4686273,0.059763818,0.27922839,0.28910411,0.24180875,0.13317208,0.023658645,-0.11490304,-1.3579845,-0.21914288,-0.12955923,-0.54954528,-0.78807295,-0.29809425,-1.5599361,0.29262263,-0.8622443,0.0081950154,0.026018522,-0.09550079,0.24545125,-0.44020015,0.29711746,-0.32476086,-0.13664657,0.12931718,0.11653716,-0.16098794,-0.47803062,-1.1407241,-0.28697959,-0.10822376,-0.042387209,0.2919259,0.21801893,0.22807016,-0.034333054,-1.1461822,0.055090177,-0.053325138,-0.11848364,0.092152693,-0.30126487,0.20542365,-0.23496748,-0.40827054,0.099759259,-0.63900228,-1.687863,0.28153789,0.19165818,-0.26656868,0.18971597,-0.5994678,0.17765331,-0.1303363,0.098903679,-1.1405683,0.22143593,0.2742092,-0.46161998,0.082072158,0.28648509,-0.81726181,-0.18847545,0.076317011,0.16586788,-0.30790502,0.067112831,0.11672298,0.12557499,0.24736368,-0.4447491,-0.75875461,0.073122077,-0.13127498,0.27170718,0.2432699,0.016439275,-0.80834384,0.29697395,-0.20256388,0.26932592,-0.0028773426,0.11475412,0.1318424,-1.0727966,0.26067068,-0.35379267,0.28748373,-8.2515539,-1.1262452,0.031267183,-0.22873058,0.2546031
