# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:21:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp_rb3kjuu/o6909ln4.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192145_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.11839
# Elements of inverse mass matrix:
# 0.995105, 0.0042721, -0.0111838, -0.0276464
# 0.0042721, 0.00648251, -0.00621246, -0.000155517
# -0.0111838, -0.00621246, 0.053988, -0.000642759
# -0.0276464, -0.000155517, -0.000642759, 0.0604382
-247.77906,0.99887418,0.11839048,5,31,0,248.68182,0.021292434,1.3631836,0.42349986,-2.8333389,0.058816142,-0.59463489,-0.2779987,-1.0563297,-1.8119179,-0.53692018,-1.0935055,-1.2935222,-1.7812963,-0.11667275,-1.1340744,-2.0885445,-0.8684065,-1.4406666,-2.5250128,-0.1349882,-0.39308232,-3.2131404,-0.57752924,-3.5768603,-0.17747446,-2.1115429,-1.8357013,-0.46003115,-0.30399582,-1.3474816,-2.0583327,-1.9394427,-0.23758934,-1.3484937,-1.0049774,-0.54226049,-1.3430674,-0.36596459,-0.94806691,-0.019510297,-0.069966822,-0.31937636,-0.028105643,-0.23989296,-1.3811052,-0.39523721,-2.1296972,-0.017787366,-1.1374117,-0.62190695,-0.52524966,-1.0258347,-1.3352256,-0.0065460614,-0.78682464,-0.84288725,-1.650965,-0.78093425,-1.8568934,-0.72280937,-1.2805178,-0.80439445,-1.1956559,-1.312037,-0.91774548,-0.65244614,-0.67996771,-1.1133654,-0.34546105,-0.88162739,-1.1174904,-0.64373611,-2.1094579,-2.8304067,-0.40479843,-1.0635883,-0.54186201,-0.47266244,-0.024070851,-0.15460034,-0.82323808,-2.1126881,-0.34058132,-1.2778735,-1.6978845,-0.89671717,-0.17906687,-1.4382454,-0.29921263,-0.021053097,-1.0151425,-0.49767855,-0.99263409,-1.1198351,-0.74379287,-0.30673355,-5.5610849,-0.19604989,-0.013996659,-0.8698986,-0.60602251,-0.0094197929,-1.5554637,-1.0749386,-1.5860726,-1.1589814,-0.53480024,-1.5808659,-0.93334283,-1.2156174,-0.92588281,-0.90429076,-0.19624452,-0.54492468,-0.80889858,-2.6743018,-0.40983894,-0.32090729,-0.94538758,-0.48211458,-0.28351245,-0.11621928,-0.5120601,-0.25786848,-0.48417887,-0.53687376,-0.19833043,-0.76310481,-0.71006626,-0.84756281,-0.58530511,-0.013231881,-0.60297866,-1.2402437,-0.52818611,-0.68292367,-0.31919253,-0.90133976,-0.047870808,-0.42734186,-0.3938411,-0.031058672,-0.9880299,-0.43893137,-1.0819667,-0.20536506,-0.22796927,-0.78068117,-0.48223744,-1.1587945,-1.9195294,-0.5967523,-0.41924675,-0.076065054,-0.89899339,-0.44197478,-1.0167486,-1.0612588,-0.30048133,-2.3771067,-3.3316005,-0.81584312,-0.43052304,-1.0040431,-0.65843791,-0.61523278,-0.8848644,-1.5140539,-1.0184997,-0.78714737,-0.43717687,-0.47186377,-0.061793103,-0.5112901,-0.84146531,-0.39519718,-1.7232753,-1.6741602,-1.7448999,-1.6104813,-1.0930601,-0.84566716,-1.2999669,-0.20208719,-0.051656246,-0.64675473,-0.69694071,-0.63888966,-0.42307222,-0.39317895,-0.57296296,-0.34633499,-0.13288213,-0.19674394,-0.69822377,-0.95991593,-0.50389912,-0.036417566,-0.51436186,-1.2518643,-0.64101775,-0.067988278,-0.43458996,-0.02825214,-0.076631083,-0.65718017,-0.49281532,-0.66203243,-0.48845459,-0.39296028,-0.40117977,-1.7890412,-0.036681652,-0.0531602,-0.77107602,-1.0429884,-0.1673615,-1.1207778,-1.1106133,-1.4912408,-1.693058,-0.26948887,-0.409707,-0.63410447,-0.73324435,-1.0309958,-0.89381367,-0.24410707,-0.30510221,-0.48001695,-0.66428966,-0.62821677,-0.33145245,-0.37847712,-0.20156364,-0.64045114,-0.22512177,-0.1421265,-0.37149261,-0.011248666,-1.5605231,-0.77817155,-0.044964753,-0.035892415,-0.83337229,-0.36977518,-0.47926907,-0.076593831,-1.2187649,-1.0597541,-0.0023695185,-0.80690063,-0.18750247,-0.10414409,-0.55555188,-0.11267698,-0.6485931,-0.46445189,-0.20646129,-0.51347835,-0.54344639,-0.4132307,-0.16313838,-0.96618542,-1.1242811,-0.56487231,-0.27675462,-1.6177995,-0.062862719,-0.0066429197,-0.49483631,-0.20606319,-0.052000386,-0.36629427,-0.26253911,-0.53510579,-0.67413753,-0.26664231,-0.79852321,-0.92769977,-0.60939064,-0.31192096,-0.54707495,-1.9829116,-0.24909023,-0.47733119,-0.040066283,-0.70073687,-0.081834544,-0.0052781857,-0.28715365,-1.2719258,-0.68927472,-0.49800104,-1.2275942,-0.68155511,-1.2737894,-0.39908026,-1.9798677,-0.57844599,-0.49712698
-246.65414,0.99969818,0.11839048,5,31,0,248.61599,0.049931943,1.3814654,0.42715455,-2.9588844,0.05187676,-0.58254044,-0.27561536,-1.0319498,-1.769053,-0.52694254,-1.068147,-1.2637679,-1.7378504,-0.12295644,-1.1084055,-2.038817,-0.84960593,-1.4080759,-2.4645224,-0.14046675,-0.38818949,-3.1336738,-0.56734168,-3.4941179,-0.18085428,-2.0582654,-1.7917179,-0.45452934,-0.30374125,-1.3169239,-2.0058803,-1.8929371,-0.23943218,-1.3166422,-0.98605476,-0.53462025,-1.3109307,-0.36314519,-0.9271117,-0.041329375,-0.1303764,-0.43831907,-0.046275955,-0.24093812,-1.3463216,-0.38975194,-2.0869285,-0.040361893,-1.1122163,-0.80518951,-0.51642776,-1.0010573,-1.3010862,-0.031947698,-0.77258891,-0.82554786,-1.613966,-0.76619647,-1.8102187,-0.70800303,-1.2490763,-0.78876137,-1.1665261,-1.277907,-0.89672544,-0.6383757,-0.66799784,-1.0883778,-0.34329005,-0.86228798,-1.0917813,-0.63359478,-2.058069,-2.7596412,-0.39801873,-1.0382439,-0.53292428,-0.46199414,-0.043922346,-0.1589969,-0.80554017,-2.0677419,-0.33694812,-1.2518857,-1.6559234,-0.87889065,-0.18297152,-1.4085462,-0.29844511,-0.062385979,-0.99585443,-0.49054631,-0.97311492,-1.0930719,-0.72932804,-0.30512574,-7.4298443,-0.28812893,-0.038254267,-0.85307894,-0.595318,-0.036564304,-1.5176108,-1.0548408,-1.5459315,-1.1306474,-0.52555271,-1.5408151,-1.1819048,-1.1869464,-0.90303412,-0.88601948,-0.19927693,-0.5355264,-0.79342874,-2.6119741,-0.40747599,-0.44106508,-0.92443345,-0.47524267,-0.28234176,-0.12606369,-0.50525883,-0.26087302,-0.47662093,-0.52745246,-0.20039934,-0.75153331,-0.69338794,-0.83352349,-0.5785402,-0.037326026,-0.59493342,-1.2132069,-0.52139494,-0.67008807,-0.31909901,-0.88047793,-0.063247149,-0.41932692,-0.39087495,-0.078782882,-0.96906764,-0.43229423,-1.0579493,-0.20707756,-0.22896936,-0.76460762,-0.47525218,-1.1354339,-1.8712577,-0.58709123,-0.41403447,-0.087568242,-0.88132598,-0.4357911,-0.99331417,-1.0340491,-0.29604195,-2.3137879,-3.2603374,-0.79965473,-0.42201194,-0.98095176,-0.64471213,-0.60186171,-0.86715072,-1.475539,-0.99330528,-0.76890391,-0.43174831,-0.46595502,-0.076136247,-0.4988847,-0.82232405,-0.3895074,-1.6877726,-1.6350941,-1.6977454,-1.5729961,-1.0645821,-0.82721617,-1.2735715,-0.20594409,-0.067213754,-0.63200504,-0.68189537,-0.62477607,-0.41968808,-0.39086305,-0.5660661,-0.34177512,-0.13749467,-0.20271635,-0.68478297,-0.94096919,-0.498049,-0.053793198,-0.50386632,-1.2282445,-0.62736975,-0.07886296,-0.42479085,-0.041628743,-0.085126003,-0.64241509,-0.48295247,-0.64518357,-0.48079171,-0.38574575,-0.39213203,-1.7479108,-0.085587741,-0.067472555,-0.75330173,-1.021765,-0.17257994,-1.0897762,-1.0848888,-1.4498152,-1.6533472,-0.37811713,-0.40714096,-0.61771786,-0.71415222,-1.0122388,-0.87362066,-0.24305776,-0.30022896,-0.47146822,-0.6481441,-0.61697518,-0.32646824,-0.36981509,-0.20078088,-0.62522447,-0.22911538,-0.22212283,-0.36994107,-0.037237424,-1.525563,-0.75972143,-0.095783209,-0.047154353,-0.8166935,-0.36318861,-0.47333684,-0.13967323,-1.1844253,-1.0377312,-0.028027505,-0.79173716,-0.1864383,-0.11002288,-0.54878416,-0.11798295,-0.83600909,-0.45756869,-0.20429391,-0.50230202,-0.53406556,-0.40459254,-0.1655758,-0.94756933,-1.1025068,-0.5574129,-0.27747357,-1.5791368,-0.070061187,-0.039337379,-0.48383955,-0.20330972,-0.069637516,-0.35660239,-0.2625858,-0.52946072,-0.65473118,-0.26963046,-0.78325664,-0.90343557,-0.59909345,-0.30367827,-0.53390429,-1.9421027,-0.24662319,-0.47015011,-0.058638553,-0.68866263,-0.094493396,-0.02648469,-0.28852206,-1.248758,-0.67609771,-0.49035693,-1.1991432,-0.67172103,-1.2479408,-0.39472001,-1.9447335,-0.57167179,-0.48725179
-247.36171,0.9992416,0.11839048,5,31,0,248.06964,0.024529404,1.3920752,0.42065276,-2.667834,0.069402389,-0.59799145,-0.29556809,-1.0405701,-1.765556,-0.54291902,-1.0762174,-1.2683088,-1.7357505,-0.14393782,-1.1153815,-2.030931,-0.86060675,-1.4097616,-2.4496793,-0.16115083,-0.4057378,-3.1089795,-0.58217555,-3.4594572,-0.20109008,-2.0519644,-1.7882957,-0.47026699,-0.32154033,-1.3203203,-2.0008697,-1.8878246,-0.25833685,-1.3207585,-0.99291715,-0.54909932,-1.3154928,-0.38048833,-0.93698099,-0.058138834,-0.12186817,-0.37396096,-0.064734207,-0.26039147,-1.3513724,-0.40759987,-2.0736876,-0.05693003,-1.1188139,-0.66920642,-0.53230959,-1.0108711,-1.3071362,-0.047351763,-0.78360357,-0.83650982,-1.6122627,-0.77772942,-1.8078149,-0.72116065,-1.2550462,-0.80006276,-1.1737004,-1.2843437,-0.90751634,-0.65319847,-0.68093553,-1.0956839,-0.36103343,-0.87325102,-1.0992627,-0.64656972,-2.0508205,-2.7423107,-0.41634971,-1.0472712,-0.54848091,-0.48007488,-0.061837891,-0.17989679,-0.81728439,-2.0569272,-0.35548147,-1.2550605,-1.655448,-0.88840294,-0.20319382,-1.4084098,-0.31704727,-0.068441109,-1.0025231,-0.50646702,-0.98126586,-1.1013441,-0.74206936,-0.32408981,-5.0213143,-0.25104306,-0.053948548,-0.86341046,-0.61011047,-0.050906549,-1.5191404,-1.0602969,-1.5480618,-1.138652,-0.54111171,-1.5418256,-0.96551003,-1.1932902,-0.91521358,-0.89628432,-0.2186202,-0.55149987,-0.8049362,-2.5936012,-0.42320708,-0.37605069,-0.93439923,-0.49082099,-0.30191711,-0.1452505,-0.51984959,-0.27864539,-0.49337708,-0.54372982,-0.22120777,-0.76190027,-0.70733646,-0.84266956,-0.59155678,-0.052960828,-0.60813875,-1.2186806,-0.53624375,-0.6837761,-0.33685122,-0.89162776,-0.08276312,-0.43750398,-0.40774737,-0.080803574,-0.97710889,-0.44991155,-1.065716,-0.22773395,-0.24923662,-0.77727309,-0.49177814,-1.1410098,-1.8676414,-0.60172694,-0.43162059,-0.10787903,-0.8912376,-0.45299558,-1.0027069,-1.0435449,-0.31581492,-2.3037382,-3.22422,-0.81123228,-0.43986183,-0.99139529,-0.65841503,-0.61829454,-0.87667266,-1.478935,-1.0039509,-0.78134631,-0.44860805,-0.48197166,-0.095315962,-0.51672023,-0.83533405,-0.40669175,-1.6832187,-1.6329577,-1.6994507,-1.5718956,-1.0747069,-0.83836505,-1.2764304,-0.22536218,-0.085702976,-0.64834281,-0.69647553,-0.64086575,-0.43580405,-0.4069279,-0.57912032,-0.36107708,-0.15914714,-0.22116928,-0.69745759,-0.95034623,-0.5128396,-0.073066196,-0.52157358,-1.2310867,-0.64202269,-0.099490208,-0.44327134,-0.062173158,-0.10683978,-0.65673861,-0.50078841,-0.66106553,-0.49713882,-0.40534304,-0.41150721,-1.7445324,-0.086093958,-0.086879722,-0.76736423,-1.0301467,-0.19311882,-1.1000007,-1.0915755,-1.453872,-1.6499764,-0.32481844,-0.42301162,-0.63460739,-0.72846083,-1.018523,-0.88522148,-0.26385251,-0.32002388,-0.48869389,-0.66308952,-0.63011181,-0.34536795,-0.3900525,-0.22178218,-0.64190048,-0.24753272,-0.19700218,-0.38607406,-0.052138812,-1.5254462,-0.77241659,-0.09349423,-0.068823321,-0.82772751,-0.38168092,-0.48895027,-0.1295587,-1.1938486,-1.0449919,-0.042611581,-0.80176024,-0.20786283,-0.13089807,-0.56279725,-0.14019993,-0.69499856,-0.47490527,-0.22628419,-0.51882216,-0.54962929,-0.42281963,-0.18739633,-0.9559772,-1.1079852,-0.57143595,-0.29674826,-1.5781903,-0.092441255,-0.050509913,-0.50245494,-0.22495113,-0.087688776,-0.37766291,-0.28102465,-0.5434734,-0.67205773,-0.28737097,-0.79355742,-0.91447685,-0.61436151,-0.3258604,-0.55220359,-1.9298811,-0.26683388,-0.48719133,-0.076171968,-0.69999919,-0.1139617,-0.042894339,-0.30603879,-1.2507934,-0.69017081,-0.50759197,-1.2057435,-0.6831924,-1.2495016,-0.41261928,-1.9309691,-0.58452918,-0.50393347
