# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:21:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp_rb3kjuu/o6909ln4.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192145_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.192207
# Elements of inverse mass matrix:
# 1.0159, 0.00353426, -0.00211104, -0.0366658
# 0.00353426, 0.00639079, -0.00766847, -0.000526717
# -0.00211104, -0.00766847, 0.0571714, 0.00192509
# -0.0366658, -0.000526717, 0.00192509, 0.0587973
-247.52746,0.99761074,0.19220678,4,15,0,248.4115,0.28729025,1.389133,0.42524971,-2.6940303,0.067607907,-0.58661763,-0.28329532,-1.0310447,-1.7780088,-0.53811496,-1.066843,-1.2713944,-1.7291725,-0.13860112,-1.1163048,-2.0502897,-0.85928982,-1.4244983,-2.4753427,-0.16085595,-0.40898394,-3.188046,-0.5849475,-3.5934146,-0.20204164,-2.0501263,-1.7793309,-0.4868278,-0.33791761,-1.3214044,-1.9758966,-1.8836768,-0.27032717,-1.3241266,-1.0204783,-0.5582403,-1.2957503,-0.38056359,-0.93415974,-0.062687588,-0.15306853,-0.44747094,-0.056119978,-0.25311312,-1.3189711,-0.40500354,-2.1256655,-0.070266152,-1.1245489,-0.80510116,-0.5220069,-0.98805256,-1.2733371,-0.051625217,-0.78415611,-0.8356072,-1.5976727,-0.76647906,-1.786618,-0.71201331,-1.2433665,-0.79975339,-1.1618941,-1.2708889,-0.90068035,-0.64063169,-0.67756205,-1.0875783,-0.35825397,-0.86686228,-1.0981125,-0.65421076,-2.0434847,-2.6993024,-0.40085341,-1.0253352,-0.53087259,-0.46730217,-0.055026234,-0.157302,-0.81335253,-2.0577229,-0.35592384,-1.2658993,-1.6440267,-0.90647185,-0.19525137,-1.4561263,-0.31736444,-0.059060563,-1.0357665,-0.50291838,-0.98204001,-1.0748057,-0.72668177,-0.31287854,-6.6171145,-0.30809636,-0.061075593,-0.85827654,-0.59522036,-0.059367749,-1.5002746,-1.0789218,-1.5110957,-1.1092487,-0.5470318,-1.5610465,-1.1178685,-1.1868913,-0.89010239,-0.88679911,-0.22502125,-0.53623082,-0.79968831,-2.6441377,-0.43726912,-0.45442522,-0.9315506,-0.4895705,-0.28353754,-0.14253342,-0.52903776,-0.28263017,-0.47515004,-0.52760857,-0.20489308,-0.76762626,-0.70729295,-0.83933838,-0.59225564,-0.05771855,-0.60569018,-1.1937107,-0.52429823,-0.67363425,-0.3245506,-0.88120164,-0.078094191,-0.42134735,-0.39538623,-0.09039446,-0.95863949,-0.43307202,-1.0624871,-0.21099691,-0.23652517,-0.7615344,-0.48619533,-1.1225817,-1.8619701,-0.58110861,-0.40929581,-0.098843243,-0.8987098,-0.44658441,-0.98131118,-1.0264562,-0.30836689,-2.3301423,-3.4717603,-0.8073936,-0.43255421,-0.94961389,-0.66668463,-0.57692759,-0.89587911,-1.4432944,-0.97667635,-0.77089926,-0.44955104,-0.48866111,-0.1058385,-0.49407577,-0.80757753,-0.41019138,-1.7060658,-1.6293763,-1.6589847,-1.5596952,-1.045303,-0.82151615,-1.2823266,-0.22615422,-0.10209161,-0.61634547,-0.66915445,-0.62214956,-0.44071505,-0.42019305,-0.59668209,-0.34314335,-0.13926214,-0.23023655,-0.69218705,-0.93602301,-0.50813145,-0.060520475,-0.51326986,-1.2235037,-0.6336711,-0.088121217,-0.44081758,-0.057540044,-0.083987195,-0.67070706,-0.4887204,-0.65292433,-0.50765049,-0.39136551,-0.40781153,-1.7691514,-0.10974393,-0.096381455,-0.76116729,-1.0192284,-0.18886341,-1.0808322,-1.1009831,-1.4175177,-1.6793265,-0.40177606,-0.4412465,-0.62217831,-0.70184396,-1.0335764,-0.88517445,-0.25916551,-0.31772817,-0.485093,-0.65477123,-0.63578064,-0.34909747,-0.37289873,-0.209261,-0.61716195,-0.25818562,-0.23939491,-0.39268335,-0.05519403,-1.5437683,-0.76606021,-0.10190511,-0.050444029,-0.83357338,-0.37502131,-0.48297648,-0.16115985,-1.1620175,-1.0562419,-0.049796888,-0.80691961,-0.18865403,-0.12215205,-0.56495322,-0.13365956,-0.81416067,-0.47127449,-0.20388598,-0.50287831,-0.54484739,-0.40076114,-0.18275084,-0.95547161,-1.1160789,-0.57506251,-0.29703692,-1.5546749,-0.072283869,-0.041201089,-0.47762876,-0.19891447,-0.10632095,-0.3530087,-0.28283086,-0.55041998,-0.6469704,-0.29699721,-0.80063768,-0.90049335,-0.59909407,-0.30122324,-0.52133105,-1.9910241,-0.27275248,-0.46491921,-0.077752685,-0.70841465,-0.1087573,-0.046123173,-0.30019205,-1.2677201,-0.66883831,-0.50016291,-1.2199233,-0.68229333,-1.2587941,-0.40091603,-1.9479769,-0.58948565,-0.48030128
-246.67127,0.99378522,0.19220678,4,15,0,248.96467,0.04387529,1.4238643,0.42274541,-2.7336989,0.064978494,-0.59062121,-0.30383022,-1.01337,-1.7073943,-0.53859726,-1.0474405,-1.2317488,-1.6778432,-0.16506184,-1.0855037,-1.9613255,-0.84192559,-1.3677711,-2.3620322,-0.18085956,-0.40903174,-2.9915153,-0.57685035,-3.3304545,-0.21745692,-1.9792307,-1.7287648,-0.47157519,-0.3311426,-1.2819709,-1.9299729,-1.8240437,-0.27156401,-1.28134,-0.97135267,-0.54679516,-1.2759799,-0.38632482,-0.91486219,-0.099252009,-0.20557989,-0.51171341,-0.10160586,-0.27286519,-1.3089415,-0.41030951,-2.0082592,-0.098987586,-1.0892603,-0.85954214,-0.52932807,-0.98396207,-1.2661856,-0.093410146,-0.7705697,-0.81961196,-1.5622494,-0.76438514,-1.7457765,-0.70886415,-1.2173956,-0.78545604,-1.1396985,-1.243839,-0.88594141,-0.64292319,-0.67203102,-1.0668195,-0.36795898,-0.85385244,-1.0696893,-0.64001607,-1.9795255,-2.6401403,-0.4176766,-1.0191279,-0.54509106,-0.47634272,-0.10073845,-0.1980517,-0.80045941,-1.990318,-0.36109936,-1.2219571,-1.6005253,-0.86998046,-0.22011198,-1.3687546,-0.32638225,-0.13275711,-0.98041875,-0.5056162,-0.95955022,-1.0708902,-0.72974916,-0.33250099,-6.1286174,-0.36498044,-0.09799527,-0.84651642,-0.60387815,-0.098449978,-1.4705358,-1.0363014,-1.4970236,-1.1060933,-0.53747733,-1.4908619,-1.2042559,-1.1592577,-0.89200678,-0.87746137,-0.234004,-0.5476787,-0.79045957,-2.501024,-0.42852493,-0.51493633,-0.91233838,-0.49037291,-0.31131084,-0.16985386,-0.51885176,-0.29251617,-0.49245349,-0.54005639,-0.23589712,-0.75173277,-0.69349884,-0.82861327,-0.58927862,-0.096836906,-0.60434405,-1.1855837,-0.5351146,-0.67410482,-0.34641279,-0.87050774,-0.11584536,-0.43718699,-0.41293836,-0.15138181,-0.95599549,-0.4507558,-1.038317,-0.24185938,-0.26207598,-0.76281626,-0.49141825,-1.1126639,-1.8029813,-0.59667061,-0.43425004,-0.13580524,-0.87299836,-0.45417183,-0.977152,-1.0137975,-0.32147451,-2.2176699,-3.1092095,-0.79595081,-0.43890387,-0.96651553,-0.64818023,-0.609577,-0.85853384,-1.4307584,-0.9768943,-0.76463627,-0.45056006,-0.48275138,-0.12656875,-0.51064656,-0.81708123,-0.40901926,-1.6327071,-1.58076,-1.6395924,-1.5223273,-1.0433905,-0.8203865,-1.2425047,-0.24155126,-0.11848803,-0.63776927,-0.68457466,-0.6309808,-0.4399324,-0.41259614,-0.5768528,-0.3658101,-0.17821664,-0.23951945,-0.68676776,-0.92986198,-0.51298732,-0.10888931,-0.51737804,-1.2005007,-0.63230345,-0.12707616,-0.4410478,-0.094137494,-0.13179586,-0.64559211,-0.49760786,-0.64807,-0.49593313,-0.40665243,-0.41063477,-1.6881976,-0.15814628,-0.11848199,-0.75150076,-1.0060372,-0.21178909,-1.0658098,-1.0620063,-1.4037783,-1.5968243,-0.45362457,-0.42814138,-0.62263692,-0.71201147,-0.9966182,-0.86489761,-0.27430278,-0.32514922,-0.48695221,-0.65067178,-0.62269593,-0.34976428,-0.39018291,-0.23337428,-0.63097409,-0.26319913,-0.29974599,-0.39299123,-0.098272153,-1.4789807,-0.7556714,-0.16773817,-0.098323078,-0.81160967,-0.38373701,-0.48954349,-0.21588644,-1.1550793,-1.0197078,-0.089009368,-0.78736836,-0.2195054,-0.15186382,-0.56113489,-0.16066143,-0.88845244,-0.47506083,-0.23649562,-0.51370981,-0.54575397,-0.42206804,-0.2034191,-0.93558185,-1.0816428,-0.5688687,-0.30819171,-1.5276184,-0.11657692,-0.1057357,-0.49819542,-0.23447158,-0.12286744,-0.37691948,-0.29179357,-0.54324339,-0.65659089,-0.30106694,-0.77923004,-0.88975101,-0.60857657,-0.32783099,-0.54493778,-1.8693932,-0.27551497,-0.48683134,-0.11266392,-0.69040994,-0.14276157,-0.084042616,-0.31763379,-1.2201736,-0.68015997,-0.50646609,-1.1716571,-0.6761718,-1.2164653,-0.41648917,-1.8749365,-0.58232826,-0.50044133
-246.17374,0.99985855,0.19220678,4,31,0,246.95543,0.11466071,1.3851299,0.42031439,-2.9227576,0.053785165,-0.59967499,-0.29378395,-1.0467538,-1.783863,-0.54572876,-1.0827599,-1.2797513,-1.7489252,-0.141065,-1.1248955,-2.0533876,-0.86709495,-1.4259743,-2.4784211,-0.16003521,-0.40957333,-3.1464261,-0.58800219,-3.5206261,-0.20168148,-2.0661142,-1.8036954,-0.47901238,-0.32896701,-1.333458,-2.0108592,-1.9051181,-0.26344871,-1.3311874,-1.0107535,-0.55837335,-1.3230271,-0.38597102,-0.94389186,-0.05597025,-0.11216953,-0.35464591,-0.059772855,-0.2618281,-1.3543421,-0.40974702,-2.1142425,-0.054126577,-1.1298465,-0.64027784,-0.53506149,-1.0131057,-1.3084105,-0.039621589,-0.79365444,-0.84429824,-1.6285887,-0.78529364,-1.8178128,-0.72567318,-1.2607794,-0.80768529,-1.1788054,-1.2872269,-0.91220099,-0.6544355,-0.68844558,-1.104127,-0.36540541,-0.87886073,-1.1075338,-0.65634172,-2.067646,-2.7602967,-0.41535861,-1.0507058,-0.55131396,-0.47776804,-0.05665213,-0.17603073,-0.82287711,-2.0854859,-0.35756867,-1.2720273,-1.6662329,-0.90059818,-0.20274616,-1.4340013,-0.32008909,-0.051908829,-1.0212161,-0.51103161,-0.99231112,-1.1045267,-0.7463546,-0.32460332,-4.8339899,-0.23735086,-0.05209766,-0.87160799,-0.61318961,-0.048357941,-1.5282412,-1.0794843,-1.5520514,-1.1408699,-0.54637656,-1.5555237,-0.91339088,-1.2007598,-0.91279705,-0.90294948,-0.22270562,-0.55290925,-0.81167022,-2.6302228,-0.43362163,-0.35927142,-0.94092143,-0.4976643,-0.30079212,-0.14864518,-0.52963304,-0.28625764,-0.49457739,-0.54443708,-0.21788833,-0.77533597,-0.71012387,-0.85623398,-0.60285949,-0.050480968,-0.61765184,-1.2266449,-0.54229804,-0.68812312,-0.34084094,-0.89554041,-0.078956006,-0.43614625,-0.41211854,-0.072905634,-0.98669919,-0.45018403,-1.0740634,-0.22509167,-0.24772406,-0.78063958,-0.49497982,-1.1515225,-1.8806936,-0.60454077,-0.43130416,-0.10392711,-0.90138272,-0.45569547,-1.0053788,-1.0453674,-0.31407615,-2.3260076,-3.3135165,-0.81827577,-0.44000429,-0.98954127,-0.66489549,-0.61221138,-0.88982854,-1.4795821,-1.0025909,-0.78527827,-0.45349485,-0.48896544,-0.09669051,-0.51179385,-0.83270904,-0.41245126,-1.7117022,-1.6518598,-1.6952506,-1.5897881,-1.0709097,-0.84460145,-1.2954419,-0.22927246,-0.088985415,-0.64264578,-0.69614373,-0.63771082,-0.44483914,-0.41738549,-0.59326576,-0.35936259,-0.15371653,-0.22945657,-0.70568019,-0.95849238,-0.52160208,-0.067080314,-0.51942328,-1.2512676,-0.64368584,-0.09486238,-0.4413133,-0.051656936,-0.097741005,-0.6615826,-0.49826032,-0.65870111,-0.50236581,-0.40114282,-0.40852287,-1.7656289,-0.075873734,-0.086128694,-0.76813248,-1.038537,-0.19260214,-1.0981649,-1.1038322,-1.4546617,-1.6744336,-0.30960513,-0.43355386,-0.62971242,-0.72641977,-1.0362649,-0.88990314,-0.2616412,-0.31871549,-0.49023703,-0.66399601,-0.63932187,-0.34682294,-0.38387158,-0.21842609,-0.63677219,-0.25444931,-0.18653394,-0.3943058,-0.049051966,-1.5447433,-0.77632522,-0.077190602,-0.056077311,-0.8370223,-0.38207982,-0.49479395,-0.12138284,-1.1899894,-1.0582996,-0.036046106,-0.81362717,-0.20190627,-0.12768702,-0.57171566,-0.13399779,-0.65829573,-0.47664748,-0.21928179,-0.51898025,-0.55338123,-0.42054398,-0.18348853,-0.96659638,-1.1228527,-0.57954203,-0.29914826,-1.5887937,-0.081918193,-0.0323401,-0.49785972,-0.21729581,-0.090640743,-0.3700037,-0.28455453,-0.55408121,-0.66486957,-0.29521163,-0.8048621,-0.91604597,-0.61677319,-0.31610376,-0.54560653,-1.9714137,-0.26726154,-0.48652097,-0.075748811,-0.71183936,-0.11397014,-0.036600715,-0.31100124,-1.2724086,-0.69117748,-0.50858841,-1.216592,-0.69354155,-1.2700991,-0.41338654,-1.9707178,-0.59513502,-0.50250516
