# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:23:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp9lc40zuo/kd0z776k.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192358_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.141521
# Elements of inverse mass matrix:
# 0.910821, -0.00672034, 0.00774826, -0.00247369
# -0.00672034, 0.00890666, -0.00841319, 0.000556466
# 0.00774826, -0.00841319, 0.0590357, 0.00358661
# -0.00247369, 0.000556466, 0.00358661, 0.0659104
-317.61876,1,0.14152135,4,31,0,319.62926,0.12171753,1.5843215,0.27893666,-2.9161215,0.054143277,-1.9972852,-3.0884142,-1.096935,-0.63683741,-0.99996523,-1.8432116,-0.91347087,-1.3050835,-1.0708226,-0.91934196,-0.99957079,-0.64724131,-1.159906,-0.87350439,-0.83660587,-0.89958005,-0.73422239,-0.47919775,-1.3128891,-2.0793331,-1.4000467,-1.2974761,-0.6392299,-1.1793818,-0.76898673,-0.55471898,-1.3616968,-1.3517463,-0.76288225,-0.56060333,-0.634921,-1.1665464,-0.69155126,-1.9500145,-1.2410277,-1.6147605,-1.5065677,-0.55489502,-1.2066617,-0.40574892,-1.0635017,-1.4150679,-1.3515568,-1.1264762,-1.1127569,-0.84793731,-0.48743994,-1.0776346,-0.51931405,-0.44564856,-0.94510946,-1.4481257,-0.52539836,-0.72433293,-1.0769281,-1.6319887,-0.38725043,-2.5060271,-2.9765615,-2.7201367,-1.6248088,-0.97019535,-1.3798712,-2.2795108,-2.1633986,-0.64611482,-1.5613638,-0.86095549,-0.6387235,-1.0694004,-0.37060048,-1.4898994,-1.2911561,-2.4220995,-0.44598911,-0.42954031,-0.91189213,-0.61103716,-0.41156326,-0.96658134,-5.7696365,-0.38942079,-0.42185307,-0.38813052,-0.35637393,-0.30279302,-0.39104658,-0.43317172,-0.30173253,-0.71267161,-0.38945113,-1.0993807,-0.95004162,-1.7845847,-1.9079253,-0.30458749,-0.76507996,-1.5343083,-0.46237701,-0.43563916,-0.66430802,-1.2419973,-0.59729188,-1.2109644,-1.1084793,-0.59456579,-0.88416894,-1.5036692,-1.3873736,-0.55258211,-1.0852325,-1.6121312,-1.6781853,-2.5766843,-1.183825,-1.857415,-0.61474982,-1.17129,-1.7743389,-0.67237267,-0.45065026,-1.764404,-2.3943727,-1.1226147,-0.59583565,-0.41828476,-1.1362399,-0.55775786,-1.3985778,-1.0150864,-0.74968426,-0.58393801,-1.1756504,-1.5559487,-0.61889619,-0.99038136,-2.2502226,-1.2247638,-1.5929471,-0.32184072,-1.569429,-0.73893738,-1.0769894,-1.6236884,-1.098412,-1.1787533,-1.9537919,-0.85801482,-0.36954665,-0.43708218,-0.75326322,-0.80038561,-1.2680662,-2.1081778,-0.32437936,-1.0600208,-0.57537915,-0.60888102,-1.6898996,-1.1832654,-0.9584296,-0.71976744,-1.3136836,-1.3259402,-1.0957259,-1.5910948,-0.83699094,-0.91697376,-0.65786585,-1.5221898,-0.61095178,-1.2603866,-1.7968156,-1.362505,-0.49587117,-1.2379307,-0.59159076,-0.9201702,-1.641265,-1.0663037,-1.1044021,-0.86955728,-1.3799587,-1.1825087,-2.24365,-1.2635988,-0.55966143,-2.9133274,-0.50107264,-0.9378439,-1.4030688,-1.0081687,-0.8874484,-1.2303806,-1.8384893,-0.53657862,-0.32485331,-0.65255046,-0.65201337,-1.4267804,-0.73566131,-0.61943634,-0.30680897,-1.0160288,-0.91804318,-0.82330565,-1.1498938,-0.81100073,-1.1069167,-0.53224032,-0.83942564,-0.87051183,-0.56582591,-0.98022321,-1.2563492,-0.39400766,-0.72761499,-1.0656174,-0.44369133,-0.46713129,-0.7358909,-0.49303674,-0.77801443,-0.58420308,-0.63994489,-0.68091599,-0.94254333,-0.99128041,-0.75774514,-1.5866919,-0.94308756,-0.93845486,-0.86393638,-0.57204807,-0.35343502,-0.45087323,-2.411088,-1.2429347,-2.2851053,-2.7304592,-0.6652383,-0.31761413,-0.933404,-2.0014628,-0.57771047,-0.37069487,-1.4871467,-0.70550702,-0.58402939,-0.60487991,-1.2434382,-1.0379786,-0.31603404,-0.30283575,-0.4709541,-0.43050441,-0.61522058,-0.32902057,-0.57303657,-0.76405825,-0.89174691,-0.85971714,-0.84117336,-0.36776666,-0.42465395,-0.56945284,-0.68072414,-0.55746027,-0.59767933,-0.79431343,-0.58367074,-0.4941529,-0.51937142,-0.45511604,-0.29785932,-1.6327188,-1.1869339,-0.50652459,-0.57319903,-1.398692,-1.1799884,-0.64430102,-0.90269149,-2.1597571,-1.0445289,-0.59007148,-0.52003464,-0.30373353,-0.90433103,-0.45357431,-0.32308581,-0.74200792,-0.37043677,-0.4680212,-0.84499919,-0.51636629
-317.7523,0.99964086,0.14152135,4,31,0,318.19139,0.079934958,1.5688858,0.28135934,-2.7530925,0.063730467,-2.016779,-3.1294841,-1.0986116,-0.62838625,-0.99892494,-1.8611543,-0.91073021,-1.3082343,-1.0711618,-0.91693251,-0.99987181,-0.63832304,-1.1617441,-0.87198925,-0.83104654,-0.8980545,-0.72873655,-0.46950156,-1.3171591,-2.1054554,-1.4058801,-1.3021739,-0.63030843,-1.1837523,-0.76259201,-0.54292594,-1.3663352,-1.359674,-0.75852658,-0.54880815,-0.62642742,-1.168168,-0.68431412,-1.9676454,-1.244274,-1.6270684,-1.5162262,-0.54423315,-1.2087432,-0.38993382,-1.0642301,-1.4214688,-1.3568336,-1.1265767,-1.1144602,-0.84288639,-0.47729128,-1.0784136,-0.50924824,-0.43204559,-0.94292243,-1.456044,-0.51501238,-0.71845853,-1.0783817,-1.6409556,-0.37045353,-2.539695,-3.019725,-2.7545339,-1.6348845,-0.96827437,-1.3889158,-2.3040747,-2.1857207,-0.63887999,-1.5700892,-0.85735369,-0.63261541,-1.0703969,-0.35606762,-1.4989041,-1.297087,-2.5062626,-0.43439916,-0.41529375,-0.90962269,-0.60055278,-0.39674325,-0.95932562,-6.2567995,-0.36765504,-0.40276064,-0.37222022,-0.33815468,-0.28647771,-0.36677459,-0.41945436,-0.28393911,-0.70805269,-0.37310413,-1.0993273,-0.9493592,-1.7998376,-1.925761,-0.28617859,-0.76155693,-1.5469542,-0.45099249,-0.42286248,-0.65550911,-1.2499144,-0.58904538,-1.2148766,-1.1106549,-0.58391145,-0.88401387,-1.5117065,-1.3915255,-0.54016144,-1.0843785,-1.6232775,-1.6878075,-2.6048174,-1.1902739,-1.8759517,-0.60680732,-1.173836,-1.7916288,-0.6639046,-0.43731907,-1.7841364,-2.4249362,-1.1273593,-0.58753221,-0.40525056,-1.1394066,-0.54714941,-1.407502,-1.0145524,-0.74420602,-0.57546205,-1.1779667,-1.5688374,-0.61112899,-0.98954079,-2.2743952,-1.2283586,-1.6046726,-0.30429697,-1.5802567,-0.73384297,-1.0782414,-1.6363587,-1.1001749,-1.1805679,-1.9730536,-0.85490525,-0.35303862,-0.4246603,-0.74751638,-0.79595157,-1.27459,-2.1298892,-0.30361649,-1.0622055,-0.56603013,-0.60051654,-1.7045094,-1.1865055,-0.95884099,-0.7145631,-1.3201582,-1.3337784,-1.0987189,-1.6036304,-0.8342736,-0.91457741,-0.64969776,-1.5341928,-0.60277913,-1.2637033,-1.8099698,-1.3716039,-0.48601078,-1.2419678,-0.58315172,-0.91929128,-1.655829,-1.067296,-1.1083311,-0.86732291,-1.3883837,-1.1858688,-2.2682028,-1.2693886,-0.55023279,-2.958666,-0.49005496,-0.93741394,-1.4137471,-1.0089696,-0.88287089,-1.2335401,-1.8528085,-0.52746718,-0.3073219,-0.6470416,-0.64702582,-1.4366193,-0.73051455,-0.61369699,-0.28744899,-1.0130927,-0.91765939,-0.81705695,-1.1507965,-0.80652157,-1.1094239,-0.5236895,-0.83988581,-0.86574699,-0.55493087,-0.98011048,-1.2594237,-0.38182599,-0.72192776,-1.0687746,-0.4310214,-0.45816778,-0.73119575,-0.47985716,-0.77321204,-0.57809279,-0.63121816,-0.67407646,-0.93823112,-0.99124829,-0.75496456,-1.5937899,-0.94335272,-0.9435973,-0.86242374,-0.56341299,-0.3375359,-0.43796961,-2.4425882,-1.2484993,-2.3238744,-2.7509263,-0.6611806,-0.30017962,-0.93543065,-2.0233953,-0.56959829,-0.35746376,-1.4938749,-0.69666332,-0.57816138,-0.59990727,-1.2479376,-1.0403138,-0.29336525,-0.28521483,-0.46270909,-0.42143836,-0.60638553,-0.30816378,-0.5610238,-0.75724046,-0.89310723,-0.85650393,-0.83977742,-0.35558562,-0.41345183,-0.55975825,-0.67242442,-0.54657287,-0.59037742,-0.79370767,-0.57447903,-0.48353599,-0.50967197,-0.44481732,-0.27913072,-1.6498894,-1.1941198,-0.49298806,-0.5645769,-1.4123747,-1.1810983,-0.63665888,-0.90495412,-2.1783478,-1.0431812,-0.5786373,-0.50247021,-0.28478268,-0.90353955,-0.43903814,-0.30112004,-0.73620161,-0.35760394,-0.45762055,-0.84448537,-0.5072735
-319.46979,0.9972932,0.14152135,4,15,0,319.75621,0.032377506,1.5270638,0.28120583,-2.7418902,0.064448412,-2.0885946,-3.263082,-1.1194135,-0.62065599,-1.0125716,-1.9275209,-0.91948978,-1.3349937,-1.088776,-0.92706464,-1.0156665,-0.62983849,-1.1841046,-0.88284608,-0.83256385,-0.90910034,-0.72867192,-0.45580354,-1.3463721,-2.193742,-1.4397183,-1.3323446,-0.62147124,-1.2112621,-0.7607109,-0.5259399,-1.3964961,-1.397254,-0.76147575,-0.53210124,-0.61857298,-1.1905318,-0.67855901,-2.031953,-1.2689325,-1.6748103,-1.5588748,-0.52912836,-1.23297,-0.361781,-1.0811263,-1.4565695,-1.3876867,-1.1439841,-1.1340943,-0.84523142,-0.46265912,-1.0959648,-0.49564186,-0.40773817,-0.95335697,-1.4952605,-0.49967441,-0.71888256,-1.0982236,-1.6868626,-0.3373525,-2.6547123,-3.1533524,-2.867449,-1.6791095,-0.979491,-1.4315863,-2.3913273,-2.2664582,-0.6349753,-1.611031,-0.86380008,-0.62996809,-1.0925702,-0.32723534,-1.5382484,-1.3319107,-2.2224434,-0.41672308,-0.39183994,-0.91808109,-0.58852737,-0.37133802,-0.802572,-5.6985539,-0.28539237,-0.31713733,-0.34280963,-0.29869999,-0.24648286,-0.28188265,-0.3943286,-0.22980015,-0.71080094,-0.34240236,-1.1150574,-0.96078547,-1.8626472,-1.9891362,-0.23611296,-0.76751864,-1.5998063,-0.43436762,-0.40226938,-0.6489952,-1.2853756,-0.58521431,-1.2421326,-1.1293566,-0.56931177,-0.89831984,-1.5530264,-1.4192927,-0.52092536,-1.0994504,-1.6666151,-1.7320399,-2.6923306,-1.2230728,-1.9353218,-0.59614888,-1.1941907,-1.8667237,-0.65201555,-0.41272025,-1.8545076,-2.5249639,-1.1605893,-0.57666806,-0.37963001,-1.1586681,-0.52858979,-1.4475415,-1.0264632,-0.7392517,-0.55939131,-1.2041657,-1.6243691,-0.60689082,-1.004826,-2.3593848,-1.2515649,-1.6513791,-0.26266419,-1.6271705,-0.73590402,-1.0913504,-1.678977,-1.1175101,-1.2054237,-2.0289742,-0.85886901,-0.3166604,-0.39970024,-0.7446255,-0.7992254,-1.3061876,-2.1949088,-0.23856379,-1.0818141,-0.55263564,-0.58682734,-1.7598949,-1.2076306,-0.97465998,-0.71558693,-1.3526351,-1.3737101,-1.1207768,-1.6487532,-0.84077863,-0.92100986,-0.63738145,-1.5833725,-0.58931152,-1.2878712,-1.8610518,-1.4105797,-0.46880861,-1.2713132,-0.56831103,-0.93510664,-1.7122533,-1.0782981,-1.1341696,-0.87048947,-1.433061,-1.2074408,-2.3590309,-1.2996217,-0.53925408,-3.0811988,-0.46789621,-0.9436422,-1.4529207,-1.018968,-0.89020008,-1.2607577,-1.9033622,-0.5105981,-0.26348194,-0.63898114,-0.6402317,-1.4757658,-0.73216709,-0.60477587,-0.23159166,-1.0273574,-0.93055749,-0.81937525,-1.1733148,-0.80853381,-1.1276131,-0.51019189,-0.84866638,-0.8706987,-0.5413783,-0.99357335,-1.2847281,-0.36024562,-0.72064972,-1.0910187,-0.4081897,-0.43873115,-0.73446735,-0.45852472,-0.7737994,-0.56822974,-0.62384227,-0.67100074,-0.95040427,-1.0063643,-0.75629613,-1.6425579,-0.95186315,-0.95733207,-0.86895241,-0.55064363,-0.30108353,-0.41159094,-2.5489705,-1.2725281,-2.4172162,-2.8673504,-0.65877439,-0.25486287,-0.94646554,-2.0953726,-0.55635861,-0.3264271,-1.5285989,-0.68975954,-0.57451485,-0.59190273,-1.2722268,-1.0593733,-0.24388319,-0.22988651,-0.45174411,-0.40793079,-0.59880205,-0.2421632,-0.54360075,-0.75368686,-0.90122925,-0.86352128,-0.84483569,-0.32849572,-0.38995172,-0.54461287,-0.66800841,-0.53032416,-0.58217637,-0.79780064,-0.56650357,-0.47147598,-0.49907459,-0.43151956,-0.22734617,-1.7035945,-1.0225403,-0.46865818,-0.5597609,-1.4533722,-1.1984823,-0.63151603,-0.92245277,-2.2543303,-1.0527575,-0.56136667,-0.40411868,-0.23306822,-0.91392124,-0.41825449,-0.25172312,-0.73161136,-0.32767357,-0.437975,-0.85600563,-0.49169711
