# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:23:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp9lc40zuo/kd0z776k.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192358_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.252743
# Elements of inverse mass matrix:
# 0.801407, -0.00186929, 0.00228674, 0.00905339
# -0.00186929, 0.00820676, -0.00650834, -0.000560453
# 0.00228674, -0.00650834, 0.0564522, -0.000155158
# 0.00905339, -0.000560453, -0.000155158, 0.062591
-319.17087,0.99746986,0.25274334,4,15,0,321.02647,0.14289917,1.5465635,0.27318381,-2.6562468,0.070211241,-2.0707186,-3.2157759,-1.1258299,-0.6429959,-1.0256657,-1.9050113,-0.93469616,-1.3506946,-1.1001757,-0.94015427,-1.0227526,-0.65526251,-1.1942083,-0.88857133,-0.85642256,-0.91710447,-0.74437592,-0.47032057,-1.3566225,-2.1422556,-1.4485844,-1.3385375,-0.64652993,-1.2101389,-0.78432738,-0.55833143,-1.4096992,-1.3905929,-0.77349141,-0.56481961,-0.64096473,-1.2017401,-0.70145092,-2.0259252,-1.281004,-1.6706325,-1.5568384,-0.55677207,-1.244436,-0.39502277,-1.0921411,-1.4639243,-1.3976017,-1.1618523,-1.1444517,-0.86795989,-0.48026857,-1.1073651,-0.51573549,-0.43863466,-0.96807,-1.4963911,-0.52364242,-0.73356237,-1.1045577,-1.6942362,-0.37473424,-2.5873512,-3.0889942,-2.8282701,-1.6865509,-0.99522418,-1.4170307,-2.3678728,-2.2459037,-0.65057406,-1.6198052,-0.87879226,-0.6407516,-1.0952098,-0.35198777,-1.5415585,-1.3271278,-1.8305808,-0.43541813,-0.4202695,-0.93269281,-0.61785371,-0.40027726,-0.73663757,-4.1591205,-0.30261075,-0.3173753,-0.37386308,-0.3379516,-0.26404733,-0.31104046,-0.42456101,-0.24323622,-0.71858898,-0.37639745,-1.1332376,-0.97197306,-1.8450964,-1.9796835,-0.26063287,-0.77371123,-1.5774327,-0.45358233,-0.42528291,-0.67278044,-1.2714096,-0.59766981,-1.2455571,-1.1395788,-0.60063537,-0.89765982,-1.5550944,-1.4406651,-0.55706816,-1.1186396,-1.672738,-1.7465927,-2.6962706,-1.2103823,-1.9261143,-0.61936449,-1.2076253,-1.821327,-0.68449855,-0.44444562,-1.8137496,-2.4821509,-1.1441534,-0.59889214,-0.40691698,-1.1691535,-0.56124868,-1.4406866,-1.0430706,-0.76413124,-0.58773537,-1.2093704,-1.5999638,-0.62132569,-1.0143695,-2.3396265,-1.2639796,-1.6479435,-0.29182125,-1.6233264,-0.74847634,-1.1099032,-1.6830683,-1.1298131,-1.2144707,-2.0388549,-0.8767859,-0.35436219,-0.42812987,-0.76686916,-0.81503846,-1.3036542,-2.2000655,-0.26486991,-1.0856057,-0.5781162,-0.61494341,-1.7449025,-1.2200224,-0.9779224,-0.72867608,-1.3528662,-1.3602614,-1.1222615,-1.6471776,-0.85193935,-0.93995311,-0.66838633,-1.5681451,-0.6171806,-1.3031308,-1.8708981,-1.4008392,-0.49090633,-1.2741583,-0.59618245,-0.93658253,-1.6925375,-1.0993057,-1.1295006,-0.88974591,-1.4163547,-1.2189183,-2.3252237,-1.299864,-0.55971654,-3.0297153,-0.50005527,-0.96177031,-1.4448139,-1.0366875,-0.90815766,-1.2673557,-1.9186275,-0.53649576,-0.29573659,-0.65910018,-0.65749327,-1.4714166,-0.74518282,-0.62297271,-0.25506337,-1.0443871,-0.93563845,-0.84161835,-1.183365,-0.82699911,-1.1388383,-0.5292491,-0.8533072,-0.89095091,-0.56865534,-1.0031962,-1.2972807,-0.3766906,-0.73876291,-1.0895595,-0.43498202,-0.45922296,-0.74391415,-0.49143621,-0.79135396,-0.5844509,-0.64623683,-0.6879191,-0.96647794,-1.0160376,-0.76856156,-1.6438351,-0.96640642,-0.95396571,-0.88195497,-0.57462684,-0.33343054,-0.44601063,-2.489942,-1.2843362,-2.3542766,-2.8443921,-0.66960634,-0.28463717,-0.95303295,-2.0732455,-0.5807907,-0.35224888,-1.5440921,-0.71895063,-0.58055547,-0.60612481,-1.2828718,-1.0612801,-0.28322838,-0.23775187,-0.45887442,-0.41440306,-0.6192589,-0.27372209,-0.57913383,-0.78022722,-0.91029173,-0.87671707,-0.85758252,-0.34719754,-0.41315891,-0.5734021,-0.68861052,-0.56025434,-0.59984575,-0.80725598,-0.58363838,-0.48620242,-0.51454363,-0.44333373,-0.24231407,-1.6866811,-0.89519447,-0.50837562,-0.57006472,-1.4417937,-1.2202902,-0.64935475,-0.91576438,-2.2417686,-1.077629,-0.59771252,-0.38444748,-0.25702827,-0.92381949,-0.44629124,-0.29451116,-0.75549794,-0.35148163,-0.46150838,-0.85789869,-0.51382008
-319.41475,0.98139947,0.25274334,4,15,0,323.31539,0.15338484,1.575976,0.29176355,-2.9413218,0.052795899,-1.9848289,-3.0875444,-1.0749245,-0.61091396,-0.97758423,-1.8277546,-0.89015938,-1.2875033,-1.0492172,-0.89600825,-0.97597579,-0.62196966,-1.139515,-0.84815057,-0.81351562,-0.8748968,-0.70834599,-0.45077106,-1.2945654,-2.0631093,-1.3828233,-1.2784031,-0.61372469,-1.1573363,-0.74468963,-0.52951082,-1.3443463,-1.3313873,-0.73687061,-0.53554754,-0.60898426,-1.1465502,-0.66579896,-1.9376915,-1.2214319,-1.5975978,-1.4889131,-0.52867952,-1.1873876,-0.38206088,-1.0412167,-1.3978381,-1.3335067,-1.1064529,-1.0916799,-0.82464887,-0.45945277,-1.0557876,-0.49186348,-0.41996829,-0.92216193,-1.4306359,-0.49839524,-0.69861953,-1.0545401,-1.6185588,-0.36456252,-2.4950739,-2.9707724,-2.7145943,-1.6099711,-0.94785325,-1.3593746,-2.2705697,-2.1531663,-0.61956728,-1.5459969,-0.83686614,-0.61087131,-1.0474225,-0.34600871,-1.4723699,-1.2708892,-3.6206148,-0.41879023,-0.40442708,-0.88802956,-0.58604934,-0.38687438,-1.2476539,-11.361749,-0.42755151,-0.47489122,-0.36410032,-0.33553174,-0.28622527,-0.42847629,-0.40751703,-0.29944592,-0.68565041,-0.36613041,-1.0787738,-0.92608367,-1.7700546,-1.8942713,-0.29457931,-0.73854761,-1.5150171,-0.43516389,-0.40925748,-0.63889114,-1.2193357,-0.57052103,-1.1901847,-1.0862253,-0.56881779,-0.85830297,-1.4868781,-1.3712221,-0.52751769,-1.0649281,-1.5961964,-1.6653683,-2.5719383,-1.1605297,-1.8414831,-0.58757757,-1.1504558,-1.7574266,-0.64715535,-0.42491157,-1.7456809,-2.3845273,-1.0993347,-0.56870343,-0.39187544,-1.1138788,-0.53124907,-1.3791847,-0.99256501,-0.72403453,-0.55637582,-1.1554624,-1.5379026,-0.59239126,-0.96792483,-2.2417274,-1.204514,-1.57589,-0.30365855,-1.5530638,-0.71314334,-1.05576,-1.6060686,-1.0762935,-1.1593932,-1.943243,-0.83342198,-0.34817236,-0.41035312,-0.72786467,-0.77567125,-1.2466306,-2.0972338,-0.33110569,-1.0365657,-0.54867062,-0.58210879,-1.6718712,-1.1623015,-0.93399093,-0.69417269,-1.2932202,-1.3049256,-1.0723285,-1.5735863,-0.81165012,-0.89351414,-0.63204934,-1.503404,-0.5841919,-1.2415055,-1.7846116,-1.3415596,-0.46793988,-1.2179971,-0.56439559,-0.89569681,-1.6235833,-1.043907,-1.0809738,-0.84470956,-1.3601495,-1.1615064,-2.2338526,-1.2425226,-0.53286393,-2.9044667,-0.47446639,-0.91328447,-1.382034,-0.98479888,-0.86497672,-1.2106677,-1.827113,-0.50903438,-0.30740206,-0.62484357,-0.62388193,-1.4069876,-0.70981296,-0.59110088,-0.30320523,-0.99572325,-0.89300119,-0.80039424,-1.1298384,-0.78630144,-1.0847749,-0.50390008,-0.81326283,-0.84759968,-0.53940245,-0.9564684,-1.2372818,-0.36699336,-0.70154566,-1.0416729,-0.41711222,-0.43902038,-0.70947617,-0.46768339,-0.75252972,-0.55531611,-0.6141902,-0.65461245,-0.92300678,-0.96990057,-0.73077357,-1.5730052,-0.91861002,-0.91001634,-0.83896748,-0.54535087,-0.33187895,-0.42553239,-2.3987318,-1.2225859,-2.2644721,-2.7325129,-0.63695601,-0.30217173,-0.90744084,-1.9870098,-0.55059676,-0.34576103,-1.4715178,-0.68163537,-0.5547303,-0.57590436,-1.2231199,-1.0139686,-0.30531707,-0.30460323,-0.44123032,-0.40131644,-0.5888811,-0.33509784,-0.54825671,-0.73999175,-0.8659897,-0.83515567,-0.81518794,-0.34178398,-0.39732815,-0.54364803,-0.65479026,-0.53134122,-0.57064196,-0.76751029,-0.55616836,-0.4660925,-0.49200014,-0.42696776,-0.29434995,-1.6136762,-1.5809309,-0.48138447,-0.54533698,-1.3773211,-1.1603715,-0.61790467,-0.87594147,-2.1495855,-1.0232714,-0.56521841,-0.61522045,-0.29591471,-0.88006998,-0.42827252,-0.30972239,-0.7162693,-0.34512531,-0.44066908,-0.81899389,-0.48876322
-318.30711,0.98616304,0.25274334,4,15,0,322.96289,0.23870694,1.5575849,0.28089851,-2.5306557,0.079606807,-2.0361826,-3.1650925,-1.1046328,-0.6328895,-1.0103288,-1.8637983,-0.92044046,-1.3416264,-1.0839987,-0.92555884,-0.99893648,-0.64876244,-1.1787745,-0.86418758,-0.85001179,-0.89482662,-0.72748517,-0.45085013,-1.3416189,-2.0777932,-1.433679,-1.3199158,-0.63886796,-1.1816149,-0.77492516,-0.55679741,-1.3968824,-1.3585723,-0.75362073,-0.56408267,-0.63089386,-1.1884097,-0.68799482,-1.9947569,-1.2631459,-1.6361318,-1.5293623,-0.54862277,-1.2323973,-0.39940653,-1.0718188,-1.4483272,-1.3823601,-1.1510765,-1.1294783,-0.85904543,-0.46282523,-1.0894491,-0.50071992,-0.43724239,-0.95316441,-1.476826,-0.51293405,-0.71813952,-1.0825174,-1.6838781,-0.38063751,-2.5241944,-3.0219309,-2.777508,-1.6672376,-0.98356804,-1.3808879,-2.3422409,-2.2205116,-0.63591917,-1.6026599,-0.86288014,-0.61976441,-1.0758485,-0.34583834,-1.5173319,-1.2999622,-2.3861178,-0.42319019,-0.41708811,-0.9149454,-0.61291261,-0.39797443,-0.91251227,-5.9757913,-0.34594673,-0.36042589,-0.37386489,-0.34386539,-0.26054487,-0.36393169,-0.41947155,-0.24792107,-0.69581791,-0.37869266,-1.1217914,-0.95234436,-1.8151424,-1.9445525,-0.26697334,-0.75002766,-1.5368453,-0.44103825,-0.416485,-0.65935467,-1.2389882,-0.58441563,-1.2227894,-1.117093,-0.59101995,-0.87060793,-1.5298416,-1.4353732,-0.55495148,-1.1096587,-1.6497154,-1.7369969,-2.6529824,-1.1747507,-1.8798283,-0.60312839,-1.1893296,-1.7733021,-0.67868034,-0.44086079,-1.7608694,-2.4397946,-1.1121793,-0.58470121,-0.39444272,-1.1445901,-0.55167322,-1.4142021,-1.026712,-0.75104497,-0.57807723,-1.1941509,-1.5695026,-0.60942092,-1.0001401,-2.3134381,-1.2450528,-1.6177939,-0.29332166,-1.6012163,-0.73217994,-1.1044936,-1.6490984,-1.1097563,-1.2036502,-2.0403648,-0.86028043,-0.36313042,-0.4187214,-0.75283421,-0.80170806,-1.2724418,-2.1554079,-0.28676133,-1.0644269,-0.5676936,-0.60391168,-1.7006609,-1.201034,-0.95316968,-0.71504592,-1.3280616,-1.3290999,-1.0959001,-1.6170909,-0.83473805,-0.92678797,-0.66056373,-1.5328421,-0.60656155,-1.2861805,-1.8502285,-1.3699626,-0.47543521,-1.2545253,-0.5874341,-0.91230186,-1.6545557,-1.0825877,-1.0987629,-0.87267546,-1.3836678,-1.1998354,-2.2869191,-1.2712844,-0.54862373,-2.9456169,-0.49487283,-0.94189779,-1.4167492,-1.0195041,-0.90023871,-1.249333,-1.9112972,-0.52438674,-0.30120483,-0.64143403,-0.63710836,-1.4390768,-0.72871617,-0.60260296,-0.26475883,-1.0335513,-0.91012734,-0.83087714,-1.1625715,-0.8130326,-1.1140112,-0.51540099,-0.82750061,-0.88195423,-0.55934291,-0.98145986,-1.2823707,-0.36122263,-0.72174413,-1.0593522,-0.42536021,-0.44381022,-0.72239704,-0.49044778,-0.77389785,-0.562997,-0.63590656,-0.67892155,-0.96367606,-1.0021759,-0.74748869,-1.6264938,-0.94847706,-0.915416,-0.86581343,-0.56720874,-0.33847741,-0.44766661,-2.4222638,-1.2682985,-2.2641282,-2.8176733,-0.64637001,-0.291633,-0.92938801,-2.0273318,-0.5700395,-0.34458807,-1.5319517,-0.71644937,-0.55343226,-0.5864625,-1.2669482,-1.0374304,-0.30084906,-0.24231862,-0.43306537,-0.39251363,-0.60370637,-0.30053188,-0.57806016,-0.77289823,-0.89055027,-0.85726882,-0.83449105,-0.33511392,-0.39948195,-0.5714797,-0.67007181,-0.55182616,-0.5889408,-0.7881455,-0.56224722,-0.46554792,-0.50168898,-0.42761924,-0.25026513,-1.6471101,-1.112765,-0.50026967,-0.54763979,-1.4120174,-1.2083185,-0.63594542,-0.88405201,-2.193509,-1.0659249,-0.5970907,-0.45113524,-0.26413341,-0.90879732,-0.44228961,-0.31086165,-0.73925937,-0.34199402,-0.45112093,-0.83535145,-0.50188466
