# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:27:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpzcrddm6z/x1sv047p.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192706_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.245986
# Elements of inverse mass matrix:
# 2.57083, 0.00354785, 0.0112107, -0.0370375
# 0.00354785, 0.00887343, -0.0073376, -0.000114706
# 0.0112107, -0.0073376, 0.0554635, 0.00213715
# -0.0370375, -0.000114706, 0.00213715, 0.0594313
-314.66036,0.99493521,0.24598595,4,15,0,315.72323,0.45366013,1.5337412,0.28962971,-3.0478141,0.047462559,-2.0589133,-3.2231963,-1.0981628,-0.61206588,-1.0018469,-1.8784299,-0.90903375,-1.34351,-1.0779192,-0.91746267,-0.98500824,-0.62916128,-1.1787299,-0.85077036,-0.83566064,-0.88092541,-0.70697454,-0.42333904,-1.3420547,-2.0981685,-1.4394498,-1.3215901,-0.61686863,-1.17544,-0.75298274,-0.52994972,-1.3957279,-1.3574858,-0.73532168,-0.53817088,-0.61000378,-1.1898983,-0.6578229,-1.9982822,-1.2526767,-1.6261745,-1.530964,-0.51815826,-1.2353843,-0.37395367,-1.0583691,-1.4577782,-1.3877977,-1.1429057,-1.1276948,-0.84305601,-0.43312032,-1.0832355,-0.47392666,-0.41127721,-0.93929196,-1.4917791,-0.49137813,-0.70149729,-1.074432,-1.7001406,-0.34855434,-2.5859924,-3.0908204,-2.8214643,-1.6683767,-0.97768642,-1.3829968,-2.4081928,-2.2785901,-0.6184065,-1.6028282,-0.84633495,-0.59839251,-1.0772341,-0.31685027,-1.5171219,-1.3027215,-3.0132305,-0.40039468,-0.38900734,-0.89849946,-0.58543495,-0.36924573,-1.0124733,-9.1708957,-0.32716264,-0.35309539,-0.34739607,-0.30742336,-0.22925293,-0.34246968,-0.38541342,-0.21989619,-0.67806826,-0.34449134,-1.1139681,-0.94404089,-1.8407049,-1.9536062,-0.23623824,-0.73394489,-1.5457392,-0.41581764,-0.38920512,-0.62990432,-1.2455428,-0.57424229,-1.2199134,-1.1052952,-0.56288955,-0.86557949,-1.521725,-1.4356348,-0.51828828,-1.0938821,-1.6635222,-1.7315572,-2.6588654,-1.1746051,-1.8662469,-0.57208074,-1.1872652,-1.8182712,-0.65213077,-0.40593754,-1.7807548,-2.4994648,-1.1197299,-0.56207149,-0.36297778,-1.1440611,-0.52350024,-1.4265073,-1.0120867,-0.73942258,-0.54963984,-1.2017242,-1.5953934,-0.5987746,-0.99956534,-2.3533342,-1.2363452,-1.6216587,-0.25836975,-1.6141716,-0.72238169,-1.0982585,-1.6417854,-1.0865428,-1.2087212,-2.0635277,-0.84118811,-0.32889605,-0.38585044,-0.73290322,-0.78645145,-1.275566,-2.1242866,-0.25602721,-1.0662573,-0.54058191,-0.57409595,-1.6987969,-1.1923611,-0.94032257,-0.70113009,-1.330563,-1.3344239,-1.0888486,-1.6196281,-0.82311085,-0.9143841,-0.6345242,-1.5370707,-0.5766492,-1.2805321,-1.8596168,-1.3733964,-0.44172612,-1.2557884,-0.56003541,-0.90090596,-1.6621551,-1.0632491,-1.0912502,-0.85066875,-1.3955707,-1.191577,-2.3268838,-1.2668704,-0.52671589,-3.0101588,-0.4643129,-0.91996111,-1.4296531,-1.0014804,-0.88858694,-1.2518874,-1.9148418,-0.49257566,-0.26084875,-0.61305576,-0.61254045,-1.4463666,-0.7132065,-0.57119176,-0.2298776,-1.02555,-0.89486767,-0.81288229,-1.1516567,-0.79818521,-1.0989855,-0.49284655,-0.80755727,-0.87047431,-0.53157817,-0.9697728,-1.2856811,-0.3287708,-0.69800809,-1.0548731,-0.39417222,-0.40988023,-0.70280974,-0.46610185,-0.75401811,-0.53753638,-0.61557151,-0.66319818,-0.95438008,-0.99190089,-0.72938331,-1.6295056,-0.92778863,-0.90376786,-0.85565334,-0.54626608,-0.30801602,-0.40902006,-2.4666931,-1.2592282,-2.2896377,-2.8560754,-0.62190377,-0.25507284,-0.91902012,-2.036485,-0.5397447,-0.30559077,-1.5251744,-0.69392124,-0.53369973,-0.56971757,-1.2702171,-1.0415691,-0.25863725,-0.22152056,-0.41299368,-0.37113257,-0.57205743,-0.26342924,-0.54215249,-0.74774553,-0.87862523,-0.83871629,-0.80643356,-0.3059223,-0.36012109,-0.54960139,-0.63657663,-0.51684805,-0.57573451,-0.77457012,-0.53110792,-0.43873172,-0.48490026,-0.41526852,-0.22478272,-1.6557117,-1.2857178,-0.45640213,-0.52620859,-1.4198709,-1.1963765,-0.6263302,-0.88114148,-2.1666319,-1.0352905,-0.56756691,-0.47496654,-0.23483699,-0.90435481,-0.41855521,-0.27391899,-0.7056999,-0.30420112,-0.41523776,-0.82889973,-0.46767988
-314.70246,0.99996663,0.24598595,4,15,0,314.92639,0.55670878,1.5892162,0.27501506,-2.6779056,0.068706905,-1.9974526,-3.0818706,-1.1026407,-0.65859301,-1.0220079,-1.8136236,-0.93522872,-1.3580213,-1.0932124,-0.94310497,-0.9886962,-0.68260952,-1.1946458,-0.86163246,-0.87841155,-0.89219704,-0.73348774,-0.45926863,-1.3446746,-1.9932786,-1.4419096,-1.3217073,-0.6657826,-1.1628435,-0.7876447,-0.5921619,-1.3961879,-1.3309585,-0.75718829,-0.60178382,-0.65668043,-1.2086587,-0.68424068,-1.9293948,-1.2481106,-1.5703704,-1.5025969,-0.56540472,-1.252777,-0.45128162,-1.0655432,-1.4623062,-1.3960433,-1.1616866,-1.1465796,-0.88136054,-0.47019582,-1.101465,-0.51842735,-0.48319111,-0.95678632,-1.492712,-0.54950378,-0.73315659,-1.0782989,-1.6937608,-0.42789299,-2.4797741,-2.9605733,-2.7065681,-1.6417881,-1.0089658,-1.3467986,-2.3741551,-2.2479087,-0.65667368,-1.581047,-0.86806253,-0.62306998,-1.0877371,-0.37988485,-1.494698,-1.2881259,-2.1682237,-0.45433862,-0.45546645,-0.91653019,-0.63770989,-0.43746156,-0.90710965,-4.9310705,-0.38360999,-0.38659977,-0.42289161,-0.3868464,-0.28495754,-0.41773093,-0.44342872,-0.27234982,-0.69688094,-0.41177151,-1.1367012,-0.96899549,-1.7974806,-1.8958616,-0.30600804,-0.74857256,-1.4963763,-0.46508503,-0.44439749,-0.65831238,-1.2320076,-0.62492011,-1.2159947,-1.1088916,-0.6170427,-0.87952488,-1.48166,-1.4500254,-0.57042818,-1.1044647,-1.6586346,-1.700384,-2.5589346,-1.1542401,-1.785927,-0.60824606,-1.2061576,-1.7672046,-0.70325246,-0.46437143,-1.709112,-2.4053282,-1.1056955,-0.60844723,-0.42143178,-1.1636869,-0.58467855,-1.4144143,-1.0279253,-0.79137057,-0.59858925,-1.2200825,-1.5653262,-0.64930738,-1.0173914,-2.2875253,-1.2374193,-1.5734026,-0.31872831,-1.5920708,-0.75351437,-1.1293551,-1.6017845,-1.079029,-1.2261441,-2.0447487,-0.86305062,-0.40821564,-0.43405344,-0.77321152,-0.81384961,-1.2685401,-2.0194333,-0.32488129,-1.079602,-0.58857913,-0.62068243,-1.634666,-1.1968494,-0.94084707,-0.73534644,-1.3196477,-1.3045422,-1.0822195,-1.5884076,-0.84732104,-0.94768658,-0.6886611,-1.4931089,-0.62299015,-1.2915718,-1.8418613,-1.3449488,-0.47987096,-1.2544893,-0.61414834,-0.90291653,-1.6078035,-1.0762659,-1.0781926,-0.87356313,-1.3712378,-1.1957211,-2.2478635,-1.2531519,-0.57525544,-2.8887343,-0.52974193,-0.9365391,-1.4176924,-1.0182254,-0.92283186,-1.259969,-1.8968906,-0.54037807,-0.32947353,-0.64720664,-0.6468355,-1.4276627,-0.74431313,-0.59896079,-0.28795229,-1.0515657,-0.89834627,-0.84819084,-1.1505203,-0.83437583,-1.1012576,-0.54077923,-0.81624305,-0.90804645,-0.58618804,-0.98164919,-1.2995885,-0.37055792,-0.72969182,-1.0545841,-0.44946906,-0.4526256,-0.71987535,-0.5371175,-0.78182647,-0.57597496,-0.65955096,-0.70374305,-0.97702219,-1.0053278,-0.75785766,-1.599215,-0.94302948,-0.90390016,-0.88969203,-0.60586719,-0.38918541,-0.47034023,-2.3596596,-1.261303,-2.1688768,-2.7381337,-0.64468477,-0.32613113,-0.93615586,-1.9519078,-0.58506318,-0.3593046,-1.5100216,-0.74444439,-0.55836241,-0.62037291,-1.2848989,-1.061126,-0.33323071,-0.27325997,-0.4473896,-0.40905532,-0.59955852,-0.33650244,-0.59289317,-0.78339526,-0.90250446,-0.85567357,-0.81491984,-0.36420252,-0.40375857,-0.61464419,-0.65423889,-0.56239029,-0.63355083,-0.80566249,-0.55538147,-0.47086714,-0.53383712,-0.46854693,-0.28233032,-1.6193372,-1.0778699,-0.50771384,-0.55158005,-1.4083139,-1.2139392,-0.67868967,-0.89440008,-2.0475558,-1.0444284,-0.63070694,-0.49360911,-0.3050455,-0.93835301,-0.48262289,-0.35878397,-0.72682822,-0.35690434,-0.45912303,-0.85087441,-0.50720338
-313.56422,0.99232102,0.24598595,4,15,0,316.06965,0.43685636,1.5508739,0.28340207,-2.9520415,0.052232964,-2.0423121,-3.1810132,-1.1026794,-0.62824398,-1.0093689,-1.8644984,-0.91858248,-1.3455551,-1.0837885,-0.92682678,-0.99116807,-0.6457749,-1.1826369,-0.85932631,-0.84833687,-0.88941347,-0.71997494,-0.44102442,-1.3430501,-2.0767007,-1.4383941,-1.3222006,-0.63354453,-1.1771442,-0.7668244,-0.54969518,-1.3962223,-1.3550959,-0.74708453,-0.55791624,-0.6262292,-1.1939575,-0.67283748,-1.9843938,-1.2552575,-1.6191256,-1.5261694,-0.53680582,-1.238783,-0.39728474,-1.0641026,-1.4561593,-1.3878065,-1.1486986,-1.1327038,-0.85508941,-0.45112453,-1.088698,-0.49155074,-0.4330833,-0.94824156,-1.4885586,-0.50998887,-0.71463743,-1.0792728,-1.6943758,-0.37274138,-2.5535905,-3.0488205,-2.7873939,-1.6625445,-0.98639522,-1.3791141,-2.3842506,-2.2575797,-0.63330539,-1.5986532,-0.85677217,-0.61244042,-1.0819682,-0.33884919,-1.5134222,-1.3018219,-2.5398552,-0.41978614,-0.41036442,-0.90777099,-0.60312319,-0.39107125,-0.93489398,-6.6770018,-0.33846479,-0.35722736,-0.37019289,-0.3319983,-0.25084121,-0.35653538,-0.40703196,-0.23878159,-0.69013983,-0.36795807,-1.1202836,-0.95192922,-1.8286335,-1.9395805,-0.25826288,-0.74475609,-1.5379676,-0.43491521,-0.40957918,-0.64535904,-1.244494,-0.58979446,-1.2217722,-1.1099108,-0.58063567,-0.87302254,-1.5177018,-1.4369278,-0.5383996,-1.1011629,-1.6569139,-1.7263996,-2.6307803,-1.1747238,-1.8534855,-0.5882351,-1.1909275,-1.8019949,-0.6693157,-0.42765817,-1.7664866,-2.4728805,-1.1208116,-0.57881793,-0.383688,-1.1476204,-0.54228794,-1.4235043,-1.0197281,-0.75393824,-0.56805731,-1.2049122,-1.5873281,-0.61431309,-1.0069794,-2.3319049,-1.2391985,-1.6147538,-0.28164084,-1.6084021,-0.73482966,-1.1061086,-1.6348236,-1.0919511,-1.2131599,-2.0540121,-0.85246394,-0.35423136,-0.40703727,-0.74627183,-0.79898573,-1.2748174,-2.1084495,-0.27579051,-1.07157,-0.55845661,-0.59164987,-1.6885541,-1.1961367,-0.94724635,-0.71461334,-1.3301212,-1.3322644,-1.0928506,-1.6132076,-0.83383889,-0.92441913,-0.65157595,-1.5306641,-0.59424883,-1.2825641,-1.8494703,-1.3710742,-0.46056703,-1.2573023,-0.57814677,-0.9081881,-1.6529249,-1.0705612,-1.0940242,-0.86164578,-1.3912689,-1.1952915,-2.3036367,-1.2669758,-0.54422594,-2.9697244,-0.48507196,-0.92925993,-1.4266966,-1.0097059,-0.89922743,-1.2537154,-1.9060145,-0.51133611,-0.28488959,-0.62852622,-0.62745635,-1.4427154,-0.72590947,-0.5868513,-0.25074726,-1.0330439,-0.90257786,-0.82486697,-1.1551439,-0.81008312,-1.1036545,-0.51077906,-0.81703219,-0.88173296,-0.54977389,-0.97687072,-1.2878938,-0.34865977,-0.71147077,-1.0586265,-0.41466058,-0.42912578,-0.71469049,-0.48718729,-0.76614031,-0.55335613,-0.63168935,-0.67823161,-0.96417311,-0.99940384,-0.74147255,-1.6238273,-0.93699721,-0.90960274,-0.86617191,-0.56459353,-0.3323918,-0.43200738,-2.4367618,-1.2625795,-2.2626334,-2.8232101,-0.63562355,-0.27905228,-0.92724781,-2.0197528,-0.55780389,-0.32802088,-1.5236446,-0.71016635,-0.54768652,-0.5849586,-1.272717,-1.0464833,-0.28350314,-0.23867287,-0.42956715,-0.38871426,-0.58790266,-0.2847206,-0.56196631,-0.76224186,-0.888327,-0.84860662,-0.81694335,-0.32706169,-0.38070369,-0.56903264,-0.65058807,-0.53556322,-0.59218018,-0.78631254,-0.54637547,-0.45558439,-0.50253074,-0.43369663,-0.24463842,-1.6468161,-1.1584133,-0.4770874,-0.54085511,-1.4173153,-1.2012992,-0.6417507,-0.88716798,-2.1464211,-1.0431969,-0.58708574,-0.46393906,-0.25627694,-0.91385273,-0.43911453,-0.29930287,-0.71956625,-0.3262317,-0.43559548,-0.83812547,-0.48678477
