# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:27:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmpzcrddm6z/x1sv047p.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192706_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.108272
# Elements of inverse mass matrix:
# 2.71395, 0.00529129, -0.00207195, -0.0252017
# 0.00529129, 0.00984084, -0.00850095, -0.000920118
# -0.00207195, -0.00850095, 0.0596746, -0.00151707
# -0.0252017, -0.000920118, -0.00151707, 0.0597283
-316.32467,0.99640108,0.10827244,4,15,0,318.42822,0.64543997,1.49126,0.28127813,-3.0298796,0.048321455,-2.1569607,-3.3885219,-1.1406659,-0.62870526,-1.0435952,-1.9533209,-0.94490306,-1.4145053,-1.1245128,-0.95386511,-1.0163537,-0.65041348,-1.2382727,-0.87535933,-0.87058559,-0.90664549,-0.72228805,-0.41758881,-1.4054851,-2.1664699,-1.5163945,-1.3839852,-0.63322794,-1.2157533,-0.77283696,-0.54133506,-1.4609598,-1.4067786,-0.75287337,-0.55075967,-0.62650053,-1.2512154,-0.66294763,-2.0727432,-1.2996371,-1.6730792,-1.5951768,-0.52154478,-1.2993821,-0.37007521,-1.0985126,-1.5394259,-1.4635393,-1.196267,-1.1836194,-0.8780431,-0.42746382,-1.1363853,-0.47794369,-0.41496696,-0.96995478,-1.5782629,-0.50341217,-0.72088,-1.1146089,-1.797834,-0.34072312,-2.7225523,-3.2620828,-2.9669019,-1.7427097,-1.0236332,-1.4285247,-2.5891674,-2.4435038,-0.63322226,-1.6721787,-0.87280561,-0.60474735,-1.1226568,-0.30337617,-1.5813441,-1.3563305,-1.9830509,-0.39995577,-0.38998667,-0.92814372,-0.60079033,-0.36777582,-0.67774386,-5.2900079,-0.21868699,-0.22130144,-0.34353189,-0.29197035,-0.18764917,-0.24395058,-0.37732091,-0.15343989,-0.68968036,-0.32994645,-1.1675744,-0.98862176,-1.9286784,-2.0428943,-0.19141697,-0.74862979,-1.5984428,-0.41442631,-0.38487454,-0.63400644,-1.2996067,-0.59603652,-1.269378,-1.1474066,-0.57827753,-0.89836655,-1.5679206,-1.5126788,-0.51933222,-1.1306983,-1.7646368,-1.8020132,-2.78794,-1.2131208,-1.9204769,-0.58045164,-1.2501519,-1.9136672,-0.66999518,-0.39974154,-1.8446955,-2.6163799,-1.1573109,-0.57354708,-0.35710904,-1.2065854,-0.53781178,-1.493733,-1.0491342,-0.77033674,-0.55590919,-1.2661575,-1.671791,-0.62091501,-1.0336312,-2.4757474,-1.2866049,-1.6675931,-0.21700651,-1.6891938,-0.74081537,-1.150874,-1.7085341,-1.1138791,-1.2686561,-2.181659,-0.86508896,-0.31351439,-0.3678138,-0.76137051,-0.80739121,-1.3333804,-2.1745358,-0.18541042,-1.1105991,-0.54841629,-0.58329178,-1.7529931,-1.2401687,-0.96349338,-0.72012001,-1.3859457,-1.3762666,-1.1208408,-1.6904717,-0.84897395,-0.95551073,-0.6548705,-1.5896018,-0.5856024,-1.3481758,-1.9743383,-1.4183178,-0.4333817,-1.309634,-0.57413141,-0.92336083,-1.7195994,-1.1007046,-1.1237493,-0.87591798,-1.4575157,-1.2394732,-2.4437618,-1.3169314,-0.53582994,-3.1769448,-0.47151902,-0.94917234,-1.4967924,-1.0367096,-0.92772473,-1.3159112,-2.0263154,-0.49529304,-0.22692315,-0.62379751,-0.6250907,-1.5108703,-0.73420986,-0.57296719,-0.16538325,-1.0747117,-0.91667906,-0.84522913,-1.1959894,-0.8308998,-1.1403459,-0.49838774,-0.82513304,-0.90826295,-0.54505666,-1.0050771,-1.3532337,-0.3119756,-0.71674506,-1.0964486,-0.39007806,-0.401887,-0.71454161,-0.47480437,-0.776396,-0.54756728,-0.62909787,-0.67986796,-0.98534486,-1.0266259,-0.75180191,-1.6982414,-0.95726963,-0.93108538,-0.8932459,-0.56206537,-0.29364033,-0.39917965,-2.5891178,-1.3081207,-2.3690137,-2.9942476,-0.62897589,-0.21709147,-0.95195198,-2.1043955,-0.54502033,-0.28156676,-1.5872218,-0.71644244,-0.53887528,-0.5927388,-1.3369324,-1.0957139,-0.21553758,-0.15158935,-0.4100623,-0.364189,-0.57312548,-0.19307022,-0.54410594,-0.76569054,-0.91000113,-0.86399984,-0.82031384,-0.29276491,-0.3441937,-0.56445752,-0.64004981,-0.51955905,-0.59779611,-0.80061379,-0.53182425,-0.43474124,-0.49150073,-0.41835156,-0.16220343,-1.7340586,-0.85460746,-0.45288864,-0.52910552,-1.485756,-1.2547238,-0.65117006,-0.91857629,-2.2214034,-1.0679144,-0.58224427,-0.31211616,-0.18757039,-0.94733066,-0.42301119,-0.2432582,-0.71339318,-0.28140325,-0.40366626,-0.85947845,-0.46072882
-314.91814,0.99999605,0.10827244,5,31,0,317.7413,0.33981829,1.5012435,0.28585353,-2.8319044,0.058900576,-2.1271144,-3.34235,-1.1242975,-0.61503001,-1.0227693,-1.9395413,-0.92583229,-1.3795226,-1.1022007,-0.93371821,-1.0080547,-0.63186398,-1.2056477,-0.8664548,-0.84860149,-0.89843648,-0.71702657,-0.41889746,-1.3789874,-2.1664707,-1.4792236,-1.3565754,-0.62039043,-1.2063757,-0.76547131,-0.52883305,-1.4368347,-1.3964221,-0.74629237,-0.53704527,-0.61286368,-1.2167757,-0.66941664,-2.0737952,-1.289941,-1.6857187,-1.5785605,-0.51951766,-1.2644425,-0.35851612,-1.0853852,-1.496482,-1.4240942,-1.1717196,-1.152427,-0.85726174,-0.43001505,-1.107156,-0.47002482,-0.40021961,-0.95980533,-1.5295652,-0.4860831,-0.70931326,-1.1000085,-1.7516219,-0.3327352,-2.6595656,-3.1892974,-2.9215405,-1.724785,-0.99540404,-1.4224479,-2.4757302,-2.34219,-0.62143033,-1.6562307,-0.86254611,-0.6034167,-1.0988043,-0.29940749,-1.5646467,-1.3367367,-2.4062044,-0.38996752,-0.37763246,-0.9173677,-0.58871193,-0.35611601,-0.80370528,-6.8764613,-0.25142117,-0.26501886,-0.33013189,-0.28761176,-0.19853188,-0.26831939,-0.37738056,-0.17310511,-0.68633307,-0.33137786,-1.1403957,-0.9605654,-1.8953396,-2.0215347,-0.19749492,-0.74479481,-1.5910566,-0.40828478,-0.37958056,-0.63952967,-1.2740318,-0.57050973,-1.251471,-1.1335939,-0.56342288,-0.87792308,-1.5750086,-1.477979,-0.52152834,-1.1261595,-1.708245,-1.7997394,-2.7625621,-1.2030512,-1.939715,-0.57748385,-1.2128178,-1.8544193,-0.65807895,-0.40073494,-1.8328348,-2.574868,-1.1424797,-0.5618321,-0.34980017,-1.1648175,-0.51984178,-1.4625555,-1.0362099,-0.74510289,-0.55189761,-1.2264906,-1.6355753,-0.59671826,-1.0164416,-2.4333763,-1.2709201,-1.6726658,-0.23185651,-1.6618874,-0.72698568,-1.1233802,-1.6987307,-1.1209916,-1.2359293,-2.1378884,-0.8578257,-0.31138918,-0.37777314,-0.74188876,-0.79886064,-1.3035127,-2.2234503,-0.20398648,-1.0869081,-0.5415426,-0.57786643,-1.7573139,-1.2242897,-0.96170035,-0.70784117,-1.3665387,-1.3711438,-1.1159995,-1.6711736,-0.83624342,-0.93082127,-0.63923877,-1.5845026,-0.5807754,-1.3143238,-1.9197423,-1.4126499,-0.44045503,-1.287746,-0.561536,-0.91976383,-1.7151531,-1.0920915,-1.1185436,-0.86865163,-1.4304458,-1.2234012,-2.4023018,-1.3016176,-0.52502832,-3.0978326,-0.4593155,-0.94180756,-1.4659299,-1.026253,-0.90466321,-1.2819818,-1.9864731,-0.4922961,-0.23663966,-0.62102181,-0.61804506,-1.4845534,-0.72108096,-0.57774406,-0.18799954,-1.0468792,-0.91431408,-0.82622295,-1.1824941,-0.80937075,-1.1282228,-0.48946319,-0.8237524,-0.88446395,-0.53115229,-0.99056661,-1.3163764,-0.3184824,-0.70766786,-1.0782701,-0.38593784,-0.40553442,-0.71334707,-0.45809672,-0.76565666,-0.53810864,-0.61849004,-0.6684576,-0.97509871,-1.0142094,-0.73869927,-1.683646,-0.95176897,-0.92075599,-0.8679697,-0.54384905,-0.2859332,-0.40579168,-2.5405985,-1.2960404,-2.3608252,-2.9669682,-0.62913917,-0.22617452,-0.93613233,-2.1097442,-0.5423765,-0.29209341,-1.5777386,-0.7020961,-0.53401897,-0.56604793,-1.3008079,-1.0582705,-0.22966182,-0.1680334,-0.40525608,-0.36043693,-0.57931973,-0.21496047,-0.54698468,-0.76131442,-0.89393208,-0.85545426,-0.82610665,-0.28811596,-0.35398832,-0.54747655,-0.64905853,-0.51991398,-0.5721644,-0.78439231,-0.53590065,-0.4355713,-0.47889821,-0.40280093,-0.17898282,-1.7048414,-1.0187053,-0.45746893,-0.52721961,-1.4571013,-1.228947,-0.62539891,-0.89147133,-2.2597415,-1.0670838,-0.5692749,-0.35368462,-0.19219056,-0.91720639,-0.40869506,-0.24511357,-0.72123857,-0.29028823,-0.41367268,-0.83960386,-0.46965108
-314.01487,0.99813121,0.10827244,4,31,0,316.50125,0.63512065,1.5767916,0.28489966,-3.0111703,0.049234028,-1.9971915,-3.0987667,-1.0882203,-0.63394076,-1.0023827,-1.8175042,-0.91442876,-1.3333717,-1.0745274,-0.92241285,-0.97616806,-0.65486451,-1.1761162,-0.84941238,-0.85025007,-0.87795841,-0.71407953,-0.44362001,-1.3252691,-2.0150595,-1.4236008,-1.3058796,-0.63870486,-1.1547415,-0.76150006,-0.56037879,-1.3748055,-1.3262292,-0.74063413,-0.56906054,-0.63200231,-1.1879062,-0.66120634,-1.9241226,-1.2308008,-1.5666587,-1.4948541,-0.53914595,-1.2308775,-0.41768328,-1.0505357,-1.4439604,-1.3766186,-1.139093,-1.1274769,-0.8561426,-0.4528255,-1.0849926,-0.49903574,-0.45292013,-0.93623305,-1.4782816,-0.52512367,-0.71354708,-1.0647104,-1.6731426,-0.39473707,-2.5074194,-2.9871562,-2.7223005,-1.6263195,-0.98558115,-1.3459446,-2.3689808,-2.2418524,-0.63600538,-1.5634717,-0.84903787,-0.60747178,-1.0723718,-0.35727281,-1.4824609,-1.280826,-2.8503294,-0.4337309,-0.42974865,-0.89840053,-0.61052709,-0.41175947,-1.0650435,-7.5935958,-0.39489792,-0.41623124,-0.39465763,-0.357255,-0.27292053,-0.41837178,-0.41683191,-0.27139965,-0.6828138,-0.38136885,-1.1136647,-0.95298835,-1.7928016,-1.8954516,-0.29244918,-0.73537786,-1.4991234,-0.44495856,-0.4216877,-0.63547384,-1.2295276,-0.60483569,-1.2033167,-1.0942656,-0.59070391,-0.87009429,-1.4716953,-1.4206654,-0.53900511,-1.0804731,-1.6435642,-1.6793659,-2.5601256,-1.1518039,-1.7903707,-0.58849725,-1.1868374,-1.7804217,-0.67253589,-0.4362383,-1.7217968,-2.4080559,-1.101701,-0.58458939,-0.39914449,-1.1476948,-0.5564885,-1.4038401,-1.0072532,-0.76182131,-0.57015598,-1.2010622,-1.5631228,-0.62723591,-0.99375219,-2.2786666,-1.2192386,-1.5614491,-0.29539603,-1.5785011,-0.73168113,-1.0997288,-1.5965532,-1.0638817,-1.203573,-2.0113892,-0.84236115,-0.37416461,-0.4062803,-0.75141177,-0.79125041,-1.2602987,-2.0205962,-0.31727531,-1.0619154,-0.56292348,-0.5938158,-1.6387691,-1.1778283,-0.92824891,-0.71347178,-1.3076407,-1.2991206,-1.0698833,-1.5799911,-0.82785565,-0.92475897,-0.65920817,-1.4909907,-0.59587448,-1.2738941,-1.8292185,-1.337031,-0.45887338,-1.239549,-0.5871628,-0.891875,-1.6081082,-1.0535704,-1.0716786,-0.85224621,-1.371181,-1.1771561,-2.253757,-1.2454982,-0.55154557,-2.909919,-0.49982941,-0.91734516,-1.4066018,-0.99629976,-0.89997074,-1.2449558,-1.8750297,-0.51586973,-0.30701349,-0.62698498,-0.62791467,-1.4192533,-0.72535806,-0.58007138,-0.27904587,-1.0306724,-0.88610841,-0.82606159,-1.1375659,-0.8131694,-1.0877651,-0.5181997,-0.80381717,-0.88307021,-0.56124664,-0.96677798,-1.278678,-0.35546867,-0.70990831,-1.0475105,-0.42625794,-0.43249805,-0.70513457,-0.50424273,-0.76291809,-0.5590788,-0.6339342,-0.67872265,-0.95103619,-0.98667507,-0.74062881,-1.5869923,-0.92447372,-0.89805673,-0.86878768,-0.57757566,-0.35906171,-0.43736567,-2.3898807,-1.2388385,-2.2000829,-2.7459022,-0.62898533,-0.3036495,-0.91954052,-1.9554223,-0.55945267,-0.33682215,-1.4878393,-0.71375479,-0.54762584,-0.60168044,-1.264168,-1.0482681,-0.30795927,-0.27731635,-0.43587114,-0.39726236,-0.58025979,-0.3232302,-0.56069522,-0.75546387,-0.88275484,-0.84020463,-0.79984219,-0.34634261,-0.38377612,-0.58140507,-0.63831106,-0.537017,-0.60828909,-0.78523133,-0.54186589,-0.45737528,-0.51212346,-0.4489954,-0.27654759,-1.618861,-1.3153575,-0.48018068,-0.53931237,-1.3967638,-1.191181,-0.654762,-0.88786143,-2.0660119,-1.0237775,-0.59692412,-0.55130124,-0.29310561,-0.91725201,-0.45702759,-0.32978502,-0.70565456,-0.33596674,-0.43507673,-0.83642914,-0.4835874
