# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-24 23:29:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmppgyfqz5w/gm50zoxk.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924192945_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.13383
# Elements of inverse mass matrix:
# 0.418822, 0.00175838, 0.00352198, -0.00624033
# 0.00175838, 0.00867615, -0.00945982, -6.08006e-05
# 0.00352198, -0.00945982, 0.0599309, -0.000244037
# -0.00624033, -6.08006e-05, -0.000244037, 0.0596415
-319.65236,0.99834881,0.13383023,5,31,0,320.03604,0.55305072,1.5453929,0.28908678,-2.9887617,0.050349746,-2.0398955,-3.1866882,-1.0935863,-0.61782006,-1.0019729,-1.855851,-0.9104057,-1.3442376,-1.0770544,-0.91871966,-0.97903353,-0.63748094,-1.1798847,-0.84669703,-0.84154024,-0.87669758,-0.70599741,-0.42426635,-1.3384472,-2.0631954,-1.4377249,-1.3177207,-0.62294142,-1.1653544,-0.75411644,-0.53935892,-1.3909423,-1.344033,-0.73351766,-0.548128,-0.61579177,-1.1920086,-0.65431016,-1.9713871,-1.24417,-1.6006366,-1.5179461,-0.52186976,-1.2370978,-0.38770756,-1.0543464,-1.4577437,-1.3880921,-1.1430057,-1.129364,-0.84771106,-0.43400483,-1.0848819,-0.47856851,-0.42442766,-0.93659638,-1.4920826,-0.50122008,-0.70305407,-1.069399,-1.6973447,-0.36291954,-2.5624475,-3.0629485,-2.7920636,-1.655723,-0.98191033,-1.3663533,-2.4107961,-2.2799948,-0.62180054,-1.5908764,-0.8449516,-0.59642232,-1.0756237,-0.32688616,-1.5055251,-1.2939747,-3.0409584,-0.40832166,-0.40059553,-0.89632091,-0.59227719,-0.38136005,-1.04449,-9.0662199,-0.34825801,-0.37163364,-0.36202148,-0.32218345,-0.23787609,-0.36884865,-0.39223196,-0.23105853,-0.67497225,-0.35382216,-1.1156913,-0.94713237,-1.826913,-1.9341143,-0.25137404,-0.72984868,-1.5259978,-0.42156564,-0.3964462,-0.62713844,-1.2385581,-0.58371706,-1.2134551,-1.1000859,-0.57091541,-0.86472218,-1.5010944,-1.4359466,-0.52220361,-1.0880392,-1.6636607,-1.7143901,-2.6292175,-1.1629154,-1.8336116,-0.57337256,-1.1901557,-1.8078355,-0.65759655,-0.41252889,-1.7564072,-2.46999,-1.1104398,-0.56753975,-0.37179549,-1.1481823,-0.53400948,-1.4204799,-1.0096154,-0.74840823,-0.55400316,-1.204819,-1.5857521,-0.60775234,-0.99683074,-2.334884,-1.2305757,-1.5970563,-0.26495328,-1.6044543,-0.72301343,-1.1017489,-1.6247022,-1.0745095,-1.2093193,-2.0544572,-0.83875856,-0.34197509,-0.38695676,-0.73825342,-0.78554523,-1.2708003,-2.0795147,-0.27341684,-1.0652242,-0.54552114,-0.57829607,-1.6731205,-1.1874804,-0.93199751,-0.7033191,-1.3224527,-1.3188207,-1.0792352,-1.6064104,-0.82276113,-0.91860395,-0.64246136,-1.5181133,-0.58060993,-1.2808672,-1.8563107,-1.3582487,-0.44165345,-1.2506271,-0.56755192,-0.89340744,-1.6404269,-1.0590619,-1.0803668,-0.84895974,-1.3860188,-1.1866475,-2.3055774,-1.2575766,-0.53270662,-2.9847863,-0.47496536,-0.91671142,-1.423548,-0.99870181,-0.89277694,-1.2513539,-1.9080962,-0.49686804,-0.2718789,-0.6137656,-0.61411864,-1.4376601,-0.71500578,-0.56876387,-0.2407047,-1.0284834,-0.88756465,-0.81663825,-1.1451665,-0.80271589,-1.0932068,-0.49839308,-0.80151595,-0.87549737,-0.53973729,-0.96685502,-1.2867442,-0.3309919,-0.69925164,-1.0499078,-0.40126646,-0.41214802,-0.6987626,-0.47884611,-0.75451864,-0.54102775,-0.61990482,-0.66675105,-0.95256145,-0.98867017,-0.73065261,-1.6152806,-0.9240128,-0.89769248,-0.86033766,-0.55630348,-0.32381739,-0.41500444,-2.4405431,-1.2526317,-2.2528043,-2.8218667,-0.61915719,-0.26742137,-0.91764919,-2.005228,-0.54306826,-0.31037637,-1.5134797,-0.70030339,-0.53285263,-0.57978285,-1.2715024,-1.0451055,-0.27140655,-0.23479971,-0.41499857,-0.37408897,-0.56921029,-0.28053366,-0.54540007,-0.7484339,-0.87894987,-0.83596473,-0.7987338,-0.3151653,-0.36167027,-0.56050496,-0.63065678,-0.51973171,-0.58717929,-0.77690168,-0.52824765,-0.4387937,-0.49147351,-0.42395166,-0.23689998,-1.6436154,-1.3168298,-0.46020467,-0.52480915,-1.4135163,-1.1965558,-0.63597835,-0.88185226,-2.1211975,-1.028831,-0.57722218,-0.50301325,-0.25102565,-0.90986114,-0.42959317,-0.29084819,-0.70068125,-0.30913136,-0.41626992,-0.82978746,-0.46755696
-320.0265,0.99795824,0.13383023,5,31,0,321.24431,0.46572558,1.5713044,0.27401705,-2.6883533,0.06799281,-2.0275806,-3.1368628,-1.1122325,-0.65423916,-1.0261234,-1.8454759,-0.93745576,-1.364267,-1.0988425,-0.94550561,-0.99905339,-0.67550002,-1.1984236,-0.86899796,-0.87558713,-0.90017752,-0.73733243,-0.45864095,-1.3553487,-2.0359989,-1.4508488,-1.3320246,-0.66134864,-1.1783798,-0.79001639,-0.58355599,-1.4089346,-1.3508532,-0.76181575,-0.59264326,-0.65227562,-1.2116471,-0.69141945,-1.9686113,-1.2637288,-1.6051975,-1.5236306,-0.56323935,-1.256707,-0.43618968,-1.0742782,-1.4693306,-1.4023433,-1.16711,-1.1494943,-0.87973038,-0.46988754,-1.1037499,-0.51400971,-0.46880297,-0.96412715,-1.4989991,-0.53925128,-0.73389458,-1.0881866,-1.7062358,-0.41163221,-2.5135792,-3.0033379,-2.750862,-1.6646206,-1.0084147,-1.3697304,-2.3839919,-2.2580249,-0.65482221,-1.6029883,-0.87308931,-0.62707078,-1.0937818,-0.36764635,-1.5147422,-1.3027414,-2.0060725,-0.44540334,-0.44236768,-0.92267074,-0.63213483,-0.42350728,-0.82985502,-4.5531764,-0.34776557,-0.35070906,-0.40578786,-0.36910353,-0.27158735,-0.37676045,-0.43640743,-0.25289996,-0.7024624,-0.40157874,-1.1400007,-0.96867239,-1.8209452,-1.925796,-0.28407192,-0.75552274,-1.5230623,-0.45895293,-0.43645923,-0.66439715,-1.2435051,-0.61516999,-1.2282626,-1.1192972,-0.60974428,-0.88273279,-1.5115587,-1.4581187,-0.56862407,-1.1169978,-1.6664444,-1.7299153,-2.6050827,-1.1706861,-1.8283464,-0.60860262,-1.2079647,-1.7837923,-0.70018961,-0.45796935,-1.7404131,-2.4497172,-1.1193505,-0.60406955,-0.41122524,-1.163282,-0.57421965,-1.4271061,-1.0353816,-0.78426677,-0.59607132,-1.2217061,-1.5819985,-0.64055624,-1.0263123,-2.3209129,-1.2497876,-1.6099711,-0.31031767,-1.6108002,-0.75643783,-1.1312987,-1.6277255,-1.0974465,-1.2313485,-2.0697445,-0.86953245,-0.39339136,-0.43492096,-0.7696652,-0.81845067,-1.2784694,-2.0772517,-0.2980143,-1.0852153,-0.58493432,-0.61830282,-1.6685499,-1.2080187,-0.95377596,-0.73560186,-1.3344294,-1.3268317,-1.097373,-1.610351,-0.85103774,-0.94670262,-0.68225046,-1.5197719,-0.62096012,-1.2968335,-1.8548494,-1.3673661,-0.48126037,-1.2657705,-0.60754644,-0.91444517,-1.6378705,-1.0863981,-1.0939276,-0.87931344,-1.3862018,-1.2068787,-2.2813871,-1.2682547,-0.56998107,-2.9292968,-0.51888283,-0.94424204,-1.4305752,-1.0261778,-0.92172288,-1.2657618,-1.9158904,-0.5370995,-0.31476199,-0.64856204,-0.64696743,-1.4432851,-0.7447214,-0.6037824,-0.27017414,-1.0525451,-0.90977246,-0.84711753,-1.1624733,-0.83214876,-1.1121374,-0.5357272,-0.82576447,-0.90608651,-0.57835247,-0.98861073,-1.3045161,-0.3674217,-0.73078833,-1.0633336,-0.44179073,-0.45073719,-0.72682254,-0.52397758,-0.78402817,-0.57305587,-0.65712528,-0.70248409,-0.98415858,-1.0133289,-0.75877147,-1.6230537,-0.9513001,-0.91297271,-0.8875514,-0.59616618,-0.37021446,-0.46528689,-2.3947528,-1.2754857,-2.212811,-2.7894986,-0.64976307,-0.30951435,-0.94122107,-1.9941379,-0.58343554,-0.35347585,-1.5319334,-0.74051081,-0.56002264,-0.60968534,-1.2894128,-1.0604213,-0.31619498,-0.2501853,-0.44488536,-0.40507626,-0.60495367,-0.31081379,-0.59218734,-0.78652859,-0.90569895,-0.8618447,-0.82681352,-0.35232587,-0.4023151,-0.60444293,-0.66328117,-0.56112702,-0.62194029,-0.80591728,-0.55980987,-0.47115473,-0.52736667,-0.45870762,-0.2625214,-1.6388761,-0.9882775,-0.50512657,-0.55406631,-1.4214912,-1.2195885,-0.66945493,-0.89544269,-2.1022591,-1.0568404,-0.62223359,-0.44044294,-0.28140067,-0.93549466,-0.47047513,-0.33730718,-0.73583314,-0.3507128,-0.45927674,-0.85242847,-0.50912882
-320.58694,0.99905989,0.13383023,4,15,0,321.13282,0.39825288,1.556542,0.27544418,-2.5529241,0.077853684,-2.0490283,-3.1794514,-1.1162243,-0.64858975,-1.0279029,-1.8638605,-0.93751636,-1.373111,-1.1020238,-0.94572287,-1.0014144,-0.66966537,-1.2020301,-0.86823542,-0.87449377,-0.90064171,-0.7351762,-0.4499208,-1.3645631,-2.0558444,-1.4605721,-1.3396795,-0.65638976,-1.1844348,-0.78986058,-0.57725982,-1.4207942,-1.3601995,-0.75957984,-0.58628112,-0.64658404,-1.2153028,-0.69184773,-1.9966471,-1.2743816,-1.6262052,-1.5372794,-0.55847945,-1.2615777,-0.42384096,-1.0792935,-1.477858,-1.4100804,-1.1731673,-1.1522085,-0.8791002,-0.4622026,-1.1059148,-0.50503384,-0.45751009,-0.96686694,-1.5060075,-0.5293516,-0.73010737,-1.0919996,-1.7216002,-0.40003949,-2.5313563,-3.0322732,-2.7842041,-1.6835629,-1.0083737,-1.3790221,-2.4003155,-2.2732097,-0.64875172,-1.6209934,-0.87355378,-0.6223578,-1.09481,-0.35413278,-1.5288621,-1.3093871,-2.0043913,-0.43338816,-0.43079901,-0.92421068,-0.62742988,-0.41134505,-0.80594142,-4.6733255,-0.32560678,-0.32634146,-0.39195866,-0.35643954,-0.25494243,-0.35509711,-0.42788275,-0.2329363,-0.6988204,-0.3917782,-1.1445209,-0.96713232,-1.8359881,-1.9478827,-0.26523606,-0.75296689,-1.5344412,-0.4487846,-0.42590328,-0.66373138,-1.2462299,-0.60433148,-1.2345461,-1.1245942,-0.60312743,-0.87881287,-1.5300981,-1.4708868,-0.56608941,-1.1268343,-1.67622,-1.7572977,-2.6436127,-1.1745306,-1.8549896,-0.60478057,-1.2102989,-1.7856964,-0.69722226,-0.45107666,-1.7531723,-2.4740934,-1.1201953,-0.59682771,-0.39872056,-1.1623539,-0.56539683,-1.4338782,-1.0395145,-0.77915777,-0.59170967,-1.2234642,-1.5894712,-0.63093283,-1.0252685,-2.3484519,-1.2584435,-1.6249706,-0.29549012,-1.6242349,-0.74970253,-1.1360074,-1.6460506,-1.10764,-1.2368264,-2.102093,-0.87154168,-0.38313529,-0.42625754,-0.76601326,-0.81849424,-1.2810474,-2.1190758,-0.27853636,-1.0860002,-0.57915501,-0.61413708,-1.6869914,-1.2154184,-0.95649012,-0.73140576,-1.3426911,-1.335672,-1.1024504,-1.6256183,-0.84974117,-0.94635859,-0.67787327,-1.5331322,-0.61713004,-1.3035178,-1.8722977,-1.3776259,-0.47561312,-1.2721624,-0.60187073,-0.91561835,-1.6535667,-1.0936086,-1.0983044,-0.88117652,-1.391686,-1.2141953,-2.3045921,-1.2757409,-0.56217741,-2.9539576,-0.51058573,-0.9477426,-1.4375924,-1.0310851,-0.92143865,-1.2704494,-1.9420757,-0.53117337,-0.30202936,-0.6459553,-0.64250238,-1.4514335,-0.74063555,-0.60096227,-0.25309574,-1.0541368,-0.91139046,-0.84583799,-1.1689284,-0.82935606,-1.1179728,-0.52724278,-0.82594959,-0.90491107,-0.57129019,-0.99023695,-1.3100742,-0.35703935,-0.72812669,-1.0648333,-0.43202716,-0.44297022,-0.72465825,-0.51405143,-0.78205662,-0.56556419,-0.65185188,-0.69817085,-0.98789886,-1.0164795,-0.75512984,-1.6408445,-0.95589869,-0.91149383,-0.88474341,-0.58791577,-0.35597569,-0.46073362,-2.4132254,-1.2863154,-2.2314926,-2.8309994,-0.64626607,-0.29515033,-0.94101948,-2.019433,-0.57909597,-0.34366226,-1.5509309,-0.73839522,-0.55191553,-0.59793942,-1.2947797,-1.0575245,-0.30353831,-0.22719353,-0.43320802,-0.3923257,-0.6028188,-0.29387305,-0.59062956,-0.78756603,-0.9049877,-0.86231506,-0.83001955,-0.33799234,-0.39488618,-0.59716935,-0.66362045,-0.55747405,-0.61122172,-0.80249113,-0.55548847,-0.46267695,-0.51699393,-0.44478828,-0.24253848,-1.6508219,-0.96244072,-0.50137016,-0.54697818,-1.4291629,-1.227289,-0.66042805,-0.88836701,-2.1366822,-1.0661432,-0.61742195,-0.4085749,-0.26093722,-0.93250902,-0.45924648,-0.32306516,-0.73808939,-0.34022705,-0.45428425,-0.84834126,-0.50546009
