# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 00:39:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp3lqhhyhx/u7lxr1r6.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924203946_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.207091
# Elements of inverse mass matrix:
# 0.421779, -0.000282305, -0.00418243, 0.00550869
# -0.000282305, 0.00833586, -0.00710744, -0.00088971
# -0.00418243, -0.00710744, 0.0567278, 0.00207527
# 0.00550869, -0.00088971, 0.00207527, 0.0576674
-319.44492,0.98899515,0.20709136,4,15,0,321.80666,0.35119707,1.5318712,0.28402964,-2.8728869,0.056535478,-2.0739864,-3.2411138,-1.1108837,-0.62266314,-1.0135562,-1.8945549,-0.92053697,-1.3556891,-1.0897859,-0.9283297,-0.99885831,-0.63912148,-1.1892183,-0.863037,-0.84677462,-0.89380221,-0.71978919,-0.4343423,-1.3552278,-2.1152236,-1.4514428,-1.3339089,-0.62793572,-1.1896042,-0.76662654,-0.54090687,-1.4104466,-1.37228,-0.74775382,-0.54884746,-0.62059181,-1.1999573,-0.67397592,-2.0214047,-1.2694197,-1.6492651,-1.5468525,-0.53120493,-1.2456698,-0.38039944,-1.0732307,-1.4681779,-1.398664,-1.1563105,-1.1381471,-0.85486424,-0.44502798,-1.0945211,-0.4835992,-0.41900623,-0.95292883,-1.5002997,-0.49971189,-0.7126285,-1.087496,-1.7123739,-0.35635178,-2.5909713,-3.0984849,-2.8377076,-1.6863395,-0.98758931,-1.3975885,-2.4085326,-2.280473,-0.62850575,-1.6206002,-0.85950624,-0.61054063,-1.08683,-0.32363004,-1.5332382,-1.3151312,-2.4633076,-0.40798607,-0.3971437,-0.91205454,-0.59756625,-0.3769912,-0.87889744,-6.6346224,-0.30439576,-0.32151342,-0.35328339,-0.31458875,-0.23200704,-0.32070328,-0.39658199,-0.21476144,-0.69002537,-0.35427174,-1.1263583,-0.95388079,-1.8519586,-1.9719606,-0.23480004,-0.74612346,-1.5600242,-0.42511991,-0.39834,-0.64538292,-1.2552464,-0.58020081,-1.2330058,-1.119554,-0.57345081,-0.87435902,-1.5428876,-1.4496209,-0.53341394,-1.1120758,-1.6716097,-1.7566798,-2.6815479,-1.1867515,-1.8931581,-0.58592533,-1.1962488,-1.8164996,-0.66417332,-0.41865656,-1.7936136,-2.5056166,-1.1289285,-0.5717415,-0.37040425,-1.1505231,-0.53219643,-1.4362476,-1.0261627,-0.74788158,-0.5623441,-1.2095869,-1.6032347,-0.60538988,-1.0079026,-2.3668766,-1.2513181,-1.6372199,-0.26303016,-1.6270352,-0.72996299,-1.1102226,-1.6616059,-1.10669,-1.2185513,-2.0804671,-0.85503811,-0.33701058,-0.39676365,-0.74401281,-0.79874938,-1.2837554,-2.1632627,-0.24821427,-1.0754891,-0.55228435,-0.58695841,-1.7189781,-1.2066625,-0.95445951,-0.71145837,-1.3435952,-1.3483607,-1.1028365,-1.6356258,-0.83450464,-0.92541866,-0.64608346,-1.5531476,-0.58975326,-1.2930509,-1.8731894,-1.3880312,-0.45523454,-1.2679628,-0.57162186,-0.91418995,-1.6788099,-1.0795386,-1.1051968,-0.86525484,-1.4057123,-1.2058263,-2.3392621,-1.2810713,-0.53653653,-3.0116946,-0.47462344,-0.93531246,-1.4394821,-1.016507,-0.90024093,-1.2624892,-1.9352491,-0.5051071,-0.26784144,-0.6275572,-0.62486979,-1.4573507,-0.72391208,-0.58590635,-0.22822076,-1.0367416,-0.90885394,-0.82489482,-1.1664597,-0.8088349,-1.114227,-0.50250619,-0.8217245,-0.88109828,-0.54247553,-0.98238422,-1.2956062,-0.33956021,-0.71081149,-1.0666143,-0.40428681,-0.42206928,-0.71590289,-0.47403908,-0.7664814,-0.5482738,-0.62606686,-0.67388289,-0.96789731,-1.005175,-0.74062246,-1.6472414,-0.94460538,-0.91503602,-0.8651916,-0.55510451,-0.31321246,-0.42381283,-2.4761214,-1.2753171,-2.3040197,-2.8787064,-0.63508625,-0.25936263,-0.93029961,-2.0575881,-0.55294701,-0.31638606,-1.5448878,-0.70635589,-0.54377601,-0.57533917,-1.2805341,-1.0481199,-0.26398573,-0.21175851,-0.4211498,-0.37877134,-0.58741847,-0.25842919,-0.55773129,-0.76261759,-0.88987606,-0.85245044,-0.8237728,-0.3124296,-0.37336031,-0.55896836,-0.65381009,-0.53136585,-0.58207538,-0.78480723,-0.54542966,-0.44993634,-0.49254276,-0.42025076,-0.21984593,-1.6687266,-1.0964932,-0.47198585,-0.53733931,-1.4307698,-1.2109225,-0.63300566,-0.8870811,-2.20102,-1.0550023,-0.57953373,-0.41731449,-0.23084782,-0.91264996,-0.42645722,-0.27798226,-0.72336689,-0.31447934,-0.43002048,-0.83773621,-0.48305811
-319.46975,0.99442921,0.20709136,4,15,0,321.1388,0.60831043,1.5945821,0.28125546,-2.8174815,0.059756248,-1.9771959,-3.0543279,-1.0884107,-0.64712579,-1.0073342,-1.7968975,-0.92125463,-1.3371646,-1.0779671,-0.92906697,-0.97617578,-0.67019068,-1.1789574,-0.85106331,-0.86274303,-0.88027276,-0.72158058,-0.4531814,-1.3255183,-1.9816189,-1.422765,-1.3046002,-0.6531424,-1.1497472,-0.77250938,-0.57938157,-1.375135,-1.3170296,-0.74619111,-0.58856591,-0.64523467,-1.1918868,-0.67036027,-1.9056647,-1.2299036,-1.5517791,-1.4854542,-0.55376028,-1.234777,-0.44174886,-1.0515673,-1.4432818,-1.3773314,-1.1440969,-1.1312784,-0.8668543,-0.46315959,-1.0880062,-0.51094177,-0.4741972,-0.94149324,-1.4754276,-0.54100377,-0.72194218,-1.0646465,-1.6700923,-0.41953153,-2.4677793,-2.9412953,-2.6844392,-1.619091,-0.99368886,-1.3338643,-2.3510827,-2.225795,-0.6463192,-1.5580725,-0.85490749,-0.61386838,-1.0738533,-0.37575199,-1.4755855,-1.2744873,-2.6518536,-0.44841082,-0.44870944,-0.90310084,-0.62580957,-0.43132655,-1.0503308,-6.5558748,-0.41633565,-0.4307891,-0.41683997,-0.38189504,-0.28976626,-0.44611054,-0.43476877,-0.28793064,-0.68725248,-0.40307144,-1.119582,-0.9576697,-1.7781713,-1.8767912,-0.31390044,-0.73854933,-1.4830053,-0.45851405,-0.43756397,-0.645025,-1.2218463,-0.61718978,-1.2009594,-1.0943989,-0.60611049,-0.87104773,-1.4617519,-1.4255124,-0.55638302,-1.0851629,-1.6389282,-1.6732212,-2.5306336,-1.1435806,-1.7679974,-0.59852901,-1.1903186,-1.7580906,-0.68856167,-0.45459255,-1.6976856,-2.379971,-1.0951707,-0.59776804,-0.41576876,-1.1503068,-0.57400855,-1.3982339,-1.0119227,-0.7768046,-0.58559271,-1.2042391,-1.5508909,-0.64013365,-0.99979282,-2.2590022,-1.2195352,-1.5505341,-0.31619316,-1.5714439,-0.7406609,-1.1093289,-1.5840595,-1.0628149,-1.2079528,-2.0086588,-0.8489578,-0.39993113,-0.42301438,-0.76183725,-0.79966046,-1.2554431,-1.9950355,-0.34058251,-1.0647035,-0.57723935,-0.60812156,-1.6194531,-1.1791667,-0.92804781,-0.72307107,-1.303376,-1.2898336,-1.0677635,-1.5698796,-0.83434593,-0.93342465,-0.67526641,-1.4774694,-0.61021955,-1.2751335,-1.8206861,-1.3286478,-0.4706933,-1.2381595,-0.602851,-0.8915097,-1.5915879,-1.058289,-1.0664844,-0.85913137,-1.360237,-1.1782871,-2.2273696,-1.2396607,-0.56530266,-2.867522,-0.51929817,-0.92213011,-1.4011842,-1.001637,-0.90893403,-1.2449287,-1.8694654,-0.53013822,-0.32902484,-0.6366132,-0.63703787,-1.41184,-0.73335354,-0.58841457,-0.29868582,-1.0368383,-0.88645048,-0.83536342,-1.1361496,-0.82232877,-1.0873558,-0.53169726,-0.8054651,-0.89338534,-0.57647896,-0.96894889,-1.2813836,-0.36709017,-0.71844085,-1.0445364,-0.44230679,-0.44508266,-0.70944138,-0.52566317,-0.77019156,-0.56859417,-0.64701388,-0.69073108,-0.9589483,-0.99033888,-0.74750183,-1.5783541,-0.92882342,-0.89543328,-0.87713737,-0.59468448,-0.38412183,-0.4580261,-2.3501611,-1.2406847,-2.159968,-2.7104296,-0.63500121,-0.32672481,-0.92338217,-1.9316189,-0.57334794,-0.35397939,-1.4855423,-0.72929913,-0.55256394,-0.6135388,-1.26703,-1.0503412,-0.33328066,-0.29299998,-0.44364181,-0.40620172,-0.58872661,-0.34895893,-0.57793414,-0.76733447,-0.88900237,-0.84409019,-0.80251549,-0.36237586,-0.39715201,-0.60120661,-0.64361154,-0.55108456,-0.62366013,-0.79340882,-0.54791424,-0.46534753,-0.52547763,-0.46290273,-0.29504417,-1.604893,-1.2731459,-0.49658447,-0.54501576,-1.3916523,-1.1957676,-0.66846667,-0.88746971,-2.0320858,-1.0274291,-0.61653889,-0.56135816,-0.31458597,-0.92536463,-0.47511852,-0.35730211,-0.71306451,-0.35235026,-0.44932971,-0.84066314,-0.49642205
-320.83096,0.98855995,0.20709136,4,15,0,322.14112,0.42875353,1.6057116,0.28240906,-3.2527337,0.038668355,-1.9586633,-3.0209154,-1.0821732,-0.63940303,-0.99269203,-1.7993444,-0.90832935,-1.2992874,-1.0618571,-0.91598882,-0.98060774,-0.65380005,-1.1523045,-0.8585987,-0.83978708,-0.88557514,-0.72679421,-0.47382551,-1.3007254,-2.011863,-1.3881269,-1.2833619,-0.64336951,-1.1552729,-0.76678473,-0.56495514,-1.3488042,-1.322086,-0.75295394,-0.57203032,-0.63754881,-1.1616039,-0.68268451,-1.9046244,-1.2220536,-1.5692726,-1.4775797,-0.55610922,-1.2024256,-0.429012,-1.0462403,-1.4042261,-1.3407951,-1.1192229,-1.1059807,-0.84721712,-0.48234149,-1.0666518,-0.51729301,-0.4608768,-0.93672442,-1.4359853,-0.53136343,-0.72122272,-1.0610103,-1.6221218,-0.40838073,-2.4503353,-2.9060162,-2.6567817,-1.5986528,-0.96906941,-1.3475812,-2.2621409,-2.1460245,-0.64600241,-1.5386799,-0.85270037,-0.6298039,-1.0622915,-0.38230703,-1.4632031,-1.2702567,-2.8384914,-0.45250537,-0.44224753,-0.90020888,-0.61517297,-0.42548065,-1.1199902,-7.0747972,-0.44457055,-0.47787314,-0.40701073,-0.3758327,-0.31778217,-0.45483725,-0.43994142,-0.32476485,-0.70193166,-0.40545126,-1.092657,-0.94041128,-1.7587104,-1.8635889,-0.32907676,-0.75274277,-1.4973576,-0.46625745,-0.44304932,-0.6574691,-1.2193885,-0.60522443,-1.1932122,-1.0887426,-0.59491339,-0.87168234,-1.471096,-1.3808758,-0.55583438,-1.0763119,-1.5905191,-1.6544951,-2.5022664,-1.1566303,-1.7919668,-0.60519625,-1.1594307,-1.7451539,-0.67421345,-0.45756722,-1.7159681,-2.3574303,-1.1057643,-0.59488398,-0.42047426,-1.1209368,-0.55929107,-1.3805023,-1.0024437,-0.75228423,-0.5836815,-1.1724918,-1.5369591,-0.62703415,-0.98945296,-2.2194521,-1.2064099,-1.5600802,-0.33900105,-1.5498201,-0.73897587,-1.0765791,-1.5796603,-1.0735853,-1.1784668,-1.9443262,-0.84806307,-0.39321524,-0.44035565,-0.74836519,-0.79796303,-1.2444244,-2.0272056,-0.3607222,-1.0517114,-0.57577676,-0.60565314,-1.6382274,-1.166263,-0.94074678,-0.72041561,-1.2938639,-1.301793,-1.0757341,-1.557472,-0.83137377,-0.91205007,-0.65853118,-1.4873767,-0.60795082,-1.2445678,-1.7683837,-1.3361663,-0.48987926,-1.2246917,-0.59244389,-0.90511384,-1.6023551,-1.0486107,-1.0796702,-0.85631929,-1.3567704,-1.165672,-2.2038746,-1.2378102,-0.56338888,-2.8297067,-0.50723892,-0.91967078,-1.3832048,-0.9926687,-0.88879833,-1.219646,-1.8151508,-0.53354435,-0.34188316,-0.64195245,-0.6413937,-1.3998391,-0.73181717,-0.60525064,-0.33073377,-1.0130743,-0.8993912,-0.82073253,-1.1313847,-0.80743563,-1.0834346,-0.53357629,-0.81996612,-0.87188522,-0.56724909,-0.96548935,-1.2481476,-0.39267733,-0.71819247,-1.0447997,-0.44738162,-0.46179147,-0.72439207,-0.50814483,-0.76895152,-0.57415282,-0.64270033,-0.68562481,-0.94904041,-0.98479155,-0.74679,-1.5652402,-0.92702816,-0.90843684,-0.85930204,-0.57952054,-0.37602784,-0.46026779,-2.3447932,-1.2261002,-2.1916554,-2.6843929,-0.65110322,-0.33903389,-0.91885388,-1.9453668,-0.57538286,-0.37397764,-1.4670899,-0.71187692,-0.57210544,-0.60121386,-1.2342278,-1.029149,-0.3442748,-0.32981383,-0.4646701,-0.42822315,-0.60608302,-0.36587569,-0.57699526,-0.76191584,-0.88135442,-0.84675843,-0.81889977,-0.37324079,-0.41933435,-0.58186959,-0.66503644,-0.55525179,-0.60557991,-0.78682172,-0.57008009,-0.48757909,-0.52635308,-0.46509447,-0.32654322,-1.5926947,-1.3725934,-0.50184654,-0.56540752,-1.3742843,-1.1673913,-0.65135703,-0.88591712,-2.075177,-1.024376,-0.59808845,-0.60264497,-0.32974129,-0.90301676,-0.46758314,-0.35384982,-0.7263908,-0.37267263,-0.46659846,-0.83718226,-0.51258171
