# stan_version_major = 2
# stan_version_minor = 37
# stan_version_patch = 0
# model = rlddm_single_subject_model
# start_datetime = 2025-09-25 00:39:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.9999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/s0/k9fg8kp94xl307gydfsd9gf00000gq/T/tmp3lqhhyhx/u7lxr1r6.json
# init = 2 (Default)
# random
#   seed = 2026
# output
#   file = /Users/jy4657/Desktop/Repositories/tst-stan/cmdstan_tmp/rlddm_single_subject-20250924203946_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.37.0
# stancflags = --filename-in-msg=rlddm_single_subject.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,a,t0,log_scaler,scaler,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62,log_lik.63,log_lik.64,log_lik.65,log_lik.66,log_lik.67,log_lik.68,log_lik.69,log_lik.70,log_lik.71,log_lik.72,log_lik.73,log_lik.74,log_lik.75,log_lik.76,log_lik.77,log_lik.78,log_lik.79,log_lik.80,log_lik.81,log_lik.82,log_lik.83,log_lik.84,log_lik.85,log_lik.86,log_lik.87,log_lik.88,log_lik.89,log_lik.90,log_lik.91,log_lik.92,log_lik.93,log_lik.94,log_lik.95,log_lik.96,log_lik.97,log_lik.98,log_lik.99,log_lik.100,log_lik.101,log_lik.102,log_lik.103,log_lik.104,log_lik.105,log_lik.106,log_lik.107,log_lik.108,log_lik.109,log_lik.110,log_lik.111,log_lik.112,log_lik.113,log_lik.114,log_lik.115,log_lik.116,log_lik.117,log_lik.118,log_lik.119,log_lik.120,log_lik.121,log_lik.122,log_lik.123,log_lik.124,log_lik.125,log_lik.126,log_lik.127,log_lik.128,log_lik.129,log_lik.130,log_lik.131,log_lik.132,log_lik.133,log_lik.134,log_lik.135,log_lik.136,log_lik.137,log_lik.138,log_lik.139,log_lik.140,log_lik.141,log_lik.142,log_lik.143,log_lik.144,log_lik.145,log_lik.146,log_lik.147,log_lik.148,log_lik.149,log_lik.150,log_lik.151,log_lik.152,log_lik.153,log_lik.154,log_lik.155,log_lik.156,log_lik.157,log_lik.158,log_lik.159,log_lik.160,log_lik.161,log_lik.162,log_lik.163,log_lik.164,log_lik.165,log_lik.166,log_lik.167,log_lik.168,log_lik.169,log_lik.170,log_lik.171,log_lik.172,log_lik.173,log_lik.174,log_lik.175,log_lik.176,log_lik.177,log_lik.178,log_lik.179,log_lik.180,log_lik.181,log_lik.182,log_lik.183,log_lik.184,log_lik.185,log_lik.186,log_lik.187,log_lik.188,log_lik.189,log_lik.190,log_lik.191,log_lik.192,log_lik.193,log_lik.194,log_lik.195,log_lik.196,log_lik.197,log_lik.198,log_lik.199,log_lik.200,log_lik.201,log_lik.202,log_lik.203,log_lik.204,log_lik.205,log_lik.206,log_lik.207,log_lik.208,log_lik.209,log_lik.210,log_lik.211,log_lik.212,log_lik.213,log_lik.214,log_lik.215,log_lik.216,log_lik.217,log_lik.218,log_lik.219,log_lik.220,log_lik.221,log_lik.222,log_lik.223,log_lik.224,log_lik.225,log_lik.226,log_lik.227,log_lik.228,log_lik.229,log_lik.230,log_lik.231,log_lik.232,log_lik.233,log_lik.234,log_lik.235,log_lik.236,log_lik.237,log_lik.238,log_lik.239,log_lik.240,log_lik.241,log_lik.242,log_lik.243,log_lik.244,log_lik.245,log_lik.246,log_lik.247,log_lik.248,log_lik.249,log_lik.250,log_lik.251,log_lik.252,log_lik.253,log_lik.254,log_lik.255,log_lik.256,log_lik.257,log_lik.258,log_lik.259,log_lik.260,log_lik.261,log_lik.262,log_lik.263,log_lik.264,log_lik.265,log_lik.266,log_lik.267,log_lik.268,log_lik.269,log_lik.270,log_lik.271,log_lik.272,log_lik.273,log_lik.274,log_lik.275,log_lik.276,log_lik.277,log_lik.278,log_lik.279,log_lik.280,log_lik.281,log_lik.282,log_lik.283,log_lik.284,log_lik.285,log_lik.286,log_lik.287,log_lik.288,log_lik.289,log_lik.290,log_lik.291,log_lik.292,log_lik.293,log_lik.294,log_lik.295,log_lik.296
# Adaptation terminated
# Step size = 0.269908
# Elements of inverse mass matrix:
# 0.466342, -8.12077e-05, 0.00568385, -0.00714814
# -8.12077e-05, 0.00865474, -0.00787074, 0.000594603
# 0.00568385, -0.00787074, 0.0573069, 9.70039e-05
# -0.00714814, 0.000594603, 9.70039e-05, 0.0604094
-320.91143,0.9791675,0.26990799,4,15,0,322.62192,0.32212143,1.564668,0.28732295,-3.2362466,0.039311168,-2.0115791,-3.1302911,-1.0884571,-0.61892295,-0.99189035,-1.8474623,-0.90303203,-1.3110441,-1.0647018,-0.91029505,-0.98451138,-0.63201897,-1.1580665,-0.8555907,-0.82788321,-0.88343586,-0.71510904,-0.44921145,-1.3153007,-2.0767522,-1.4059627,-1.2977367,-0.62244641,-1.1686355,-0.7546063,-0.53740492,-1.3660485,-1.3446494,-0.74340728,-0.54428013,-0.61695485,-1.1667374,-0.67016141,-1.9595952,-1.2365755,-1.6097781,-1.5065112,-0.53259356,-1.2092436,-0.3879892,-1.0521293,-1.4217469,-1.355368,-1.1240578,-1.1093761,-0.83724411,-0.45812722,-1.0697975,-0.49241085,-0.42479726,-0.93472268,-1.4548905,-0.50300536,-0.70755965,-1.0669019,-1.650275,-0.36654218,-2.5267615,-3.005714,-2.7476369,-1.632123,-0.96420894,-1.3728864,-2.3169646,-2.1961143,-0.62744344,-1.5685081,-0.84698427,-0.61475707,-1.0649793,-0.34322007,-1.4902385,-1.2874043,-3.0098932,-0.42082876,-0.40715952,-0.89738018,-0.59320932,-0.38875982,-1.0788476,-8.4687722,-0.38173939,-0.41668899,-0.36603315,-0.33153531,-0.27195837,-0.38852194,-0.40730421,-0.27231943,-0.69096533,-0.36695758,-1.095443,-0.93689724,-1.7983746,-1.9143192,-0.27679888,-0.74470869,-1.5305054,-0.43705243,-0.41083281,-0.64325811,-1.2339742,-0.58099502,-1.2054478,-1.096447,-0.57112051,-0.86743088,-1.5034498,-1.3962829,-0.53159985,-1.0826306,-1.6163352,-1.6935953,-2.5866624,-1.1710408,-1.8482554,-0.58778038,-1.1643281,-1.7800424,-0.65385194,-0.42663671,-1.7613406,-2.4237491,-1.1150559,-0.57197229,-0.38548376,-1.1233004,-0.53128431,-1.3996935,-1.0038009,-0.73374357,-0.56052596,-1.1771934,-1.5645795,-0.60366176,-0.98557882,-2.2812155,-1.2187329,-1.5931819,-0.29298877,-1.5780548,-0.72328757,-1.0759881,-1.6170806,-1.0854772,-1.1828438,-1.9859604,-0.84153337,-0.348935,-0.40831203,-0.73462684,-0.78713142,-1.2570908,-2.1015153,-0.30273909,-1.0529042,-0.55263644,-0.58460295,-1.6825331,-1.1759946,-0.94302958,-0.70525754,-1.310853,-1.3227741,-1.0840856,-1.5900594,-0.82316751,-0.90551244,-0.6376586,-1.5195458,-0.58705068,-1.256495,-1.8071131,-1.35835,-0.46565336,-1.2368372,-0.56893941,-0.9056706,-1.6410067,-1.0530166,-1.0904007,-0.85107801,-1.3786099,-1.1754485,-2.2680832,-1.2546888,-0.53890543,-2.9198815,-0.47651984,-0.91872336,-1.4023797,-0.99381472,-0.88158145,-1.2297709,-1.8579302,-0.50913537,-0.29670358,-0.62683762,-0.62506572,-1.4214645,-0.71865178,-0.58959423,-0.27875024,-1.0120254,-0.89988116,-0.8109005,-1.1419434,-0.79632842,-1.0919949,-0.50779805,-0.81691761,-0.86234477,-0.54270598,-0.96620817,-1.2570121,-0.36231352,-0.70569194,-1.0514633,-0.41608125,-0.43524482,-0.71506031,-0.47428679,-0.75893565,-0.55405111,-0.62212379,-0.6676169,-0.94525776,-0.98540339,-0.73550142,-1.5979364,-0.92783214,-0.91004081,-0.85003278,-0.55272706,-0.33008354,-0.42899891,-2.420378,-1.2385888,-2.266054,-2.7784743,-0.63793542,-0.29047646,-0.91586998,-2.0042525,-0.55335134,-0.33787915,-1.4933801,-0.69365174,-0.55472888,-0.57807706,-1.242965,-1.0284836,-0.2946039,-0.27500192,-0.43922302,-0.39977702,-0.59067132,-0.30820149,-0.55395141,-0.74966983,-0.87535472,-0.84263013,-0.81700354,-0.33545587,-0.39053425,-0.55350139,-0.65545463,-0.53311139,-0.58004119,-0.77541984,-0.55452949,-0.46496973,-0.49900227,-0.43270602,-0.27294588,-1.6274345,-1.3541725,-0.47651595,-0.54770414,-1.3937622,-1.1753517,-0.62847538,-0.88241473,-2.1548027,-1.0309204,-0.57239019,-0.53732564,-0.27540173,-0.89468205,-0.43415696,-0.30274033,-0.7179126,-0.33686151,-0.44050448,-0.82939527,-0.49008575
-320.24296,0.98221467,0.26990799,4,15,0,324.46105,0.31697812,1.5872808,0.27492876,-2.9277345,0.053518148,-2.0005911,-3.0876554,-1.1035934,-0.64943124,-1.0121079,-1.8367673,-0.92566755,-1.3278359,-1.0829559,-0.93232474,-1.0007213,-0.66420826,-1.1746252,-0.87372591,-0.85632596,-0.90222195,-0.74024623,-0.4772036,-1.3289776,-2.0500168,-1.4177268,-1.3098103,-0.65427313,-1.1784117,-0.78319708,-0.57410565,-1.3799987,-1.3490347,-0.76630454,-0.58123332,-0.64751786,-1.1840288,-0.69861928,-1.9526451,-1.2511092,-1.6088942,-1.5102338,-0.56607809,-1.2261538,-0.4275852,-1.0691625,-1.4328615,-1.3684951,-1.1441832,-1.1272075,-0.86439915,-0.48724531,-1.0875613,-0.52238828,-0.46250267,-0.95632594,-1.4630268,-0.53590277,-0.73298855,-1.082138,-1.658059,-0.40713595,-2.4892975,-2.9598613,-2.7141118,-1.6377214,-0.98690912,-1.373605,-2.3024397,-2.1844982,-0.65480901,-1.5762517,-0.86981448,-0.63918618,-1.0800945,-0.37737107,-1.496595,-1.294431,-2.1631607,-0.45229173,-0.44309194,-0.91886972,-0.62680449,-0.42501389,-0.90123749,-4.8896223,-0.38129396,-0.39888232,-0.40349932,-0.37117477,-0.2994887,-0.3956209,-0.44341145,-0.29014404,-0.71279774,-0.40549292,-1.1162122,-0.95685208,-1.79267,-1.9068307,-0.30469068,-0.76496542,-1.5256011,-0.46827224,-0.44412734,-0.67199085,-1.2391193,-0.60897634,-1.217317,-1.1122183,-0.60421613,-0.8834766,-1.5077946,-1.4140419,-0.56863257,-1.1045168,-1.6213771,-1.7026174,-2.5645078,-1.1764186,-1.839068,-0.61716165,-1.1807428,-1.7627341,-0.68801214,-0.46393481,-1.7457795,-2.3996086,-1.1211974,-0.60219023,-0.41858555,-1.1381555,-0.56560869,-1.4054105,-1.0245308,-0.76392686,-0.59437374,-1.192658,-1.5617848,-0.63223111,-1.0056991,-2.2676519,-1.2338469,-1.5944665,-0.32656394,-1.5820906,-0.74802691,-1.0999252,-1.6185506,-1.1023115,-1.2003478,-1.9932705,-0.86555395,-0.39035798,-0.44345316,-0.76217419,-0.81247866,-1.2641999,-2.0909022,-0.32316035,-1.0691018,-0.58508478,-0.61738098,-1.6754171,-1.1921418,-0.95910071,-0.73133438,-1.3199114,-1.3262689,-1.09695,-1.5924955,-0.84587076,-0.92986524,-0.67129827,-1.5181822,-0.61995954,-1.2718456,-1.8096919,-1.3628176,-0.49681046,-1.2489327,-0.60282209,-0.92156021,-1.6357618,-1.074375,-1.1002579,-0.87550446,-1.3795736,-1.1913932,-2.2478421,-1.2633297,-0.57000044,-2.8755299,-0.51378177,-0.94099162,-1.408253,-1.015709,-0.90673669,-1.2431835,-1.8654568,-0.54227395,-0.33219848,-0.65586087,-0.65250516,-1.4257173,-0.74341266,-0.61734328,-0.30209469,-1.0332479,-0.91685862,-0.83714967,-1.1561172,-0.8219122,-1.1078067,-0.53876432,-0.8360631,-0.88829804,-0.57608917,-0.98430455,-1.2722409,-0.39220764,-0.73216355,-1.0636157,-0.45004279,-0.46669797,-0.73709286,-0.51196145,-0.78357921,-0.58171616,-0.65216971,-0.69639006,-0.96900995,-1.0048877,-0.75942269,-1.6022709,-0.95039439,-0.92298651,-0.8738291,-0.58659438,-0.36904361,-0.46933858,-2.3850255,-1.2553415,-2.2300159,-2.7488023,-0.66235351,-0.32474058,-0.93530583,-1.9899106,-0.58612922,-0.37238132,-1.5054811,-0.72668525,-0.57732074,-0.60599426,-1.2587073,-1.0437094,-0.33070955,-0.28810447,-0.46421763,-0.42571218,-0.61882037,-0.33271775,-0.5908949,-0.77968327,-0.89738137,-0.86395225,-0.83864588,-0.36734081,-0.42325078,-0.58996595,-0.68100801,-0.56689527,-0.61079047,-0.79963774,-0.58026251,-0.49152819,-0.52885686,-0.46207262,-0.29343116,-1.624841,-1.0831524,-0.51335017,-0.57153994,-1.4005103,-1.1952672,-0.65758874,-0.89620791,-2.1330586,-1.0531825,-0.60992108,-0.48704921,-0.30125166,-0.91727877,-0.46911943,-0.34134162,-0.74512955,-0.37046292,-0.47447009,-0.84882377,-0.52282054
-319.04055,0.99990944,0.26990799,3,7,0,320.6482,0.43879647,1.5450024,0.2843072,-2.7294721,0.065253728,-2.050441,-3.1978135,-1.1036491,-0.62778204,-1.0124685,-1.8652076,-0.92080431,-1.3583775,-1.0876289,-0.92912723,-0.98857381,-0.64783391,-1.188996,-0.85460162,-0.8540013,-0.88621464,-0.71693501,-0.43123454,-1.3518079,-2.0666002,-1.4493133,-1.3285624,-0.63442392,-1.174789,-0.7686549,-0.5521969,-1.4069764,-1.3534309,-0.74296234,-0.5610862,-0.62574869,-1.2017749,-0.67019853,-1.9922921,-1.2601147,-1.6190661,-1.5300244,-0.53499441,-1.247966,-0.39859271,-1.0648232,-1.4676284,-1.3985405,-1.1565789,-1.1384807,-0.85937977,-0.44243092,-1.0922857,-0.48556787,-0.43328649,-0.94985649,-1.4985545,-0.50816919,-0.71227044,-1.0793372,-1.7117482,-0.37368713,-2.5529253,-3.0575617,-2.7985894,-1.6735722,-0.99187542,-1.3745725,-2.4087454,-2.2794197,-0.63020828,-1.609649,-0.85632046,-0.6051323,-1.0833061,-0.33277142,-1.5196945,-1.3018225,-2.5728827,-0.41360105,-0.40784121,-0.90767287,-0.60412208,-0.38831606,-0.93326411,-6.913829,-0.33050739,-0.34375677,-0.36861564,-0.33102835,-0.23868008,-0.35482133,-0.40359035,-0.22429308,-0.68318777,-0.36609696,-1.1280397,-0.95307163,-1.8356517,-1.9462915,-0.24965856,-0.73815116,-1.5333408,-0.42849191,-0.40426721,-0.64221841,-1.2412025,-0.58706816,-1.2236806,-1.1111769,-0.58083561,-0.86785944,-1.5202519,-1.4542167,-0.53934404,-1.1073595,-1.670522,-1.7417704,-2.6481528,-1.1684722,-1.85171,-0.58398057,-1.1979518,-1.7979938,-0.67341469,-0.4254897,-1.7589675,-2.4866349,-1.1145595,-0.57662098,-0.37785886,-1.1521639,-0.54294084,-1.4277315,-1.0228823,-0.75871338,-0.56791105,-1.2119691,-1.5891469,-0.61287139,-1.0111012,-2.3506842,-1.2445991,-1.6193963,-0.27482266,-1.6172536,-0.73367406,-1.1170938,-1.6388914,-1.0915413,-1.2223584,-2.0869047,-0.85287504,-0.35551431,-0.40275561,-0.74695151,-0.79941624,-1.2751303,-2.1114202,-0.26820397,-1.0738232,-0.55687321,-0.59117075,-1.6850657,-1.2012154,-0.94310058,-0.71323968,-1.3332794,-1.3293835,-1.0907923,-1.6190052,-0.8331317,-0.92871287,-0.65460511,-1.5290593,-0.59393385,-1.2906178,-1.8661328,-1.3703973,-0.45367811,-1.2612265,-0.57866569,-0.90277558,-1.6515056,-1.0755375,-1.0888677,-0.86240928,-1.3888208,-1.2001461,-2.312415,-1.2666861,-0.54149997,-2.9798075,-0.485784,-0.93005027,-1.4312357,-1.0133388,-0.9031438,-1.2593806,-1.929146,-0.50834332,-0.27924832,-0.62512076,-0.62334683,-1.4456851,-0.72342093,-0.58080144,-0.2397611,-1.0382212,-0.89771613,-0.82694423,-1.1562621,-0.81143674,-1.1043193,-0.50677408,-0.81113662,-0.88628218,-0.54891498,-0.97618859,-1.2974433,-0.33739374,-0.70926848,-1.0550736,-0.40973648,-0.42165704,-0.70841572,-0.48942025,-0.76431027,-0.54721883,-0.63110513,-0.67807102,-0.96891301,-1.0008999,-0.73843867,-1.6318877,-0.93771189,-0.90176959,-0.86822879,-0.56561281,-0.33156041,-0.43220493,-2.4322797,-1.2704927,-2.2490454,-2.8397097,-0.62872009,-0.27365306,-0.92660044,-2.0208074,-0.55601831,-0.32059174,-1.5359127,-0.71470103,-0.53698187,-0.5815281,-1.281924,-1.047479,-0.28016026,-0.22284178,-0.4175511,-0.37628735,-0.58209288,-0.27986121,-0.56360675,-0.76490129,-0.8888881,-0.84609306,-0.81239332,-0.31845336,-0.372373,-0.57265669,-0.64390675,-0.53341083,-0.59202147,-0.78563182,-0.53707946,-0.44490473,-0.49791544,-0.42706709,-0.23211702,-1.648994,-1.154019,-0.47518407,-0.53076912,-1.4219875,-1.2104934,-0.64185074,-0.88072568,-2.1387374,-1.0466525,-0.59139424,-0.45113199,-0.24725731,-0.91699042,-0.43686164,-0.29868411,-0.716804,-0.31802716,-0.43008885,-0.83508705,-0.48178187
