,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-327.189,150.853,216.621,279.164,-547.813,-351.44,-63.8205,4.67064,200.0,0.00945336,3.38257
alpha,0.501379,0.14268,0.204878,0.0902031,0.306782,0.42682,0.847225,4.72865,200.0,0.00957078,3.31224
a,0.918003,0.194731,0.279649,0.404461,0.6171,0.922401,1.20836,4.70087,200.0,0.00951454,3.35058
t0,0.27414,0.0436385,0.0626626,0.0301176,0.168609,0.295943,0.334909,4.82265,200.0,0.00976103,2.98397
log_lik[1],-1.54456,0.834227,1.19794,1.63003,-2.79965,-1.64244,-0.138606,4.57487,200.0,0.00925951,3.78691
log_lik[2],-0.330745,0.373185,0.5359,0.663056,-0.915527,-0.401727,0.400042,4.78228,200.0,0.00967932,3.03226
log_lik[3],-1.08223,1.66429,2.41292,1.8357,-5.58449,-0.381585,1.42084,4.85839,200.0,0.00983336,2.93457
log_lik[4],-0.594394,0.571377,0.820501,1.12956,-1.43666,-0.656715,0.371952,4.73899,200.0,0.0095917,3.15231
log_lik[5],0.609411,0.235691,0.338442,0.4053,0.173919,0.58699,1.09626,4.74364,200.0,0.00960111,3.21457
log_lik[6],-0.14932,0.223566,0.321079,0.300272,-0.508846,-0.215978,0.365866,4.70175,200.0,0.00951632,3.37405
log_lik[7],0.879771,0.513768,0.739574,0.889612,0.0506606,0.645034,1.72685,4.80982,200.0,0.00973506,3.01059
log_lik[8],0.791646,0.538894,0.773812,1.06795,-0.129938,0.766171,1.77095,4.76304,200.0,0.00964038,3.14161
log_lik[9],-0.364338,0.339874,0.488065,0.621135,-0.912777,-0.417383,0.295681,4.78797,200.0,0.00969084,3.02252
log_lik[10],-1.04609,0.560547,0.804942,0.792626,-1.80216,-1.26145,0.146019,4.73621,200.0,0.00958606,3.16004
log_lik[11],-1.73537,0.774058,1.11154,1.27897,-2.86267,-1.94545,-0.228579,4.58251,200.0,0.00927499,3.74051
log_lik[12],-2.54384,1.05562,1.51585,1.9732,-4.1691,-2.70793,-0.644264,4.5474,200.0,0.00920393,3.95791
log_lik[13],-0.581145,0.3333,0.478625,0.394465,-1.0614,-0.720324,0.184627,4.78158,200.0,0.0096779,3.03943
log_lik[14],0.854684,0.506541,0.72736,1.06421,0.0323025,0.849983,1.67921,4.74997,200.0,0.00961392,3.14411
log_lik[15],0.251225,0.201233,0.28897,0.308735,-0.0764121,0.201774,0.683139,4.78341,200.0,0.00968161,3.05406
log_lik[16],-7.12685,2.81964,4.04893,5.99225,-11.7724,-7.12785,-2.61148,4.52323,200.0,0.009155,4.18325
log_lik[17],-2.06014,1.02669,1.47431,2.09139,-3.64657,-2.12783,-0.392009,4.55028,200.0,0.00920975,3.94451
log_lik[18],-0.454668,0.328203,0.471306,0.350823,-0.917297,-0.603826,0.312602,4.78153,200.0,0.00967779,3.03744
log_lik[19],-0.985211,0.482257,0.692521,0.697058,-1.65773,-1.15936,0.0417614,4.7651,200.0,0.00964454,3.07513
log_lik[20],0.591635,0.352582,0.5286,0.737925,-0.195337,0.686623,1.27296,5.16965,200.0,0.0104634,2.52427
log_lik[21],-5.86125,2.48229,3.56449,5.15185,-9.92657,-5.76521,-2.10332,4.52687,200.0,0.00916237,4.15526
log_lik[22],0.799916,0.508307,0.729892,1.00751,-0.0783309,0.777978,1.72872,4.80844,200.0,0.00973226,3.0109
log_lik[23],0.55503,0.55719,0.800087,0.970921,-0.540536,0.664819,1.42164,4.80432,200.0,0.00972392,2.99525
log_lik[24],0.654309,0.466416,0.66974,0.926241,-0.203581,0.661549,1.50373,4.82556,200.0,0.00976692,2.95978
log_lik[25],0.448924,0.513952,0.738,0.832452,-0.612172,0.573784,1.25053,4.8345,200.0,0.009785,2.93329
log_lik[26],-0.643213,0.47593,0.683436,0.846068,-1.35041,-0.741891,0.265848,4.76778,200.0,0.00964997,3.0683
log_lik[27],0.299432,0.111473,0.160101,0.149769,0.103118,0.270224,0.552583,4.70121,200.0,0.00951523,3.30617
log_lik[28],0.733626,0.42289,0.607248,0.760439,0.0600102,0.664672,1.55384,4.62072,200.0,0.00935232,3.61029
log_lik[29],-0.372494,0.426981,0.613149,0.710779,-1.01309,-0.480385,0.487405,4.76658,200.0,0.00964754,3.07235
log_lik[30],-0.0209994,0.318653,0.457605,0.659504,-0.564045,-0.00979218,0.50019,4.78858,200.0,0.00969208,3.02693
log_lik[31],-0.334474,0.401773,0.57695,0.672718,-0.946398,-0.432051,0.476483,4.77585,200.0,0.0096663,3.0476
log_lik[32],-1.21537,0.80337,1.15363,1.59946,-2.41285,-1.29566,0.0970998,4.57612,200.0,0.00926205,3.78068
log_lik[33],0.242528,0.251107,0.36058,0.380379,-0.110446,0.161432,0.765217,4.748,200.0,0.00960993,3.18991
log_lik[34],-1.81906,0.980751,1.40834,1.95049,-3.32187,-1.913,-0.180579,4.54985,200.0,0.00920888,3.94717
log_lik[35],-0.140845,0.36333,0.521755,0.768734,-0.736969,-0.144748,0.464077,4.7885,200.0,0.00969191,3.02064
log_lik[36],-1.53008,0.85035,1.22109,1.63653,-2.80853,-1.64387,-0.0697278,4.56801,200.0,0.00924563,3.82669
log_lik[37],-2.6274,1.23698,1.77627,2.54405,-4.57039,-2.69061,-0.619764,4.53903,200.0,0.00918697,4.02648
log_lik[38],-1.6788,0.919686,1.32066,1.82571,-3.08051,-1.76995,-0.144921,4.55587,200.0,0.00922107,3.9087
log_lik[39],-4.63423,2.03443,2.92138,4.27721,-7.93787,-4.59109,-1.51362,4.52743,200.0,0.00916351,4.14276
log_lik[40],-1.70244,0.879842,1.26344,1.75779,-3.03654,-1.78246,-0.254834,4.57349,200.0,0.00925674,3.79426
log_lik[41],-3.0087,1.2521,1.79798,2.39351,-4.97033,-3.1717,-0.784066,4.53243,200.0,0.00917361,4.07186
log_lik[42],-1.42148,0.796475,1.14373,1.52363,-2.6098,-1.53367,-0.0518981,4.57795,200.0,0.00926576,3.77012
log_lik[43],-4.48812,1.83826,2.6397,3.76143,-7.45955,-4.58336,-1.41591,4.52472,200.0,0.00915801,4.15268
log_lik[44],-7.39922,3.16323,4.5423,6.49285,-12.622,-7.22703,-2.67212,4.52496,200.0,0.00915849,4.17317
log_lik[45],-8.52162,3.57889,5.13917,7.2903,-14.4527,-8.29277,-3.21414,4.52529,200.0,0.00915916,4.17348
log_lik[46],-0.811051,0.424374,0.609402,0.566418,-1.40768,-0.977768,0.125651,4.77421,200.0,0.00966298,3.05188
log_lik[47],-1.47996,0.647706,0.930099,1.03309,-2.39192,-1.67114,-0.206304,4.70636,200.0,0.00952567,3.2414
log_lik[48],-1.22048,0.544852,0.782404,0.863346,-1.98218,-1.38825,-0.116772,4.75894,200.0,0.00963207,3.09161
log_lik[49],-0.191173,0.147395,0.211713,0.275725,-0.480127,-0.181697,0.0971223,4.68855,200.0,0.0094896,3.43886
log_lik[50],-0.351447,0.327159,0.469806,0.276774,-0.789354,-0.521751,0.433422,4.78097,200.0,0.00967666,3.03704
log_lik[51],-0.631389,0.510563,0.73317,0.90426,-1.3789,-0.741079,0.338811,4.75065,200.0,0.00961531,3.11597
